,genes,logfoldchange,pvals
0,ZFAS1,1.4146806001663208,1.0112390411314793e-54
1,RPS13,0.6247857213020325,3.132891879929319e-50
2,TAF1D,1.8398046493530273,1.4075447233871961e-47
3,C6orf48,1.554675579071045,1.2587164844741958e-46
4,EPB41L4A-AS1,2.7718560695648193,8.080567568199171e-43
5,CEBPB,1.4978101253509521,3.938595247170847e-41
6,SNHG8,1.7272615432739258,3.4537123652871354e-40
7,G0S2,3.004256248474121,9.72764906514271e-40
8,AREG,2.5865068435668945,4.2048570844989695e-38
9,CEBPZ,1.1726350784301758,7.869832549256659e-37
10,EIF2S2,0.7048890590667725,2.183578110220166e-36
11,CD44,0.7099960446357727,2.194762649262278e-35
12,STC2,2.727343797683716,6.748301879759074e-35
13,TRIB3,2.705310106277466,4.962000415914397e-33
14,ASNS,2.0924577713012695,9.573752037450183e-32
15,RPL32,0.3740703761577606,1.107264135424483e-30
16,TNFRSF12A,1.238988995552063,1.1357367747649347e-30
17,SNHG12,3.7359800338745117,2.3206892667924896e-30
18,GDF15,3.100594997406006,2.3667171459163264e-30
19,CEBPG,1.5733970403671265,7.15533528825275e-30
20,NAA10,1.1969449520111084,1.1190123364209304e-29
21,CCT7,0.8710545301437378,1.752180997965727e-29
22,TXNIP,2.810891628265381,2.1553196444303171e-29
23,GLRX2,1.5557818412780762,2.3802822453645602e-29
24,DDX21,1.1616616249084473,5.428127649475835e-29
25,NIFK,1.3533977270126343,7.455383970996878e-29
26,AIMP2,1.248785376548767,6.153428890072567e-28
27,DDIT3,2.0642945766448975,3.5402667293262865e-27
28,MTHFD2,1.3770802021026611,6.264027570811657e-27
29,FHL1,2.7166805267333984,2.334582968571412e-26
30,FAM50A,1.2145195007324219,5.0361191321139647e-26
31,SSR4,0.8568505644798279,7.894521589059457e-26
32,FOSL1,2.1288139820098877,2.523364986258786e-25
33,C11orf58,0.6651278138160706,2.682692962271407e-25
34,CTAG2,1.164897084236145,3.02414303188953e-25
35,DPM2,1.2639578580856323,9.178803761535718e-25
36,PITHD1,1.3515852689743042,1.1088225498707292e-24
37,PHLDA1,1.762855052947998,1.941133675061449e-24
38,GADD45A,1.7287653684616089,3.1363722993156175e-24
39,TSC22D1,1.951291799545288,3.1678070353530273e-24
40,NTMT1,1.1515980958938599,3.447916250041086e-24
41,EIF5,0.7667264938354492,4.705334644632944e-24
42,SARS,1.1391594409942627,1.3751209408552347e-23
43,SAAL1,1.40459144115448,1.5625126692477796e-23
44,SNHG15,2.2649502754211426,4.666360831724963e-23
45,SNHG7,1.395885705947876,2.5247803445027577e-22
46,DKC1,1.2208606004714966,4.974619625582243e-22
47,BUD31,0.8936032056808472,7.12855284578085e-22
48,UPP1,1.6709606647491455,9.68641143434374e-22
49,HSPA9,1.014611840248108,1.1664718536220596e-21
50,PFDN2,0.7799702882766724,1.4240931355835633e-21
51,SLC1A5,0.9946083426475525,6.069170805095319e-21
52,COX19,1.0638538599014282,1.0071636188951289e-20
53,ZC3H15,0.684238076210022,1.0888944104562798e-20
54,ERVK3-1,1.3036667108535767,1.6031787735003336e-20
55,INHBA,2.029592990875244,1.8468504897067854e-20
56,MAGEA12,1.5106462240219116,2.3034298504538696e-20
57,PSAT1,1.2457212209701538,2.864796484108153e-20
58,DDIT4,1.7998582124710083,3.2526570571589807e-20
59,GARS,1.282092571258545,5.346950298222218e-20
60,THUMPD2,1.4423364400863647,5.917107803332207e-20
61,MAGEA6,1.7558026313781738,1.055364519675288e-19
62,THUMPD3,1.4478613138198853,1.0864751621123584e-19
63,PA2G4,0.6472687721252441,1.938495461668943e-19
64,C19orf48,1.2357923984527588,2.1136519740248357e-19
65,YARS,1.3898780345916748,2.4034408540954407e-19
66,PAK1IP1,1.1524338722229004,5.953157629879322e-19
67,MRPL17,0.7678353786468506,6.15187649622136e-19
68,WDR43,0.9159702658653259,6.729091252993808e-19
69,JAGN1,0.9570144414901733,8.352714468451685e-19
70,SAT1,1.2912259101867676,1.7060687100211323e-18
71,USP47,1.066171646118164,2.24868107270555e-18
72,NAP1L1,0.47091150283813477,2.337544387502904e-18
73,PNO1,1.3707484006881714,2.461442794088603e-18
