,genes,logfoldchange,pvals
0,ENO1,0.7940303087234497,4.581687778734464e-123
1,HSPE1,1.0608305931091309,1.4540562444379059e-117
2,PFN1,0.619052529335022,1.0692288959223936e-116
3,LDHA,0.978088915348053,1.3061338984247128e-116
4,TXN,0.6798822283744812,1.0137701828590077e-110
5,CFL1,0.6288909316062927,4.355965729725426e-110
6,PSMA7,0.9146842360496521,2.911343445223442e-107
7,CYCS,1.2897064685821533,5.539809507137875e-105
8,HSPA8,1.2857780456542969,7.387911171273323e-104
9,HSP90AA1,1.052297592163086,9.72733287017422e-102
10,ACTB,0.6270813941955566,2.517368954744278e-100
11,NME1,1.361437201499939,2.2957576175648883e-92
12,TPI1,0.7689130902290344,1.0404945159648882e-90
13,HSPD1,0.9512564539909363,1.3839058003566337e-88
14,POLR2L,0.6346378922462463,5.519752500960728e-88
15,CCT5,0.9450043439865112,9.961450325797894e-88
16,POMP,0.6506867408752441,7.44615287527471e-87
17,NDUFS6,0.8290032744407654,2.21273985643229e-82
18,TNFRSF12A,1.1628235578536987,6.4921390408543354e-80
19,PKM,0.6870689392089844,5.818436741248795e-78
20,SFN,0.9771082997322083,1.348204942568385e-77
21,HSP90AB1,0.6405609846115112,8.571790128323566e-75
22,DRAP1,1.0286308526992798,7.392899351928824e-74
23,PSMB6,0.7530092000961304,4.624803717624342e-73
24,HSPH1,1.2969146966934204,2.173656231948862e-71
25,GAL,1.7902542352676392,2.49813872622507e-71
26,PPP1R14B,0.914612352848053,3.1466366453865026e-71
27,SRM,1.3845843076705933,7.1125663158142125e-71
28,SNRPG,0.7570008039474487,2.1666230324970268e-68
29,NDUFA4,0.4445730447769165,4.225252265512039e-68
30,C1QBP,0.9206462502479553,2.2865926345248507e-65
31,COTL1,1.1075749397277832,2.571172718519193e-63
32,ACOT7,1.2996370792388916,2.942716988664791e-63
33,CACYBP,0.8794575929641724,9.091950280701205e-61
34,PGAM1,0.7054262161254883,2.809972017337607e-60
35,EIF5A,0.9469101428985596,4.7173865596588785e-60
36,CCDC85B,1.0202183723449707,2.358355380618286e-59
37,PARK7,0.5381145477294922,5.285378802561261e-59
38,PSMB1,0.6216532588005066,1.0261668415962596e-58
39,RAN,0.6327279210090637,1.6565504807224324e-58
40,OAZ1,0.4233142137527466,2.046062760382008e-58
41,CCT6A,0.9747222065925598,3.501870362463211e-58
42,PA2G4,0.7907456159591675,4.5473229335420924e-57
43,SH3BGRL3,0.7427003979682922,1.5195142448965615e-56
44,PSMB3,0.697672426700592,1.773428903502808e-56
45,S100A2,0.4830179810523987,3.115997473035397e-56
46,RRP7A,0.9052519202232361,7.541791951374629e-56
47,PPIA,0.37535297870635986,2.923432261669664e-55
48,UFD1L,0.9451443552970886,6.167066551896211e-54
49,F3,1.1773666143417358,1.3558614152373085e-53
50,HMGB1,0.9550856351852417,2.372115398430053e-53
51,ADRM1,1.0149354934692383,2.6591445989741237e-53
52,PRDX1,0.3732795715332031,6.4025133107978665e-53
53,PSMA1,0.5594589710235596,9.54308301806728e-53
54,NDUFB9,0.5134616494178772,2.59932733622577e-52
55,GUK1,0.6065091490745544,7.84627110937588e-52
56,PSMB2,0.7287234663963318,1.1753927124694219e-51
57,HMGA1,0.583561360836029,7.673024910560147e-51
58,UBE2M,0.9736801981925964,2.0661205241511038e-50
59,CCT7,0.8234599828720093,3.3838710811605192e-50
60,HSPA1A,0.9866562485694885,7.443516075132111e-50
61,TUBA4A,1.089364767074585,8.181710327949272e-50
62,LSM4,0.8600456118583679,7.520990713700023e-49
63,YBX1,0.406218558549881,1.0641886904045621e-48
64,ATP5E,0.3824397325515747,1.7206180696183208e-48
65,PSMD11,0.9664609432220459,2.4025530272488334e-48
66,RANBP1,0.7888957262039185,2.4871600070609407e-48
67,TUBA1B,1.233743667602539,4.360006919329599e-48
68,ALDOA,0.4735701382160187,1.3175054164226299e-47
69,CALM1,0.730178952217102,2.3063758888683083e-47
70,PSMD2,0.8283170461654663,3.199994958400672e-47
71,GSTP1,0.27340054512023926,6.784937182950333e-47
72,SET,0.646523118019104,1.3571329624018575e-46
73,PDCD5,0.8070668578147888,1.6568976531257828e-46
74,USMG5,0.5561618804931641,2.862697351628819e-46
75,SLC25A39,0.7683907747268677,5.655778674095074e-46
76,SLIRP,0.7086238265037537,1.627231816030102e-45
77,HNRNPAB,1.1031454801559448,2.3138016286400734e-45
78,PSMB7,0.6653745770454407,2.4231972042429117e-45
79,BOLA3,1.073045253753662,2.851498137096239e-45
80,PRELID1,0.7854219079017639,3.578784143995217e-45
81,DDX21,1.057289481163025,3.9153371459705566e-45
82,GAPDH,0.2843584418296814,8.253267632792326e-45
83,UQCRQ,0.4710915684700012,1.0280873067733994e-44
84,COX8A,0.5242804288864136,1.903257087504693e-44
85,PFDN2,0.827484667301178,3.221264201722074e-44
86,FKBP4,1.216455101966858,7.373558067742132e-44
87,NDUFS8,0.6725859642028809,2.9440943125078142e-43
88,TMSB10,0.3572708070278168,3.8232817404638e-43
89,TRMT112,0.5162661671638489,4.067405103440958e-43
90,SLC25A5,0.6191555261611938,4.758378519360682e-43
91,COA6,0.8466546535491943,7.759432822664098e-43
92,KRT14,1.6880770921707153,1.1414086093271128e-42
93,SUB1,0.5170962810516357,7.540854752334142e-42
94,CCT2,0.809478223323822,7.804343744710712e-42
95,PSMC5,0.6509921550750732,1.1831293665989869e-41
96,SNRPD1,0.7418938875198364,1.6995375448223908e-41
97,TUBB4B,1.0217578411102295,1.7183895506575063e-41
98,SNRPB,0.6352768540382385,2.0555737761502076e-41
99,SNRPF,0.602004885673523,2.1340474736024113e-41
100,MTCH2,0.8384960293769836,5.968137745209824e-41
101,ANXA2,0.34414488077163696,1.3112981917490478e-40
102,COX20,0.7612063884735107,2.6394679667928763e-40
103,SOD1,0.4505746066570282,4.925081970095049e-40
104,TCP1,0.7487930655479431,1.2216016592453453e-39
105,PSMD1,1.041861653327942,2.0287496201293854e-39
106,UCHL1,0.6188622117042542,2.9283557659399765e-39
107,CCT3,0.6635198593139648,4.858742103834598e-39
108,BOP1,1.4610185623168945,8.458743942043458e-39
109,POLD2,0.9361769556999207,2.543366599466969e-38
110,PSMA4,0.6324542164802551,3.5677526219492327e-38
111,NUDC,0.7553163170814514,3.751353730160645e-38
112,PSMC3,0.7043828368186951,6.049277408016766e-38
113,NHP2,0.7063977718353271,1.1072927753872067e-37
114,S100A16,0.5817083120346069,1.8035565733258547e-37
115,PTGES3,0.6350254416465759,3.3963888052263296e-37
116,TMEM167A,0.8107816576957703,4.2645583998906964e-37
117,LY6D,1.7744241952896118,9.140339492798729e-37
118,EEF1E1,0.8435763120651245,1.0275361106879577e-36
119,CCT8,0.7581447958946228,1.330864642363408e-36
120,NME4,0.6783872842788696,1.4087179338798142e-36
121,EIF3I,0.619806170463562,2.0343604262537795e-36
122,HNRNPA2B1,0.5337377190589905,2.1519377817828424e-36
123,KRT6A,1.043712854385376,2.1652878080590022e-36
124,PHB,0.758428692817688,3.353566432770478e-36
125,PGK1,0.645222544670105,3.8269240860774916e-36
126,C12orf75,0.993861198425293,4.641513985212098e-36
127,FTL,0.4405635893344879,6.606553220107129e-36
128,GADD45GIP1,0.6143028736114502,8.37592350516232e-36
129,TMA7,0.49752530455589294,9.121936080214306e-36
130,AHSA1,0.8879168033599854,1.0180342636498816e-35
131,H2AFZ,0.8431158661842346,1.2108453969233464e-35
132,EZR,0.6491631269454956,1.644512893352476e-35
133,NUDT1,0.8381097316741943,2.8507536211804184e-35
134,STIP1,0.9254719018936157,2.904741801046394e-35
135,CCT4,0.6396269202232361,3.0020571811511217e-35
136,COX6C,0.39295509457588196,4.063896758576638e-35
137,HN1,0.4770006537437439,8.230431401785434e-35
138,LGALS1,0.8408001661300659,1.0542675827553384e-34
139,ARPC1B,0.6139591932296753,1.1716407907345028e-34
140,PGP,1.1291828155517578,1.6732339398517957e-34
141,EBNA1BP2,0.856406569480896,1.9291272019228873e-34
142,TUBA1C,0.9244699478149414,1.987974134986666e-34
143,C17orf89,0.8776593804359436,2.241736237322464e-34
144,MRPL41,0.6623668670654297,2.586453187805984e-34
145,EIF3J,0.6731487512588501,5.677882036852702e-34
146,NCL,0.5919914841651917,6.438809746795206e-34
147,PSMD14,0.9190617799758911,9.050527363221997e-34
148,AURKAIP1,0.47844117879867554,1.1088932768224523e-33
149,MYEOV2,0.6459760665893555,1.1143968074738608e-33
150,DNAJA1,0.743852436542511,1.751753682631974e-33
151,MRPL20,0.6707894802093506,1.9993762238852768e-33
152,UBE2S,1.0024789571762085,2.1634735502845214e-33
153,MRPL52,0.641902506351471,2.2828572882205457e-33
154,PSMD12,0.9026903510093689,3.0192548374834176e-33
155,BANF1,0.5011299848556519,4.0107196898221936e-33
156,EIF2S2,0.44020241498947144,8.416302888604913e-33
157,ATP5G3,0.5964290499687195,2.1975934584745026e-32
158,PTS,0.7078428268432617,5.942851973883926e-32
