,genes,logfoldchange,pvals
0,LINC01419,-5.782391548156738,8.020440693741586e-06
1,CNTN5,-5.312555313110352,0.04383211047504072
2,ZSCAN18,-4.908456325531006,0.041737969638867584
3,SEMA5A,-3.9331512451171875,0.0014921223312293758
4,RP11-138I17.1,-3.1767680644989014,0.003170218150249462
5,IVL,-3.060575008392334,0.00021767973871483916
6,SLC7A8,-2.5858354568481445,0.04104675905187585
7,PCSK9,-2.3513259887695312,0.04779738752024079
8,C1orf21,-1.998062014579773,1.6851013159627172e-07
9,AC006262.5,-1.9686304330825806,2.4097381567790084e-09
10,SNHG18,-1.8370203971862793,3.344345575161287e-22
11,EPDR1,-1.8283181190490723,0.014508313031491886
12,RBP1,-1.7039278745651245,1.4595171393021857e-16
13,PRSS22,-1.6141376495361328,1.0656361062860888e-05
14,CALB1,-1.5659090280532837,1.0003697927301192e-12
15,DAB2,-1.529091477394104,0.00114649931598259
16,HIST1H2AC,-1.4824488162994385,1.743509148464008e-05
17,LCN2,-1.4531491994857788,0.0020210490274351314
18,HIST1H2BD,-1.437614917755127,7.57080470060123e-07
19,KRT13,-1.4314122200012207,0.0011707054957890868
20,HIST3H2A,-1.4222420454025269,1.413829087942959e-10
21,SPP1,-1.3918486833572388,0.0007987881996794382
22,SNRPN,-1.3836264610290527,1.3697042397090938e-10
23,KRT4,-1.383271336555481,0.0008702062789542653
24,DHRS3,-1.307660460472107,1.168891836476091e-24
25,MAP2,-1.2869797945022583,0.014593192301648478
26,CLDN11,-1.2813400030136108,0.0002960295621735818
27,HCAR2,-1.2580262422561646,5.682284434120694e-07
28,KRT5,-1.2514621019363403,4.405101511880932e-51
29,NCF2,-1.2504007816314697,0.010586775162727541
30,HIST1H4H,-1.244808316230774,0.044477395586910155
31,SOSTDC1,-1.2216237783432007,7.251937396109273e-05
32,NUPR1,-1.1975135803222656,0.0019571693794183946
33,CLEC2B,-1.166597843170166,5.1529524874712755e-11
34,GLT8D2,-1.140420913696289,0.004115979420124823
35,IGFBP6,-1.1319319009780884,2.711401426598539e-37
36,IGFBP3,-1.125300407409668,8.873986990180666e-17
37,TNFSF10,-1.12277090549469,4.491851190065934e-06
38,OLR1,-1.120409369468689,7.439552036679658e-07
39,BTG2,-1.1028205156326294,0.007722649684394942
40,GPNMB,-1.0983766317367554,2.33070215408715e-11
41,CCDC127,-1.0872071981430054,3.842394091192515e-10
42,FYB,-1.0839546918869019,0.0011108137501202623
43,TRIO,-1.0821195840835571,0.02044913812806657
44,CCDC80,-1.080764651298523,0.0001546416748921211
45,CARD6,-1.0782040357589722,0.012130769721518084
46,AKR1C2,-1.0336834192276,1.049802814136971e-08
47,UPK3B,-1.031022548675537,0.0036531990996810978
48,RP11-180O5.2,-1.0261558294296265,0.01775494058929003
49,AKR1C3,-1.011670470237732,7.471764958586862e-13
50,GPX2,-1.0107145309448242,7.697392754964011e-28
51,WFDC2,-1.0026520490646362,0.011453082427013019
52,RP11-277P12.20,-0.9943552613258362,0.02233433108520688
53,PBX1,-0.9749143719673157,0.00014089754338056522
54,SPOCK1,-0.9731642603874207,0.048097810211093904
55,MRPL36,-0.9602853059768677,6.392763700488132e-38
56,WDR66,-0.9442225098609924,0.0003733154034061829
57,ST5,-0.9301958680152893,0.018648306613240056
58,TLE4,-0.9002681374549866,0.018327889174588715
59,PDCD6,-0.8934030532836914,3.525035306805961e-44
60,GATA3,-0.884935736656189,9.184946979508113e-15
61,IFITM2,-0.8843273520469666,3.845444442321065e-05
62,ICE1,-0.8813417553901672,2.3892712454157427e-10
63,EXOC3,-0.8744044303894043,0.023056393982035298
64,HOTAIRM1,-0.8728823661804199,1.8301657429443008e-05
65,KRT14,-0.8664871454238892,1.443906089352088e-07
66,CCL26,-0.8617543578147888,0.001269308003515117
67,AKR1C1,-0.8439202904701233,1.659377818424191e-05
68,H1F0,-0.8161131739616394,2.019856689982367e-05
69,UNC5B-AS1,-0.8106083273887634,0.0003855514096329172
70,KRT15,-0.8096243739128113,0.008495746077206852
71,SREBF1,-0.7984143495559692,0.0004287314760826296
72,KLK10,-0.79837566614151,2.0383643959845234e-07
