,genes,logfoldchange,pvals
0,BCAS1,-2.2306432723999023,7.901992531780866e-05
1,RP1-124C6.1,-2.017554759979248,3.707924439646728e-08
2,SEPP1,-1.9101659059524536,0.0001235745616996037
3,FOSB,-1.8801636695861816,2.988048986059028e-05
4,CASC9,-1.8520479202270508,0.047151338838818106
5,HPGD,-1.8311426639556885,0.002771352192160468
6,ALDH1A1,-1.8166824579238892,0.03891244936934114
7,MMP13,-1.7600291967391968,1.3711525145327434e-10
8,TNFSF10,-1.7350565195083618,1.0142911734807437e-38
9,KLHL24,-1.6676836013793945,0.0006120283006313004
10,ELF3,-1.5223878622055054,7.685191525898249e-49
11,EDIL3,-1.522180438041687,1.213822574102287e-06
12,RP11-138I17.1,-1.5197694301605225,0.01686553098469874
13,TXNIP,-1.4763387441635132,1.2796788352157807e-21
14,LUM,-1.4490412473678589,0.03519278117641979
15,UPK2,-1.4482959508895874,1.3347778851987975e-47
16,RARRES3,-1.3378307819366455,5.673811400278702e-09
17,BTG2,-1.307263970375061,1.9010796102109976e-09
18,AGR2,-1.2897510528564453,3.2277630350872405e-63
19,KRT13,-1.2867991924285889,3.2866791105568332e-09
20,HIST1H2AC,-1.2659649848937988,3.367325158432128e-06
21,PBXIP1,-1.2145668268203735,7.042760206011159e-05
22,FOS,-1.206749439239502,4.841581690873579e-18
23,CREBRF,-1.185046672821045,0.032559063927413416
24,CTSS,-1.1833912134170532,0.002623749063576868
25,UPK3B,-1.1613785028457642,1.8197054889956666e-07
26,KMO,-1.1571214199066162,0.00015012108745210447
27,UNC5B-AS1,-1.1427253484725952,2.2206696314603535e-12
28,ALOX5,-1.1376372575759888,0.0415952681877448
29,ANG,-1.1331202983856201,0.0005949392728374999
30,LUZP2,-1.1292755603790283,4.240710333091095e-05
31,CTSH,-1.1221626996994019,3.608714036524656e-34
32,NUPR1,-1.0796905755996704,7.961955410990613e-09
33,ANXA9,-1.0781176090240479,0.04461842581044853
34,ZFP36L2,-1.0743646621704102,1.5378660331422969e-38
35,PRSS22,-1.0663130283355713,7.518065607726247e-05
36,CALCOCO1,-1.0642507076263428,0.0023236775385450854
37,SOSTDC1,-1.0501377582550049,6.40282022820932e-06
38,ASS1,-1.0334144830703735,2.98260621838043e-11
39,HIST3H2A,-1.0311745405197144,6.887076737501775e-09
40,RBPMS,-1.025295376777649,0.012900333437659478
41,SMPDL3A,-1.0134958028793335,0.005517368664481025
42,HBP1,-1.00337815284729,0.0017309103336849397
43,CLU,-0.9585530757904053,3.828889910206582e-36
44,KRT15,-0.9579516649246216,0.00034020516017616123
45,DHRS3,-0.9511530995368958,5.838271978922443e-30
46,FBXO32,-0.9471348524093628,0.0033536215317482676
47,GLUL,-0.9406462907791138,4.038028637969693e-39
48,TRAPPC6A,-0.9389651417732239,7.606210643893449e-07
49,SOX4,-0.9373994469642639,2.680186019586423e-38
50,PBX1,-0.9271868467330933,3.1314974157270758e-06
51,ATF3,-0.9232203364372253,0.0033734382248003097
52,SYCE1L,-0.922542154788971,5.3338345635571545e-05
53,GATA3,-0.9133539199829102,2.2440596739387125e-23
54,PNRC1,-0.9047443270683289,6.41693048832737e-20
55,LCN2,-0.9007084965705872,0.009514651311023732
56,NEDD9,-0.8985258340835571,4.770585995246551e-06
57,ANK3,-0.889215886592865,0.01053308392793675
58,CTSF,-0.8807831406593323,0.00923057101881466
59,CLEC2B,-0.8640140295028687,4.855769565736503e-15
60,ABLIM1,-0.8638961315155029,2.589908889445104e-05
61,SORL1,-0.8471527099609375,6.976056628301713e-06
62,TRIM38,-0.8469681739807129,1.207955487705363e-07
63,PCMTD1,-0.8440414667129517,9.600970789785426e-09
64,TNFAIP2,-0.8426226377487183,4.156954474328412e-24
65,GPNMB,-0.8333229422569275,4.178342617920282e-17
66,SLFN5,-0.830889105796814,0.022280756951084005
67,IGFBP3,-0.8215944766998291,1.0110181447331253e-17
68,RP11-277P12.20,-0.8205636739730835,0.017364715079087607
69,ECHDC2,-0.8115068674087524,0.021261189583318258
70,RBL2,-0.8047887086868286,0.04217656432445225
71,PDCD4,-0.8032433390617371,4.536772272339217e-08
72,CD24,-0.8024141788482666,1.0411804114306927e-45
73,CTSD,-0.7998514175415039,5.384413463356887e-38
74,EPS8,-0.7984071969985962,7.806476750028463e-18
75,MAGED1,-0.7960697412490845,0.012373564251528293
76,ACSF2,-0.7932536005973816,0.04149363278500287
77,ALDH3A1,-0.7877838611602783,2.3814564614404833e-06
78,NFKBIZ,-0.7863597273826599,0.03688219995314175
79,OPN3,-0.7854781746864319,1.9425174780365284e-07
80,MYLIP,-0.7654091119766235,5.6973904529685804e-05
81,HCAR2,-0.7598859667778015,0.0009540725513485119
82,IVL,-0.7238708734512329,0.006955316056317208
83,HES1,-0.72309809923172,4.327643721627445e-31
84,ADIRF,-0.721900999546051,5.184598473314414e-79
85,SBF2-AS1,-0.7160956859588623,0.0020536604815135978
86,TRIM29,-0.7136240005493164,1.062492318159461e-11
87,SNCG,-0.7109689712524414,6.953356563718669e-21
88,EPB41L4A-AS1,-0.7043557167053223,0.0014521427408161992
89,SKIL,-0.7021217346191406,6.190609782536023e-07
90,RABGAP1L,-0.7017182111740112,0.00227760740946946
91,GSN,-0.7005021572113037,3.4070827523756184e-19
92,FXYD3,-0.6986932158470154,1.882088908596688e-63
93,GLTSCR2,-0.6968449950218201,5.684686816174911e-54
94,LMO4,-0.6890344619750977,7.049981988847354e-05
95,CNFN,-0.6832124590873718,0.044808770023779365
96,PLEKHF2,-0.6811795234680176,0.0016499908963774922
97,EDN1,-0.6792356967926025,0.03218106998785637
98,RERE,-0.669397234916687,5.0455803242235486e-05
99,CCDC80,-0.6678451895713806,0.002168426930215526
100,HIST1H2BD,-0.6643856763839722,0.020582782087343536
101,C9orf16,-0.662173330783844,9.324856330875957e-29
102,KRT4,-0.6595659255981445,0.035919330770088874
103,MDK,-0.6431306004524231,2.466627184920181e-41
104,ALDH3B1,-0.6422675251960754,0.020531728641694284
105,SNHG18,-0.6395679116249084,9.11702232932867e-07
106,ADGRF1,-0.6380529403686523,2.571299954123679e-07
107,MARCKS,-0.6356548070907593,2.01124249489332e-33
108,SH3BGRL,-0.6354830861091614,0.0017156288499806788
109,COL5A2,-0.6338643431663513,0.03563646735085307
110,BAZ2B,-0.6307600736618042,0.00021473477524839001
111,DLK2,-0.629593014717102,1.376292842605136e-05
112,UNC5B,-0.6235478520393372,0.03033768827949638
113,ZKSCAN1,-0.6191045045852661,0.00621500522842601
114,SYNGR1,-0.6160508394241333,0.005504277379844983
115,PSAP,-0.6102854013442993,7.4141923562172075e-47
116,TRIM56,-0.6096742153167725,0.0010913989146247396
117,TMEM106B,-0.6036516427993774,8.717441078445546e-07
118,KDM5B,-0.6020936369895935,8.684526407712977e-08
119,IER2,-0.6006658673286438,7.360223864615789e-19
120,ANXA4,-0.5941234230995178,1.0694086855513523e-08
121,IGBP1,-0.587135910987854,1.8264234837796304e-11
122,TNFRSF1A,-0.5852935314178467,2.86913561957246e-13
123,EEF1A1,-0.5848105549812317,5.38621640487449e-139
124,SCPEP1,-0.582477331161499,2.3535647884925857e-15
125,TACSTD2,-0.579986572265625,6.071717838535552e-47
126,AC006262.5,-0.5790547728538513,0.002088716049143485
127,EIF4B,-0.5773482918739319,2.6909768213006296e-24
128,HOTAIRM1,-0.5686061382293701,0.00954393491990273
129,UACA,-0.568036675453186,2.453371947351878e-06
130,IFI6,-0.5625166893005371,0.016947843312506684
131,EGR1,-0.5610480308532715,2.898949009083469e-11
132,GATA2,-0.558602511882782,0.036702521262275765
133,TP53TG1,-0.5579609870910645,1.949767398067392e-05
134,CREG1,-0.5564146041870117,3.0620922476970164e-08
135,NEAT1,-0.5516745448112488,3.193403518446096e-22
136,RSRP1,-0.5465511679649353,0.04947347901174499
137,MFAP2,-0.5419500470161438,5.1000322058028297e-17
138,BTN3A2,-0.5392744541168213,0.018947022988719135
139,PDLIM1,-0.5379765629768372,7.684153460608948e-53
140,DUSP1,-0.5366450548171997,0.002950252498929223
141,MALAT1,-0.5359915494918823,1.8909063999077245e-70
142,SH3YL1,-0.5179028511047363,2.364362110940294e-08
143,FBLN1,-0.5177276730537415,2.9374500942684735e-09
144,KLF10,-0.5155832767486572,0.00804563910373919
145,JUN,-0.5133393406867981,9.48184077855756e-12
146,NHLRC3,-0.5032086968421936,0.002843803824056201
147,GATA2-AS1,-0.5019044280052185,0.00768051382281798
148,TNRC6B,-0.5004022717475891,0.005773656507338292
149,MKRN1,-0.49803727865219116,0.000836202346258157
150,DNAJC4,-0.4903538227081299,0.031629187754765996
151,NFKBIA,-0.48753198981285095,1.3099196826264213e-10
152,RHOBTB3,-0.4852699637413025,8.883528913648715e-37
153,IL18,-0.4822813868522644,2.0668848713051602e-22
154,ALDH7A1,-0.48090559244155884,5.683489715351023e-09
155,PNISR,-0.47982537746429443,2.9420492991257294e-16
156,RP11-20D14.6,-0.47944825887680054,0.0005744831790769224
157,SAT1,-0.4757383465766907,3.161333895376837e-06
158,JUNB,-0.47363919019699097,8.358773273016716e-26
159,CTGF,-0.47262030839920044,0.0014389410409990395
160,TNFAIP8,-0.4713982343673706,0.006935797872127119
161,GRN,-0.4696340262889862,8.193558219831055e-19
162,OCEL1,-0.46892961859703064,0.033698929228097925
163,OLR1,-0.46813714504241943,0.04720565115896553
164,LBH,-0.4630873501300812,0.0013608734916907505
165,QARS,-0.4613540768623352,0.00019305601402403436
166,EIF3E,-0.45995935797691345,1.0616010787422227e-36
167,GALM,-0.4591083824634552,0.010663086268598352
168,GSTK1,-0.4551921784877777,0.00013680177927987442
169,ID1,-0.45357105135917664,1.9571209401964674e-49
170,CLIC3,-0.4515225291252136,2.5562403117327174e-06
171,ANKH,-0.4499020278453827,1.715694301913215e-07
172,PNPLA2,-0.4493522047996521,0.0003115293953605793
173,YPEL5,-0.4469521641731262,0.0002683698214909093
174,RPL13A,-0.4431721270084381,2.0242982000948995e-102
175,IGFBP6,-0.44275739789009094,1.2334976490664382e-14
176,KRT19,-0.43971478939056396,2.84549574808041e-34
177,TGIF1,-0.43375492095947266,9.232487818016576e-06
178,NAP1L1,-0.42680516839027405,2.727734990783076e-51
179,EEF2,-0.42650914192199707,4.605165050407939e-42
180,KLF5,-0.4258573055267334,2.71340337990504e-08
181,RPS27,-0.4237784147262573,1.0212868560774207e-96
182,MEIS2,-0.4236763119697571,0.048780468800398526
183,CYR61,-0.42275744676589966,0.011572177909756837
184,ITM2B,-0.41973015666007996,8.919196922628218e-25
185,SMARCA1,-0.41806867718696594,0.0428982141027524
186,YIPF3,-0.4150736331939697,3.192086107548958e-11
187,PIAS1,-0.4143371880054474,0.00010616894517890917
188,EIF4A2,-0.41285568475723267,2.378855841316262e-26
189,OPTN,-0.41252827644348145,2.484094999568149e-09
190,DDX6,-0.4098791182041168,5.439706003960025e-10
191,RPL10,-0.4094812870025635,2.4215585728922312e-54
192,RPL34,-0.40816640853881836,3.257154224131671e-75
193,TIMP3,-0.4036116302013397,7.31923530548515e-10
194,ARID4B,-0.40329843759536743,9.081457883935776e-08
195,PAPSS1,-0.40225133299827576,0.014586790824400845
196,CUX1,-0.4002552330493927,0.0008004470256676951
197,CLDN4,-0.3992577791213989,0.0013225736871895594
198,AAMDC,-0.3982183635234833,0.0022224028223733912
199,ZSCAN31,-0.39811116456985474,0.018515228864301195
200,CCNI,-0.3946640193462372,1.5814051944295967e-21
201,TSTD1,-0.39074617624282837,7.12444707750528e-15
202,ODF2L,-0.3901699185371399,0.0064318130098424825
