,genes,logfoldchange,pvals
0,LINC00958,4.994050025939941,1.971710387842976e-18
1,CCBE1,2.9969308376312256,0.025827889893344596
2,SRGN,2.7835769653320312,8.668224332706201e-09
3,LY6D,2.572709083557129,9.02347385955574e-54
4,FHL1,2.5146255493164062,1.1299921599860238e-46
5,CYP1B1,2.213430881500244,2.7444000698666564e-12
6,ADTRP,2.1443564891815186,0.042907637779510524
7,FRMD3,2.0406155586242676,6.54874402928556e-06
8,F8A3,2.0341427326202393,3.766097347883689e-16
9,PDZK1,1.9077836275100708,0.02477540849171879
10,PCED1B,1.9021861553192139,9.309348207073577e-14
11,RP11-66N11.8,1.8338693380355835,0.006589754167215425
12,SLC25A14,1.7861849069595337,4.298865327411818e-06
13,LRRC26,1.756962537765503,0.0009889340264704635
14,HLA-G,1.6638298034667969,2.134347675621956e-30
15,BRIP1,1.6574691534042358,0.015249064462252052
16,GPR153,1.6445335149765015,0.04177527519373708
17,SMIM10,1.6245390176773071,0.039974182921603374
18,ZNF275,1.5937485694885254,0.02460497281512131
19,PLEKHA7,1.5849220752716064,0.006669068022369514
20,F8A1,1.5597223043441772,5.8651885613626644e-06
21,IL32,1.540712594985962,0.003690239472709977
22,CCNE2,1.5224084854125977,0.0011992822121531755
23,RGCC,1.5192638635635376,0.00042823115952973485
24,ABCG2,1.5186864137649536,0.0031135002962753193
25,PTGS1,1.5160588026046753,0.0008768070235920339
26,HS6ST2,1.509444236755371,0.003427038379821301
27,HLA-DPB1,1.5071978569030762,0.006073916103003377
28,MAGEA6,1.4892953634262085,5.225135442494361e-24
29,EEF1A2,1.479140043258667,0.007541242838819389
30,FANCD2,1.4584851264953613,7.386627482123844e-14
31,TBC1D8,1.4404640197753906,0.0011694331889748114
32,HPRT1,1.4374090433120728,1.5765166139019682e-58
33,SPANXD,1.4314438104629517,1.742789610680718e-46
34,SLC6A8,1.4210889339447021,0.0026903664554444946
35,ZNF768,1.396559476852417,0.02123937950461722
36,HAUS7,1.3751126527786255,2.421509175456427e-07
37,CDC45,1.3500131368637085,4.1212787620327554e-22
38,HPS3,1.3334916830062866,0.02299669939452899
39,KLK5,1.3253843784332275,3.7545224671896767e-34
40,MPP1,1.3198152780532837,1.0526204917668788e-07
41,UTP14A,1.3051998615264893,1.1731415274634013e-15
42,IDH2,1.2797777652740479,0.0002413083703176696
43,NUDT8,1.2762508392333984,3.159946512457346e-07
44,GALR2,1.2704206705093384,0.04113876570693783
45,FAM122B,1.2664204835891724,2.341237580744979e-09
46,KLF2,1.259195327758789,0.0019588048699659536
47,E2F7,1.2532293796539307,0.014736472360258417
48,THOC2,1.2440075874328613,1.0914099695056036e-35
49,CCNE1,1.2438539266586304,1.3811155292596738e-09
50,MTMR1,1.2411818504333496,0.021014371659831912
51,DUSP9,1.2396845817565918,2.335024569117837e-09
52,ETV5,1.2329596281051636,0.02302652988748668
53,SLC29A1,1.229673981666565,4.4971805076672625e-06
54,DHFR,1.2281789779663086,3.2857862340962945e-31
55,STAG2,1.2201584577560425,6.464799334623148e-30
56,RRM2,1.219929575920105,3.1965362146472825e-31
57,NAA10,1.2128628492355347,5.485164878622025e-63
58,CTAG2,1.207248568534851,1.3387994161828472e-58
59,LDOC1,1.207153558731079,1.6351377666422777e-35
60,IRAK1,1.2060303688049316,2.1708234972513665e-11
61,ATP11C,1.1999527215957642,5.789450207589085e-05
62,FAM50A,1.1902223825454712,9.383495530052459e-46
63,SLC10A3,1.188518762588501,1.4926287640156246e-18
64,TP73,1.179752230644226,0.04869633801781451
65,RBMX2,1.171678066253662,1.83762102820326e-23
66,SSR4,1.1707853078842163,1.7460686309603019e-91
67,FAM127C,1.170116901397705,0.0021951034416819123
68,ASRGL1,1.1700339317321777,0.004143455644545974
69,MAGEA12,1.1670734882354736,5.379862583306545e-20
70,FKBP5,1.1640106439590454,0.007815529741821974
71,DSCC1,1.1612470149993896,2.773552652311913e-21
72,MAGEA3,1.156197190284729,1.2832556327484295e-18
73,TMEM121,1.153004765510559,0.002404427880167441
74,KCNN4,1.1495610475540161,0.00837270981374603
75,AREG,1.1481572389602661,2.6750394160028984e-21
76,EMD,1.1426305770874023,8.034893940258263e-30
77,FAM58A,1.1399866342544556,1.1846621156619648e-23
78,SLFN13,1.1337933540344238,0.00431099646689365
79,FANCA,1.1301394701004028,0.002154137199846177
80,CDK1,1.1207720041275024,7.920146370816309e-26
81,GDI1,1.1202255487442017,3.3425650038296845e-17
82,HTATSF1,1.1187702417373657,6.812262254123586e-33
83,TMEM187,1.118666648864746,0.01935191901151767
84,P2RX5,1.1183435916900635,0.005541782457307338
85,MECP2,1.1021808385849,1.5006716907920885e-09
86,ORC1,1.099945068359375,0.016451812156306683
87,PHF6,1.0998258590698242,2.545258067367166e-13
88,RECQL4,1.0964999198913574,0.0014456699895336281
89,SMPD1,1.0956580638885498,2.699706425173969e-09
90,RIBC2,1.0955744981765747,0.0002473412091935748
91,E2F8,1.0926628112792969,1.646035325622766e-07
92,ACOT4,1.0914169549942017,0.0005856901694514261
93,LAGE3,1.0875765085220337,1.0893872743516858e-49
94,MTFR2,1.082101821899414,2.0452370198357827e-08
95,MAOA,1.0770374536514282,4.980900750618894e-05
96,FAM111B,1.0742297172546387,4.914981268336751e-12
97,SAAL1,1.0727580785751343,2.2149922478781523e-27
98,FAM127B,1.0726263523101807,6.641491766457629e-28
99,ENOX2,1.0718865394592285,0.0007195938990545051
100,OXNAD1,1.071587324142456,0.0017922562356376041
101,AIFM1,1.0671985149383545,4.043576382523093e-16
102,CLDN3,1.0664196014404297,0.0475748420789439
103,VARS2,1.0644844770431519,0.010892000561468634
104,SLITRK6,1.0632888078689575,0.0033214562394692994
105,E2F1,1.0565850734710693,1.5216975280804717e-05
106,SERGEF,1.056509256362915,3.9576749991119317e-16
107,HIST1H4C,1.0564517974853516,3.1187104397532443e-21
108,CENPI,1.055979609489441,0.04954477282403602
109,POLA1,1.054388165473938,0.029376683068018328
110,FAM3A,1.0538921356201172,5.889001263613042e-14
111,COL6A2,1.0531002283096313,0.00043245081607809217
112,ASF1B,1.0500162839889526,3.63722958047075e-12
113,ABHD11,1.0483101606369019,1.1061700754028355e-07
114,MND1,1.0479011535644531,2.889373858120638e-05
115,CD74,1.0460203886032104,2.0537122947775723e-05
116,GINS2,1.0454908609390259,1.3035798679128688e-20
117,KHK,1.0415343046188354,4.44749379900463e-10
118,POLE2,1.0336536169052124,0.0005628157332545024
119,LAYN,1.030302882194519,6.944980599214391e-07
120,IDH3G,1.029502511024475,4.559605346824289e-34
121,WNT7A,1.0293155908584595,3.7018887169877186e-11
122,RAD51,1.0280332565307617,4.7812720726618256e-11
123,CTHRC1,1.023195743560791,0.011601386690598268
124,MAP7D3,1.0186280012130737,4.746716539322786e-16
125,RAD51AP1,1.0152537822723389,9.459707039673027e-16
126,PCNA,1.014389157295227,2.9958980125374267e-25
127,VBP1,1.0139033794403076,3.799708354752515e-37
128,CLSPN,1.0138062238693237,2.517301252502444e-16
129,DCBLD2,1.0113801956176758,7.505890239012758e-14
130,MOSPD1,1.0078158378601074,0.00024555231722697625
131,BCAP31,1.005996823310852,1.4354465947045595e-77
132,SKA1,1.005938172340393,0.004644815847180539
133,XIAP,1.005142331123352,1.9139606494993773e-07
134,EXO1,1.0044875144958496,6.025198775255021e-05
135,PRIM1,1.0035229921340942,6.588607899959822e-11
136,S100A14,1.001110315322876,3.2069083420172836e-07
137,CCDC74B,0.9979329109191895,0.03258986528747091
138,HPCAL1,0.9969382882118225,1.6695325832461291e-06
139,DTL,0.996063232421875,8.089307932358051e-05
140,CSAG1,0.9956021308898926,6.889496999380337e-34
141,B3GALT4,0.9951658844947815,0.004777759175062001
142,DKC1,0.9932361245155334,1.0305152551663552e-29
143,TEX40,0.9851971864700317,0.0025504889785058693
144,ATP6AP1,0.9843428730964661,3.9608706592975236e-20
145,GPC3,0.9787713885307312,0.03275130934227733
146,CHCHD4,0.978550910949707,6.282125643641291e-07
147,CENPP,0.9749634861946106,0.0003485196038133299
148,SNCG,0.9730642437934875,1.73204087738765e-24
149,ACADS,0.9660376310348511,0.00900747639735767
150,FEN1,0.9652402400970459,4.703780817969745e-20
151,NSDHL,0.9644913673400879,5.0189767567690514e-12
152,TUBB2B,0.9551501870155334,2.9930539937020883e-06
153,AURKB,0.9459736347198486,2.3807254978766633e-20
154,RNASEH2A,0.9446430802345276,1.8148270641968575e-23
155,RAD18,0.941920280456543,7.1464959768387014e-06
156,TUBB4B,0.9409085512161255,8.00579160128846e-31
157,KB-1732A1.1,0.9390146732330322,0.03276647977381046
158,TMEM185A,0.9343443512916565,0.019857821134540987
159,MRPS25,0.9291296005249023,2.5498614046512787e-19
160,PRRT3-AS1,0.927309513092041,2.3750878564348505e-08
161,FAM127A,0.9265949130058289,1.3241115074035552e-13
162,NEURL1,0.9227768778800964,8.289516860324146e-11
163,TSEN2,0.9227104783058167,0.0059547126859557185
164,IL1B,0.9216938018798828,9.122214013091416e-05
165,HIST1H1A,0.9215776920318604,4.792348047038025e-13
166,MCM7,0.9186756014823914,7.631571985615762e-21
167,OGG1,0.9185217022895813,1.5929075252460438e-05
168,COQ2,0.9089464545249939,4.188547215308727e-05
169,LINC00467,0.9075013399124146,4.1199627764680586e-06
170,UBE2C,0.9037036299705505,9.204331172766671e-17
171,DUT,0.9034955501556396,1.2335983428521307e-22
172,ATP6V0E2,0.8995088934898376,0.04509085590063433
173,TCIRG1,0.8954893946647644,6.266275873881628e-06
174,HMGB3,0.8941059708595276,1.2411485144904356e-26
175,GLRX2,0.8917542695999146,4.0368193573635546e-17
176,SERPINE2,0.8806095123291016,5.061720820610721e-13
177,NUF2,0.8794795870780945,1.580447875409819e-14
178,PHLDA1,0.8766666054725647,3.473285478347319e-21
