,genes,logfoldchange,pvals
0,VPS9D1-AS1,3.458958148956299,1.5716887908617475e-08
1,ETV4,3.2616090774536133,8.531545790490511e-08
2,PGF,3.184027671813965,0.01941736661499733
3,CCDC86,3.083789110183716,5.0663812228800425e-21
4,CCNA1,2.931417465209961,5.596883296291509e-17
5,GAL,2.8037731647491455,1.7982804770040702e-177
6,LINC00941,2.756282329559326,7.657498223853766e-06
7,FOSL1,2.7440907955169678,7.101357521337454e-84
8,RRS1,2.7050135135650635,6.182410868950158e-39
9,AEN,2.6157045364379883,2.6629376965273923e-05
10,MMP1,2.5884416103363037,4.962130973461068e-44
11,PTGS1,2.51025128364563,1.5867242266049723e-10
12,PNO1,2.4604008197784424,6.797227081136481e-80
13,POLR3G,2.4436559677124023,1.2486194418191424e-12
14,URB2,2.3867545127868652,0.0008312993033979033
15,SLCO4A1,2.2664504051208496,4.51719746361e-05
16,BOP1,2.183732748031616,6.573941500058808e-93
17,WDR77,2.1623597145080566,2.2103864168694454e-48
18,LYAR,2.151167869567871,7.987802124588972e-51
19,SLC27A4,2.1319363117218018,6.649552712339393e-08
20,FKBP4,2.1241843700408936,3.509624189850396e-143
21,SCLY,2.1150739192962646,0.0029176487195793008
22,WIPF3,2.1104419231414795,0.024399724329003846
23,LINC00958,2.104106903076172,2.314024609990046e-06
24,AC003075.4,2.101571798324585,0.04704469470796161
25,NOP16,2.0986058712005615,7.914589626798022e-69
26,IL7R,2.0932443141937256,5.907190044670829e-07
27,NME1,2.087897300720215,8.723133097311794e-197
28,HYPK,2.0870790481567383,0.0041731229625856375
29,EEF2KMT,2.0457143783569336,1.1518333068536607e-12
30,PAQR5,2.0433928966522217,0.006326762389752525
31,ERN1,2.041337013244629,0.0033806596879613683
32,CLEC2L,2.0408835411071777,5.56486711160035e-18
33,BAIAP2L2,2.035419225692749,7.89532919073389e-09
34,WDR43,2.032592535018921,2.2978199192404814e-139
35,DDX21,2.0087356567382812,1.4205650907056066e-151
36,HAS2,2.0018115043640137,0.0018652787620852416
37,MFSD2A,1.9922583103179932,0.04519988004818995
38,NDUFAF4,1.9791823625564575,7.353176449099966e-35
39,SPANXC,1.9761275053024292,6.476693993976746e-06
40,CD3EAP,1.97244393825531,7.645938074217855e-78
41,ADAT2,1.9722810983657837,0.02306012923331853
42,FAM86C1,1.9694868326187134,0.00095056663061323
43,LY6D,1.965368628501892,8.945376380235152e-63
44,LTV1,1.9460675716400146,9.548552104506243e-41
45,COA7,1.9427334070205688,2.340931349748753e-13
46,HIST1H2BJ,1.9398105144500732,5.296072087923058e-07
47,ZMYND19,1.9379677772521973,3.897521010504436e-17
48,HSPH1,1.9362398386001587,6.479745098206896e-141
49,CYCS,1.912960410118103,8.483758489404926e-200
50,SRM,1.8856263160705566,1.0020400765302042e-129
51,PRRT3-AS1,1.8844248056411743,1.0638806806042255e-22
52,TMEM171,1.8806471824645996,0.0481796706318008
53,IFRD2,1.8688794374465942,1.2842846783710533e-37
54,HSPA8,1.8644459247589111,1.2367643407687256e-189
55,RRP9,1.8549331426620483,7.575101659957356e-18
56,CTC-524C5.2,1.8534154891967773,1.0814127080293215e-20
57,FJX1,1.846158742904663,2.0628058843264707e-61
58,RPP40,1.844156265258789,1.4592494242975262e-49
59,S100A14,1.829667091369629,1.7129379215430763e-25
60,GRWD1,1.829218864440918,3.165940355577372e-37
61,ECE2,1.8277655839920044,4.5251514938988027e-23
62,DGKG,1.8269730806350708,0.002910024640653701
63,SLC25A10,1.8037433624267578,8.063659946437773e-12
64,ETV5,1.8033908605575562,0.0001139193692407752
65,PTGES2,1.8015539646148682,1.9375732257979884e-70
66,PDCD2L,1.7961429357528687,1.216628725469718e-17
67,P2RX5,1.789203405380249,5.01436757220824e-08
68,RP11-132A1.4,1.7741361856460571,0.008496640444582886
69,ADAMTS1,1.7724536657333374,0.006034474455061067
70,SOHLH2,1.7652521133422852,5.726049626674333e-13
71,MRTO4,1.7627427577972412,2.70335950058802e-71
72,HSPE1,1.7568358182907104,4.429090801960457e-241
73,STAMBPL1,1.7549570798873901,0.0024702702727203364
74,GRPEL1,1.753103256225586,7.147871202215096e-43
75,GPAT3,1.7480305433273315,0.03461129427766678
76,TIGAR,1.7404247522354126,3.3922459493328064e-08
77,PNPT1,1.7393394708633423,3.9910810882307125e-21
78,TRMT61A,1.735192060470581,2.1107773644206346e-13
79,ATG16L1,1.7343345880508423,0.017581134042386558
80,PGAM5,1.7329143285751343,1.3404377978902726e-22
81,SNHG15,1.7301673889160156,4.388262565202345e-31
82,HGH1,1.7291030883789062,4.2733993840219514e-13
83,HSPD1,1.7271655797958374,1.703950770710607e-230
84,RP11-563N4.1,1.7268307209014893,0.03009694775177901
85,WDR3,1.7189236879348755,2.5866136467547976e-18
86,RABEPK,1.7059011459350586,4.2689428560210974e-38
87,METTL8,1.702405571937561,2.9239999159889324e-09
88,VARS,1.6926932334899902,4.2471159262453487e-29
89,COTL1,1.6875615119934082,3.6042837518412944e-146
90,PAK1IP1,1.686527967453003,1.8243121385481765e-77
91,EBNA1BP2,1.6859986782073975,7.278484273444835e-133
92,PPAT,1.6833703517913818,3.457306647537112e-26
93,ATAD3B,1.6782779693603516,5.949098984156149e-10
94,C20orf27,1.6708709001541138,4.0817338137165576e-81
95,CDC20,1.6698871850967407,3.1818610600447005e-67
96,SLC25A19,1.6596508026123047,7.352546521573332e-09
97,HS3ST1,1.6550649404525757,0.00027517895691596297
98,SLC25A33,1.6547300815582275,4.554335500166412e-17
99,EIF3B,1.651315450668335,7.020090533136152e-82
100,HIST1H3H,1.6459323167800903,0.0005413390060854085
101,UBE2F,1.6448472738265991,4.29816474698986e-34
102,RPF2,1.6440857648849487,1.839173233122287e-53
103,GPATCH4,1.6424221992492676,1.5890525946791997e-46
104,SLC9A3R2,1.6410059928894043,2.3137878992480662e-39
105,PPRC1,1.6387053728103638,5.748574014442555e-13
106,PRSS3,1.6359834671020508,9.948497995999087e-73
107,C17orf51,1.6328837871551514,0.047852351007560155
108,KRT14,1.6312971115112305,1.3802358192025488e-49
109,NLE1,1.6263532638549805,3.0009027115044243e-07
110,TOMM40,1.6259264945983887,5.109017425398304e-76
111,AIMP2,1.6215219497680664,5.269186744717475e-84
112,ZBTB2,1.6203364133834839,0.0004546736059454194
113,MAK16,1.6129518747329712,7.487295234120709e-18
114,SLC19A1,1.6073448657989502,1.5131746726764386e-07
115,HSP90AA1,1.606909155845642,9.52780726023211e-201
116,C1QBP,1.6017297506332397,2.867201918547262e-184
117,OXTR,1.6000555753707886,0.024852388631286904
118,ZNF296,1.5977181196212769,2.163802261829869e-05
119,PPIF,1.5935274362564087,8.141041500258808e-54
120,DCTPP1,1.5895057916641235,3.9644918602440124e-67
121,SLC6A8,1.5891189575195312,4.55894616075482e-05
122,TEX40,1.5890077352523804,9.201444848866801e-08
123,ZNF530,1.5820320844650269,0.03638507656406719
124,G0S2,1.5771703720092773,7.282213228309558e-24
125,MT1A,1.5748709440231323,0.01933186880315669
126,CHAC2,1.5730249881744385,7.49796106990239e-26
127,WDR4,1.5681041479110718,6.048091535343872e-31
128,USP36,1.565219521522522,3.233410891883673e-06
129,GPR153,1.5529640913009644,0.002175565824887702
130,NOP58,1.5479549169540405,2.8242109314418834e-72
131,FAM216A,1.5462007522583008,5.135351996942817e-06
132,PSMD14,1.5437357425689697,8.347882666041187e-96
133,TROAP,1.5431442260742188,4.142990917438503e-72
134,LDHA,1.5370631217956543,1.116955576632095e-230
135,SNHG21,1.5366438627243042,0.00021087074268458383
136,NPM3,1.5363438129425049,5.390612671694067e-94
137,C10orf2,1.534177303314209,0.007915611196005895
138,IRAK1,1.5302929878234863,2.8403296450945338e-15
139,PFAS,1.5284732580184937,0.029766772326819017
