,signature,KM_pval,KM_HZ_0.95_lower,KM_HZ,KM_HZ_0.95_upper,n_low,n_high,Cox_HZ_activation_Z,Cox_HZ_ChemotherapyYES,Cox_HZ_SubtypeBasal,Cox_HZ_SubtypeHer2,Cox_HZ_SubtypeLumA,Cox_HZ_SubtypeLumB,Cox_HZ_Subtypeclaudin-low,Cox_HZ_SubtypeNC,Cox_HZ_Cellularitymoderate,Cox_HZ_Cellularityhigh,Cox_pval_activation_Z,Cox_pval_ChemotherapyYES,Cox_pval_SubtypeBasal,Cox_pval_SubtypeHer2,Cox_pval_SubtypeLumA,Cox_pval_SubtypeLumB,Cox_pval_Subtypeclaudin-low,Cox_pval_SubtypeNC,Cox_pval_Cellularitymoderate,Cox_pval_Cellularityhigh,MDA
20,HCC_8_vs_p-L_FC_0,1.1899210516879698e-22,2.23438913293983,2.76253586000152,3.41552161406785,773,1207,1.1739389567322098,2.03969935195315,1.09920818743295,1.50865795301732,0.589844102992353,1.2619847165516598,0.736855666229022,1.53118969618206,1.06836376868305,0.9257048834205299,0.00787250066100747,1.0622209646521499e-11,0.697855495840472,0.0567919533910091,0.0099399198379443,0.267140291628174,0.201907129642809,0.5597165017193461,0.688034866555372,0.639471130896228,0
30,HCC_6_vs_p-L_UP_FC_1,2.5886970258912696e-25,2.07458536654889,2.4757798113511202,2.95455938961448,1138,842,1.25096800639902,1.9642805832593402,1.01489591664482,1.5198417644881002,0.627117046615717,1.3082768770173898,0.6942034366440051,1.5479472957836202,1.06135371119468,0.916606478139185,0.000581991933758911,2.07155471654697e-10,0.951122561603875,0.0482810001399142,0.0229573793288244,0.184858373227037,0.12744823979344902,0.5495176933108661,0.7172949269338149,0.595700819746164,0
33,HCC_0_vs_p-L_FC_1,1.36841024926472e-13,1.9146025328992502,2.44581327874091,3.12440963159435,539,1441,1.09940270515178,2.11762484603623,1.24943869504071,1.6040800867048899,0.586190895497661,1.3619506087958,0.8291814153883101,1.60954360396559,1.09078476670013,0.954941317192999,0.0839953502209133,4.26900686425046e-13,0.350389361964005,0.0275610889555963,0.009116568935047321,0.13550357784057698,0.417354038582135,0.514398192037722,0.5967715178897559,0.778969712224976,0
34,HCC_5_vs_p-L_UP_FC_1,6.328123759018051e-25,2.04885083480162,2.44149462335687,2.90938505362575,1164,816,1.2405623671681298,2.00823320561098,0.979302678521482,1.47879590860933,0.6253104503765811,1.36710133500786,0.728897969354796,1.56409537030066,1.0647749899571401,0.920361831694905,0.000605336328238139,3.31594095555406e-11,0.932628487633246,0.0669005720171949,0.0220284365882451,0.118384112416929,0.17881376998485998,0.539994426615302,0.702517621522802,0.612773022065255,0
36,HCC_8_vs_p-H_UP_FC_1,4.83621535154974e-25,2.04251037465857,2.4306143862195397,2.8924632980064904,1418,562,1.28071123359543,1.9420444030725401,1.1332684861847,1.5838800996693,0.6588621942711371,1.49107922855007,0.7272534686207051,1.6499985969564799,1.05580433054854,0.9351579260244641,2.1251227372389302e-05,3.42117593295347e-10,0.572990769130581,0.0274959169949214,0.0426334548161557,0.0435510375235622,0.169236952618523,0.492537970859863,0.740848216983518,0.680272681725322,0
39,HCC_1_vs_p-L_UP_FC_1,2.12184600899061e-22,1.9729956468099998,2.35722874668596,2.81628972328784,1088,892,1.18030872847525,2.04223689209384,1.08822004056189,1.5290268191541,0.609857208873043,1.3486689383997899,0.7826029846690601,1.59834894445481,1.06995799400319,0.928005117247413,0.0061734458676611205,9.057830497518211e-12,0.72836858650327,0.0468945703954532,0.0157347486558702,0.139416278886176,0.290869021733445,0.520502637718191,0.680916390226918,0.6495066900140389,0
40,HCC_8_vs_p-L_FC_1,7.500382844745629e-22,1.9633078250120801,2.34958951645842,2.81187230322242,1060,920,1.2310111938237,2.00786796856791,1.01727548908491,1.5039153208707698,0.6176591234445351,1.28453958036739,0.6954240797276171,1.56275063043965,1.05979173530057,0.9135496980310079,0.000901343289804275,3.2366226065048804e-11,0.943916673319903,0.0556193388703986,0.0187750719903953,0.22075925669240698,0.130305887582781,0.540822861334594,0.724390901964587,0.582810924110004,0
41,HCC_2_vs_p-L_UP_FC_1,6.67930767672066e-23,1.96367593373634,2.33669625363392,2.78057559699152,1203,777,1.1760967427756999,2.0261249077679597,1.11856131195871,1.5743799665781901,0.620531631683107,1.36249605981327,0.7625584625474859,1.63060970035527,1.0738685690162,0.93413903440888,0.0099353390125144,2.01178356118942e-11,0.643003750129733,0.032291254284341,0.020064413393126,0.126027524307703,0.249933357683375,0.502818040939056,0.6647289530577789,0.6783617953455369,0
42,HCC_2_vs_p-L_FC_1,2.3446315630422297e-18,1.9197459537631398,2.33528714763042,2.84077486981942,831,1149,1.13194554302947,2.0857275745128,1.17647944493608,1.5644596101793302,0.5947584943854239,1.32209629816119,0.7844473819693359,1.5794872218971399,1.07830661476812,0.9381546118748921,0.0405530004594211,1.6164143108625399e-12,0.506089193903659,0.0378120808044468,0.0111155828228568,0.180818002032251,0.304142625275459,0.5312938127382391,0.646940559858002,0.6989145483094129,0
43,HCC_6_vs_p-L_FC_1,1.7687602549001e-18,1.91977780431135,2.33316171206922,2.83555917900535,847,1133,1.17806718915653,2.06091217216885,1.08520287239968,1.5309978978183099,0.5938732473886661,1.28216314299911,0.7215245882886671,1.49772205740257,1.07545159546122,0.930406109484037,0.00878144489738857,4.33438462268958e-12,0.740310527579677,0.0469911863573758,0.0109191016560189,0.23216750977325398,0.17796488688953102,0.5804804330567571,0.658188099455188,0.6608779962965841,0
