,signature,KM_pval,KM_HZ_0.95_lower,KM_HZ,KM_HZ_0.95_upper,n_low,n_high,Cox_HZ_activation_Z,Cox_HZ_ChemotherapyYES,Cox_HZ_SubtypeBasal,Cox_HZ_SubtypeHer2,Cox_HZ_SubtypeLumA,Cox_HZ_SubtypeLumB,Cox_HZ_Subtypeclaudin-low,Cox_HZ_SubtypeNC,Cox_HZ_Cellularitymoderate,Cox_HZ_Cellularityhigh,Cox_pval_activation_Z,Cox_pval_ChemotherapyYES,Cox_pval_SubtypeBasal,Cox_pval_SubtypeHer2,Cox_pval_SubtypeLumA,Cox_pval_SubtypeLumB,Cox_pval_Subtypeclaudin-low,Cox_pval_SubtypeNC,Cox_pval_Cellularitymoderate,Cox_pval_Cellularityhigh,MDA
299,HCC_5_vs_p-H_DOWN_FC_2,0.000756444583298186,0.608759224344024,0.731041334393826,0.877886381382028,1196,784,0.923001356477149,2.10160585980706,1.5191446908088602,1.77778848162953,0.5976815933250289,1.53990775193123,0.9441351571473872,1.71399177766384,1.0980998582738,0.990507807092496,0.0744045954117131,7.85685461772404e-13,0.0476177708106224,0.00536582582724565,0.0118286092620917,0.0292372302721562,0.799530555570836,0.46033788899813205,0.5676942313986221,0.953046059229971,0
304,HCC_6_vs_p-H_DOWN_FC_1,0.00010794844777319399,0.575110483446788,0.6930958915973571,0.835286312414407,494,1486,0.9240793938272691,2.09337794817341,1.54795245487604,1.7911378354853302,0.601789580094289,1.5304559838003502,0.931650229990321,1.72697498086,1.1032711427138602,0.9865178129443071,0.0742345589830632,1.1903572964511898e-12,0.0389304930565375,0.00482448186495919,0.0129749345618466,0.031522155438942996,0.7538088205731089,0.454148073370226,0.5477575815173751,0.933223045840639,0
312,HCC_3_vs_p-H_DOWN_FC_0,8.603290067247259e-05,0.551874830591085,0.673235384895581,0.821283846175867,392,1588,0.95987407715297,2.093146197397,1.4872799904713798,1.77766269394012,0.596401230886721,1.48737524153057,0.9011088591885258,1.68473782137953,1.1148023108421001,0.9994203587129709,0.36123817035334205,2.6861459726357998e-12,0.0608770281808859,0.0054754382940695,0.0115288682032782,0.0456378179378987,0.643775204238671,0.474715273857103,0.5066110715714199,0.9971458205866559,0
319,HCC_8_vs_p-H_FC_0,6.69702681954463e-06,0.5227568376015029,0.637135239538397,0.776539462064576,396,1584,0.9567385384833291,2.11551126318607,1.4502875632229701,1.7145691500602702,0.586205016574318,1.4603886742579197,0.9074810199452429,1.6789580422569599,1.1110225701946799,0.989258504521792,0.346431254949275,5.5365222681252e-13,0.0840791715878167,0.0100210888621441,0.00927962248436098,0.0597678914643254,0.666492805336032,0.47760895554589705,0.520074805179393,0.9469791701425091,0
323,HCC_8_vs_p-H_DOWN_FC_1,2.62988091192424e-07,0.5292221739746671,0.6314295856729479,0.753376070145912,1029,951,0.99927569168614,2.1350381342144797,1.50515317436237,1.76471765310949,0.5957979061560611,1.50933133628803,0.9023789650380071,1.67295065435154,1.1153287519413302,0.998690968821591,0.9877368532516759,2.70637739543718e-13,0.059578295349044005,0.00713840879728555,0.0115430488259522,0.0409724550585556,0.6483807793236851,0.48090029082914004,0.5047078806695139,0.993552630499858,0
331,HCC_3_vs_p-H_DOWN_FC_1,8.2826419545577e-06,0.439250604337329,0.566041251305385,0.729430295634398,180,1800,0.941476105518496,2.09523018391069,1.51732928541778,1.8016274084089898,0.6170499051953879,1.6006530229865,0.9307595758754019,1.68921023342453,1.12498535171926,1.01567675818227,0.193986838484062,1.53831865570357e-12,0.0484660696030449,0.00454072088608227,0.019269966908181,0.0203828236458392,0.751226970606104,0.47248374679884797,0.47178579984505,0.9237151486525791,0
335,HCC_3_vs_p-L_DOWN_FC_2,1.6072091996501902e-07,0.44644481510663303,0.557307281454294,0.695699435747263,254,1726,0.926267989956912,2.0680782347280497,1.55222116739218,1.7710667055804699,0.621881904660704,1.6315544410141798,0.9453478167112671,1.75433544237598,1.12868409583194,1.0206929286685,0.0961262479665183,5.812302999312259e-12,0.0379263499768628,0.005707533924380371,0.0211482606045458,0.0159047248413864,0.8042660886192271,0.44143869414173903,0.459392697464585,0.8996217747578199,0
337,HCC_8_vs_p-H_DOWN_FC_0,1.01492717827899e-12,0.4311088751576839,0.518205916124039,0.622899195493791,460,1520,0.9148026764475781,2.05582246431328,1.33901588939089,1.6789095204300202,0.5870867017806299,1.3848452182126298,0.875324066938463,1.6717525301441598,1.09915474185321,0.969889094354495,0.0816564569827432,8.800890962879401e-12,0.188903776591438,0.0132949315658386,0.00929471141254424,0.110705261582223,0.555680158876414,0.481267883308822,0.564135673645249,0.851257107855657,0
338,HCC_p-H_vs_p-L_DOWN_FC_2,5.5119496514300606e-17,0.407462846631123,0.484555058714483,0.5762331630161001,791,1189,0.8472748440232859,2.00636323939246,1.36507830180977,1.63256530820479,0.6390841708600989,1.60706130438828,0.933266883423359,1.86362794618673,1.1161514025169599,0.99671359846173,0.000299113538190633,4.1899109923877e-11,0.144441478758736,0.0184393117048183,0.0291411268337039,0.0167440004623161,0.7593031467666741,0.39398524721470096,0.501120645396161,0.983740279981467,0
339,HCC_p-H_vs_p-L_FC_2,5.5119496514300606e-17,0.407462846631123,0.484555058714483,0.5762331630161001,791,1189,0.8472748440232859,2.00636323939246,1.36507830180977,1.63256530820479,0.6390841708600989,1.60706130438828,0.933266883423359,1.86362794618673,1.1161514025169599,0.99671359846173,0.000299113538190633,4.1899109923877e-11,0.144441478758736,0.0184393117048183,0.0291411268337039,0.0167440004623161,0.7593031467666741,0.39398524721470096,0.501120645396161,0.983740279981467,0
