key,term,es,overlap,ledge,signature_genes,perc,KM_HZ
8_vs_p-L_DOWN,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),0.5964053808767905,,RPS15A;RPL36;RPS21;RPS8;RPS20;RPL11;RPL6;RPL18A;RPL5;RPS19;RPS15;RPL10A;RPL7;RPSA;RPL13;RPL3;SRP14;RPL37;RPS27;SEC61B;RPS3A;RPL24;RPS29;RPL38;RPL30;RPS27A;RPS28;RPL14;RPL8,PPP2R2B;DHRS4;NKX2-8;IVL;LINC01419;SEMA5A,0.0,1.8866763697792102
8_vs_p-L_DOWN,viral transcription (GO:0019083),0.5777549335535204,,RPS15A;RPL36;RPS21;RPS8;RPS20;RPL11;RPL6;RPL18A;RPL5;RPS19;RPS15;RPL10A;RPL7;RPSA;RPL13;RPL3;RPL37;RPS27;RPS3A;RPL24;RPS29;RPL38;RPL30;RPS27A;RPS28;RPL14;RPL8,PPP2R2B;DHRS4;NKX2-8;IVL;LINC01419;SEMA5A,0.0,1.8866763697792102
8_vs_p-L_DOWN,viral gene expression (GO:0019080),0.5777549335535204,,RPS15A;RPL36;RPS21;RPS8;RPS20;RPL11;RPL6;RPL18A;RPL5;RPS19;RPS15;RPL10A;RPL7;RPSA;RPL13;RPL3;RPL37;RPS27;RPS3A;RPL24;RPS29;RPL38;RPL30;RPS27A;RPS28;RPL14;RPL8,PPP2R2B;DHRS4;NKX2-8;IVL;LINC01419;SEMA5A,0.0,1.8866763697792102
8_vs_p-L_DOWN,protein targeting to ER (GO:0045047),0.5451151415825385,,RPS15A;RPL36;RPS21;RPS8;RPS20;RPL11;RPL6;RPL18A;RPL5;RPS19;RPS15;RPL10A;RPL7;RPSA;RPL13;RPL3;SRP14;RPL37;RPS27;RPS3A;RPL24;RPS29;RPL38;RPL30;RPS27A;RPS28;RPL14;RPL8,PPP2R2B;DHRS4;NKX2-8;IVL;LINC01419;SEMA5A,0.0,1.8866763697792102
8_vs_p-L_DOWN,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",0.4848111215572847,,RPS15A;RPL36;RPS21;RPS8;RPS20;RPL11;RPL6;RPL18A;RPL5;RPS19;RPS15;RPL10A;RPL7;RPSA;RPL13;RPL3;RPL37;RPS27;RPS3A;RPL24;RPS29;RPL38;RPL30;RPS27A;RPS28;EIF3E;RPL14;RPL8;EIF4A3;RPL15;NCBP2,PPP2R2B;DHRS4;NKX2-8;IVL;LINC01419;SEMA5A,0.0,1.8866763697792102
8_vs_p-L_DOWN,cotranslational protein targeting to membrane (GO:0006613),0.4714670828999947,,RPS15A;RPL36;RPS21;RPS8;RPS20;RPL11;RPL6;RPL18A;RPL5;RPS19;RPS15;RPL10A;RPL7;RPSA;RPL13;RPL3;SRP14;RPL37;RPS27;RPS3A;RPL24;RPS29;RPL38;RPL30;RPS27A;RPS28;RPL14;RPL8,PPP2R2B;DHRS4;NKX2-8;IVL;LINC01419;SEMA5A,0.0,1.8866763697792102
8_vs_p-L_DOWN,ncRNA processing (GO:0034470),0.43784582590651766,,RPS15A;RPL36;RPS21;RPS8;RPS20;RPL11;RPL6;RPL18A;RPL5;RPS19;RPS15;RPL10A;RPL7;RPSA;RPL13;RPL3;RPL37;RPS27;RPS3A;RPL24;RPS29;RPL38;RPL30;RPS27A;RPS28;RPL14;RPL8,PPP2R2B;DHRS4;NKX2-8;IVL;LINC01419;SEMA5A,0.0,1.8866763697792102
8_vs_p-L_DOWN,rRNA metabolic process (GO:0016072),0.43784582590651766,,RPS15A;RPL36;RPS21;RPS8;RPS20;RPL11;RPL6;RPL18A;RPL5;RPS19;RPS15;RPL10A;RPL7;RPSA;RPL13;RPL3;RPL37;RPS27;RPS3A;RPL24;RPS29;RPL38;RPL30;RPS27A;RPS28;RPL14;RPL8,PPP2R2B;DHRS4;NKX2-8;IVL;LINC01419;SEMA5A,0.0,1.8866763697792102
8_vs_p-L_DOWN,ribosome biogenesis (GO:0042254),0.4033343372886571,,RPS15A;RPL36;RPS21;RPS8;RPS20;RPL11;RPL6;RPL18A;RPL5;RPS19;RPS15;RPL10A;RPL7;RPSA;RPL13;RPL3;RPL37;RPS27;RPS3A;RPL24;RPS29;RPL38;RPL30;RPS27A;RPS28;RPL14;RPL8,PPP2R2B;DHRS4;NKX2-8;IVL;LINC01419;SEMA5A,0.0,1.8866763697792102
8_vs_p-L_DOWN,rRNA processing (GO:0006364),0.3933339795427938,,RPS15A;RPL36;RPS21;RPS8;RPS20;RPL11;RPL6;RPL18A;RPL5;RPS19;RPS15;RPL10A;RPL7;RPSA;RPL13;RPL3;RPL37;RPS27;RPS3A;RPL24;RPS29;RPL38;RPL30;RPS27A;RPS28;RPL14;RPL8;NSA2;RSL1D1,PPP2R2B;DHRS4;NKX2-8;IVL;LINC01419;SEMA5A,0.0,1.8866763697792102
