,signature,pval_KM,HZ_KM,n_low,n_high,HZ_strataLow,HZ_ChemotherapyYES,HZ_`Pam50 + Claudin-low subtype`claudin-low,HZ_`Pam50 + Claudin-low subtype`Her2,HZ_`Pam50 + Claudin-low subtype`LumA,HZ_`Pam50 + Claudin-low subtype`LumB,HZ_`Pam50 + Claudin-low subtype`NC,HZ_`Pam50 + Claudin-low subtype`Normal,pval_strataLow,pval_ChemotherapyYES,pval_`Pam50 + Claudin-low subtype`claudin-low,pval_`Pam50 + Claudin-low subtype`Her2,pval_`Pam50 + Claudin-low subtype`LumA,pval_`Pam50 + Claudin-low subtype`LumB,pval_`Pam50 + Claudin-low subtype`NC,pval_`Pam50 + Claudin-low subtype`Normal,MDA
7,HCC_LM-H_vs_p-L_DOWN_FC_1,5.307906629381121e-06,2.13507591842379,265,1715,1.8634914600242498,2.19608299246613,0.6190443638598591,1.23193006474146,0.4514363347987,1.01036328295268,1.0944775019920001,0.8321634513038391,0.000492601389720691,1.32912477178426e-14,0.00870991316878849,0.17133225678495198,6.90931338413971e-07,0.944254200073182,0.90011064647154,0.376503027516794,0
10,HCC_2_vs_p-L_DOWN_FC_1,9.76045008422538e-05,1.92171927726648,242,1738,1.64736736231133,2.16185271938764,0.6135440717800029,1.20436847709991,0.43521029195313105,0.9970310177933921,1.08289737174656,0.7960091356374609,0.0055740549327923895,3.81981963371293e-14,0.007617156675810109,0.22234215848682395,1.87015579908156e-07,0.9839030355379051,0.9118272539501959,0.273128425085504,0
11,HCC_8_vs_p-L_DOWN_FC_2,6.274853826753019e-08,1.8866763697792102,1769,211,1.36653906341429,2.10049285546161,0.6383348474974139,1.32012715137283,0.464125995587445,1.10365458055911,1.2446671697076,0.7551114688960749,0.0145764794867559,3.5187382268571205e-13,0.0165172307123249,0.0764730592743683,4.0137433513486096e-06,0.518356462726685,0.7615595229152359,0.176737551486218,0
12,HCC_LM-H_vs_p-L_DOWN_FC_0,3.1790902718225703e-09,1.8101989365105,718,1262,1.4362185764893702,2.1661679742041002,0.601327034900561,1.2322661123146001,0.477157170857976,1.0424145431540799,1.21302453974666,0.804344405821384,0.000819560094406352,3.5761056150352897e-14,0.0053440391659068795,0.17084194395864002,6.31540067403477e-06,0.7785644139645981,0.7884477495743699,0.29455509049595197,0
14,HCC_0_vs_p-L_DOWN_FC_0,2.55330322657025e-08,1.7618333546234501,676,1304,1.42029144313299,2.175242121134,0.5983106730837919,1.2240093948156998,0.46992461883533,1.0191132554831501,1.20517420001375,0.802386431964753,0.00148615755990953,2.8863894136041e-14,0.00489640347066636,0.184811172573276,3.79741250339766e-06,0.897872871527282,0.795395847295524,0.290465080287923,0
15,HCC_4_vs_p-L_DOWN_FC_0,3.395834347847951e-08,1.7159924893646599,755,1225,1.44582803098055,2.19165136607485,0.594695605614254,1.2284912967498798,0.471548801720758,1.04482464428349,1.1206524037451202,0.798896711186683,0.00039542680524515803,1.6834171458671002e-14,0.004397183029895079,0.17715971722913101,3.90613408594972e-06,0.7666750476842611,0.874161851200963,0.27754043843817106,0
18,HCC_7_vs_p-L_DOWN_FC_0,1.2977089830906802e-05,1.6395060355844,510,1470,1.50629467871597,2.2138605205201496,0.5814706731657261,1.21627365883848,0.44945286073976504,1.0162126879177,1.0654862589390899,0.7818467066647801,0.0005655870842087969,9.489731106740659e-15,0.00296395972409317,0.19910511432585298,6.48720801449519e-07,0.913332354853493,0.9297316415889659,0.23100283136848898,0
22,HCC_6_vs_p-L_DOWN_FC_0,2.9447420108057104e-05,1.5136472507741698,685,1295,1.35909239528945,2.18521342490418,0.5858585553834329,1.2442806376548898,0.45384690397585,1.05299930402448,1.07187657881557,0.769983445338937,0.00303530787528243,2.0513813622453897e-14,0.00339567027284551,0.152427569619099,1.0341038027438298e-06,0.7275396102028391,0.9231257587545151,0.204780159483714,0
23,HCC_p-H_vs_p-L_DOWN_FC_0,9.81331557301663e-05,1.49155820499001,616,1364,1.33644284921661,2.17375972940269,0.589916632016916,1.2065669089513502,0.4368478104757129,1.00079985178793,1.05160576561559,0.7436058447188841,0.00660242314745818,2.8091552456379502e-14,0.0038439087204982705,0.21809382649667602,2.3200881298916802e-07,0.9956764110760029,0.9442371612645909,0.14735738295373702,0
25,HCC_1_vs_p-L_DOWN_FC_0,7.705942386020659e-05,1.4780829442048502,686,1294,1.26272139119776,2.16514805473294,0.5963499374218729,1.23187146650881,0.4442768339599861,1.01555858161052,1.11447775331082,0.7454332295375671,0.0247796402147833,3.76566840674967e-14,0.00468087704657565,0.171721692645821,5.20349795969158e-07,0.9166065716996971,0.8802150693018979,0.154247987339601,0
26,HCC_2_vs_p-L_DOWN_FC_0,1.0551639732692999e-05,1.4737479643236298,1062,918,1.2323198386616998,2.16482848067728,0.586093552938805,1.22436739766035,0.449083173086315,1.0275368187290101,1.18325507665332,0.7416433169766791,0.0247446567412997,4.13875797607452e-14,0.00340777804906009,0.18427919265664802,8.844491564291991e-07,0.85408656127076,0.8151926390496659,0.147084149505557,0
27,HCC_5_vs_p-L_DOWN_FC_0,4.1668396872853e-05,1.47067532455661,794,1186,1.29431021030956,2.1745384991471,0.5998479335025639,1.24203974476905,0.450111585182248,1.0374631857911198,1.11031099870113,0.75133761515129,0.00836373336993548,2.88480356588444e-14,0.005171835120107771,0.15571318803076503,8.18825805970045e-07,0.803441870666516,0.88432446531628,0.16402899653956196,0
32,HCC_8_vs_p-L_DOWN_FC_1,0.00027822286807575603,1.3894086966719401,885,1095,1.16936997573039,2.12660049047193,0.573429466589147,1.23652626957103,0.4407566299121439,1.0402858507544,1.17678660130486,0.711284918945583,0.0999442150631452,1.29357275223e-13,0.00233269968124704,0.164298047014802,4.8520712813002e-07,0.790239253081899,0.8211983897062808,0.0952416347054398,0
58,HCC_LM-H_vs_p-L_UP_FC_2,0.000372670014782229,0.723147217974867,619,1361,0.8124041772659141,2.1082773292249097,0.559862000031046,1.29173752911432,0.45994630786985397,1.1309237615562,1.1951101706650602,0.724321787812727,0.0538531934587146,2.65308777459601e-13,0.0015645581759587699,0.100015741499352,3.59321916647227e-06,0.44001401739766705,0.8045969344315981,0.11538657409969098,0
61,HCC_8_vs_p-L_UP_FC_2,0.000141641331593488,0.707765061376605,622,1358,0.9111893111803879,2.0934116303061296,0.571292156429609,1.2417814398465,0.43204633141418003,1.04443220526922,1.1357394064584598,0.696867324185679,0.371110766167045,8.285225934099458e-13,0.00227174650033868,0.16105365462124802,3.38322860464486e-07,0.775438891019297,0.859679035763348,0.0784492497435905,0
62,HCC_LM-H_vs_LM-L_UP_FC_2,0.0009404437741043689,0.705214426097561,1435,545,0.8155649205455999,2.1203584226161296,0.590758200161921,1.23631958750762,0.43110973547831105,1.01223225977417,1.1624481958678001,0.708444546530325,0.0589203738343526,1.4991719345014e-13,0.00399262764083225,0.16468470192250598,1.4898827196936e-07,0.9342951874105799,0.83433641850687,0.0896924965594867,0
64,HCC_1_vs_p-L_UP_FC_2,3.2714339822076395e-05,0.693792410425365,948,1032,0.755746424528387,2.07964949968789,0.557679571819828,1.31696178111016,0.47512131612397296,1.19287217613034,1.07749836990534,0.677701164566077,0.0082475637131488,6.544097977078089e-13,0.0014201077176250198,0.0756680110232787,7.35276113849095e-06,0.269585773128541,0.917335375245257,0.0530834207565467,0
71,HCC_7_vs_p-L_UP_FC_2,1.2538024458160499e-05,0.679299387723864,990,990,0.8762366770015609,2.0898507906681396,0.571138357701461,1.23827716864856,0.44440359503916704,1.0803875352219001,1.16261668395162,0.6819534327463879,0.212706523854111,6.65369271086035e-13,0.0022028295402215,0.162714747173052,1.22923118723533e-06,0.622220869473131,0.8343313682123391,0.0575608062779854,0
74,HCC_6_vs_p-L_UP_FC_2,7.88257931866417e-06,0.6707164168003461,651,1329,0.910172879846607,2.10117277321135,0.574475694379483,1.25391207882681,0.44040098208406997,1.06065311158325,1.15078304533247,0.7035818737026639,0.38772248328673703,4.67756778980955e-13,0.00244214210543715,0.14931072846086998,1.85581505043735e-06,0.709854729542649,0.8455439808580759,0.0907948754470501,0
80,HCC_5_vs_p-L_UP_FC_2,5.72411444459828e-06,0.6468924584745159,462,1518,0.7744202668089041,2.08400750851347,0.56517497356298,1.35576656847697,0.47917656155379496,1.16113406408763,1.29202351598548,0.759174667919802,0.0321726833286091,7.11300622824018e-13,0.0018214905483354398,0.0588171165850398,2.10157828812164e-05,0.35698682311773605,0.723199562047649,0.188178725350657,0
83,HCC_4_vs_p-L_UP_FC_2,7.05004862693685e-06,0.6426077205610601,1298,682,0.821681255691227,2.07919824727853,0.574241549224138,1.2438005231746299,0.44977433526261407,1.0885236154802098,1.1469846942847501,0.6789641831349761,0.0764874384260746,8.172537044740591e-13,0.0023834225774058302,0.153263495544291,1.137206290429e-06,0.578393115426036,0.848824403291185,0.0543600233719539,0
99,HCC_0_vs_p-L_UP_FC_2,2.26862153576702e-08,0.590354977459124,463,1517,0.689134619641671,2.0696666308426397,0.5620864344238771,1.4377331952933299,0.526835168332097,1.26780721235683,1.40010842324893,0.823941411670143,0.00250337924460554,1.20609347511448e-12,0.00162919164503496,0.0251898606146553,0.000329306635690166,0.154525322341618,0.641991586194369,0.36205352340904207,0
104,HCC_2_vs_p-L_UP_FC_2,1.15695359648349e-05,0.582019020957424,205,1775,0.76180524606418,2.0882766052457904,0.5753338466532141,1.3494533373811102,0.46558089298323296,1.1187456393508,1.22945238387646,0.7521671479619201,0.0739070109524536,7.04962763395086e-13,0.0024636398507653303,0.0695988597198129,1.01322393121373e-05,0.483693751864551,0.774893928107354,0.179972907039719,0
106,HCC_3_vs_p-L_UP_FC_2,3.5104886584859004e-08,0.5779348951540749,375,1605,0.7336595919576091,2.06352143460087,0.576472252224036,1.3951950402217002,0.501703474658448,1.2096689700394299,1.33498531624741,0.80157286728036,0.0181647642302112,1.7052906878353701e-12,0.0025388081181075698,0.0417620007546174,0.00011716145798112199,0.255365450326283,0.689911232854739,0.304371481690137,0
114,HCC_3_vs_p-L_DOWN_FC_2,1.6072091996501902e-07,0.557307281454294,254,1726,0.797394464136104,2.06923819479113,0.598606303997702,1.19511234105554,0.43301610965210996,1.05028870921894,1.0974456807289201,0.670494519326282,0.0624846536293538,1.77157975977867e-12,0.00514746354227955,0.242383955574541,1.9862784908146398e-07,0.742344877704453,0.8971291733973241,0.0470811765001096,0
116,HCC_LM-H_vs_LM-L_UP_FC_0,6.06552939693691e-11,0.548510200117663,489,1491,0.858043677746397,2.08691752960212,0.61982558372613,1.2785555979694498,0.45306074920964895,1.03749717703244,1.20625285760371,0.7374023058111271,0.14618144378072198,7.113073553241942e-13,0.0109815110519442,0.116493121321238,3.14787053195153e-06,0.804187224722698,0.79508555422464,0.149783820185727,0
125,HCC_7_vs_p-L_UP_FC_1,1.26617241056891e-12,0.531966824770131,555,1425,0.724160484078335,2.02190969563436,0.572026666821177,1.3303407945366998,0.4983387119879811,1.15712935501331,1.23229284136975,0.778536386374096,0.00226901076940166,8.45622347030497e-12,0.00222342563335119,0.0657194123981442,4.27740343303127e-05,0.3430383174689411,0.771756664849578,0.22610604143566898,0
127,HCC_3_vs_p-L_UP_FC_0,3.84822583588808e-13,0.52649345333958,934,1046,0.814041942210869,2.06509939002012,0.635772353968986,1.2583213943920502,0.464623326082218,1.00841516039223,1.28853479149635,0.7742913223574829,0.0539587623006635,1.6519974983697298e-12,0.0160798516639674,0.13414341719817302,5.531524834017599e-06,0.954616143525394,0.7261987970021659,0.23251095939469,0
133,HCC_2_vs_p-L_UP_FC_0,6.0752405881537795e-15,0.508903908457119,788,1192,0.838629164238919,2.07624726084802,0.627537264720722,1.26081162963952,0.468164707443544,1.02949000770689,1.25296010436651,0.764917253392521,0.0991223445287324,1.0893047810180301e-12,0.0132935508279902,0.13225139086423301,1.34598753104814e-05,0.843929382316277,0.75527055727457,0.21497981128087804,0
134,HCC_0_vs_p-L_UP_FC_0,7.215110085409e-15,0.507513147991134,858,1122,0.83435498900904,2.07498749971991,0.6290273642484809,1.25002411824517,0.46766648233387104,1.02489199424771,1.26115460216441,0.7670805498997909,0.0933229472006246,1.1287697043697099e-12,0.0138162030760957,0.14530438409649302,1.1707943398977e-05,0.8675047418912901,0.748518543360499,0.21984807044648896,0
136,HCC_7_vs_p-L_UP_FC_0,6.6197413198764e-15,0.506675848776411,625,1355,0.81753650219715,2.04204447432351,0.625528985866316,1.2905701978209299,0.46931608172390604,1.0428227773341001,1.25517254775782,0.7635650258969119,0.0515524886304702,5.60177473084804e-12,0.0118151185339492,0.10081569031663,9.619808201158901e-06,0.776938192654191,0.7530724229867671,0.20300427086830103,0
137,HCC_4_vs_p-L_UP_FC_0,5.69334156200462e-16,0.491816945485911,580,1400,0.814154011855708,2.05178501829757,0.63343687191952,1.28874391234672,0.47546094995231203,1.0531153651133298,1.26387942959447,0.775003038207832,0.0523200364464142,3.50801617182493e-12,0.0150564237397229,0.102403275019964,1.89279840152172e-05,0.7278871445850401,0.7459520253370542,0.23514807681297198,0
141,HCC_p-H_vs_p-L_DOWN_FC_2,5.5119496514300606e-17,0.484555058714483,791,1189,0.6277080040464991,1.9933627852956701,0.6768403760769449,1.2162066330198302,0.498775928755574,1.20265959474558,1.32228826366398,0.7413579752984009,1.45784296445126e-06,2.1575506724762604e-11,0.0346950568401919,0.198520752184149,2.1100895234748103e-05,0.223581447847345,0.698073928231404,0.13892529663928,0
142,HCC_LM-H_vs_p-L_UP_FC_0,8.00493988816496e-17,0.48172170320228,890,1090,0.7737878060546669,2.06478968916146,0.654726930737722,1.27014288814402,0.495378036587867,1.03217165123522,1.34912832240729,0.819061171297589,0.0213122692276465,1.40375562453542e-12,0.0251448899090992,0.11902572709168302,6.43313983039469e-05,0.829837882441529,0.679417042830468,0.36169959262876294,0
143,HCC_8_vs_p-L_UP_FC_0,7.28769559180448e-18,0.475909847548873,667,1313,0.7828799932058321,2.02460458364034,0.6302058481082851,1.3075413713533002,0.492854857365935,1.06191667374749,1.31442358331179,0.7985981480348531,0.0218028615971257,1.06433238360202e-11,0.0128672364140902,0.0845322040594393,5.6534837227681996e-05,0.685911366198337,0.7054970309883392,0.295533301779608,0
144,HCC_1_vs_p-L_UP_FC_0,2.8851913338048204e-17,0.47473760717108004,913,1067,0.746554399184677,2.05893808065634,0.669898379213927,1.27896256267444,0.505619427749904,1.0398127508313,1.3953828783228899,0.8456143512932651,0.00870921629316551,1.73358735875432e-12,0.0346039953441412,0.108645378286477,9.564506986073179e-05,0.791245278314698,0.645780617712179,0.44463550607051094,0
145,HCC_LM-H_vs_LM-L_UP_FC_1,1.36060319107193e-18,0.468303493708072,665,1315,0.683924302921417,2.04294868634331,0.65109355500067,1.3280761835326598,0.5440302851797489,1.20734696173666,1.4704166302108796,0.8484587722699051,0.00022544955963965899,3.09063821558171e-12,0.0200806191127943,0.0652023212358762,0.0005044019398696481,0.22232970970620103,0.594144231983136,0.434818498061101,0
