pair,Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
p-Low_vs_p-LM2_DOWN,viral process (GO:0016032),0.6830985915492963,211.16022251880122,0.0,0.0,221,29,RPL6;RPS23;RPS26;RPL22;RPS24;RAN;RPL15;RPL30;RPSA;RPS15;RPL32;RPL14;RPL41;RPL35A;RPL36;RPL12;RPS27;PCBP2;RPL10;RPS17;RPL7A;RPL5;RPL34;MCTS1;RPL36A;RPL39;RPS6;RPS4X;RPS3,RPL6;RPS23;RPS26;RPL22;RPS24;RAN;RPL15;RPL30;RPSA;RPS15;RPL32;RPL14;RPL41;RPL35A;RPL36;RPL12;RPS27;PCBP2;RPL10;RPS17;RPL7A;RPL5;RPL34;MCTS1;RPL36A;RPL39;RPS6;RPS4X;RPS3
p-Low_vs_p-LM2_DOWN,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),0.6736111111111122,212.47887483873353,0.0,0.0,90,27,RPL6;RPS23;RPS26;RPL22;RPS24;RPL15;RPL30;RPSA;RPS15;RPL32;RPL14;RPL41;RPL35A;RPL36;RPL12;RPS27;SEC61B;RPL10;RPS17;RPL7A;RPL5;RPL34;RPL36A;RPL39;RPS6;RPS4X;RPS3,RPL6;RPS23;RPS26;RPL22;RPS24;RPL15;RPL30;RPSA;RPS15;RPL32;RPL14;RPL41;RPL35A;RPL36;RPL12;RPS27;SEC61B;RPL10;RPS17;RPL7A;RPL5;RPL34;RPL36A;RPL39;RPS6;RPS4X;RPS3
p-Low_vs_p-LM2_DOWN,protein targeting to ER (GO:0045047),0.673611111111112,150.05170175964884,0.0,0.0,98,27,RPL6;RPS23;RPS26;RPL22;RPS24;RPL15;RPL30;RPSA;RPS15;RPL32;RPL14;SPCS2;RPL41;RPL35A;RPL36;RPL12;RPS27;RPL10;RPS17;RPL7A;RPL5;RPL34;RPL36A;RPL39;RPS6;RPS4X;RPS3,RPL6;RPS23;RPS26;RPL22;RPS24;RPL15;RPL30;RPSA;RPS15;RPL32;RPL14;SPCS2;RPL41;RPL35A;RPL36;RPL12;RPS27;RPL10;RPS17;RPL7A;RPL5;RPL34;RPL36A;RPL39;RPS6;RPS4X;RPS3
p-Low_vs_p-LM2_DOWN,ncRNA processing (GO:0034470),0.6689655172413786,128.09920034814334,0.0,0.0,228,26,RPL6;RPS23;RPS26;RPL22;RPS24;RPL15;RPL30;RPSA;RPS15;RPL32;RPL14;RPL41;RPL35A;RPL36;RPL12;RPS27;RPL10;RPS17;RPL7A;RPL5;RPL34;RPL36A;RPL39;RPS6;RPS4X;RPS3,RPL6;RPS23;RPS26;RPL22;RPS24;RPL15;RPL30;RPSA;RPS15;RPL32;RPL14;RPL41;RPL35A;RPL36;RPL12;RPS27;RPL10;RPS17;RPL7A;RPL5;RPL34;RPL36A;RPL39;RPS6;RPS4X;RPS3
p-Low_vs_p-LM2_DOWN,nuclear-transcribed mRNA catabolic process (GO:0000956),0.6689655172413786,140.0980553673443,0.0,0.0,175,26,RPL6;RPS23;RPS26;RPL22;RPS24;RPL15;RPL30;RPSA;RPS15;RPL32;RPL14;RPL41;RPL35A;RPL36;RPL12;RPS27;RPL10;RPS17;RPL7A;RPL5;RPL34;RPL36A;RPL39;RPS6;RPS4X;RPS3,RPL6;RPS23;RPS26;RPL22;RPS24;RPL15;RPL30;RPSA;RPS15;RPL32;RPL14;RPL41;RPL35A;RPL36;RPL12;RPS27;RPL10;RPS17;RPL7A;RPL5;RPL34;RPL36A;RPL39;RPS6;RPS4X;RPS3
p-Low_vs_p-LM2_DOWN,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",0.6689655172413786,157.75443007169747,0.0,0.0,113,26,RPL6;RPS23;RPS26;RPL22;RPS24;RPL15;RPL30;RPSA;RPS15;RPL32;RPL14;RPL41;RPL35A;RPL36;RPL12;RPS27;RPL10;RPS17;RPL7A;RPL5;RPL34;RPL36A;RPL39;RPS6;RPS4X;RPS3,RPL6;RPS23;RPS26;RPL22;RPS24;RPL15;RPL30;RPSA;RPS15;RPL32;RPL14;RPL41;RPL35A;RPL36;RPL12;RPS27;RPL10;RPS17;RPL7A;RPL5;RPL34;RPL36A;RPL39;RPS6;RPS4X;RPS3
p-Low_vs_p-LM2_DOWN,rRNA processing (GO:0006364),0.6689655172413786,131.02680878839476,0.0,0.0,203,26,RPL6;RPS23;RPS26;RPL22;RPS24;RPL15;RPL30;RPSA;RPS15;RPL32;RPL14;RPL41;RPL35A;RPL36;RPL12;RPS27;RPL10;RPS17;RPL7A;RPL5;RPL34;RPL36A;RPL39;RPS6;RPS4X;RPS3,RPL6;RPS23;RPS26;RPL22;RPS24;RPL15;RPL30;RPSA;RPS15;RPL32;RPL14;RPL41;RPL35A;RPL36;RPL12;RPS27;RPL10;RPS17;RPL7A;RPL5;RPL34;RPL36A;RPL39;RPS6;RPS4X;RPS3
p-Low_vs_p-LM2_DOWN,viral gene expression (GO:0019080),0.6689655172413786,150.6617061282145,0.0,0.0,111,26,RPL6;RPS23;RPS26;RPL22;RPS24;RPL15;RPL30;RPSA;RPS15;RPL32;RPL14;RPL41;RPL35A;RPL36;RPL12;RPS27;RPL10;RPS17;RPL7A;RPL5;RPL34;RPL36A;RPL39;RPS6;RPS4X;RPS3,RPL6;RPS23;RPS26;RPL22;RPS24;RPL15;RPL30;RPSA;RPS15;RPL32;RPL14;RPL41;RPL35A;RPL36;RPL12;RPS27;RPL10;RPS17;RPL7A;RPL5;RPL34;RPL36A;RPL39;RPS6;RPS4X;RPS3
p-Low_vs_p-LM2_DOWN,viral transcription (GO:0019083),0.6689655172413786,129.2753146446525,0.0,0.0,114,26,RPL6;RPS23;RPS26;RPL22;RPS24;RPL15;RPL30;RPSA;RPS15;RPL32;RPL14;RPL41;RPL35A;RPL36;RPL12;RPS27;RPL10;RPS17;RPL7A;RPL5;RPL34;RPL36A;RPL39;RPS6;RPS4X;RPS3,RPL6;RPS23;RPS26;RPL22;RPS24;RPL15;RPL30;RPSA;RPS15;RPL32;RPL14;RPL41;RPL35A;RPL36;RPL12;RPS27;RPL10;RPS17;RPL7A;RPL5;RPL34;RPL36A;RPL39;RPS6;RPS4X;RPS3
p-Low_vs_p-LM2_DOWN,rRNA metabolic process (GO:0016072),0.6689655172413786,117.06658095262111,0.0,0.0022751605995717347,201,26,RPL6;RPS23;RPS26;RPL22;RPS24;RPL15;RPL30;RPSA;RPS15;RPL32;RPL14;RPL41;RPL35A;RPL36;RPL12;RPS27;RPL10;RPS17;RPL7A;RPL5;RPL34;RPL36A;RPL39;RPS6;RPS4X;RPS3,RPL6;RPS23;RPS26;RPL22;RPS24;RPL15;RPL30;RPSA;RPS15;RPL32;RPL14;RPL41;RPL35A;RPL36;RPL12;RPS27;RPL10;RPS17;RPL7A;RPL5;RPL34;RPL36A;RPL39;RPS6;RPS4X;RPS3
