,signature,KM_pval,KM_HZ_0.95_lower,KM_HZ,KM_HZ_0.95_upper,n_low,n_high,Cox_HZ_activation_Z,Cox_HZ_ChemotherapyYES,Cox_HZ_SubtypeBasal,Cox_HZ_SubtypeHer2,Cox_HZ_SubtypeLumA,Cox_HZ_SubtypeLumB,Cox_HZ_Subtypeclaudin-low,Cox_HZ_SubtypeNC,Cox_HZ_Cellularitymoderate,Cox_HZ_Cellularityhigh,Cox_pval_activation_Z,Cox_pval_ChemotherapyYES,Cox_pval_SubtypeBasal,Cox_pval_SubtypeHer2,Cox_pval_SubtypeLumA,Cox_pval_SubtypeLumB,Cox_pval_Subtypeclaudin-low,Cox_pval_SubtypeNC,Cox_pval_Cellularitymoderate,Cox_pval_Cellularityhigh,MDA
21,MDA_4_vs_proxy_parental_UP_FC_1,1.28196499108096e-26,2.18304999224708,2.62399523782098,3.1540051911591296,1039,941,1.3549045721619999,1.9689014629628403,0.8567375661377842,1.3148062516726398,0.612681534087854,1.1911024851361298,0.609734448923328,1.36318161387955,1.03532074740377,0.8837758255059621,1.8899213486224602e-06,1.4816442996990698e-10,0.524173439886544,0.20547105842621805,0.0167565338737424,0.39234273934946096,0.0412567019310787,0.671661932427846,0.832763429969952,0.450094027997918,1
22,MDA_11_vs_proxy_parental_DOWN_FC_2,2.5894332547261198e-23,2.15256975469053,2.62222423679074,3.19434942028225,878,1102,1.3001885684717198,2.02614596349202,0.891241566973538,1.30354988025728,0.59108839418668,1.11578894374953,0.711717435380367,1.3621773839518703,1.04128654889462,0.8781513489267979,4.66832945290748e-05,1.54236515831666e-11,0.642968891459368,0.22857018667235396,0.0102418440330045,0.604621759835977,0.147256193168712,0.6725777393133371,0.8059866804142758,0.430760081119621,1
28,MDA_11_vs_proxy_parental_DOWN_FC_1,7.23774300508369e-23,2.0685610669673298,2.4981086213175203,3.01685397813759,949,1031,1.31327982060781,1.99766973128135,0.864335918367098,1.3056016316261598,0.595348026490417,1.11570144797722,0.701010602310526,1.3876449960286101,1.04110595880591,0.8768053577248791,2.46080792568673e-05,4.3438348229859e-11,0.5601304791356129,0.224309538981462,0.0113132169046595,0.603890891830785,0.13092707476183302,0.65403862999072,0.806830788269384,0.42548754324394106,1
29,MDA_9_vs_proxy_parental_UP_FC_1,2.7043815773927e-23,2.07157085790263,2.49677115658992,3.00924594715089,975,1005,1.2610658598825801,1.96413669967264,1.00824883781659,1.43501616253611,0.601663052826809,1.2127030947253798,0.699748802088041,1.48347463350052,1.0416522799672299,0.8827214696147969,0.00020832192013996398,1.86914395983425e-10,0.9724204272650251,0.0921342281375726,0.0130709613008901,0.350722751653857,0.13132703741104,0.589222894508016,0.804400485262684,0.45077634370664393,1
31,MDA_4_vs_proxy_parental_FC_1,1.63675259131468e-23,2.05167556363064,2.4632912023272797,2.95748687318058,1037,943,1.28906803927048,2.01458575255236,0.9844537976186091,1.39555683586826,0.600885125355308,1.2441230115736102,0.644533903322936,1.36154840562187,1.05690432739325,0.905905555767922,8.97706952001794e-06,3.1554640226868604e-11,0.94634998907673,0.11939007205312802,0.0128522119132098,0.282224598103227,0.0669437225549372,0.672937867354068,0.736004269419225,0.544514608725569,1
35,MDA_0_vs_proxy_parental_UP_FC_1,4.649607804817479e-22,2.02268428089708,2.43852680033898,2.9398621485970002,964,1016,1.2348453389544398,1.9825410054302701,1.04506173213971,1.48735943308128,0.607295084470129,1.24788363845653,0.703991529517244,1.45945508277673,1.0644593089606,0.914478150795892,0.0006605854143962559,1.09114471533873e-10,0.852690727297783,0.0624893864663902,0.0148289982638601,0.282030985482741,0.14024169450585597,0.604957842771631,0.7038092052600039,0.585519774872699,1
46,MDA_9_vs_proxy_parental_FC_1,1.94204117725346e-21,1.94474422080573,2.3265224394509705,2.7832486161220302,1059,921,1.20396806674348,1.9848261691629099,1.13506589467542,1.5303746324940202,0.603893366466193,1.30598671230176,0.7450528106862859,1.5086139279354298,1.06509932160686,0.9103655923289591,0.0018116601186009302,1.00902027411018e-10,0.5817031945867901,0.0446134522190201,0.013695051489161999,0.18937462460892499,0.20892537504483602,0.573447348320608,0.700910219262523,0.567939377102187,1
73,MDA_1_vs_proxy_parental_DOWN_FC_1,2.06439790301624e-18,1.81483197531876,2.16738445036935,2.58842439387688,1069,911,1.13677721071042,2.07692328310993,1.18137470346694,1.61196227960499,0.606065165248046,1.37113495196602,0.8107129646551271,1.63357171261082,1.07394033201703,0.9382080650192359,0.0307157559200466,2.41869345530707e-12,0.487478107282268,0.0238801854854756,0.0144853738343171,0.12035013846829799,0.364608503955262,0.501267744558414,0.66495478855379,0.6986548147876109,1
101,MDA_0_vs_proxy_parental_DOWN_FC_0,1.47707528873645e-11,1.66250554521031,2.06017063565952,2.55295572412473,1716,264,1.06354552272038,2.10368048904131,1.3428744845686498,1.68521587260824,0.587436532560111,1.41641947132272,0.883078416956184,1.6622597053666397,1.1071165469567301,0.978533384810182,0.24887015544909197,9.9542830178341e-13,0.20797124065332998,0.0134170454086523,0.009433496371408091,0.0904018076763693,0.5823118522651,0.48615905777720503,0.534446030803446,0.8941217322178221,1
103,MDA_11_vs_proxy_parental_DOWN_FC_0,1.2723193467162198e-15,1.7075539658013899,2.0415192608522497,2.44080185803947,1013,967,1.1219774278233001,2.05151274255617,1.20321365895669,1.6052627133943103,0.5809472335343149,1.3163244104011,0.83819467547107,1.6280352044945,1.0913285464875602,0.9512255865099559,0.0425934280862611,8.88021853152157e-12,0.440212620546256,0.0260322650697199,0.008060037969410341,0.189132079529262,0.439952713177426,0.50425399649552,0.594469468405755,0.760429836104389,1
118,MDA_5_vs_proxy_parental_DOWN_FC_0,1.78156459036482e-11,1.59576018812693,1.94396084534378,2.36814014809167,1628,352,1.01293438943116,2.1245508872175902,1.4772581882820401,1.7556270840683899,0.594449360338277,1.4910983958050599,0.898266389818515,1.6747721757671898,1.1129121039519199,0.994467815397998,0.79851069955498,8.29615760427542e-13,0.08243826990702201,0.0068753387107647,0.0110963625703244,0.0503041786643488,0.6348500984865451,0.479739599735836,0.513823860685714,0.97284215250246,1
119,MDA_p-Low_vs_p-LM2_DOWN_FC_2,9.22363606786357e-09,1.54176317985937,1.9415504624448898,2.44500468519672,1760,220,1.13820291253696,2.07053838914742,1.47616408253919,1.9003900917318601,0.631386950638585,1.68030089328754,0.904260299972274,1.7146088861460802,1.11026319263926,1.00465752337411,0.00431606516574389,3.03597153885145e-12,0.0657874857821978,0.0020763226412124397,0.02532122028783,0.009989524250896909,0.654828967946861,0.45997966032091797,0.523044374455478,0.97716956396702,1
123,MDA_4_vs_proxy_parental_DOWN_FC_0,2.31086233183763e-11,1.5883558475178798,1.9340464583340702,2.3549733574122502,1623,357,1.01216508022727,2.1265902236179097,1.47757596026485,1.7551030547030402,0.594620359473549,1.49139819534446,0.8990561563926929,1.6738127946999402,1.1131068628452199,0.9944520377001651,0.8156874482917559,6.390624818783871e-13,0.0853382257178811,0.00701380026478252,0.0111372400778605,0.0513072822482545,0.637401905643778,0.4802251230406721,0.513138143725826,0.97279453434633,1
124,MDA_9_vs_proxy_parental_FC_0,3.6739209978982e-14,1.62393935029364,1.9315845362377801,2.29751118473623,1152,828,1.09958755273717,2.07829114302053,1.28090441810339,1.66315835101043,0.5793487775458069,1.3574552418785601,0.8408947420449548,1.66355912589356,1.1024590085808899,0.962938196267468,0.0659789881328004,2.45965699842886e-12,0.28104485258674394,0.0151756698458538,0.00776559847129353,0.13854798169959803,0.448744777427155,0.48548275479781394,0.551430982916551,0.816978494851265,1
127,MDA_1_vs_proxy_parental_DOWN_FC_0,5.4751400218641995e-14,1.6148690656088303,1.9199008149305201,2.28254984733465,1176,804,1.1082285388798798,2.07104784082849,1.25023216761481,1.6305496826888202,0.579275364287627,1.32338886915441,0.857562750328096,1.63924141514945,1.0943162910675601,0.9599097103470021,0.0637377378171089,3.5473191353844603e-12,0.341399455096704,0.0209142409742569,0.007774802762904059,0.182838116238987,0.49866655016659706,0.49823970329709,0.5827415494441179,0.802384404058785,1
135,MDA_p-Low_vs_p-LM2_UP_FC_0,9.80116534233531e-09,1.5116262206354298,1.8837715834828201,2.34753494633461,1723,257,1.02773656571511,2.1130945305965803,1.4520038219229299,1.73385251562713,0.592542132297721,1.4660463625906799,0.8923616596198991,1.6620539012707702,1.10961216079842,0.989291457701041,0.58931217907269,1.15104673455695e-12,0.0929984508454165,0.0087120820281985,0.0106249844324618,0.0625607834498033,0.614577323718377,0.486317948424845,0.5257425663672071,0.9473523725304909,1
139,MDA_7_vs_proxy_parental_UP_FC_0,2.3541447251860297e-10,1.53945546934122,1.87631234696156,2.28687876555921,1621,359,1.13189267225573,2.08737443498563,1.2816308681061799,1.6704743326015299,0.585635136394192,1.4216493291143901,0.8593595700766841,1.67648203419292,1.11172488521569,0.979938050509938,0.0119251181566155,1.6470497097943501e-12,0.262130724147345,0.013799594302450001,0.00895100729473929,0.0776580205609323,0.502711087094179,0.47888636203190704,0.517626648145257,0.9005956213872491,1
140,MDA_8_vs_proxy_parental_UP_FC_0,3.22336861006139e-11,1.5523226411704298,1.87465714948734,2.2639233203957003,1559,421,1.01189720042468,2.12481573181201,1.4793830833669799,1.75714220235369,0.594176355056246,1.49118990137177,0.89748794490576,1.67456608587098,1.11383155245829,0.9946302866354421,0.8144087625315541,9.24203177813179e-13,0.0815694246407413,0.0067387368721859705,0.0110842484564629,0.0514596276761614,0.6328696715195811,0.479844235502557,0.510254776446483,0.973653647488424,1
143,MDA_8_vs_proxy_parental_DOWN_FC_0,6.8988979669183e-12,1.5535532616588401,1.8603440369684399,2.2277188824467005,943,1037,1.13453529160642,2.0200700300724,1.29364621328294,1.6714827180656897,0.5911089115345209,1.3576324746883601,0.826087476951634,1.62325610916327,1.09269316514492,0.96764279400665,0.0156244616660719,3.11071874068545e-11,0.24352826830306698,0.0138313751953502,0.0102071521730225,0.131648546295657,0.402412246976048,0.5068569212520749,0.588862894637219,0.8398928472403822,1
145,MDA_Met-Like_parental_vs_rest_DOWN_FC_0,1.66735594371368e-07,1.4559842820734599,1.8334810931171102,2.3088524788403597,1753,227,1.01697252906159,2.11649029363247,1.47828977211273,1.76401590120244,0.5935807602790739,1.49017773641919,0.8925663460501351,1.6782746239208899,1.11390097359546,0.9948950392148741,0.7206292261416372,1.7688668959691698e-12,0.0726171089280433,0.006104282326825,0.0108969778538498,0.0476592353012182,0.6170278953841899,0.47798259438174895,0.509859994960577,0.974864935812672,1
146,MDA_9_vs_proxy_parental_UP_FC_0,7.76965255279774e-12,1.5365882156759199,1.83255215935139,2.18552204324057,1023,957,1.09980547198678,2.05774068296601,1.2824559774580602,1.6706291041085601,0.5801291877476811,1.34763630777414,0.845070591457144,1.65987871229874,1.10028252191092,0.9633407490604359,0.0717647198128573,7.46545940703841e-12,0.279594963238725,0.0142530737487048,0.00791981834922539,0.151057330606339,0.46103537747267,0.487390166728225,0.559783220327027,0.8191170596699169,1
147,MDA_13_vs_proxy_parental_DOWN_FC_0,3.0563542361386897e-12,1.5413334801583303,1.8318937211346102,2.17722812663986,1242,738,1.1583160316222,2.06840627160954,1.1868484332288702,1.56746746075313,0.573862321274716,1.3203947848253799,0.8389233127219351,1.6337466741378301,1.10313475474732,0.9622985846154181,0.00483378592165105,3.4228886946579398e-12,0.453418786741141,0.0338863131803695,0.00675778576163444,0.17234166880925397,0.43894385931561103,0.501160369055316,0.549109338975399,0.8132798827829909,1
148,MDA_2_vs_proxy_parental_DOWN_FC_0,3.832739499253121e-12,1.53882270571715,1.8297077176668501,2.1755789797301,1286,694,1.1108614477271999,2.08027868341187,1.23971409277727,1.6083990971881799,0.5770817110959859,1.34117809190136,0.8572049883189771,1.65085355790483,1.09773670322698,0.9607486152949279,0.0535741203008544,2.29706389923136e-12,0.36037381794433204,0.025603354308944,0.007381693148809559,0.15661325388988298,0.497276179500871,0.49209637139887497,0.5694505527420529,0.8062886890438271,1
149,MDA_0_vs_proxy_parental_UP_FC_0,7.68955955439882e-08,1.46267260959827,1.82916490951272,2.2874867856530297,1736,244,1.05186193857632,2.08096186950536,1.43830486783813,1.7634032059033102,0.59487730990807,1.4504814086403701,0.8675420136439209,1.67031507176131,1.10932894809873,0.987712932757125,0.30368544577482803,5.45756342792054e-12,0.0926048142622972,0.00615201976390757,0.011137861724141,0.0653700275368291,0.533911056659915,0.48201467224242,0.52641614558106,0.939357440547598,1
152,MDA_p-Low_vs_p-BoM_FC_1,6.12052207954106e-11,1.5106678311449298,1.8090315462384299,2.16632344173604,1460,520,1.06613828850641,2.12416928581097,1.42694906889151,1.6853733732979799,0.604724293979265,1.4976294711840301,0.8868722138505591,1.70843713138676,1.12263570998993,1.00039513810894,0.16016619465231602,3.6160630596087104e-13,0.0980394080837253,0.0127730690522266,0.0140454277376316,0.0413709687322298,0.5943936246718261,0.463057450012913,0.47961527538999604,0.998055015274292,1
153,MDA_p-Low_vs_p-LM2_UP_FC_2,1.3846808074605401e-05,1.3760753213829398,1.80118271401713,2.35761743478814,1829,151,1.08203427961477,2.12466662700232,1.47947183387955,1.7962427235505398,0.6139742838627429,1.4968385006373102,0.908177825956073,1.7055128897150298,1.1215722804684398,1.00303870847292,0.0849384967295207,3.34082982774755e-13,0.06424016680741901,0.004745401458715021,0.0174826311563282,0.0417543947650691,0.66890677044402,0.46442343388840707,0.48334883257555894,0.985076745440865,1
159,MDA_12_vs_proxy_parental_UP_FC_0,1.3818176674036402e-05,1.35698549529275,1.75421656108401,2.26772928218923,1798,182,1.01756377650202,2.11701232008407,1.47680525698513,1.76459443863291,0.5926536541354829,1.48952637173629,0.894803586584505,1.67484259760529,1.1136536366998602,0.994221330715109,0.707888490516804,1.45040471393227e-12,0.0734543224864481,0.00606903304740242,0.0107448786489524,0.0477873317091663,0.6233377472524311,0.479703924698866,0.5107436237270829,0.971553670855836,1
160,MDA_0_vs_proxy_parental_DOWN_FC_1,2.6183303108411503e-10,1.4699945348800099,1.7537924126029198,2.0923804500773997,1013,967,1.11548133192045,2.17489540892095,1.27174771696407,1.62742993760045,0.592171955043194,1.40927112838209,0.91103967528299,1.65061480348075,1.10243884870327,0.97292092104615,0.0278103454297227,7.302221864327721e-14,0.28648679659018705,0.0206338930646303,0.0104343229041032,0.0871696141783314,0.679178334075059,0.49220624850760497,0.551560112096767,0.8658830778651411,1
162,MDA_4_vs_proxy_parental_DOWN_FC_1,1.76654378396686e-10,1.4682966515166598,1.74652772380418,2.07748147274311,1298,682,1.0545333864606898,2.11233850164105,1.41508153837125,1.7203728807613001,0.6008772222587171,1.48258511023084,0.8873401372104351,1.6859764246528501,1.1032493884681,0.9872970608360531,0.27592486183767895,5.65276566197178e-13,0.11302105635816802,0.00921846787302804,0.0128479681228681,0.0475109509754182,0.596502211677189,0.47408790035909204,0.548911559451522,0.9372838025984059,1
