,signature,pval_KM,HZ_KM,n_low,n_high,HZ_strataLow,HZ_ChemotherapyYES,HZ_`Pam50 + Claudin-low subtype`claudin-low,HZ_`Pam50 + Claudin-low subtype`Her2,HZ_`Pam50 + Claudin-low subtype`LumA,HZ_`Pam50 + Claudin-low subtype`LumB,HZ_`Pam50 + Claudin-low subtype`NC,HZ_`Pam50 + Claudin-low subtype`Normal,pval_strataLow,pval_ChemotherapyYES,pval_`Pam50 + Claudin-low subtype`claudin-low,pval_`Pam50 + Claudin-low subtype`Her2,pval_`Pam50 + Claudin-low subtype`LumA,pval_`Pam50 + Claudin-low subtype`LumB,pval_`Pam50 + Claudin-low subtype`NC,pval_`Pam50 + Claudin-low subtype`Normal,MDA
16,MDA_3_vs_proxy_parental_DOWN_FC_1,5.04E-06,1.676876643,1731,249,1.406949348,2.092671408,0.584147929,1.161077877,0.411155041,0.941484239,1.035846209,0.682938529,0.003984428,3.62E-13,0.003224064,0.329823742,2.27E-08,0.686390359,0.960961344,0.058270459,1
19,MDA_p-Low_vs_p-BoM_DOWN_FC_1,7.90E-07,1.599865519,1533,447,1.25214375,2.107523175,0.610039659,1.151259839,0.427275084,1.010956547,1.080930555,0.685823574,0.026098579,2.57E-13,0.007267976,0.36077606,1.01E-07,0.941049602,0.913837323,0.061370173,1
30,MDA_8_vs_proxy_parental_DOWN_FC_2,2.75E-05,1.443778029,1115,865,1.246159239,2.111306202,0.619347015,1.20952775,0.434593329,1.050979672,1.189514971,0.711668167,0.015025568,2.21E-13,0.009377269,0.211913937,1.98E-07,0.737575266,0.80950683,0.093340489,1
31,MDA_13_vs_proxy_parental_DOWN_FC_2,0.000102519,1.418005522,901,1079,1.258193592,2.154891407,0.580857907,1.246257891,0.455270718,1.097493955,1.115869518,0.716989111,0.015518979,6.08E-14,0.002907592,0.149334652,1.47E-06,0.539244919,0.878851511,0.101444087,1
52,MDA_12_vs_proxy_parental_DOWN_FC_2,0.000749897,0.743898328,900,1080,0.828235931,2.11777942,0.597002334,1.284319094,0.441594392,1.050180083,1.205867788,0.721234762,0.037381313,1.46E-13,0.004828833,0.105874014,4.18E-07,0.741416298,0.795004207,0.109459172,1
53,MDA_p-Low_vs_p-BoM_UP_FC_1,0.000842118,0.743380397,743,1237,0.939633671,2.123651173,0.584584722,1.238964782,0.430358639,1.031537212,1.152521812,0.690751656,0.51515141,1.34E-13,0.003323368,0.168657658,4.56E-07,0.837276883,0.844254109,0.071699006,1
56,MDA_6_vs_proxy_parental_DOWN_FC_1,0.000297875,0.728177655,876,1104,0.82875976,2.124464769,0.588589628,1.238371779,0.437345877,1.045479979,1.111544656,0.679996771,0.035866682,1.27E-13,0.003700124,0.161474312,2.73E-07,0.764291598,0.883103046,0.055535903,1
57,MDA_1_vs_proxy_parental_DOWN_FC_2,0.000401402,0.724424305,1136,844,0.89286703,2.119271585,0.592964486,1.239465538,0.436010466,1.047167054,1.127933319,0.686851584,0.235000011,1.51E-13,0.004356423,0.161431876,3.88E-07,0.75923125,0.867103976,0.062976503,1
59,MDA_4_vs_proxy_parental_DOWN_FC_2,0.000173509,0.716230539,699,1281,0.889305409,2.126466184,0.600300695,1.265751667,0.444691062,1.069367129,1.203994426,0.708479845,0.223557767,1.25E-13,0.00566744,0.131272918,1.44E-06,0.665024874,0.797347982,0.094056068,1
60,MDA_0_vs_proxy_parental_DOWN_FC_2,0.000144187,0.715172656,970,1010,0.875726367,2.139056004,0.607884228,1.249255096,0.44130805,1.042644726,1.188052277,0.713209699,0.150093989,8.28E-14,0.007186149,0.147603028,6.21E-07,0.779476312,0.811136292,0.099820582,1
