key,term,es,overlap,ledge,signature_genes,perc,KM_HZ
7_vs_8_UP,protein-DNA complex assembly (GO:0065004),0.5264764270201144,HIST1H2BJ,HIST1H2BJ;HIST2H2BE;HIST1H2BH;HIST1H2BD;DDB1,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ,0.2,2.71163481794193
7_vs_8_UP,nucleosome organization (GO:0034728),0.554175741069842,HIST1H2BJ,HIST1H2BJ;HIST2H2BE;HIST1H2BH;HIST1H2BD;SET;HIST3H2A;ANP32E,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ,0.14285714285714285,2.71163481794193
7_vs_8_UP,protein ubiquitination (GO:0016567),0.44148913780648275,HIST1H2BJ,HIST1H2BJ;HIST1H2BH;BIRC5;HIST1H2BD;UBE2S;PSMD14;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;DDB1;PSMA4;PSMC1;PSMB3;ARIH1;PSMC4;LEO1;PSMB2;USP5;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;PSME4;PSMB7;PSMA3;VCP;LMO7;SKP1;PRPF19;ISG15;PSME3;PSMC5;PSMA1;UBE2N;UBB;PSMD13;PCNP;UBA1;RNF26;PLK1;FBXW2;RNF10;RBBP6;RNF181,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ,0.019230769230769232,2.71163481794193
7_vs_8_UP,response to unfolded protein (GO:0006986),0.6844776652000575,,HSPH1;HSP90AA1;HSPE1;HSP90AB1;SERPINH1;HSPA8;HSPD1;DNAJA1;HSPA4;HSPB1,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ,0.0,2.71163481794193
7_vs_8_UP,positive regulation of DNA biosynthetic process (GO:2000573),0.6274098948666029,,HSP90AA1;HSP90AB1;CCT5;PTGES3;CCT4;CCT6A;CCT7;TCP1;CCT2;CCT8,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ,0.0,2.71163481794193
7_vs_8_UP,protein catabolic process (GO:0030163),0.6145364374618923,,NR1D1;HSP90AA1;PSMA7;PSMB6;HSPA8;DDB1;PSMA4;PSMB3;PSMB2;PSMA2;PSMA5;PSMB1;MGEA5;PSMB7;PSMA3;VCP;PRPF19;PSMA1,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ,0.0,2.71163481794193
7_vs_8_UP,anaphase-promoting complex-dependent catabolic process (GO:0031145),0.5648705194357365,,CDC20;PTTG1;CCNB1;UBE2S;PSMD14;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;PSMA4;PSMC1;PSMB3;PSMC4;PSMB2;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;ANAPC15;PSME4;PSMB7,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ,0.0,2.71163481794193
7_vs_8_UP,interleukin-1-mediated signaling pathway (GO:0070498),0.5612014178591933,,PSMD14;IRAK1;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;PSMA4;PSMC1;PSMB3;PSMC4;PSMB2;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;PSME4;PSMB7;RPS6KA4;PSMA3;SKP1;PSME3;PSMC5;PSMA1;UBE2N;UBB;PSMD13,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ,0.0,2.71163481794193
7_vs_8_UP,regulation of hematopoietic stem cell differentiation (GO:1902036),0.5521647774997582,,PSMD14;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;PSMA4;PSMC1;PSMB3;PSMC4;PSMB2;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;PSME4;PSMB7,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ,0.0,2.71163481794193
7_vs_8_UP,negative regulation of G2/M transition of mitotic cell cycle (GO:0010972),0.5512082188733011,,PSMD14;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;PSMA4;PSMC1;PSMB3;PSMC4;PSMB2;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;PSME4;PSMB7;PSMA3;SKP1;PSME3;PSMC5;PSMA1;UBB;PSMD13,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ,0.0,2.71163481794193
7_vs_8_UP,regulation of cellular amino acid metabolic process (GO:0006521),0.5483838599848521,,PSMD14;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;PSMA4;PSMC1;ODC1;PSMB3;PSMC4;PSMB2;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;PSME4;PSMB7,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ,0.0,2.71163481794193
7_vs_8_UP,regulation of cellular amine metabolic process (GO:0033238),0.5483838599848521,,PSMD14;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;PSMA4;PSMC1;ODC1;PSMB3;PSMC4;PSMB2;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;PSME4;PSMB7,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ,0.0,2.71163481794193
7_vs_8_UP,cellular response to interleukin-1 (GO:0071347),0.5469460132775558,,PSMD14;IRAK1;PSMA7;PSMB6;PSME2;PSMD2;CCL26;PSMD9;PSMD3;PSMA4;PSMC1;PSMB3;PSMC4;PSMB2;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;PSME4;PSMB7;RPS6KA4;USP10;PSMA3;SKP1;PSME3;PSMC5;PSMA1;UBE2N;UBB;PSMD13,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ,0.0,2.71163481794193
7_vs_8_UP,negative regulation of ubiquitin protein ligase activity (GO:1904667),0.5459669445955957,,CDC20;CCNB1;PSMD14;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;PSMA4;PSMC1;PSMB3;PSMC4;PSMB2;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;ANAPC15;PSMB7,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ,0.0,2.71163481794193
7_vs_8_UP,negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051436),0.5459669445955957,,CDC20;CCNB1;PSMD14;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;PSMA4;PSMC1;PSMB3;PSMC4;PSMB2;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;ANAPC15;PSMB7,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ,0.0,2.71163481794193
7_vs_8_UP,regulation of primary metabolic process (GO:0080090),0.5433100036242394,,NR1D1;PSMD14;PSMA7;PSMB6;PSME2;PSMD2;SIN3B;PSMD9;PSMD3;PSMA4;PSMC1;ODC1;PSMB3;PSMC4;PSMB2;PSMC6;PSMC2;CARM1;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;CACYBP;PSME4;PSMB7,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ,0.0,2.71163481794193
7_vs_8_UP,regulation of hematopoietic progenitor cell differentiation (GO:1901532),0.5428673202975778,,PSMD14;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;PSMA4;PSMC1;PSMB3;PSMC4;PSMB2;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;PSME4;PSMB7,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ,0.0,2.71163481794193
7_vs_8_UP,regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418),0.5426491674681521,,PSMD14;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;PSMA4;PSMC1;PSMB3;PSMC4;PSMB2;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;PSME4;PSMB7;HIGD1A;PSMA3,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ,0.0,2.71163481794193
7_vs_8_UP,NIK/NF-kappaB signaling (GO:0038061),0.5426045163138956,,PSMD14;IRAK1;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;PSMA4;PSMC1;PSMB3;PSMC4;PSMB2;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;PSME4;PSMB7,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ,0.0,2.71163481794193
7_vs_8_UP,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146),0.5415771761035948,,PSMD14;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;PSMA4;PSMC1;PSMB3;PSMC4;PSMB2;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;PSME4;PSMB7;PSMA3;SKP1;PSME3;PSMC5;PSMA1;UBB;PSMD13,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ,0.0,2.71163481794193
7_vs_8_UP,regulation of stem cell differentiation (GO:2000736),0.5398760119629504,,PSMD14;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;PSMA4;PSMC1;PSMB3;PSMC4;PSMB2;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;PSME4;PSMB7,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ,0.0,2.71163481794193
7_vs_8_UP,mitotic spindle organization (GO:0007052),0.5347104884936765,,CCNB1;BIRC5;KIF4A;CENPE;SUN2;TPX2;BCCIP;RAN;MZT1;FLNA;STMN1,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ,0.0,2.71163481794193
7_vs_8_UP,regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051439),0.5335717321277356,,CDC20;CCNB1;PSMD14;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;PSMA4;PSMC1;PSMB3;PSMC4;PSMB2;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;ANAPC15;PSMB7,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ,0.0,2.71163481794193
7_vs_8_UP,innate immune response activating cell surface receptor signaling pathway (GO:0002220),0.5329238719827349,,PSMD14;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;PSMA4;PSMC1;PSMB3;PSMC4;PSMB2;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;PSME4;PSMB7;PSMA3;SKP1;PSME3;PSMC5;PSMA1;UBE2N;UBB;PSMD13,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ,0.0,2.71163481794193
