key,term,es,overlap,ledge,metagene,perc
8_vs_proxy_parental_DOWN,"mRNA splicing, via spliceosome (GO:0000398)",0.42372543407117247,,SNRPG;PCBP1;SRSF7;RSRC1;SRSF5;HNRNPA0;SFPQ;SNRPA;WBP11;SRSF6;PRPF31;CPSF3;BUD31;LSM8;MAGOHB;ZMAT2;DDX17;DDX39A;POLR2I;LSM5;NAA38,,0.0
8_vs_proxy_parental_DOWN,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",0.4111334844601009,,SNRPG;PCBP1;SRSF7;RSRC1;SRSF5;HNRNPA0;SFPQ;SNRPA;WBP11;SRSF6;PRPF31;CPSF3;BUD31;LSM8;MAGOHB;ZMAT2;DDX39A;POLR2I;LSM5;NAA38,,0.0
8_vs_proxy_parental_DOWN,mRNA processing (GO:0006397),0.37988203269675014,,SNRPG;PCBP1;SRSF7;RSRC1;SRSF5;HNRNPA0;GTF2H5;SFPQ;SNRPA;WBP11;SRSF6;PRPF31;CPSF3;BUD31;LSM8;THOC6;MAGOHB;ZMAT2;SON;GTF2H2;DDX39A;POLR2I;LSM5;NAA38;HNRNPUL1;CCNH;AGGF1,,0.0
8_vs_proxy_parental_DOWN,nuclear-transcribed mRNA catabolic process (GO:0000956),0.3244193793713285,,RPLP1;RPL4;RPS23;RPS29;RPS11;RPS16;RPL29;RPS19;RPS25;RPL41;RPSA;RPL13A;RPL28;RPS27;MAGOHB;ZFP36L1;LSM5,,0.0
8_vs_proxy_parental_DOWN,viral process (GO:0016032),0.2594265351125296,,RPLP1;RPL4;RPS23;RPS29;RPS11;PPIA;RPS16;RPL29;AP2M1;AP2S1;RPS19;EIF3F;RPS25;RPL41;RPSA;RPL13A;RPL28;RPS27;CALCOCO2;TPR;RAC1;NUP98;TSG101;NUCKS1;AP1S2;AP1M2;CHMP4A;AP2A1;TP53;HIPK2;PACS1;NEDD4;AP2B1;CHMP2A,,0.0
8_vs_proxy_parental_DOWN,translation (GO:0006412),0.20866300860209552,,RPLP1;RPL4;RPS23;RPS29;RPS11;RPS16;RPL29;MRPL51;EEF1B2;RPS19;COPS5;COA1;RPS25;LARS;MRPL52;RPL41;RPSA;RPL13A;RPL28;TARS;AIMP2;RPS27;MRPL24;HBS1L;MRPL23;IGF2BP3;TNIP1;MRPS16;SARS;PPA2;IARS2,,0.0
8_vs_proxy_parental_DOWN,mitotic sister chromatid segregation (GO:0000070),-0.5137266721421482,,SMC4;CHMP2A;KIF18A;CDCA8;NCAPD2;NUSAP1;PRC1;KNSTRN;NDC80;SPAG5;KIF14;DLGAP5;CENPE;PSRC1;PLK1;CCNB1,,0.0
8_vs_proxy_parental_DOWN,positive regulation of cell cycle process (GO:0090068),-0.5231085927537509,,ECT2;KIF23;PCID2;RHNO1;CDC25B;KIF20B;GPSM2;NUSAP1;CIT;DYNC1H1;NDC80;SPAG5;RACGAP1;KIF14;AURKA;CCNB1,,0.0
8_vs_proxy_parental_DOWN,regulation of mitotic cell cycle phase transition (GO:1901990),-0.5238575884230215,,TPX2;DYNC1H1;CENPF;CEP70;ANLN;TUBA1A;KIF14;HMMR;AURKA;NEK2;CENPE;PLK1;CCNB1,,0.0
8_vs_proxy_parental_DOWN,mitotic spindle organization (GO:0007052),-0.5454141210119265,,TUBGCP2;GPSM2;SPC25;TTK;WDR62;BIRC2;PRC1;TPX2;DYNC1H1;NDC80;NUF2;AURKA;CENPE;CCNB1,,0.0
