Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590),0.2268041237113457,209.13202739252523,0.0,0.0,79,37,PSMA1;PSMD14;CALR;PSMA7;PSMC5;PSMB2;PSMB6;PSMB7;PSMB1;PSMB3;PSMF1;PSMD13;PSMD1;PSMC4;PSMD6;B2M;PSMD9;HLA-G;PSME4;VAMP3;PSMD2;PSMD8;CYBA;PSMA6;PSMD3;PSMC6;HLA-B;ITGAV;PSME3;VAMP8;PSMB9;PSMB8;HLA-C;PSMD10;TAPBP;HLA-F;HLA-E,PSMA1;PSMD14;CALR;PSMA7;PSMC5;PSMB2;PSMB6;PSMB7;PSMB1;PSMB3;PSMF1;PSMD13;PSMD1;PSMC4;PSMD6;B2M;PSMD9;HLA-G;PSME4;VAMP3;PSMD2;PSMD8;CYBA;PSMA6;PSMD3;PSMC6;HLA-B;ITGAV;PSME3;VAMP8;PSMB9;PSMB8;HLA-C;PSMD10;TAPBP;HLA-F;HLA-E
mitochondrial ATP synthesis coupled electron transport (GO:0042775),0.42037282795143655,174.50342591833288,0.0,0.0,86,39,CYCS;NDUFB9;COX8A;UQCRFS1;UQCRQ;NDUFA4;CYC1;COX5A;NDUFA3;SDHAF2;MT-ND2;MT-ND1;MT-CO3;MT-ND3;UQCRH;COX7C;NDUFS2;SDHD;UQCC3;NDUFC1;NDUFA9;PMPCB;MT-ND4L;UQCRB;NDUFA13;NDUFB1;SDHC;NDUFB5;NDUFAF1;NDUFA10;COQ7;NDUFB4;MT-ND5;NDUFS7;NDUFB11;NDUFA1;SDHA;NDUFB3;UQCRC2,CYCS;NDUFB9;COX8A;UQCRFS1;UQCRQ;NDUFA4;CYC1;COX5A;NDUFA3;SDHAF2;MT-ND2;MT-ND1;MT-CO3;MT-ND3;UQCRH;COX7C;NDUFS2;SDHD;UQCC3;NDUFC1;NDUFA9;PMPCB;MT-ND4L;UQCRB;NDUFA13;NDUFB1;SDHC;NDUFB5;NDUFAF1;NDUFA10;COQ7;NDUFB4;MT-ND5;NDUFS7;NDUFB11;NDUFA1;SDHA;NDUFB3
mitochondrial translational termination (GO:0070126),0.14950384392262606,102.28576727357763,0.0,0.0,90,55,MRPL17;MRPL21;AURKAIP1;MRPL41;GADD45GIP1;MRPL52;MRPL39;MRPL3;MRPL35;MRPL32;MRPS17;MRPL2;MRPS7;MRPS11;MRPL34;DAP3;MRPS25;MRPL42;MRPS35;MRPS26;MRPL16;MRPS28;MRPL24;MRPS6;MRPL1;MRPL57;MRPL22;MRPS9;MRPL23;MRPS10;MRPL40;MRPS2;MRPL19;MRPL54;MRPS30;MRRF;MRPS12;MRPL55;MRPL9;MRPS31;MRPL38;MRPL30;ERAL1;MRPL36;MRPL28;MRPS33;MRPS18A;MRPS22;MRPL48;MRPL45;MRPL46;MTRF1L;MRPS14;MRPL53;MRPL10,MRPL17;MRPL21;AURKAIP1;MRPL41;GADD45GIP1;MRPL52;MRPL39;MRPL3;MRPL35;MRPL32;MRPS17;MRPL2;MRPS7;MRPS11;MRPL34;DAP3;MRPS25;MRPL42;MRPS35;MRPS26;MRPL16;MRPS28;MRPL24;MRPS6;MRPL1;MRPL57;MRPL22;MRPS9;MRPL23;MRPS10;MRPL40;MRPS2;MRPL19;MRPL54;MRPS30;MRRF;MRPS12;MRPL55;MRPL9;MRPS31;MRPL38;MRPL30;ERAL1;MRPL36;MRPL28;MRPS33;MRPS18A;MRPS22;MRPL48;MRPL45;MRPL46;MTRF1L
nucleocytoplasmic transport (GO:0006913),0.449429808940824,130.72103854413717,0.0,0.0,47,20,EIF5A;SET;SNRPF;NPM1;NUTF2;SNRPE;SNRPG;SNRPB;SNRPD1;SNRPD2;PHAX;XPO1;NXT1;RITA1;NSRP1;GEMIN6;GEMIN7;AAAS;SNUPN;NEMF,EIF5A;SET;SNRPF;NPM1;NUTF2;SNRPE;SNRPG;SNRPB;SNRPD1
protein catabolic process (GO:0030163),0.22525163823257613,110.27368284481818,0.0,0.0,82,29,RAB12;HSP90AA1;PSMA1;PSMA7;PSMB2;PSMB6;PSMB7;PSMB1;PSMB3;VCP;HTRA2;BAG6;UBE2G2;PSMA6;FBXO2;MARCH6;PRSS16;UBE2G1;CLN3;USE1;IDE;MGEA5;RNF5;PSMB9;PSMB8;PPT1;TPP1;CTSD;LAMP2,RAB12;HSP90AA1;PSMA1;PSMA7;PSMB2;PSMB6;PSMB7;PSMB1
response to unfolded protein (GO:0006986),0.46092471861931505,112.55466081198921,0.0,0.0,44,19,HSPD1;HSPE1;HSP90AA1;HSP90AB1;HSPH1;HYOU1;DNAJC4;DDIT3;DAXX;HERPUD1;HSPA14;ERP44;HSPB1;SERPINH1;HSPA1A;DNAJB1;HSPA9;DERL1;HSF1,HSPD1;HSPE1;HSP90AA1;HSP90AB1;HSPH1;HYOU1;DNAJC4;DDIT3;DAXX;HERPUD1;HSPA14;ERP44;HSPB1;SERPINH1;HSPA1A;DNAJB1;HSPA9
ribosome assembly (GO:0042255),0.3152951839446948,142.46657921251625,0.0,0.0,57,24,C1QBP;NPM1;RPL12;RPS17;RPS10;RPL10;RPL5;SBDS;RPL11;MRPS7;WDR18;MRPS11;RPS15;RPSA;RPL3;RPF1;RPS19;PPAN;DDX3X;RSL24D1;RPS27L;ERAL1;EIF2A;MTERF4,C1QBP;NPM1;RPL12;RPS17;RPS10;RPL10;RPL5;SBDS;RPL11;MRPS7;WDR18;MRPS11;RPS15;RPSA;RPL3;RPF1;RPS19;PPAN;DDX3X
spliceosomal complex assembly (GO:0000245),0.18754934575256677,164.2989529185022,0.0,0.0,42,26,SRSF6;SNRPE;SNRPG;SNRPD1;LSM4;SNRPD2;TXNL4A;NOL3;LUC7L;PRPF6;CELF1;SRSF1;SRSF10;DDX1;SF1;YTHDC1;LUC7L3;SNRNP200;SRSF5;SF3A2;SF3B1;SCAF11;SETX;CRNKL1;SRPK2;TXNL4B,SRSF6;SNRPE;SNRPG
viral transcription (GO:0019083),0.48248274241470673,229.01333826735092,0.0,0.0,114,52,RPS13;RPL35;RPL27;RPL32;RPL12;RPL7A;RPL35A;RPS17;RPS10;RPL21;RPL10;RPS24;RPL36;RPS18;RPS26;RPL5;RPL28;RPL11;NUP62;RPL22;RPL37;RPS15A;RPL13;RPS8;RPL36A;RPL39;RPL34;RPS11;RPS29;RPS15;RPL30;RPL13A;RPSA;RPS20;UBA52;RPL7;RPS9;RPL3;DHX9;RPS19;NUP37;RPL15;RPS4X;RPS6;RPL14;RPS3A;RPS16;MRPS12;TPR;NUP85;AAAS;SEH1L,RPS13;RPL35;RPL27;RPL32;RPL12;RPL7A;RPL35A;RPS17;RPS10;RPL21;RPL10;RPS24;RPL36;RPS18;RPS26;RPL5;RPL28;RPL11;NUP62;RPL22;RPL37;RPS15A;RPL13;RPS8;RPL36A;RPL39;RPL34;RPS11;RPS29;RPS15;RPL30;RPL13A;RPSA;RPS20;UBA52;RPL7;RPS9;RPL3;DHX9;RPS19;NUP37;RPL15;RPS4X;RPS6;RPL14
NIK/NF-kappaB signaling (GO:0038061),0.13643216080401205,inf,,0.0,81,34,PSMA1;PSMD14;PSMA7;PSMC5;PSMB2;PSMB6;PSMB7;PSMB1;PSMB3;PSMF1;UBA52;PSMD13;ZFP91;PSMD1;RELA;PSMC4;PSMD6;PSMD9;PSME4;PSMD2;PSMD8;PSMA6;PSMD3;PSMC6;PSME3;PSMB9;UBE2M;COPS8;PSMB8;BIRC2;PSMD10;REL;UBC;TANK,PSMA1;PSMD14;PSMA7;PSMC5;PSMB2;PSMB6;PSMB7;PSMB1;PSMB3;PSMF1;UBA52;PSMD13;ZFP91;PSMD1;RELA;PSMC4;PSMD6;PSMD9;PSME4;PSMD2;PSMD8;PSMA6;PSMD3;PSMC6;PSME3;PSMB9;UBE2M;COPS8;PSMB8;BIRC2;PSMD10;REL;UBC;TANK
