Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
RNA splicing (GO:0008380),-0.13194125745755064,-176.6015331636344,0.0,0.0,107,73,NCBP1;PRPF4;LSM4;DDX23;KHSRP;SNRPA1;RP9;SNRNP70;SNRNP48;EFTUD2;MTERF3;SNRPF;SNRNP25;SNRPG;RNPS1;SF3A3;MPHOSPH10;SF3B2;MAGOHB;SRSF7;SRSF2;SYNCRIP;TXNL4A;SRPK1;SNRNP40;LSM1;SNRPB;SF3B3;SRSF10;PPP2CA;NCBP2;CDC40;BCAS2;SMNDC1;ZMAT5;SNRPD1;RRAGC;SRRM1;PTBP1;TARDBP;PPIG;NOL3;SFPQ;SLU7;HNRNPH3;LUC7L3;PRPF4B;DHX8;CDK12;DHX16;SF3B4;SRSF4;TRA2B;SNRPD3;SRSF11;PRPF18;RNF113A;RSRC1;DHX15;ZCRB1;LSM6;SF3A2;SMU1;NONO;MTERF4;HNRNPC;PPP2R1A;PRPF6;SF3B1;EIF4A3;MBNL1;SNRPD2;SNRPN,NCBP1;PRPF4;LSM4;DDX23;KHSRP;SNRPA1;RP9;SNRNP70;SNRNP48;EFTUD2;MTERF3;SNRPF;SNRNP25;SNRPG;RNPS1;SF3A3;MPHOSPH10;SF3B2;MAGOHB;SRSF7;SRSF2;SYNCRIP;TXNL4A;SRPK1;SNRNP40;LSM1;SNRPB;SF3B3;SRSF10;PPP2CA;NCBP2;CDC40;BCAS2;SMNDC1;ZMAT5;SNRPD1;RRAGC;SRRM1;PTBP1;TARDBP;PPIG;NOL3;SFPQ;SLU7;HNRNPH3;LUC7L3;PRPF4B;DHX8;CDK12;DHX16;SF3B4;SRSF4;TRA2B;SNRPD3;SRSF11;PRPF18;RNF113A;RSRC1;DHX15;ZCRB1;LSM6;SF3A2;SMU1;NONO;MTERF4;HNRNPC;PPP2R1A;PRPF6;SF3B1;EIF4A3;MBNL1;SNRPD2;SNRPN
cellular protein modification process (GO:0006464),-0.13879019363621228,inf,,0.0,1002,273,STC2;DUSP6;STK25;BMP2K;CAMK1;HERC5;DUSP4;PLK2;IRAK1;RPS6KA4;WDR5;PSMD14;UBE2S;PGP;CUL4A;UCHL3;MAPK9;DUSP11;PLAUR;PRKAR1B;CDK1;PSMA1;CDK4;SSH1;PSMD1;OGFOD1;PPP4R1;STK26;VRK1;LRR1;UBE2M;PSMD11;CTDNEP1;PSMD3;PPM1G;UBLCP1;PSMC2;COPS3;PSMB10;PSME3;AURKB;FAM20C;FBXO22;PTAR1;PTPN1;UBE2D2;PSMC5;NEK6;UBE2N;GAS6;ASB8;CSNK2A1;PDPK1;QSOX1;B3GALT6;UBE2F;PTPN18;CDK9;TGFBR2;PSMD5;PSMC3;CDC34;PIGH;GPS1;ATG10;PAK1;ALG3;DCAF10;MGAT1;ISG15;SEPHS1;MSRA;B4GALT7;PRKDC;GOLM1;CDK11A;MKNK2;CHEK1;PSMD7;DCAF13;PSMD13;PSMF1;PPP5C;PPP2CB;FUCA2;RAB8A;ATE1;PSME2;PSMD2;UBE2D3;CLK3;FBXW5;ASB1;PSMA5;ILK;THBS1;PSMB7;SDHAF2;METAP2;DDA1;CDK11B;STK17B;PHKG2;NRBP1;PSMD12;PSMC6;TP53RK;CDK6;CDK16;TLK1;MAP4K3;SRPK1;DSP;CTDSP1;VRK2;ERO1A;TAOK1;RPS6KB2;NAE1;ATG3;PMM2;GGCX;ICMT;DDB1;CSNK1E;METAP1;CSNK1G3;PTPN12;STK38L;PLOD2;PSMA6;UBE2L6;PPP2CA;STK17A;MAP4K4;PSMC4;MAPK8;VHL;BIRC5;CCNF;TLK2;PORCN;PSMA3;MINK1;RCN1;PSMD9;FBXL15;FSTL3;COPS8;PINK1;KLHL42;ABL2;TAOK3;MKNK1;SKP2;PHPT1;PSMB3;BIRC6;LGALS1;PPP6C;UBE2L3;MPI;COPS6;STK3;PARK7;MAP3K2;EIF2AK4;TGOLN2;CDK5;MCRS1;ROCK2;SHISA5;ATM;CALU;UBE2I;PSMD4;ANXA1;PSMA7;MAPKAPK2;ALG5;PTPN13;FBXO2;PSMB6;PSMD6;ATG5;PLOD1;FBXO7;OXSR1;PSMA4;FN1;GPAA1;DUSP10;CKAP4;RAF1;PSMB4;FASTK;PSMA2;KIAA1586;FAM20B;PSMC1;CDK7;PRPF4B;CDK12;UBE2E2;PAK2;FBXW11;RAB1B;RBBP7;PSMB9;IGFBP7;MAPK1;PSMB1;PSMB2;PPP1R12A;TULP4;RBBP5;RABGGTB;WDYHV1;NUCB1;ILF3;PTPN14;PPP1CA;PSME4;KLHL5;CREB1;PPP1CC;PPP4R2;KRT10;RPN2;DUSP12;FBXO21;CSNK1A1;STK38;COMMD1;COPS7A;HIF1A;PDIA6;RBX1;PSMB8;PSMB5;PPP3CA;COPS5;DDB2;PPP2R1A;PRSS23;PSMD10;CUL5;UBE2E1;EIF2AK2;MGEA5;RAB1A;WDR45;WIPI2;DCAF7;PTP4A2;PPP2R2A;FBXO9;DCUN1D1;LAMC1;SDF2;DNAJC3;AURKA;PSMD8;KTN1;UBA52;RNF7;UBL5;HSP90B1;RAB13;CSTA;JAK1;IVL;SPRR1B,IVL;SPRR1B
ncRNA processing (GO:0034470),0.44133842613580776,1.9419739510271776,0.0,0.1890390995456879,228,128,RPP40;RIOK1;PNO1;NOP56;DKC1;PDCD11;RRP1;UTP14A;BOP1;BYSL;NOL11;WDR43;NOLC1;NOC4L;LYAR;EXOSC9;EXOSC2;UTP20;IMP4;EXOSC8;RPP25;DDX49;MRTO4;LTV1;TSR1;UTP6;NCBP1;BMS1;SSB;UTP3;RRP7A;SBDS;NOB1;KRR1;AARS;WDR75;EXOSC6;DDX56;PES1;EXOSC1;INTS1;RPP30;LAS1L;POP7;FARS2;WDR3;RRP36;SARS;WDR36;RRP9;INTS10;WDR46;NOL9;KARS;NOL8;NOP14;HEATR1;TEX10;SRRT;PELP1;EXOSC5;MPHOSPH6;NOP58;RPP38;EXOSC3;EMG1;EBNA1BP2;DCAF13;POP1;MPHOSPH10;PRKRA;RRP1B;RPF1;POP4;ISG20L2;THG1L;CSNK1E;UTP18;RPP21;DHX37;SNU13;DIEXF;EXOSC10;IMP3;ADAR;RPS13;DDX52;PIH1D1;EXOSC4;DDX27;HNRNPA2B1;DIS3;XRN2;EXOSC7;WDR18;RPL35;C1D;AGO2;MRPS12;RPL12;RPL10;FCF1;ZCCHC11;DICER1;RPL32;RPL27;RPS2;RPL37A;RPLP2;RPL35A;RPS14;RPL41;RPL19;RPL10A;UBA52;RPL26;RPL28;RPS11;RPS23;RPL21;RPLP0;RPS9;RPS20;RPS21;RPL36A;RPL5;RPL29;RPL23,RPP40;RIOK1;PNO1;NOP56;DKC1;PDCD11;RRP1;UTP14A;BOP1;BYSL;NOL11;WDR43;NOLC1;NOC4L;LYAR;EXOSC9;EXOSC2;UTP20;IMP4;EXOSC8;RPP25;DDX49;MRTO4;LTV1;TSR1;UTP6;NCBP1;BMS1;SSB;UTP3;RRP7A;SBDS;NOB1;KRR1;AARS;WDR75;EXOSC6;DDX56;PES1;EXOSC1;INTS1;RPP30;LAS1L;POP7;FARS2;WDR3;RRP36;SARS;WDR36;RRP9;INTS10;WDR46;NOL9;KARS;NOL8;NOP14;HEATR1;TEX10;SRRT;PELP1;EXOSC5;MPHOSPH6;NOP58;RPP38;EXOSC3;EMG1
positive regulation of cell growth (GO:0030307),0.5504910825588527,2.0109141215538324,0.0,0.19277320521572622,99,29,CDKN2AIP;NGF;SPHK1;FXN;BDNF;EXOSC9;HIST1H1B;EXOSC2;L1CAM;NCBP1;FGFR1OP;INO80;USP47;EIF4G1;SLC25A33;CSNK2A1;MACF1;TAF9;CXCL16;EXOSC4;MTPN;CIB1;EIF4G2;GOLGA4;PSMD10;EGFR;TWF2;DDX3X;SHTN1,CDKN2AIP;NGF;SPHK1;FXN;BDNF;EXOSC9;HIST1H1B;EXOSC2;L1CAM;NCBP1;FGFR1OP;INO80;USP47;EIF4G1;SLC25A33;CSNK2A1
activation of MAPK activity (GO:0000187),0.4992844195484162,1.9456808435282784,0.011494252873563218,0.2140109312140689,118,25,DUSP6;NRG1;IL1B;IRAK1;IKBKG;RIPK1;DBNL;TGFA;CDK1;UBE2N;KARS;ADORA2B;PEA15;MAP2K3;THBS1;TAOK1;SPAG9;MAP3K2;MAPKAPK2;MAPK1;HACD3;SHC1;UBC;DAXX;UBA52,DUSP6;NRG1;IL1B;IRAK1;IKBKG;RIPK1;DBNL;TGFA;CDK1
rRNA metabolic process (GO:0016072),0.45972919837821863,1.9771783952555737,0.0,0.22054561613663587,201,115,RPP40;RIOK1;PNO1;CD3EAP;NOP56;DKC1;PDCD11;RRP1;UTP14A;BOP1;BYSL;NOL11;WDR43;NIFK;NOLC1;NOC4L;MARS;LYAR;EXOSC9;EXOSC2;UTP20;IMP4;EXOSC8;RPP25;DDX49;MRTO4;LTV1;TSR1;UTP6;BMS1;UTP3;RRP7A;SBDS;NOB1;KRR1;WDR75;EXOSC6;DDX56;PES1;EXOSC1;RPP30;LAS1L;WDR3;RRP36;WDR36;RRP9;WDR46;NOL9;NOL8;NOP14;HEATR1;TEX10;PELP1;EXOSC5;MPHOSPH6;NOP58;RPP38;GTF3A;EXOSC3;EMG1;EBNA1BP2;DCAF13;MPHOSPH10;RRP1B;RPF1;POP4;ISG20L2;CSNK1E;UTP18;RPP21;DHX37;SNU13;DIEXF;EXOSC10;IMP3;RPS13;DDX52;PIH1D1;EXOSC4;DDX27;DIS3;XRN2;EXOSC7;WDR18;RPL35;C1D;SIRT7;MRPS12;RPL12;RPL10;FCF1;RPL32;RPL27;RPS2;RPL37A;RPLP2;RPL35A;RPS14;RPL41;RPL19;RPL10A;UBA52;RPL26;RPL28;RPS11;RPS23;RPL21;RPLP0;RPS9;RPS20;RPS21;RPL36A;RPL5;RPL29;RPL23,RPP40;RIOK1;PNO1;CD3EAP;NOP56;DKC1;PDCD11;RRP1;UTP14A;BOP1;BYSL;NOL11;WDR43;NIFK;NOLC1;NOC4L;MARS;LYAR;EXOSC9;EXOSC2;UTP20;IMP4;EXOSC8;RPP25;DDX49;MRTO4;LTV1;TSR1;UTP6;BMS1;UTP3;RRP7A;SBDS;NOB1;KRR1;WDR75;EXOSC6;DDX56;PES1;EXOSC1;RPP30;LAS1L;WDR3;RRP36;WDR36;RRP9;WDR46;NOL9;NOL8;NOP14;HEATR1;TEX10;PELP1;EXOSC5;MPHOSPH6;NOP58;RPP38;GTF3A;EXOSC3;EMG1
tRNA aminoacylation (GO:0043039),0.5294413533333882,1.8915386214011332,0.0,0.22762485813608344,41,28,GARS;AIMP2;YARS;VARS;MARS;EEF1E1;IARS;AARS;HARS;CARS;EPRS;TARS;FARS2;SARS;FARSB;YARS2;KARS;FARSA;WARS;GATC;LARS;NARS;AIMP1;PPA1;IARS2;PPA2;DARS;RARS,GARS;AIMP2;YARS;VARS;MARS;EEF1E1;IARS;AARS;HARS;CARS;EPRS;TARS;FARS2;SARS;FARSB;YARS2;KARS;FARSA;WARS;GATC;LARS;NARS
extracellular matrix disassembly (GO:0022617),0.5802248932738243,1.9047266089783594,0.0,0.23647391063539291,79,16,MMP1;KLK5;LAMC2;CD44;LAMA3;NOXO1;LCP1;ADAM15;CTSL;LAMB3;FN1;BSG;CTSV;CAPN2;CAPNS1;LAMC1,MMP1;KLK5;LAMC2;CD44;LAMA3;NOXO1
ribosome biogenesis (GO:0042254),0.4469922485346074,1.950522356195813,0.0,0.2391694681659518,227,141,RPP40;RIOK1;PNO1;PAK1IP1;LSG1;NOP56;RPF2;DKC1;PDCD11;RRP1;UTP14A;BOP1;BYSL;NOL11;WDR43;NOLC1;NOC4L;LYAR;WDR74;EXOSC9;NOP16;NOM1;EXOSC2;UTP20;IMP4;EXOSC8;RPP25;DDX49;MRTO4;LTV1;TSR1;UTP6;DDX31;RRS1;BMS1;UTP3;RRP7A;SURF6;SBDS;NOB1;KRR1;SDAD1;XPO1;WDR75;EXOSC6;DDX56;PES1;EXOSC1;RPP30;LAS1L;WDR3;RRP36;WDR36;RRP9;WDR46;NOL9;NVL;NOL8;NOP14;HEATR1;GNL3;TEX10;PELP1;EXOSC5;MPHOSPH6;MALSU1;NOP58;MTERF3;EIF6;RPP38;GTF3A;EXOSC3;AAMP;EMG1;MTG1;EBNA1BP2;DCAF13;MPHOSPH10;NOC2L;RRP1B;RPF1;NIP7;POP4;ISG20L2;GNL3L;CSNK1E;UTP18;RPP21;DHX37;SNU13;DIEXF;YAE1D1;EXOSC10;RAN;RPL26L1;IMP3;RPS13;DDX52;NPM1;PIH1D1;GNL1;EXOSC4;DDX27;DIS3;XRN2;EXOSC7;WDR18;RPL35;C1D;ZNF622;MTERF4;MRPS12;RPL12;RPL10;FCF1;ABCE1;RPL32;EIF2A;RPL27;RPS2;RPL37A;RPLP2;RPL35A;RPS14;RPL41;RPL19;RPL10A;UBA52;RPL26;RPL28;RPS11;RPS23;RPL21;RPLP0;RPS9;RPS20;RPS21;RPL36A;RPL5;RPL29;RPL23,RPP40;RIOK1;PNO1;PAK1IP1;LSG1;NOP56;RPF2;DKC1;PDCD11;RRP1;UTP14A;BOP1;BYSL;NOL11;WDR43;NOLC1;NOC4L;LYAR;WDR74;EXOSC9;NOP16;NOM1;EXOSC2;UTP20;IMP4;EXOSC8;RPP25;DDX49;MRTO4;LTV1;TSR1;UTP6;DDX31;RRS1;BMS1;UTP3;RRP7A;SURF6;SBDS;NOB1;KRR1;SDAD1;XPO1;WDR75;EXOSC6;DDX56;PES1;EXOSC1;RPP30;LAS1L;WDR3;RRP36;WDR36;RRP9;WDR46;NOL9;NVL;NOL8;NOP14;HEATR1;GNL3;TEX10;PELP1;EXOSC5;MPHOSPH6;MALSU1;NOP58;MTERF3;EIF6;RPP38;GTF3A;EXOSC3;AAMP;EMG1;MTG1;EBNA1BP2;DCAF13
regulation of endothelial cell proliferation (GO:0001936),-0.22228924768998362,-67.09717330738458,0.0,0.25005140859551717,80,18,CDH13;HMGB2;RGCC;EGFL7;CCL26;CAV2;THBS1;VEGFB;AIMP1;NRAS;PDCL3;KRIT1;STAT1;MYDGF;HIF1A;ATP5A1;PDCD6;SEMA5A,SEMA5A
