Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Pyrimidine metabolism,0.5794860733498735,2.4315045131876847,0.02631578947368421,0.05035596457718354,57,16,NT5E;RRM2;NME1;DCTD;NT5C;TK1;UPP1;DTYMK;TYMP;NME4;TYMS;PNP;CDA;NT5C3B;DCTPP1;DUT,NT5E;RRM2;NME1;DCTD;NT5C;TK1;UPP1;DTYMK;TYMP;NME4;TYMS;PNP;CDA
DNA replication,0.525967384167473,2.087295663176735,0.0125,0.11279736065289113,36,15,FEN1;RFC2;PCNA;POLE3;RNASEH2B;RFC4;RNASEH2C;RNASEH1;POLE4;RPA3;RNASEH2A;RFC3;POLD2;RFC1;SSBP1,FEN1;RFC2;PCNA;POLE3;RNASEH2B;RFC4;RNASEH2C;RNASEH1;POLE4;RPA3;RNASEH2A;RFC3;POLD2
Toxoplasmosis,0.44370433574250456,2.1099803460061346,0.013513513513513514,0.12085431498524049,113,19,IRAK1;IKBKG;PPIF;LAMC2;XIAP;MAP2K3;HSPA8;CYCS;LAMA3;CASP8;HSPA1A;HSPA1B;BCL2L1;BAD;LAMA4;GNAI2;ITGB1;ITGA6;MAPK13,IRAK1;IKBKG;PPIF;LAMC2;XIAP;MAP2K3;HSPA8
Purine metabolism,0.5072263261947342,2.181226695444,0.0,0.13596110435839556,129,17,NT5E;HPRT1;AK1;RRM2;NME1;NT5C;ITPA;NME4;PAICS;GUK1;PNP;PKM;NUDT5;NT5C3B;APRT;DGUOK;ADK,NT5E;HPRT1;AK1;RRM2;NME1;NT5C;ITPA;NME4;PAICS;GUK1;PNP;PKM;NUDT5
MAPK signaling pathway,0.4799452190637429,2.1186777194455293,0.012345679012345678,0.14435376512125947,295,24,IRAK1;DUSP6;IKBKG;AREG;RAC3;FLNA;MAP2K3;GNG12;HSPA8;RRAS2;MAX;GADD45A;HRAS;HSPA1A;HSPA1B;MET;MKNK1;PAK1;TAOK3;GRB2;TRADD;MAPK13;JUN;MAP3K13,IRAK1;DUSP6;IKBKG;AREG;RAC3;FLNA;MAP2K3;GNG12;HSPA8;RRAS2
Alzheimer disease,-0.27438916782924894,-15.795794155341284,0.125,0.30850131463628394,171,39,CYCS;NDUFB8;UQCRFS1;COX5A;CASP8;COX8A;BID;NDUFV3;NDUFS3;SDHB;BAD;NDUFV1;NDUFS8;NDUFA8;NDUFB2;CALM1;UQCRQ;NDUFB9;RTN4;NDUFV2;NDUFA3;CALM3;CYC1;NDUFS2;NDUFC2;NDUFS7;NDUFB6;NDUFA6;NDUFB1;NDUFA13;COX5B;CALM2;COX6A1;NDUFA4;GAPDH;COX4I1;NDUFS5;NDUFS6;NDUFA1,NDUFB8;UQCRFS1;COX5A;CASP8;COX8A;BID;NDUFV3;NDUFS3;SDHB;BAD;NDUFV1;NDUFS8;NDUFA8;NDUFB2;CALM1;UQCRQ;NDUFB9;RTN4;NDUFV2;NDUFA3;CALM3;CYC1;NDUFS2;NDUFC2;NDUFS7;NDUFB6;NDUFA6;NDUFB1;NDUFA13;COX5B;CALM2;COX6A1;NDUFA4;GAPDH;COX4I1;NDUFS5;NDUFS6;NDUFA1
Nucleotide excision repair,0.477340177301335,1.8400115644455928,0.038461538461538464,0.3827053307865949,47,15,RFC2;PCNA;POLE3;GTF2H1;CETN2;RFC4;GTF2H2;CUL4A;POLE4;RPA3;RFC3;POLD2;RFC1;GTF2H5;RAD23B,RFC2;PCNA;POLE3;GTF2H1;CETN2;RFC4;GTF2H2;CUL4A;POLE4;RPA3;RFC3;POLD2
Small cell lung cancer,0.4414478976154664,1.840718497201961,0.04878048780487805,0.44313248827921514,93,18,IKBKG;LAMC2;XIAP;CDK4;FN1;CYCS;BAX;MAX;LAMA3;CKS1B;GADD45A;CKS2;BCL2L1;ITGA3;LAMA4;CDK6;ITGB1;ITGA6,IKBKG;LAMC2;XIAP;CDK4;FN1;CYCS;BAX;MAX;LAMA3;CKS1B;GADD45A
Hepatitis B,0.42597929049905775,1.6368520445876265,0.07228915662650602,0.5058837672138592,163,20,IRAK1;IKBKG;MAP2K3;PCNA;CCNA2;CYCS;BAX;BIRC5;VDAC3;CASP8;HRAS;BID;BAD;YWHAQ;YWHAB;IRF3;ATF6B;GRB2;MAPK13;JUN,IRAK1;IKBKG;MAP2K3;PCNA;CCNA2;CYCS;BAX;BIRC5;VDAC3;CASP8;HRAS;BID
Cell cycle,0.4111715530645627,1.6531226192148458,0.03225806451612903,0.5127915726109857,124,29,MAD1L1;PKMYT1;CDK1;CDK4;PCNA;TFDP1;BUB3;DBF4;CCNA2;SMC3;SFN;MAD2L2;GADD45A;ORC6;STAG2;ORC3;YWHAH;BUB1B;CHEK1;YWHAQ;HDAC1;CDK6;PTTG1;YWHAB;CDC26;PRKDC;CDC20;CCNB2;RAD21,MAD1L1;PKMYT1;CDK1;CDK4;PCNA;TFDP1;BUB3;DBF4;CCNA2;SMC3;SFN;MAD2L2;GADD45A;ORC6;STAG2;ORC3;YWHAH;BUB1B
