Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Non-alcoholic fatty liver disease (NAFLD),-0.16800216890787234,-16.12629488456193,0.6666666666666666,0.12524084778420036,149,36,EIF2S1;MLX;BID;CYCS;NDUFAB1;NDUFA8;NDUFA10;CYC1;COX5A;UQCRFS1;NDUFS7;NDUFB2;NDUFA6;NDUFS8;NDUFV3;BAX;NDUFA3;NDUFB9;NDUFB8;SDHB;UQCR11;COX8A;NDUFS3;COX7B;NDUFB6;NDUFA9;NDUFA12;NDUFS4;NDUFB7;UQCRQ;NDUFB11;NDUFA13;NDUFA11;COX4I1;UQCRH;COX6A1,MLX;BID;CYCS;NDUFAB1;NDUFA8;NDUFA10;CYC1;COX5A;UQCRFS1;NDUFS7;NDUFB2;NDUFA6;NDUFS8;NDUFV3;BAX;NDUFA3;NDUFB9;NDUFB8;SDHB;UQCR11;COX8A;NDUFS3;COX7B;NDUFB6;NDUFA9;NDUFA12;NDUFS4;NDUFB7;UQCRQ;NDUFB11;NDUFA13;NDUFA11;COX4I1;UQCRH;COX6A1
Necroptosis,-0.3534312326187644,-14.462648413414431,0.08333333333333333,0.15173410404624277,162,18,PGAM5;BID;SLC25A4;VDAC2;VDAC3;HIST2H2AC;SLC25A5;H2AFZ;HSP90AA1;VDAC1;CHMP4A;BAX;CAPN1;STAT1;H2AFY;CHMP2A;HIST3H2A;TNFSF10,HIST3H2A;TNFSF10
Huntington disease,-0.16575593695804275,-16.727792581197228,0.0,0.17341040462427745,193,52,PPIF;AP2A1;CYCS;NDUFAB1;POLR2I;POLR2E;POLR2H;SLC25A4;POLR2G;VDAC2;NDUFA8;VDAC3;NDUFA10;CYC1;COX5A;TFAM;UQCRFS1;SLC25A5;NDUFS7;NDUFB2;NDUFA6;NDUFS8;VDAC1;POLR2L;NDUFV3;BAX;NDUFA3;NDUFB9;NDUFB8;SDHB;POLR2K;SOD2;UQCR11;POLR2F;COX8A;CLTB;NDUFS3;COX7B;NDUFB6;GPX1;NDUFA9;NDUFA12;NDUFS4;NDUFB7;UQCRQ;NDUFB11;NDUFA13;NDUFA11;COX4I1;UQCRH;SOD1;COX6A1,CYCS;NDUFAB1;POLR2I;POLR2E;POLR2H;SLC25A4;POLR2G;VDAC2;NDUFA8;VDAC3;NDUFA10;CYC1;COX5A;TFAM;UQCRFS1;SLC25A5;NDUFS7;NDUFB2;NDUFA6;NDUFS8;VDAC1;POLR2L;NDUFV3;BAX;NDUFA3;NDUFB9;NDUFB8;SDHB;POLR2K;SOD2;UQCR11;POLR2F;COX8A;CLTB;NDUFS3;COX7B;NDUFB6;GPX1;NDUFA9;NDUFA12;NDUFS4;NDUFB7;UQCRQ;NDUFB11;NDUFA13;NDUFA11;COX4I1;UQCRH;SOD1;COX6A1
Spliceosome,-0.1694506514563647,-13.534196718101429,0.0,0.18497109826589597,134,45,PQBP1;EFTUD2;THOC2;LSM4;SNRNP70;HSPA8;SRSF9;SNRPA1;SNRNP40;HSPA1A;PRPF31;SRSF7;PPIE;LSM3;PRPF38A;SNU13;SNRPA;DDX46;SNRPG;SF3B4;RBM8A;RBM17;SNRNP27;SNRPB;SNRPE;SNRPF;TCERG1;TXNL4A;PHF5A;SNRPD1;EIF4A3;SF3A2;SF3B5;MAGOHB;BCAS2;LSM2;BUD31;CCDC12;LSM7;NCBP2;SRSF2;DDX42;SNRPD2;HNRNPA3;SRSF4,SNRNP70;HSPA8;SRSF9;SNRPA1;SNRNP40;HSPA1A;PRPF31;SRSF7;PPIE;LSM3;PRPF38A;SNU13;SNRPA;DDX46;SNRPG;SF3B4;RBM8A;RBM17;SNRNP27;SNRPB;SNRPE;SNRPF;TCERG1;TXNL4A;PHF5A;SNRPD1;EIF4A3;SF3A2;SF3B5;MAGOHB;BCAS2;LSM2;BUD31;CCDC12;LSM7;NCBP2;SRSF2;DDX42;SNRPD2;HNRNPA3;SRSF4
Oxidative phosphorylation,-0.2636766748648046,-12.289982528758953,0.07692307692307693,0.2167630057803468,133,37,NDUFAB1;PPA1;NDUFA8;NDUFA10;CYC1;COX5A;UQCRFS1;NDUFS7;NDUFB2;NDUFA6;ATP6AP1;NDUFS8;PPA2;NDUFV3;NDUFA3;NDUFB9;NDUFB8;SDHB;ATP6V0B;ATP6V1F;ATP6V0D1;UQCR11;COX8A;NDUFS3;COX7B;NDUFB6;NDUFA9;NDUFA12;NDUFS4;NDUFB7;UQCRQ;NDUFB11;NDUFA13;NDUFA11;COX4I1;UQCRH;COX6A1,NDUFA8;NDUFA10;CYC1;COX5A;UQCRFS1;NDUFS7;NDUFB2;NDUFA6;ATP6AP1;NDUFS8;PPA2;NDUFV3;NDUFA3;NDUFB9;NDUFB8;SDHB;ATP6V0B;ATP6V1F;ATP6V0D1;UQCR11;COX8A;NDUFS3;COX7B;NDUFB6;NDUFA9;NDUFA12;NDUFS4;NDUFB7;UQCRQ;NDUFB11;NDUFA13;NDUFA11;COX4I1;UQCRH;COX6A1
Apoptosis,-0.3401574845198315,-9.959975769990105,0.0,0.3323699421965318,143,17,EIF2S1;TUBA1B;MAPK3;TUBA1C;BID;CYCS;HRAS;TUBA4A;CTSC;CTSL;BAX;BAD;CAPN1;DFFA;ACTB;CTSH;TNFSF10,CTSH;TNFSF10
Thermogenesis,-0.11803023737970476,-17.292383828842393,0.8,0.3468208092485549,231,46,NDUFAF4;NDUFAF2;MLST8;NDUFAB1;HRAS;MAPK13;NDUFA8;COA4;NDUFA10;CYC1;COX5A;UQCRFS1;COX14;NDUFS7;NDUFB2;NDUFA6;COA6;NDUFS8;NDUFV3;NDUFA3;NDUFB9;NDUFB8;SDHB;RPS6KB2;NDUFAF3;UQCR11;COX8A;NDUFS3;COX7B;AKT1S1;COA1;NDUFB6;ACTB;COA5;NDUFA9;NDUFA12;NDUFS4;NDUFB7;COX20;UQCRQ;NDUFB11;NDUFA13;NDUFA11;COX4I1;UQCRH;COX6A1,NDUFA8;COA4;NDUFA10;CYC1;COX5A;UQCRFS1;COX14;NDUFS7;NDUFB2;NDUFA6;COA6;NDUFS8;NDUFV3;NDUFA3;NDUFB9;NDUFB8;SDHB;RPS6KB2;NDUFAF3;UQCR11;COX8A;NDUFS3;COX7B;AKT1S1;COA1;NDUFB6;ACTB;COA5;NDUFA9;NDUFA12;NDUFS4;NDUFB7;COX20;UQCRQ;NDUFB11;NDUFA13;NDUFA11;COX4I1;UQCRH;COX6A1
Parkinson disease,-0.19091537213916623,-9.344478806637897,0.23076923076923078,0.35324341682723187,142,43,PPIF;CYCS;NDUFAB1;SLC25A4;VDAC2;NDUFA8;VDAC3;NDUFA10;CYC1;COX5A;UQCRFS1;SLC25A5;NDUFS7;NDUFB2;NDUFA6;UBE2J2;NDUFS8;VDAC1;NDUFV3;PARK7;NDUFA3;NDUFB9;NDUFB8;SDHB;UQCR11;UBE2L3;COX8A;NDUFS3;COX7B;UBA1;NDUFB6;NDUFA9;NDUFA12;UCHL1;NDUFS4;NDUFB7;UQCRQ;NDUFB11;NDUFA13;NDUFA11;COX4I1;UQCRH;COX6A1,CYCS;NDUFAB1;SLC25A4;VDAC2;NDUFA8;VDAC3;NDUFA10;CYC1;COX5A;UQCRFS1;SLC25A5;NDUFS7;NDUFB2;NDUFA6;UBE2J2;NDUFS8;VDAC1;NDUFV3;PARK7;NDUFA3;NDUFB9;NDUFB8;SDHB;UQCR11;UBE2L3;COX8A;NDUFS3;COX7B;UBA1;NDUFB6;NDUFA9;NDUFA12;UCHL1;NDUFS4;NDUFB7;UQCRQ;NDUFB11;NDUFA13;NDUFA11;COX4I1;UQCRH;COX6A1
MAPK signaling pathway,0.4842178473852874,1.9591721165993305,0.023809523809523808,0.35751295336787564,295,15,IRAK1;PPP5C;MAX;MAPK3;AREG;RAC3;HRAS;FLNA;MAPK13;HSPA8;RRAS2;HSPA1A;RRAS;PAK1;STMN1,IRAK1;PPP5C;MAX;MAPK3;AREG;RAC3;HRAS;FLNA;MAPK13;HSPA8;RRAS2;HSPA1A
Alzheimer disease,-0.18254813654848118,-10.018811416538325,0.6666666666666666,0.37572254335260113,171,38,MAPK3;BID;CYCS;NDUFAB1;NDUFA8;NDUFA10;CYC1;HSD17B10;COX5A;UQCRFS1;NDUFS7;NDUFB2;NDUFA6;NDUFS8;NDUFV3;BAD;NDUFA3;NDUFB9;NDUFB8;SDHB;UQCR11;CAPN1;COX8A;NDUFS3;COX7B;NDUFB6;NDUFA9;NDUFA12;NDUFS4;NDUFB7;UQCRQ;NDUFB11;NDUFA13;NDUFA11;COX4I1;UQCRH;COX6A1;GAPDH,BID;CYCS;NDUFAB1;NDUFA8;NDUFA10;CYC1;HSD17B10;COX5A;UQCRFS1;NDUFS7;NDUFB2;NDUFA6;NDUFS8;NDUFV3;BAD;NDUFA3;NDUFB9;NDUFB8;SDHB;UQCR11;CAPN1;COX8A;NDUFS3;COX7B;NDUFB6;NDUFA9;NDUFA12;NDUFS4;NDUFB7;UQCRQ;NDUFB11;NDUFA13;NDUFA11;COX4I1;UQCRH;COX6A1;GAPDH
