Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
neutrophil activation involved in immune response (GO:0002283),-0.12255141498820536,-103.84305469587697,0.0,0.0,484,66,PNP;ACLY;PTGES2;GLA;RHOG;KCMF1;HMOX2;PA2G4;HSPA1B;CPNE1;DYNC1LI1;PSMC2;PSMD14;CCT2;PSMD1;RAB14;APRT;PSMD11;SNAP29;FUCA2;NIT2;PRDX4;GSDMD;PSMB7;PSMD12;DPP7;PSMA5;CD44;HSP90AA1;NAPRT;CYB5R3;HSP90AB1;CD47;KPNB1;ILF2;PDAP1;HSPA8;PRDX6;PLAC8;PGAM1;GPI;AP2A2;CTSZ;PRSS3;AGPAT2;SURF4;PSMB1;PSMC3;PSMD7;MIF;MLEC;NDUFC2;PSMA2;ALDOA;ANXA2;PPIA;CYBA;MGST1;CST3;CD63;SERPINB6;PSAP;CFD;GRN;CTSH;SLPI,KCMF1;HMOX2;PA2G4;HSPA1B;CPNE1;DYNC1LI1;PSMC2;PSMD14;CCT2;PSMD1;RAB14;APRT;PSMD11;SNAP29;FUCA2;NIT2;PRDX4;GSDMD;PSMB7;PSMD12;DPP7;PSMA5;CD44;HSP90AA1;NAPRT;CYB5R3;HSP90AB1;CD47;KPNB1;ILF2;PDAP1;HSPA8;PRDX6;PLAC8;PGAM1;GPI;AP2A2;CTSZ;PRSS3;AGPAT2;SURF4;PSMB1;PSMC3;PSMD7;MIF;MLEC;NDUFC2;PSMA2;ALDOA;ANXA2;PPIA;CYBA;MGST1;CST3;CD63;SERPINB6;PSAP;CFD;GRN;CTSH;SLPI
neutrophil mediated immunity (GO:0002446),-0.12255141498820536,-107.72005269111503,0.0,0.0,488,66,PNP;ACLY;PTGES2;GLA;RHOG;KCMF1;HMOX2;PA2G4;HSPA1B;CPNE1;DYNC1LI1;PSMC2;PSMD14;CCT2;PSMD1;RAB14;APRT;PSMD11;SNAP29;FUCA2;NIT2;PRDX4;GSDMD;PSMB7;PSMD12;DPP7;PSMA5;CD44;HSP90AA1;NAPRT;CYB5R3;HSP90AB1;CD47;KPNB1;ILF2;PDAP1;HSPA8;PRDX6;PLAC8;PGAM1;GPI;AP2A2;CTSZ;PRSS3;AGPAT2;SURF4;PSMB1;PSMC3;PSMD7;MIF;MLEC;NDUFC2;PSMA2;ALDOA;ANXA2;PPIA;CYBA;MGST1;CST3;CD63;SERPINB6;PSAP;CFD;GRN;CTSH;SLPI,KCMF1;HMOX2;PA2G4;HSPA1B;CPNE1;DYNC1LI1;PSMC2;PSMD14;CCT2;PSMD1;RAB14;APRT;PSMD11;SNAP29;FUCA2;NIT2;PRDX4;GSDMD;PSMB7;PSMD12;DPP7;PSMA5;CD44;HSP90AA1;NAPRT;CYB5R3;HSP90AB1;CD47;KPNB1;ILF2;PDAP1;HSPA8;PRDX6;PLAC8;PGAM1;GPI;AP2A2;CTSZ;PRSS3;AGPAT2;SURF4;PSMB1;PSMC3;PSMD7;MIF;MLEC;NDUFC2;PSMA2;ALDOA;ANXA2;PPIA;CYBA;MGST1;CST3;CD63;SERPINB6;PSAP;CFD;GRN;CTSH;SLPI
regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051439),-0.26681628224870596,-170.835745008439,0.0,0.0,73,30,PSME3;PSMC2;PSMD14;PSME2;PSMC5;PSMD1;PSMD11;PSMB4;PSMA1;PSMC1;PSMB5;PSMB7;PSMD12;PSMA5;PSMD9;PSMD4;CDC20;PSMA3;PSMC4;PSMB3;PSMB6;PSMA7;PSMB2;PSMB1;PSMC3;PSMD7;PSMA4;PSMA2;ANAPC11;CDK1,PSMC2;PSMD14;PSME2;PSMC5;PSMD1;PSMD11;PSMB4;PSMA1;PSMC1;PSMB5;PSMB7;PSMD12;PSMA5;PSMD9;PSMD4;CDC20;PSMA3;PSMC4;PSMB3;PSMB6;PSMA7;PSMB2;PSMB1;PSMC3;PSMD7;PSMA4;PSMA2;ANAPC11;CDK1
cellular macromolecule biosynthetic process (GO:0034645),-0.08122605363984671,inf,,0.0,368,93,POLE3;MRPS17;MRPL3;AGO2;TOP1MT;RSL1D1;GSPT1;MRPL42;EIF4G1;MRPL34;NHP2;DRG1;DARS;MCM10;MRPL41;MRPL24;MRPL27;SET;MRPS18B;NUP62;ORC3;TSFM;BAZ1A;MRPS2;MRRF;MRPL4;MRPS12;MRPL32;PWP1;POLR2I;RPS13;CHEK1;SNU13;TARS;RPL10;MRPS9;MRPL1;MRPL52;RFC3;MRPS18C;POLR2G;ILF2;POLR2H;MRPL43;POLD2;MRPL28;MRPL9;DBF4;POLR2E;BAZ1B;RNPS1;POLR2L;RPL32;MRPS6;SARS;POLR2F;MRPL18;MRPS7;MRPS16;TOP1;TUFM;NAP1L1;PABPC4;MRPS21;MRPL13;RPS7;RPL35;RPL24;EEF1B2;RPL18;RPL27;RPL8;RPL36;RPL6;RPL5;RPS5;RPL19;RPS21;RPL35A;RPS14;RPS24;RPSA;RPL21;RPL22;RPL37A;RPS9;RPS3;RPS20;RPS29;PTMA;RPL36A;RPS3A;CDK1,POLE3;MRPS17;MRPL3;AGO2;TOP1MT;RSL1D1;GSPT1;MRPL42;EIF4G1;MRPL34;NHP2;DRG1;DARS;MCM10;MRPL41;MRPL24;MRPL27;SET;MRPS18B;NUP62;ORC3;TSFM;BAZ1A;MRPS2;MRRF;MRPL4;MRPS12;MRPL32;PWP1;POLR2I;RPS13;CHEK1;SNU13;TARS;RPL10;MRPS9;MRPL1;MRPL52;RFC3;MRPS18C;POLR2G;ILF2;POLR2H;MRPL43;POLD2;MRPL28;MRPL9;DBF4;POLR2E;BAZ1B;RNPS1;POLR2L;RPL32;MRPS6;SARS;POLR2F;MRPL18;MRPS7;MRPS16;TOP1;TUFM;NAP1L1;PABPC4;MRPS21;MRPL13;RPS7;RPL35;RPL24;EEF1B2;RPL18;RPL27;RPL8;RPL36;RPL6;RPL5;RPS5;RPL19;RPS21;RPL35A;RPS14;RPS24;RPSA;RPL21;RPL22;RPL37A;RPS9;RPS3;RPS20;RPS29;PTMA;RPL36A;RPS3A;CDK1
neutrophil degranulation (GO:0043312),-0.12255141498820536,inf,,0.0,480,66,PNP;ACLY;PTGES2;GLA;RHOG;KCMF1;HMOX2;PA2G4;HSPA1B;CPNE1;DYNC1LI1;PSMC2;PSMD14;CCT2;PSMD1;RAB14;APRT;PSMD11;SNAP29;FUCA2;NIT2;PRDX4;GSDMD;PSMB7;PSMD12;DPP7;PSMA5;CD44;HSP90AA1;NAPRT;CYB5R3;HSP90AB1;CD47;KPNB1;ILF2;PDAP1;HSPA8;PRDX6;PLAC8;PGAM1;GPI;AP2A2;CTSZ;PRSS3;AGPAT2;SURF4;PSMB1;PSMC3;PSMD7;MIF;MLEC;NDUFC2;PSMA2;ALDOA;ANXA2;PPIA;CYBA;MGST1;CST3;CD63;SERPINB6;PSAP;CFD;GRN;CTSH;SLPI,KCMF1;HMOX2;PA2G4;HSPA1B;CPNE1;DYNC1LI1;PSMC2;PSMD14;CCT2;PSMD1;RAB14;APRT;PSMD11;SNAP29;FUCA2;NIT2;PRDX4;GSDMD;PSMB7;PSMD12;DPP7;PSMA5;CD44;HSP90AA1;NAPRT;CYB5R3;HSP90AB1;CD47;KPNB1;ILF2;PDAP1;HSPA8;PRDX6;PLAC8;PGAM1;GPI;AP2A2;CTSZ;PRSS3;AGPAT2;SURF4;PSMB1;PSMC3;PSMD7;MIF;MLEC;NDUFC2;PSMA2;ALDOA;ANXA2;PPIA;CYBA;MGST1;CST3;CD63;SERPINB6;PSAP;CFD;GRN;CTSH;SLPI
proteasomal protein catabolic process (GO:0010498),-0.10674685564759161,inf,,0.0,238,42,CUL4A;SMURF2;PSME3;CRBN;RBCK1;PSMC2;PSMD14;PSME2;PSMC5;PSMD1;PSMD11;PSMB4;PSMA1;RNF126;PSMC1;PSMB5;PSMB7;PSMD12;PSMA5;PSMD9;PSMD4;UCHL1;CDC20;PSMA3;PSMC4;SHARPIN;PSMB3;PSMB6;NSFL1C;UBE2D3;HERC2;PSMA7;PSMB2;PSMB1;PSMC3;STUB1;PSMD7;PSMA4;PSMA2;ANAPC11;NFE2L2;CDK1,PSMC2;PSMD14;PSME2;PSMC5;PSMD1;PSMD11;PSMB4;PSMA1;RNF126;PSMC1;PSMB5;PSMB7;PSMD12;PSMA5;PSMD9;PSMD4;UCHL1;CDC20;PSMA3;PSMC4;SHARPIN;PSMB3;PSMB6;NSFL1C;UBE2D3;HERC2;PSMA7;PSMB2;PSMB1;PSMC3;STUB1;PSMD7;PSMA4;PSMA2;ANAPC11;NFE2L2;CDK1
rRNA metabolic process (GO:0016072),0.46131017587621637,2.1031223205005296,0.0,0.03581189331825464,201,84,CD3EAP;WDR43;BOP1;WDR46;PNO1;LTV1;BYSL;WDR3;EXOSC5;UTP14A;RRP1;NIFK;DKC1;RIOK1;NOC4L;IMP4;RRP9;PES1;NOLC1;NOP14;RPP40;EXOSC2;MRTO4;EBNA1BP2;NOP58;PELP1;EXOSC4;NOB1;GTF3A;RPF1;NOP56;DCAF13;LYAR;PDCD11;RPP38;EXOSC9;WDR18;BMS1;EXOSC3;MPHOSPH6;MRPS12;KRR1;EXOSC1;SBDS;RPS13;SNU13;NOL8;DDX52;RPL10;RRP7A;RPP21;MPHOSPH10;FBL;EXOSC8;EMG1;RPL32;DDX27;EXOSC7;POP4;RPS7;RPL35;RPL24;RPL18;RPL27;RPL8;RPL36;RPL6;RPL5;RPS5;RPL19;RPS21;RPL35A;RPS14;RPS24;RPSA;RPL21;RPL22;RPL37A;RPS9;RPS3;RPS20;RPS29;RPL36A;RPS3A,CD3EAP;WDR43;BOP1;WDR46;PNO1;LTV1;BYSL;WDR3;EXOSC5;UTP14A;RRP1;NIFK;DKC1;RIOK1;NOC4L;IMP4;RRP9;PES1;NOLC1;NOP14;RPP40;EXOSC2;MRTO4;EBNA1BP2;NOP58;PELP1;EXOSC4;NOB1;GTF3A;RPF1;NOP56;DCAF13;LYAR;PDCD11
ribosome biogenesis (GO:0042254),0.4682403896298087,2.050998485545943,0.0,0.03867684478371502,227,98,WDR43;BOP1;WDR46;PNO1;PAK1IP1;LTV1;BYSL;LSG1;WDR3;EXOSC5;UTP14A;RRP1;NOP16;SURF6;RRS1;DKC1;WDR74;GNL3;RIOK1;NOC4L;IMP4;RRP9;PES1;NOLC1;AAMP;NOP14;RPP40;EXOSC2;MRTO4;EBNA1BP2;NOP58;PELP1;RPF2;EXOSC4;NOB1;ABCE1;GTF3A;RPF1;NOP56;DCAF13;LYAR;PDCD11;NIP7;RPP38;EXOSC9;WDR18;BMS1;EXOSC3;MPHOSPH6;MRPS12;SDAD1;RAN;KRR1;EXOSC1;SBDS;MALSU1;RPS13;SNU13;NOL8;DDX52;RPL10;RRP7A;RPP21;MPHOSPH10;FBL;EXOSC8;NPM1;EMG1;EIF6;RPL32;DDX27;EXOSC7;POP4;RPS7;RPL35;RPL24;RPL18;RPL27;RPL8;RPL36;RPL6;RPL5;RPS5;RPL19;RPS21;RPL35A;RPS14;RPS24;RPSA;RPL21;RPL22;RPL37A;RPS9;RPS3;RPS20;RPS29;RPL36A;RPS3A,WDR43;BOP1;WDR46;PNO1;PAK1IP1;LTV1;BYSL;LSG1;WDR3;EXOSC5;UTP14A;RRP1;NOP16;SURF6;RRS1;DKC1;WDR74;GNL3;RIOK1;NOC4L;IMP4;RRP9;PES1;NOLC1;AAMP;NOP14;RPP40;EXOSC2;MRTO4;EBNA1BP2;NOP58;PELP1;RPF2;EXOSC4;NOB1;ABCE1;GTF3A;RPF1;NOP56;DCAF13;LYAR;PDCD11
rRNA processing (GO:0006364),0.43685451877122905,1.9661542467004258,0.0,0.07281751641378445,203,90,WDR43;BOP1;MAK16;WDR46;PNO1;LTV1;BYSL;WDR3;EXOSC5;UTP14A;RRP1;RRP15;DKC1;RIOK1;NOC4L;IMP4;RRP9;PES1;NOLC1;NOP14;RPP40;EXOSC2;MRTO4;EBNA1BP2;NOP58;RSL1D1;PELP1;EXOSC4;NOB1;NAT10;RPF1;NOP56;DCAF13;LYAR;PDCD11;NHP2;RPP38;EXOSC9;WDR18;BMS1;EXOSC3;MPHOSPH6;MRPS12;KRR1;EXOSC1;SBDS;RPS13;SNU13;NOL8;DDX52;RPL10;MRPL1;RRP7A;RPP21;TSR3;MPHOSPH10;FBL;LSM6;EXOSC8;EMG1;EIF6;RPL32;DDX27;EXOSC7;POP4;RPS7;RPL35;RPL24;RPL18;RPL27;RPL8;RPL36;RPL6;RPL5;RPS5;RPL19;RPS21;RPL35A;RPS14;RPS24;RPSA;RPL21;RPL22;RPL37A;RPS9;RPS3;RPS20;RPS29;RPL36A;RPS3A,WDR43;BOP1;MAK16;WDR46;PNO1;LTV1;BYSL;WDR3;EXOSC5;UTP14A;RRP1;RRP15;DKC1;RIOK1;NOC4L;IMP4;RRP9;PES1;NOLC1;NOP14;RPP40;EXOSC2;MRTO4;EBNA1BP2;NOP58;RSL1D1;PELP1;EXOSC4;NOB1;NAT10;RPF1;NOP56;DCAF13;LYAR;PDCD11;NHP2
ribosomal large subunit biogenesis (GO:0042273),0.5179434930437982,1.93273603513205,0.0,0.08390215005991088,64,33,BOP1;MAK16;PAK1IP1;NOP16;SURF6;RRP15;RRS1;WDR74;PES1;AAMP;PPAN;MRTO4;EBNA1BP2;RSL1D1;RPF2;GTF3A;RPF1;NHP2;NIP7;BRIX1;WDR18;SDAD1;MALSU1;SNU13;RPL10;MRPL1;NPM1;EIF6;MRPL20;RPL24;RPL6;RPL5;RPL35A,BOP1;MAK16;PAK1IP1;NOP16;SURF6;RRP15;RRS1;WDR74;PES1;AAMP;PPAN;MRTO4;EBNA1BP2;RSL1D1;RPF2;GTF3A;RPF1
