Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Ribosome,-0.10254491017964097,-101.176092711759,0.0,0.0,153,62,MRPS17;MRPL3;MRPL19;MRPL17;MRPL12;MRPL34;MRPL21;MRPL15;MRPL24;MRPL27;RPL22L1;MRPL2;MRPS10;MRPS2;MRPL4;MRPS12;MRPL32;RPS13;MRPL14;RPL10;MRPS9;MRPL1;MRPS18C;MRPL16;MRPL28;MRPL9;RPL32;MRPS6;MRPL18;MRPS7;MRPS16;MRPL33;MRPS21;MRPL13;FAU;MRPL20;RPS7;RPL35;RPL24;RPL18;RPL27;RPL8;RPL36;RPL6;RPL5;RPS5;RPL19;RPS21;RPL35A;RPS14;RPS24;RPSA;RPL21;RPL22;RPL37A;RPS9;RPS3;RPS20;RPS29;RPL36A;RPS3A;RPS27L,MRPS17;MRPL3;MRPL19;MRPL17;MRPL12;MRPL34;MRPL21;MRPL15;MRPL24;MRPL27;RPL22L1;MRPL2;MRPS10;MRPS2;MRPL4;MRPS12;MRPL32;RPS13;MRPL14;RPL10;MRPS9;MRPL1;MRPS18C;MRPL16;MRPL28;MRPL9;RPL32;MRPS6;MRPL18;MRPS7;MRPS16;MRPL33;MRPS21;MRPL13;FAU;MRPL20;RPS7;RPL35;RPL24;RPL18;RPL27;RPL8;RPL36;RPL6;RPL5;RPS5;RPL19;RPS21;RPL35A;RPS14;RPS24;RPSA;RPL21;RPL22;RPL37A;RPS9;RPS3;RPS20;RPS29;RPL36A;RPS3A;RPS27L
Huntington disease,-0.1623200436667065,-26.380788237375974,0.25,0.18095238095238095,193,43,PPIF;NDUFV3;CYC1;SDHB;TFAM;CYCS;BAX;UQCRC2;SLC25A5;NDUFB9;POLR2I;VDAC3;NDUFV1;NDUFA8;POLR2G;UQCRFS1;POLR2H;NDUFV2;NDUFA5;GPX1;AP2A2;SLC25A4;POLR2E;POLR2L;COX8A;COX5A;POLR2F;NDUFB2;NDUFB8;NDUFB5;COX7B;CLTB;SOD1;NDUFA7;NDUFA3;AP2S1;UQCR10;UQCRH;NDUFC2;NDUFB10;COX6B1;NDUFS6;COX7B2,CYC1;SDHB;TFAM;CYCS;BAX;UQCRC2;SLC25A5;NDUFB9;POLR2I;VDAC3;NDUFV1;NDUFA8;POLR2G;UQCRFS1;POLR2H;NDUFV2;NDUFA5;GPX1;AP2A2;SLC25A4;POLR2E;POLR2L;COX8A;COX5A;POLR2F;NDUFB2;NDUFB8;NDUFB5;COX7B;CLTB;SOD1;NDUFA7;NDUFA3;AP2S1;UQCR10;UQCRH;NDUFC2;NDUFB10;COX6B1;NDUFS6;COX7B2
Proteasome,-0.2614941191170014,-22.06433410806427,0.3333333333333333,0.2093877551020408,45,28,PSME3;ADRM1;PSMC2;PSMD14;PSME2;PSMC5;PSMD1;PSMD11;PSMB4;PSMA1;PSMC1;PSMB5;PSMB7;PSMD12;PSMA5;PSMD4;PSMA3;POMP;PSMC4;PSMB3;PSMB6;PSMA7;PSMB2;PSMB1;PSMC3;PSMD7;PSMA4;PSMA2,ADRM1;PSMC2;PSMD14;PSME2;PSMC5;PSMD1;PSMD11;PSMB4;PSMA1;PSMC1;PSMB5;PSMB7;PSMD12;PSMA5;PSMD4;PSMA3;POMP;PSMC4;PSMB3;PSMB6;PSMA7;PSMB2;PSMB1;PSMC3;PSMD7;PSMA4;PSMA2
Fluid shear stress and atherosclerosis,-0.3678918216006502,-20.176143672049353,0.0,0.21111111111111114,139,16,CTSL;RAC3;HSP90AA1;HSP90AB1;GSTO1;MAPK13;TXN2;PDGFA;CAV2;ACTB;CALM2;SUMO2;CYBA;MGST1;NQO1;NFE2L2,RAC3;HSP90AA1;HSP90AB1;GSTO1;MAPK13;TXN2;PDGFA;CAV2;ACTB;CALM2;SUMO2;CYBA;MGST1;NQO1;NFE2L2
Alzheimer disease,-0.147373087776699,-27.334943541336504,0.5,0.21714285714285717,171,31,FADD;NDUFV3;CYC1;SDHB;CYCS;BID;UQCRC2;NDUFB9;NDUFV1;NDUFA8;UQCRFS1;NDUFV2;NDUFA5;BAD;COX8A;COX5A;NDUFB2;NDUFB8;NDUFB5;COX7B;NDUFA7;NDUFA3;UQCR10;UQCRH;NDUFC2;NDUFB10;CALM2;COX6B1;GAPDH;NDUFS6;COX7B2,COX8A;COX5A;NDUFB2;NDUFB8;NDUFB5;COX7B;NDUFA7;NDUFA3;UQCR10;UQCRH;NDUFC2;NDUFB10;CALM2;COX6B1;GAPDH;NDUFS6;COX7B2
Spliceosome,-0.17370715206847862,-20.441719372919167,0.0,0.22392857142857145,134,47,PHF5A;CTNNBL1;NCBP2;PQBP1;HSPA1B;DHX15;SNRPA1;SRSF7;RBM17;TXNL4A;RBM22;SNRNP70;SNRPF;LSM4;SRSF9;SNRPE;LSM7;ACIN1;THOC2;RBM25;SNRPD1;SNU13;LSM3;SRSF4;SNRPG;HNRNPU;SNW1;LSM6;HSPA8;SRSF10;SNRPA;SNRPB2;SRSF2;RBMX;CWC15;RBM8A;PPIH;SNRPB;MAGOHB;SNRPD3;SF3B6;PUF60;LSM2;SNRNP27;SF3B5;SNRPC;SRSF3,DHX15;SNRPA1;SRSF7;RBM17;TXNL4A;RBM22;SNRNP70;SNRPF;LSM4;SRSF9;SNRPE;LSM7;ACIN1;THOC2;RBM25;SNRPD1;SNU13;LSM3;SRSF4;SNRPG;HNRNPU;SNW1;LSM6;HSPA8;SRSF10;SNRPA;SNRPB2;SRSF2;RBMX;CWC15;RBM8A;PPIH;SNRPB;MAGOHB;SNRPD3;SF3B6;PUF60;LSM2;SNRNP27;SF3B5;SNRPC;SRSF3
Oxidative phosphorylation,-0.21087954188395974,-17.95019501573104,0.14285714285714285,0.23342857142857146,133,28,NDUFV3;CYC1;SDHB;PPA1;UQCRC2;NDUFB9;NDUFV1;NDUFA8;UQCRFS1;NDUFV2;ATP6V0B;NDUFA5;COX8A;COX5A;NDUFB2;NDUFB8;NDUFB5;COX7B;COX17;NDUFA7;NDUFA3;UQCR10;UQCRH;NDUFC2;NDUFB10;COX6B1;NDUFS6;COX7B2,NDUFV1;NDUFA8;UQCRFS1;NDUFV2;ATP6V0B;NDUFA5;COX8A;COX5A;NDUFB2;NDUFB8;NDUFB5;COX7B;COX17;NDUFA7;NDUFA3;UQCR10;UQCRH;NDUFC2;NDUFB10;COX6B1;NDUFS6;COX7B2
Non-alcoholic fatty liver disease (NAFLD),-0.19099016741387864,-22.119690738531517,0.16666666666666666,0.24428571428571427,149,30,NDUFV3;CYC1;SDHB;CYCS;EIF2S1;BAX;BID;UQCRC2;NDUFB9;NDUFV1;NDUFA8;UQCRFS1;NDUFV2;NDUFA5;COX8A;COX5A;NDUFB2;NDUFB8;NDUFB5;COX7B;ATF4;NDUFA7;NDUFA3;UQCR10;UQCRH;NDUFC2;NDUFB10;COX6B1;NDUFS6;COX7B2,CYC1;SDHB;CYCS;EIF2S1;BAX;BID;UQCRC2;NDUFB9;NDUFV1;NDUFA8;UQCRFS1;NDUFV2;NDUFA5;COX8A;COX5A;NDUFB2;NDUFB8;NDUFB5;COX7B;ATF4;NDUFA7;NDUFA3;UQCR10;UQCRH;NDUFC2;NDUFB10;COX6B1;NDUFS6;COX7B2
Protein processing in endoplasmic reticulum,-0.250364963503648,-22.54226919031578,0.0,0.2714285714285714,165,28,HSPH1;SAR1B;SSR4;HSPA1B;EIF2S1;BCAP31;HSPBP1;BAG2;BAX;DNAJA2;DNAJC10;UBE2G1;HSP90AA1;SEC13;HSP90AB1;HSPA8;RAD23A;DNAJB1;NSFL1C;UBE2D3;P4HB;LMAN1;STUB1;ATF4;EIF2AK4;SEC61B;PDIA3;NFE2L2,HSPH1;SAR1B;SSR4;HSPA1B;EIF2S1;BCAP31;HSPBP1;BAG2;BAX;DNAJA2;DNAJC10;UBE2G1;HSP90AA1;SEC13;HSP90AB1;HSPA8;RAD23A;DNAJB1;NSFL1C;UBE2D3;P4HB;LMAN1;STUB1;ATF4;EIF2AK4;SEC61B;PDIA3;NFE2L2
Parkinson disease,-0.1553113553113549,-22.95173272451641,0.5,0.2985714285714286,142,33,PPIF;NDUFV3;CYC1;SDHB;CYCS;UQCRC2;SLC25A5;NDUFB9;VDAC3;UBE2G1;NDUFV1;NDUFA8;UQCRFS1;NDUFV2;PARK7;NDUFA5;UCHL1;SLC25A4;COX8A;COX5A;NDUFB2;NDUFB8;NDUFB5;COX7B;NDUFA7;NDUFA3;UQCR10;UQCRH;NDUFC2;NDUFB10;COX6B1;NDUFS6;COX7B2,PPIF;NDUFV3;CYC1;SDHB;CYCS;UQCRC2;SLC25A5;NDUFB9;VDAC3;UBE2G1;NDUFV1;NDUFA8;UQCRFS1;NDUFV2;PARK7;NDUFA5;UCHL1;SLC25A4;COX8A;COX5A;NDUFB2;NDUFB8;NDUFB5;COX7B;NDUFA7;NDUFA3;UQCR10;UQCRH;NDUFC2;NDUFB10;COX6B1;NDUFS6;COX7B2
