Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
activation of MAPK activity (GO:0000187),0.639405366830449,3.0602569557595385,0.0,0.11658452377974031,118,17,DUSP6;IRAK1;IL1B;NRG1;DBNL;IKBKG;THBS1;UBE2N;CDK1;KARS;ADORA2B;HACD3;PEA15;UBB;ERP29;UBA52;RPS27A,DUSP6;IRAK1;IL1B;NRG1;DBNL;IKBKG;THBS1;UBE2N
RNA modification (GO:0009451),0.5793414740716814,2.790341921111701,0.0,0.13018605155404336,55,16,TRMT61A;PUS7;TRMT6;NOP56;WDR4;NAT10;SSB;NSUN5;LRPPRC;NOP58;METTL1;FTSJ3;URM1;NOP10;PUS7L;TSR3,TRMT61A;PUS7;TRMT6;NOP56;WDR4;NAT10;SSB;NSUN5;LRPPRC
cotranslational protein targeting to membrane (GO:0006613),-0.377420555727015,-7.202250787798991,0.0,0.13435903458805568,94,50,RPS13;SRPRA;SRP19;SSR1;SRP72;RPL35;SRP9;RPL10;RPL12;RPL32;RPL7A;RPL27;RPS24;RPS10;RPS2;RPS17;RPS7;RPL18;RPS18;RPS26;RPLP2;SRP14;RPL41;RPL19;RPL28;RPLP0;RPL23;RPS11;RPL5;RPL26;RPS3;UBA52;RPL24;RPL6;RPS23;RPL29;RPS27A;RPS9;RPL10A;RPS20;RPL27A;RPL34;RPS21;RPL22;RPL23A;RPL36A;RPL3;SSR2;SEC62;RPL17,SRP9;RPL10;RPL12;RPL32;RPL7A;RPL27;RPS24;RPS10;RPS2;RPS17;RPS7;RPL18;RPS18;RPS26;RPLP2;SRP14;RPL41;RPL19;RPL28;RPLP0;RPL23;RPS11;RPL5;RPL26;RPS3;UBA52;RPL24;RPL6;RPS23;RPL29;RPS27A;RPS9;RPL10A;RPS20;RPL27A;RPL34;RPS21;RPL22;RPL23A;RPL36A;RPL3;SSR2;SEC62;RPL17
rRNA metabolic process (GO:0016072),0.4066394498840522,2.735232066956767,0.0,0.15155988091366243,201,116,RPP40;CD3EAP;PNO1;RIOK1;UTP14A;DKC1;BYSL;PDCD11;BOP1;NOP56;WDR43;LTV1;LYAR;NIFK;EXOSC2;NOLC1;RRP1;MARS;NOC4L;EXOSC9;NOL11;WDR3;EXOSC8;RPP25;MRTO4;IMP4;DCAF13;BMS1;TSR1;RPP30;SBDS;UTP6;PES1;EBNA1BP2;RRP7A;UTP3;NOP58;NOL8;EXOSC1;NOP14;MPHOSPH6;DDX49;POP4;TEX10;WDR75;NOB1;RPS13;KRR1;UTP18;EXOSC5;GTF3A;RRP36;EXOSC3;EMG1;RRP9;RRP1B;IMP3;RPF1;MPHOSPH10;DDX56;SNU13;RPL35;PELP1;XRN2;RPP21;DDX52;PIH1D1;C1D;DDX27;RPP38;RPL10;EXOSC4;RPL12;WDR18;EXOSC7;RPL32;RPL7A;RPL27;RPS24;RPS10;RPS2;RPS17;RPS7;RPL18;RPS18;RPS26;RPLP2;RPL41;RPL19;RPL28;RPLP0;RPL23;RPS11;RPL5;RPL26;RPS3;UBA52;RPL24;RPL6;RPS23;RPL29;RPS27A;RPS9;RPL10A;RPS20;RPL27A;RPL34;RPS21;RPL22;RPL23A;RPL36A;FBL;RPL3;RPL17;RIOK3;ANG,RPP40;CD3EAP;PNO1;RIOK1;UTP14A;DKC1;BYSL;PDCD11;BOP1;NOP56;WDR43;LTV1;LYAR;NIFK;EXOSC2;NOLC1;RRP1;MARS;NOC4L;EXOSC9;NOL11;WDR3;EXOSC8;RPP25;MRTO4;IMP4;DCAF13;BMS1;TSR1;RPP30;SBDS;UTP6;PES1;EBNA1BP2;RRP7A;UTP3;NOP58;NOL8;EXOSC1;NOP14;MPHOSPH6;DDX49;POP4;TEX10;WDR75;NOB1;RPS13;KRR1;UTP18;EXOSC5;GTF3A;RRP36
mitochondrion organization (GO:0007005),0.42713222244084204,2.795577062271741,0.0,0.15389157138925721,168,56,PPIF;BNIP3;ATAD3C;MRPL17;TOMM40;CYCS;BCS1L;HSPD1;AIFM2;FXN;TIMM10B;SLC25A4;TFAM;PPRC1;SLC25A33;TIMM23;TMEM70;MTFP1;TIMM13;TIMM10;TOMM5;PHB;BAX;BID;TIMM17A;CHCHD10;DNM1L;EIF4G1;ATP5B;CHCHD3;TYMP;ESRRA;CAV2;NDUFB8;PARK7;PARP1;PRDX3;MGME1;TOMM22;SOD2;SSBP1;TIMM8B;CHCHD2;TMEM11;TIMM44;FIS1;AFG3L2;IMMP1L;STOML2;MPV17;TSPO;TOMM7;TOMM20;BNIP3L;OXA1L;SLC25A6,PPIF;BNIP3;ATAD3C;MRPL17;TOMM40;CYCS;BCS1L;HSPD1;AIFM2;FXN;TIMM10B;SLC25A4;TFAM;PPRC1;SLC25A33;TIMM23;TMEM70;MTFP1;TIMM13;TIMM10;TOMM5;PHB;BAX;BID;TIMM17A;CHCHD10;DNM1L;EIF4G1;ATP5B;CHCHD3;TYMP;ESRRA;CAV2;NDUFB8
ncRNA processing (GO:0034470),0.4060587712999079,2.81197946724111,0.0,0.16904755948062344,228,121,RPP40;PNO1;RIOK1;UTP14A;DKC1;BYSL;PDCD11;BOP1;NOP56;WDR43;LTV1;LYAR;EXOSC2;NOLC1;RRP1;NOC4L;EXOSC9;NOL11;WDR3;EXOSC8;SSB;RPP25;MRTO4;IMP4;DCAF13;NCBP1;BMS1;TSR1;RPP30;SBDS;UTP6;PES1;FARS2;EBNA1BP2;RRP7A;UTP3;NOP58;NOL8;EXOSC1;NOP14;MPHOSPH6;DDX49;POP4;TEX10;WDR75;POP1;NOB1;RPS13;KRR1;POP7;UTP18;EXOSC5;RRP36;EXOSC3;EMG1;KARS;RRP9;SRRT;SARS;HNRNPA2B1;RRP1B;IMP3;RPF1;MPHOSPH10;DDX56;SNU13;PRKRA;RPL35;PELP1;XRN2;RPP21;DDX52;PIH1D1;C1D;DDX27;RPP38;RPL10;EXOSC4;RPL12;WDR18;EXOSC7;RPL32;RPL7A;RPL27;RPS24;RPS10;RPS2;RPS17;RPS7;RPL18;RPS18;RPS26;RPLP2;RPL41;RPL19;RPL28;RPLP0;RPL23;RPS11;RPL5;RPL26;RPS3;UBA52;RPL24;RPL6;RPS23;RPL29;RPS27A;RPS9;RPL10A;RPS20;RPL27A;RPL34;RPS21;RPL22;RPL23A;RPL36A;FBL;RPL3;RPL17;RIOK3,RPP40;PNO1;RIOK1;UTP14A;DKC1;BYSL;PDCD11;BOP1;NOP56;WDR43;LTV1;LYAR;EXOSC2;NOLC1;RRP1;NOC4L;EXOSC9;NOL11;WDR3;EXOSC8;SSB;RPP25;MRTO4;IMP4;DCAF13;NCBP1;BMS1;TSR1;RPP30;SBDS;UTP6;PES1;FARS2;EBNA1BP2;RRP7A;UTP3;NOP58;NOL8;EXOSC1;NOP14;MPHOSPH6;DDX49;POP4;TEX10;WDR75;POP1;NOB1;RPS13;KRR1;POP7;UTP18;EXOSC5
skin development (GO:0043588),-0.5968612879669736,-7.240959126893101,0.0,0.1710024076575254,95,19,EREG;MET;SFN;ITGA6;DHCR24;DSP;CLDN1;CLIC4;PDGFA;ANXA1;ITGA3;STMN1;CLDN4;ADAM9;KRT16;TXNIP;SCEL;IVL;SPRR1B,KRT16;TXNIP;SCEL;IVL;SPRR1B
negative regulation of cytokine production (GO:0001818),0.47090701841641547,2.6868190104004928,0.05,0.17487678566961046,111,22,SRGN;AXL;HERC5;C1QBP;THBS1;ISG15;GAS6;HMGB1;SARS;PRNP;UBE2L6;CHID1;RNF216;IRF3;UBB;PIN1;PCBP2;RAC1;UBA52;RPS27A;PDCD4;GPNMB,SRGN;AXL;HERC5;C1QBP;THBS1;ISG15;GAS6
negative regulation of cell growth (GO:0030308),0.5448609331545514,2.8340443084800904,0.015151515151515152,0.18264908725492648,116,19,FHL1;GAL;INHBA;BST2;CDKN2AIP;CCDC85B;DCBLD2;ENO1;HSPA1B;HSPA1A;PHB;NDUFS3;CDA;ADAM15;RTN4;PPP2CA;EI24;TCHP;BTG1,FHL1;GAL;INHBA;BST2;CDKN2AIP;CCDC85B;DCBLD2
"regulation of gene expression, epigenetic (GO:0040029)",0.39809140093398404,2.632739061719058,0.09090909090909091,0.19935953566335593,75,21,DDX21;CD3EAP;MYBBP1A;TWISTNB;PHF19;POLR2L;DEK;DNMT1;POLR2E;ACTB;BAZ1B;POLR2H;EED;SUZ12;GPX1;H2AFY;TAF1B;POLR2K;POLR2F;IFI16;JARID2,DDX21;CD3EAP;MYBBP1A;TWISTNB;PHF19;POLR2L;DEK;DNMT1;POLR2E;ACTB;BAZ1B;POLR2H;EED;SUZ12;GPX1
