Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Ribosome biogenesis in eukaryotes,0.50529395996144,3.1350075910991584,0.0,0.0,101,46,RPP40;RIOK1;UTP14A;DKC1;NOP56;WDR43;TCOF1;NAT10;LSG1;WDR3;RPP25;IMP4;RBM28;BMS1;RPP30;SBDS;UTP6;GTPBP4;NHP2;POP5;RRP7A;NOP58;POP4;XPO1;GAR1;WDR75;POP1;NOB1;CSNK2A1;POP7;UTP18;RAN;NXT1;GNL3;EMG1;EIF6;IMP3;NOP10;MPHOSPH10;SNU13;AK6;REXO2;XRN2;CSNK2B;RPP38;FBL,RPP40;RIOK1;UTP14A;DKC1;NOP56;WDR43;TCOF1;NAT10;LSG1;WDR3;RPP25;IMP4;RBM28;BMS1;RPP30;SBDS;UTP6;GTPBP4;NHP2;POP5;RRP7A;NOP58;POP4;XPO1;GAR1;WDR75;POP1;NOB1;CSNK2A1;POP7;UTP18;RAN
Legionellosis,0.5213098170095504,2.725637530176451,0.01639344262295082,0.10704505850136918,55,16,BNIP3;IL1B;CYCS;HSPA8;HSPD1;CASP8;HSPA1B;HSPA1A;SAR1B;RELA;SAR1A;RAB1B;VCP;ARF1;EEF1A1;IL18,BNIP3;IL1B;CYCS;HSPA8;HSPD1;CASP8;HSPA1B;HSPA1A
Fluid shear stress and atherosclerosis,-0.3016985332884018,-6.924152423318625,0.2777777777777778,0.12550490478938256,139,33,IL1B;IKBKG;MAPK12;RAC3;HSP90AA1;TXN;MAPK9;HSP90AB1;ACTB;CAV2;GSTO1;RELA;SUMO3;CTSL;PDGFA;CALM1;MAPK13;CALM3;CALM2;NQO1;RHOA;CAV1;RAC1;SUMO2;GSTP1;NFE2L2;MGST1;GSTM3;MGST3;MGST2;FOS;GSTA4;MEF2C,MGST2;FOS;GSTA4;MEF2C
Toxoplasmosis,0.5004317798921238,2.5626384128741213,0.0,0.16859596713965647,113,21,PPIF;IRAK1;LAMC2;CYCS;HSPA8;IKBKG;MAPK12;LAMA3;XIAP;CASP8;HSPA1B;MAPK9;HSPA1A;ITGA6;RELA;BAD;ITGB1;GNAI2;MAPK13;JAK1;HLA-DMA,PPIF;IRAK1;LAMC2;CYCS;HSPA8;IKBKG;MAPK12;LAMA3;XIAP;CASP8;HSPA1B;MAPK9;HSPA1A
Pyrimidine metabolism,0.5552121541647332,2.5868148967697553,0.0,0.19268110530246452,57,19,NT5E;NME1;UPP1;NT5C;DCTPP1;CAD;PNP;UCK1;NME4;DTYMK;RRM2;DCTD;TK1;UCK2;TYMP;CDA;NT5C3B;NUDT2;TYMS,NT5E;NME1;UPP1;NT5C;DCTPP1;CAD;PNP;UCK1;NME4;DTYMK;RRM2;DCTD;TK1;UCK2
Gap junction,0.41091720177554303,2.397986425065354,0.14545454545454545,0.28259895444361466,88,19,LPAR1;TUBB4B;TUBA1B;TUBA1C;TUBB2B;ITPR3;HRAS;TUBB2A;TUBA4A;TUBB;CDK1;TJP1;TUBB6;GNAI2;PDGFA;KRAS;GRB2;GNAS;TUBA1A,LPAR1;TUBB4B;TUBA1B;TUBA1C;TUBB2B;ITPR3;HRAS;TUBB2A;TUBA4A;TUBB;CDK1;TJP1
C-type lectin receptor signaling pathway,0.43555209670640876,2.3399466319899123,0.0967741935483871,0.3086465853456145,104,18,IL1B;IKBKG;ITPR3;MAPK12;RRAS2;HRAS;CASP8;MAPK9;PPP3R1;RELA;PTPN11;CALM1;MAPK13;PAK1;KRAS;CALM3;CALM2;RHOA,IL1B;IKBKG;ITPR3;MAPK12;RRAS2;HRAS;CASP8;MAPK9
RNA transport,0.32875232557514394,2.1803686876715487,0.014705882352941176,0.38964401294498385,165,71,RPP40;NUP88;EIF3B;RPP25;XPOT;EIF2B3;EIF2S1;NCBP1;RPP30;EIF3J;EIF2B2;NUP93;POP5;NUP107;EIF5;PRMT5;EIF4A1;THOC2;NUPL2;POP4;XPO1;POP1;EIF2B1;POP7;EIF4G1;RAN;EIF3I;NXT1;EIF4EBP1;GEMIN7;THOC3;RANGAP1;KPNB1;EIF3A;SRRM1;ACIN1;EIF4E;EIF2S2;THOC6;RNPS1;EIF3D;EIF5B;NCBP2;EIF1AX;GEMIN6;NUP50;SUMO3;MAGOHB;SEC13;NUP37;TGS1;PNN;PYM1;STRAP;RPP21;EIF2B4;PHAX;UBE2I;PABPC4;EIF4G2;RPP38;CLNS1A;RBM8A;EIF3G;EEF1A1;SUMO2;FXR1;EIF3H;EIF1B;EIF3E;EIF3F,RPP40;NUP88;EIF3B;RPP25;XPOT;EIF2B3;EIF2S1;NCBP1;RPP30;EIF3J;EIF2B2;NUP93;POP5;NUP107;EIF5;PRMT5;EIF4A1;THOC2;NUPL2;POP4;XPO1;POP1;EIF2B1;POP7;EIF4G1;RAN;EIF3I;NXT1;EIF4EBP1;GEMIN7;THOC3;RANGAP1;KPNB1;EIF3A;SRRM1;ACIN1;EIF4E;EIF2S2;THOC6;RNPS1;EIF3D;EIF5B;NCBP2;EIF1AX;GEMIN6;NUP50;SUMO3;MAGOHB
Measles,0.40870601658532146,2.13568703524961,0.08571428571428572,0.3898224213758194,138,26,IRAK1;IL1B;CYCS;HSPA8;IKBKG;EIF2S1;CDK4;CASP8;HSPA1B;MAPK9;HSPA1A;BAX;CSNK2A1;BID;RELA;BAD;FADD;CDK6;IRF3;CCND1;CSNK2B;EIF2AK4;EIF3H;CD46;JAK1;FOS,IRAK1;IL1B;CYCS;HSPA8;IKBKG;EIF2S1;CDK4;CASP8;HSPA1B;MAPK9;HSPA1A;BAX;CSNK2A1;BID
Focal adhesion,0.3424889071517567,2.185815028678739,0.078125,0.41866511769424386,199,36,LAMC2;THBS1;PARVA;FLNA;LAMA3;XIAP;RAC3;MET;HRAS;MAPK9;DIAPH1;VCL;RAP1B;ITGA6;PARVB;ITGA2;ACTB;CAV2;ILK;BAD;ITGB1;PDGFA;PAK1;FN1;PPP1CA;ITGA3;CCND1;GRB2;PPP1CB;RHOA;PAK2;CAV1;RAC1;MYL12B;ROCK1;ACTN4,LAMC2;THBS1;PARVA;FLNA;LAMA3;XIAP;RAC3;MET;HRAS;MAPK9;DIAPH1;VCL;RAP1B;ITGA6;PARVB;ITGA2;ACTB;CAV2
Aminoacyl-tRNA biosynthesis,0.41286849114676577,2.1373067489397637,0.125,0.42136827573720775,66,19,MARS;HARS;FARSB;VARS;IARS;YARS;GARS;FARS2;EPRS;LARS;YARS2;KARS;SARS;TARS;NARS;FARSA;RARS;IARS2;DARS,MARS;HARS;FARSB;VARS;IARS;YARS;GARS;FARS2;EPRS;LARS
Shigellosis,0.3936507793757472,2.2054502248210404,0.08064516129032258,0.4308563604680109,65,23,CD44;IKBKG;ARPC4;ARPC5L;ARPC1B;MAPK12;MAPK9;UBE2D2;DIAPH1;VCL;ACTB;RELA;MAD2L2;FBXW11;PFN1;ITGB1;RHOG;ARPC1A;MAPK13;ARPC2;ARPC3;RAC1;ROCK1,CD44;IKBKG;ARPC4;ARPC5L;ARPC1B;MAPK12;MAPK9;UBE2D2;DIAPH1;VCL;ACTB;RELA;MAD2L2;FBXW11;PFN1;ITGB1;RHOG;ARPC1A
Arginine and proline metabolism,0.507890820615955,2.234932142518606,0.014285714285714285,0.43582630961271734,49,17,ODC1;CKMT1B;SRM;CKB;LAP3;L3HYPDH;SMS;PYCR2;GOT1;PYCR1;GOT2;AMD1;GAMT;OAT;SAT2;ALDH3A2;SAT1,ODC1;CKMT1B;SRM;CKB;LAP3;L3HYPDH
