Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
rRNA processing (GO:0006364),0.46880059360082776,3.0445416221708657,0.0,0.021839080459770115,203,129,UTP14A;PNO1;RIOK1;RPP40;BYSL;DKC1;BOP1;WDR43;LTV1;LYAR;PDCD11;WDR36;NOP56;EXOSC2;NOC4L;WDR3;RRP1;MRTO4;IMP4;DCAF13;MAK16;NOLC1;NAT10;EXOSC9;NOP14;PES1;EXOSC8;EXOSC5;NOL11;RRP15;RSL1D1;NHP2;EBNA1BP2;RPP30;SBDS;SRFBP1;TSR1;RPP25;NOP58;TEX10;RRP9;RRP7A;UTP3;NOL8;UTP18;BMS1;MPHOSPH6;NOB1;UTP6;RPS13;KRR1;WDR46;EXOSC3;RRP36;EXOSC1;WDR75;POP4;EIF6;RRP1B;MRPL1;DDX49;MPHOSPH10;EMG1;RPF1;DDX56;PELP1;SNU13;IMP3;SKIV2L2;RPP21;EXOSC4;DDX27;DDX52;RPL35;WDR18;NSA2;RPP38;RPL10;XRN2;EXOSC7;TSR3;RPL32;C1D;RPL12;PIH1D1;RPL27;RPL7A;RPS10;RPS24;RPS7;RPL18;RPS2;RPS17;RPS18;RPL36;RPL37A;RPL21;RPLP2;RPLP1;RPL19;RPL24;RPL41;RPL5;RPLP0;RPL23;RPL26;RPL29;RPL6;RPL28;RPS3;UBA52;RPS21;RPS27A;RPL10A;RPS23;RPL23A;RPS11;RPL8;RPS9;RPS15;RPS20;RPL36A;RPL22;RPL18A;RPL34;RPS25;RPL38;RPL17;RPL3,UTP14A;PNO1;RIOK1;RPP40;BYSL;DKC1;BOP1;WDR43;LTV1;LYAR;PDCD11;WDR36;NOP56;EXOSC2;NOC4L;WDR3;RRP1;MRTO4;IMP4;DCAF13;MAK16;NOLC1;NAT10;EXOSC9;NOP14;PES1;EXOSC8;EXOSC5;NOL11;RRP15;RSL1D1;NHP2;EBNA1BP2;RPP30;SBDS;SRFBP1;TSR1;RPP25;NOP58;TEX10;RRP9;RRP7A;UTP3;NOL8;UTP18;BMS1;MPHOSPH6;NOB1
ribosome biogenesis (GO:0042254),0.4771362714818252,3.0735351391103265,0.0,0.021839080459770115,227,141,UTP14A;PAK1IP1;PNO1;RIOK1;RPP40;BYSL;DKC1;BOP1;NOP16;WDR43;LTV1;LYAR;PDCD11;RRS1;RPF2;LSG1;WDR36;NOP56;EXOSC2;NOC4L;WDR3;RRP1;WDR74;DDX31;MRTO4;IMP4;DCAF13;NOLC1;SURF6;EXOSC9;NOP14;PES1;NOM1;EXOSC8;EXOSC5;NOL11;EBNA1BP2;RPP30;SBDS;TSR1;RPP25;NOP58;TEX10;RRP9;RRP7A;SDAD1;UTP3;NOL8;UTP18;BMS1;GNL3;MPHOSPH6;NOB1;UTP6;XPO1;GTF3A;RPS13;AAMP;KRR1;WDR46;EXOSC3;RRP36;RAN;EXOSC1;WDR75;MALSU1;POP4;EIF6;RRP1B;NPM1;DDX49;NOC2L;MPHOSPH10;EMG1;RPF1;DDX56;PELP1;SNU13;IMP3;NIP7;RPL26L1;RPP21;EXOSC4;DDX27;DDX52;RPL35;WDR18;RPP38;RPL10;ABCE1;XRN2;EXOSC7;RPL32;C1D;RPL12;PIH1D1;RPL27;RPL7A;RPS10;RPS24;RPS7;RPL18;RPS2;RPS17;RPS18;RPL36;RPL37A;RPL21;RPLP2;RPLP1;RPL19;RPL24;RPL41;RPL5;RPLP0;RPL23;RPL26;RPL29;RPL6;RPL28;RPS3;UBA52;RPS21;RPS27A;RPL10A;RPS23;RPL23A;RPS11;RPL8;RPS9;RPS15;RPS20;RPL36A;MRPL36;RPL22;RPL18A;RPL34;RPS25;RPL38;RPL17;RPL3,UTP14A;PAK1IP1;PNO1;RIOK1;RPP40;BYSL;DKC1;BOP1;NOP16;WDR43;LTV1;LYAR;PDCD11;RRS1;RPF2;LSG1;WDR36;NOP56;EXOSC2;NOC4L;WDR3;RRP1;WDR74;DDX31;MRTO4;IMP4;DCAF13;NOLC1;SURF6;EXOSC9;NOP14;PES1;NOM1;EXOSC8;EXOSC5;NOL11;EBNA1BP2;RPP30;SBDS;TSR1;RPP25;NOP58;TEX10;RRP9;RRP7A;SDAD1;UTP3;NOL8;UTP18;BMS1;GNL3;MPHOSPH6;NOB1;UTP6;XPO1;GTF3A;RPS13;AAMP;KRR1;WDR46;EXOSC3;RRP36;RAN
rRNA metabolic process (GO:0016072),0.45943490796852565,2.945750048079454,0.0,0.025478927203065136,201,123,CD3EAP;UTP14A;PNO1;RIOK1;RPP40;BYSL;DKC1;BOP1;WDR43;LTV1;LYAR;PDCD11;WDR36;NIFK;NOP56;EXOSC2;NOC4L;WDR3;MARS;RRP1;MRTO4;IMP4;DCAF13;NOLC1;EXOSC9;NOP14;PES1;EXOSC8;EXOSC5;NOL11;EBNA1BP2;RPP30;SBDS;TSR1;RPP25;NOP58;TEX10;RRP9;RRP7A;UTP3;NOL8;UTP18;BMS1;MPHOSPH6;NOB1;UTP6;GTF3A;RPS13;KRR1;WDR46;EXOSC3;RRP36;EXOSC1;WDR75;POP4;RRP1B;DDX49;MPHOSPH10;EMG1;RPF1;DDX56;PELP1;SNU13;IMP3;RPP21;EXOSC4;DDX27;DDX52;RPL35;WDR18;RPP38;RPL10;XRN2;EXOSC7;RPL32;C1D;RPL12;PIH1D1;RPL27;RPL7A;RPS10;RPS24;RPS7;RPL18;RPS2;RPS17;RPS18;RPL36;RPL37A;RPL21;RPLP2;RPLP1;RPL19;RPL24;RPL41;RPL5;RPLP0;RPL23;RPL26;RPL29;RPL6;RPL28;RPS3;UBA52;RPS21;RPS27A;RPL10A;RPS23;RPL23A;RPS11;RPL8;RPS9;RPS15;RPS20;RPL36A;RPL22;RPL18A;RPL34;RPS25;RPL38;RPL17;RPL3;ANG,CD3EAP;UTP14A;PNO1;RIOK1;RPP40;BYSL;DKC1;BOP1;WDR43;LTV1;LYAR;PDCD11;WDR36;NIFK;NOP56;EXOSC2;NOC4L;WDR3;MARS;RRP1;MRTO4;IMP4;DCAF13;NOLC1;EXOSC9;NOP14;PES1;EXOSC8;EXOSC5;NOL11;EBNA1BP2;RPP30;SBDS;TSR1;RPP25;NOP58;TEX10;RRP9;RRP7A;UTP3;NOL8;UTP18;BMS1;MPHOSPH6;NOB1;UTP6;GTF3A;RPS13;KRR1;WDR46;EXOSC3;RRP36
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",-0.31098968540353755,-9.622986215107723,0.0,0.03437098844672658,113,62,NCBP1;EIF4G1;ETF1;RPS13;NCBP2;GSPT1;RNPS1;MAGOHB;RPL35;PYM1;RPL10;RBM8A;PPP2CA;RPL32;RPL12;UPF3B;RPL27;RPL7A;RPS10;RPS24;RPS7;RPL18;RPS2;RPS17;RPS18;RPL36;RPL37A;RPL21;RPLP2;RPLP1;RPL19;RPL24;RPL41;RPL5;RPLP0;RPL23;RPL26;RPL29;RPL6;RPL28;RPS3;UBA52;RPS21;RPS27A;RPL10A;RPS23;RPL23A;RPS11;RPL8;RPS9;RPS15;RPS20;RPL36A;RPL22;RPL18A;RPL34;RPS25;RPL38;RPL17;RPL3;EIF3E;PNRC1,UPF3B;RPL27;RPL7A;RPS10;RPS24;RPS7;RPL18;RPS2;RPS17;RPS18;RPL36;RPL37A;RPL21;RPLP2;RPLP1;RPL19;RPL24;RPL41;RPL5;RPLP0;RPL23;RPL26;RPL29;RPL6;RPL28;RPS3;UBA52;RPS21;RPS27A;RPL10A;RPS23;RPL23A;RPS11;RPL8;RPS9;RPS15;RPS20;RPL36A;RPL22;RPL18A;RPL34;RPS25;RPL38;RPL17;RPL3;EIF3E;PNRC1
cotranslational protein targeting to membrane (GO:0006613),-0.4125646350427444,-9.792641678357649,0.0,0.06874197689345315,94,58,RPS13;SRP19;SRP72;SRPRA;SSR1;RPL35;RPL10;RPL32;RPL12;SRP9;RPL27;RPL7A;RPS10;RPS24;ARL6IP1;RPS7;RPL18;RPS2;RPS17;RPS18;RPL36;RPL37A;RPL21;RPLP2;RPLP1;RPL19;SRP14;RPL24;RPL41;RPL5;RPLP0;RPL23;RPL26;RPL29;RPL6;RPL28;RPS3;UBA52;RPS21;RPS27A;RPL10A;RPS23;RPL23A;RPS11;RPL8;RPS9;RPS15;RPS20;RPL36A;RPL22;RPL18A;RPL34;RPS25;RPL38;RPL17;RPL3;SSR2;SEC62,SRP9;RPL27;RPL7A;RPS10;RPS24;ARL6IP1;RPS7;RPL18;RPS2;RPS17;RPS18;RPL36;RPL37A;RPL21;RPLP2;RPLP1;RPL19;SRP14;RPL24;RPL41;RPL5;RPLP0;RPL23;RPL26;RPL29;RPL6;RPL28;RPS3;UBA52;RPS21;RPS27A;RPL10A;RPS23;RPL23A;RPS11;RPL8;RPS9;RPS15;RPS20;RPL36A;RPL22;RPL18A;RPL34;RPS25;RPL38;RPL17;RPL3;SSR2;SEC62
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",0.5251613701373891,2.5845598878198053,0.0,0.154858934169279,36,22,PDCD11;RRS1;NOC4L;DCAF13;NOP14;TSR1;UTP3;UTP18;BMS1;TSR2;UTP6;KRR1;WDR46;RRP36;NOL10;MRPS11;EMG1;UTP23;MRPS9;ABT1;RPS24;RPS21,PDCD11;RRS1;NOC4L;DCAF13;NOP14;TSR1;UTP3;UTP18;BMS1;TSR2;UTP6;KRR1;WDR46;RRP36
skin development (GO:0043588),-0.609417446539058,-7.937729668037974,0.0,0.15530594779632007,95,20,EREG;MET;SFN;CLDN1;DHCR24;ITGA6;KDF1;CLIC4;PDGFA;DSP;ST14;ANXA1;STMN1;CLDN4;ADAM9;TXNIP;KRT16;SCEL;IVL;SPRR1B,TXNIP;KRT16;SCEL;IVL;SPRR1B
epidermis development (GO:0008544),-0.6870132558118197,-7.581853246073845,0.0,0.15734274711168164,82,17,LAMC2;KLK5;LAMA3;GJB5;GRHL2;PTHLH;DSP;HDAC1;FABP5;ALDH3A2;KRT17;KRT16;KRT5;ELF3;KRT15;SCEL;SPRR1B,KRT17;KRT16;KRT5;ELF3;KRT15;SCEL;SPRR1B
SRP-dependent cotranslational protein targeting to membrane (GO:0006614),-0.4186202421626804,-7.419103817840551,0.0,0.15785194694052204,90,55,RPS13;SRP19;SRP72;ZFAND2B;RPL35;RPL10;RPL32;RPL12;SEC61B;SRP9;RPL27;RPL7A;RPS10;RPS24;RPS7;RPL18;RPS2;RPS17;RPS18;RPL36;RPL37A;RPL21;RPLP2;RPLP1;RPL19;SRP14;RPL24;RPL41;RPL5;RPLP0;RPL23;RPL26;RPL29;RPL6;RPL28;RPS3;UBA52;RPS21;RPS27A;RPL10A;RPS23;RPL23A;RPS11;RPL8;RPS9;RPS15;RPS20;RPL36A;RPL22;RPL18A;RPL34;RPS25;RPL38;RPL17;RPL3,RPL12;SEC61B;SRP9;RPL27;RPL7A;RPS10;RPS24;RPS7;RPL18;RPS2;RPS17;RPS18;RPL36;RPL37A;RPL21;RPLP2;RPLP1;RPL19;SRP14;RPL24;RPL41;RPL5;RPLP0;RPL23;RPL26;RPL29;RPL6;RPL28;RPS3;UBA52;RPS21;RPS27A;RPL10A;RPS23;RPL23A;RPS11;RPL8;RPS9;RPS15;RPS20;RPL36A;RPL22;RPL18A;RPL34;RPS25;RPL38;RPL17;RPL3
protein transmembrane import into intracellular organelle (GO:0044743),0.5367323495372295,2.587967587103648,0.015151515151515152,0.1648850574712644,44,16,TOMM40;CHCHD4;HSPD1;GRPEL1;TIMM23;HSP90AA1;PEX16;TIMM13;TIMM17A;TIMM10;HSPA4;TIMM44;DNAJC15;TOMM22;TIMM9;TOMM7,TOMM40;CHCHD4;HSPD1;GRPEL1;TIMM23;HSP90AA1;PEX16;TIMM13;TIMM17A;TIMM10;HSPA4
