Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Ribosome biogenesis in eukaryotes,0.5356894519509742,3.0740964081661524,0.0,0.020454545454545454,101,46,UTP14A;RIOK1;RPP40;DKC1;WDR43;LSG1;WDR36;NOP56;TCOF1;WDR3;IMP4;RBM28;NAT10;GTPBP4;NHP2;RPP30;SBDS;RPP25;NOP58;RRP7A;UTP18;BMS1;GNL3;NOB1;POP5;POP7;UTP6;GAR1;XPO1;RAN;POP1;WDR75;NXT1;POP4;EIF6;CSNK2A1;NOP10;AK6;MPHOSPH10;EMG1;SNU13;IMP3;REXO2;RPP38;XRN2;CSNK2B,UTP14A;RIOK1;RPP40;DKC1;WDR43;LSG1;WDR36;NOP56;TCOF1;WDR3;IMP4;RBM28;NAT10;GTPBP4;NHP2;RPP30;SBDS;RPP25;NOP58;RRP7A;UTP18;BMS1;GNL3;NOB1;POP5;POP7;UTP6;GAR1;XPO1;RAN;POP1;WDR75;NXT1;POP4
Cytosolic DNA-sensing pathway,0.5079232307810043,2.545281845769316,0.04838709677419355,0.18920454545454546,63,15,POLR3G;IL1B;IKBKG;POLR3K;POLR3H;POLR2L;POLR2E;POLR2H;POLR2F;POLR2K;IRF3;POLR1C;POLR1D;IL18;POLR3GL,POLR3G;IL1B;IKBKG;POLR3K;POLR3H
Pathogenic Escherichia coli infection,0.4705783232734506,2.303146467868374,0.0,0.2925,55,23,ARPC4;TUBB4B;TUBA1B;TUBA1C;KRT18;ARPC5L;NCL;TUBB2B;TUBA4A;ARPC1B;TUBB2A;EZR;TUBB;CLDN1;ACTB;ARPC1A;TUBB6;YWHAQ;ITGB1;RHOA;ARPC3;ARPC2;TUBA1A,ARPC4;TUBB4B;TUBA1B;TUBA1C;KRT18;ARPC5L;NCL;TUBB2B;TUBA4A;ARPC1B;TUBB2A;EZR;TUBB
Pyrimidine metabolism,0.5177670691099112,2.3596658636635732,0.0,0.3017045454545455,57,17,NT5E;NME1;DCTPP1;PNP;CAD;UPP1;NT5C;UCK2;NME4;RRM2;TK1;DTYMK;DCTD;TYMP;NT5C3B;CDA;TYMS,NT5E;NME1;DCTPP1;PNP;CAD;UPP1;NT5C;UCK2;NME4;RRM2;TK1;DTYMK;DCTD
Toxoplasmosis,0.44010874773076936,2.1969734184055243,0.046875,0.3132102272727273,113,19,IRAK1;PPIF;CYCS;IKBKG;HSPA8;LAMC2;XIAP;HSPA1B;CASP8;LAMA3;MAPK12;HSPA1A;ITGA6;BAD;MAPK13;ITGB1;GNAI2;JAK1;HLA-DMA,IRAK1;PPIF;CYCS;IKBKG;HSPA8;LAMC2;XIAP;HSPA1B;CASP8;LAMA3;MAPK12
Legionellosis,0.5252912715419755,2.21645664857007,0.0,0.3272727272727273,55,15,BNIP3;IL1B;CYCS;HSPD1;HSPA8;HSPA1B;CASP8;HSPA1A;SAR1B;SAR1A;VCP;ARF1;RAB1B;EEF1A1;IL18,BNIP3;IL1B;CYCS;HSPD1;HSPA8
Arginine and proline metabolism,0.5561339417222534,2.3850842343298884,0.013157894736842105,0.3340909090909091,49,17,CKMT1B;ODC1;SRM;CKB;L3HYPDH;LAP3;GOT1;PYCR2;SMS;PYCR1;AMD1;GAMT;GOT2;OAT;SAT2;SAT1;ALDH3A2,CKMT1B;ODC1;SRM;CKB;L3HYPDH;LAP3;GOT1;PYCR2;SMS;PYCR1
Retrograde endocannabinoid signaling,-0.27392627663171637,-6.4413030756639795,0.2631578947368421,0.3436688311688312,148,33,GNG12;MAPK12;NDUFV3;NDUFS3;NDUFB8;NDUFB9;NDUFA8;NDUFV1;NDUFS8;NDUFA6;MAPK13;NDUFAB1;GNB2;NDUFB2;NDUFV2;NDUFA5;NDUFA3;NDUFA10;NDUFC2;NDUFS7;NDUFA12;GNAI2;NDUFS4;NDUFB6;NDUFA4;GNB1;NDUFB3;NDUFB10;NDUFS5;NDUFB7;NDUFA1;NDUFB4;NDUFC1,GNG12;MAPK12;NDUFV3;NDUFS3;NDUFB8;NDUFB9;NDUFA8;NDUFV1;NDUFS8;NDUFA6;MAPK13;NDUFAB1;GNB2;NDUFB2;NDUFV2;NDUFA5;NDUFA3;NDUFA10;NDUFC2;NDUFS7;NDUFA12;GNAI2;NDUFS4;NDUFB6;NDUFA4;GNB1;NDUFB3;NDUFB10;NDUFS5;NDUFB7;NDUFA1;NDUFB4;NDUFC1
Proteasome,0.39365215191890424,2.2181382515906636,0.043478260869565216,0.3784090909090909,45,36,PSMA1;PSMD14;ADRM1;PSMD11;PSMD3;PSMD1;PSMC2;PSMC5;PSMB10;PSME2;PSMB7;PSMC3;PSMD12;POMP;PSME3;PSMA5;PSMA3;PSMB4;PSMB3;PSMD7;PSMD13;PSMC4;PSMA7;PSMD2;PSMD6;PSMC6;PSMB2;PSMB6;PSMC1;PSMA2;PSMF1;PSMA4;PSMB1;PSMD4;PSMB5;PSMD8,PSMA1;PSMD14;ADRM1;PSMD11;PSMD3;PSMD1;PSMC2;PSMC5;PSMB10;PSME2;PSMB7;PSMC3;PSMD12;POMP;PSME3;PSMA5;PSMA3;PSMB4;PSMB3;PSMD7;PSMD13;PSMC4;PSMA7;PSMD2;PSMD6;PSMC6;PSMB2;PSMB6;PSMC1;PSMA2;PSMF1
Shigellosis,0.38632855332425037,1.9512601114231507,0.11764705882352941,0.421875,65,19,CD44;IKBKG;ARPC4;ARPC5L;ARPC1B;MAPK12;VCL;UBE2D2;DIAPH1;ACTB;RHOG;ARPC1A;PFN1;MAD2L2;MAPK13;ITGB1;ARPC3;ARPC2;RAC1,CD44;IKBKG;ARPC4;ARPC5L;ARPC1B;MAPK12;VCL;UBE2D2;DIAPH1;ACTB;RHOG;ARPC1A;PFN1;MAD2L2
