Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
SRP-dependent cotranslational protein targeting to membrane (GO:0006614),0.5906547107625753,20.437178320733516,0.0,0.027669524551831644,90,36,RPL27A;RPLP1;RPL37;RPS24;RPL34;RPL28;RPS11;RPL37A;RPL21;RPL12;RPS27;RPL35;RPS14;RPL26;RPL27;RPS5;RPS15A;RPL10A;RPL30;RPL19;RPLP0;RPS19;RPL23;RPL36;RPS21;RPL13;RPL18;RPL5;RPS28;RPL15;RPL18A;RPL6;RPL38;RPL17;RPS16;MRPS12,RPL27A;RPLP1;RPL37;RPS24;RPL34;RPL28;RPS11;RPL37A;RPL21;RPL12;RPS27;RPL35;RPS14;RPL26;RPL27;RPS5;RPS15A;RPL10A;RPL30;RPL19;RPLP0;RPS19;RPL23;RPL36;RPS21;RPL13;RPL18;RPL5;RPS28;RPL15;RPL18A;RPL6;RPL38;RPL17;RPS16
regulation of cell proliferation (GO:0042127),0.44097073477663506,15.766819683224712,0.0,0.04611587425305274,741,35,CYP1B1;PDPN;KRT6A;AKR1C2;SOX4;CDKN2D;AKR1C3;PTHLH;FGFBP1;FTH1;HMGB2;BTG1;IGFBP7;IGFBP6;S100A11;RPS15A;RPL23;NAP1L1;ROMO1;HMGA1;NPM1;SLC25A5;EEF1E1;PRMT1;LMNA;EIF5A;PHB;EPCAM;EIF4G1;RHOG;KARS;LDOC1;CUL4A;GNL3;CLEC11A,CYP1B1;PDPN;KRT6A;AKR1C2;SOX4;CDKN2D;AKR1C3;PTHLH;FGFBP1;FTH1;HMGB2;BTG1
viral transcription (GO:0019083),0.5906547107625753,16.96335614482449,0.0,0.05533904910366329,114,36,RPL27A;RPLP1;RPL37;RPS24;RPL34;RPL28;RPS11;RPL37A;RPL21;RPL12;RPS27;RPL35;RPS14;RPL26;RPL27;RPS5;RPS15A;RPL10A;RPL30;RPL19;RPLP0;RPS19;RPL23;RPL36;RPS21;RPL13;RPL18;RPL5;RPS28;RPL15;RPL18A;RPL6;RPL38;RPL17;RPS16;MRPS12,RPL27A;RPLP1;RPL37;RPS24;RPL34;RPL28;RPS11;RPL37A;RPL21;RPL12;RPS27;RPL35;RPS14;RPL26;RPL27;RPS5;RPS15A;RPL10A;RPL30;RPL19;RPLP0;RPS19;RPL23;RPL36;RPS21;RPL13;RPL18;RPL5;RPS28;RPL15;RPL18A;RPL6;RPL38;RPL17;RPS16
cotranslational protein targeting to membrane (GO:0006613),0.5906547107625753,13.91362173284788,0.0,0.09684333593141076,94,36,RPL27A;RPLP1;RPL37;RPS24;RPL34;RPL28;RPS11;RPL37A;RPL21;RPL12;RPS27;RPL35;RPS14;RPL26;RPL27;RPS5;RPS15A;RPL10A;RPL30;RPL19;RPLP0;RPS19;RPL23;RPL36;RPS21;RPL13;RPL18;RPL5;RPS28;RPL15;RPL18A;RPL6;RPL38;RPL17;RPS16;MRPS12,RPL27A;RPLP1;RPL37;RPS24;RPL34;RPL28;RPS11;RPL37A;RPL21;RPL12;RPS27;RPL35;RPS14;RPL26;RPL27;RPS5;RPS15A;RPL10A;RPL30;RPL19;RPLP0;RPS19;RPL23;RPL36;RPS21;RPL13;RPL18;RPL5;RPS28;RPL15;RPL18A;RPL6;RPL38;RPL17;RPS16
negative regulation of programmed cell death (GO:0043069),0.2693809174070676,11.564084517876985,0.4444444444444444,0.13219883952541786,409,18,PDPN;CDK1;DDAH2;TMEM14A;TPT1;GSTP1;TMBIM6;NPM1;HSPD1;UFM1;MTDH;PSMC5;PA2G4;MYDGF;BID;PPIF;BNIP3;NAA15,PDPN;CDK1;DDAH2;TMEM14A;TPT1;GSTP1;TMBIM6;NPM1;HSPD1;UFM1;MTDH;PSMC5;PA2G4;MYDGF;BID;PPIF;BNIP3
negative regulation of cellular process (GO:0048523),0.5043167309053861,12.118402843173214,0.0,0.14230041198084847,535,26,CYP1B1;PDPN;BST2;SOX4;CDKN2D;PTHLH;FGFBP1;FTH1;BTG1;IGFBP7;IGFBP6;CDA;S100A11;TMBIM6;CHMP2A;HMGA1;NPM1;ANP32B;EEF1E1;CCDC85B;LMNA;PHB;BNIP3;KARS;LDOC1;CUL4A,CYP1B1;PDPN;BST2;SOX4;CDKN2D;PTHLH;FGFBP1;FTH1;BTG1
negative regulation of cell proliferation (GO:0008285),0.44017700741817684,11.615146105397615,0.0,0.14526500389711614,364,26,CYP1B1;PDPN;SOX4;CDKN2D;PTHLH;FGFBP1;FTH1;ID2;BTG1;IGFBP7;IGFBP6;S100A11;GSTP1;HMGA1;NPM1;ATRAID;EEF1E1;LMNA;TFDP1;CTNNBIP1;PHB;KARS;EMD;LDOC1;CUL4A;E2F3,CYP1B1;PDPN;SOX4;CDKN2D;PTHLH;FGFBP1;FTH1;ID2;BTG1
viral gene expression (GO:0019080),0.5906547107625753,12.168402617003071,0.0,0.16601714731098988,111,36,RPL27A;RPLP1;RPL37;RPS24;RPL34;RPL28;RPS11;RPL37A;RPL21;RPL12;RPS27;RPL35;RPS14;RPL26;RPL27;RPS5;RPS15A;RPL10A;RPL30;RPL19;RPLP0;RPS19;RPL23;RPL36;RPS21;RPL13;RPL18;RPL5;RPS28;RPL15;RPL18A;RPL6;RPL38;RPL17;RPS16;MRPS12,RPL27A;RPLP1;RPL37;RPS24;RPL34;RPL28;RPS11;RPL37A;RPL21;RPL12;RPS27;RPL35;RPS14;RPL26;RPL27;RPS5;RPS15A;RPL10A;RPL30;RPL19;RPLP0;RPS19;RPL23;RPL36;RPS21;RPL13;RPL18;RPL5;RPS28;RPL15;RPL18A;RPL6;RPL38;RPL17;RPS16
protein targeting to ER (GO:0045047),0.3975227601272041,10.319393434419371,0.0,0.17431800467653935,98,37,RPL27A;RPLP1;RPL37;RPS24;RPL34;RPL28;RPS11;RPL37A;RPL21;RPL12;RPS27;RPL35;RPS14;RPL26;RPL27;RPS5;RPS15A;RPL10A;RPL30;RPL19;RPLP0;RPS19;RPL23;RPL36;RPS21;RPL13;RPL18;RPL5;RPS28;RPL15;RPL18A;RPL6;RPL38;RPL17;RPS16;MRPS12;PMM2,RPL27A;RPLP1;RPL37;RPS24;RPL34;RPL28;RPS11;RPL37A;RPL21;RPL12;RPS27;RPL35;RPS14;RPL26;RPL27;RPS5;RPS15A;RPL10A;RPL30;RPL19;RPLP0;RPS19;RPL23;RPL36;RPS21;RPL13;RPL18;RPL5;RPS28;RPL15;RPL18A;RPL6;RPL38;RPL17;RPS16
regulation of mitotic cell cycle phase transition (GO:1901990),0.23952555495384015,12.243460810975538,0.3333333333333333,0.18815276695245517,185,23,TUBA1A;CDK1;ID2;PSMB8;TPX2;PSMA1;HSP90AA1;PSMA7;ANAPC11;PSMB1;PSMB6;PSMB7;PSMD4;PSMC5;YWHAE;PSMC1;PSMD9;PSME2;PSMB4;PSMC2;PSME3;HAUS8;HAUS7,TUBA1A;CDK1;ID2;PSMB8;TPX2;PSMA1;HSP90AA1;PSMA7;ANAPC11;PSMB1;PSMB6;PSMB7;PSMD4;PSMC5;YWHAE;PSMC1;PSMD9;PSME2;PSMB4;PSMC2
