Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Pathways in cancer,-0.4635418185192274,-2.014132568454764,0.06666666666666667,0.16036655211912942,530,17,ITGB1;CKS1B;NQO1;TPM3;GSTP1;NFE2L2;MGST3;HSP90AA1;HSP90AB1;CYCS;BID;BAX;MSH6;MAX;E2F3;TXNRD2;WNT7A,MAX;E2F3;TXNRD2;WNT7A
Oxidative phosphorylation,0.2599213612285307,5.412788342797916,0.38095238095238093,0.4123348017621145,133,17,COX7B2;NDUFS6;COX8A;COX7C;UQCRFS1;NDUFB2;UQCR10;NDUFB7;COX7B;UQCRH;NDUFB10;NDUFA8;NDUFC1;NDUFV2;SDHB;UQCRC2;NDUFV3,COX7B2;NDUFS6;COX8A;COX7C;UQCRFS1;NDUFB2;UQCR10;NDUFB7;COX7B;UQCRH;NDUFB10;NDUFA8;NDUFC1;NDUFV2
Huntington disease,0.21539366761965517,6.016434554358603,0.5294117647058824,0.44052863436123346,193,28,POLR2J3;COX7B2;NDUFS6;POLR2L;COX8A;COX7C;POLR2F;UQCRFS1;NDUFB2;UQCR10;NDUFB7;GPX1;COX7B;UQCRH;NDUFB10;SOD1;SLC25A5;CYCS;NDUFA8;NDUFC1;NDUFV2;POLR2I;TFAM;BAX;PPIF;SDHB;UQCRC2;NDUFV3,POLR2J3;COX7B2;NDUFS6;POLR2L;COX8A;COX7C;POLR2F;UQCRFS1;NDUFB2;UQCR10;NDUFB7;GPX1;COX7B;UQCRH;NDUFB10;SOD1;SLC25A5;CYCS;NDUFA8;NDUFC1;NDUFV2
Alzheimer disease,0.23685418615296822,5.575983234879689,0.4444444444444444,0.4427312775330397,171,20,COX7B2;NDUFS6;GAPDH;COX8A;COX7C;UQCRFS1;NDUFB2;UQCR10;NDUFB7;COX7B;UQCRH;NDUFB10;CYCS;NDUFA8;NDUFC1;NDUFV2;BID;SDHB;UQCRC2;NDUFV3,COX7B2;NDUFS6;GAPDH;COX8A;COX7C;UQCRFS1;NDUFB2;UQCR10;NDUFB7;COX7B;UQCRH;NDUFB10;CYCS;NDUFA8;NDUFC1;NDUFV2
Proteasome,0.3314091333012544,6.026634392687567,0.041666666666666664,0.6607929515418502,45,15,PSMB8;PSMA1;POMP;PSMA7;PSMB1;PSMB6;PSMB7;PSMD4;PSMC5;ADRM1;PSMC1;PSME2;PSMB4;PSMC2;PSME3,PSMB8;PSMA1;POMP;PSMA7;PSMB1;PSMB6;PSMB7;PSMD4;PSMC5;ADRM1;PSMC1;PSME2;PSMB4;PSMC2
Spliceosome,-0.2886113070750595,-1.3379208672513094,0.4605263157894737,0.6777395952653685,134,23,HNRNPA1;SNRPG;SNRPD3;RBM8A;LSM3;LSM4;SNRPD1;SNRPF;SNRPB2;SNU13;SNRNP70;CWC15;SNRPA1;LSM7;SRSF7;SRSF9;RBM17;SNW1;RBM25;TXNL4A;DHX15;PQBP1;PHF5A,SNRPG;SNRPD3;RBM8A;LSM3;LSM4;SNRPD1;SNRPF;SNRPB2;SNU13;SNRNP70;CWC15;SNRPA1;LSM7;SRSF7;SRSF9;RBM17;SNW1;RBM25;TXNL4A;DHX15;PQBP1;PHF5A
RNA transport,-0.36246243034982184,-1.460855368751251,0.3,0.7101947308132874,165,19,EEF1A1;SRRM1;RBM8A;EIF2B4;FXR1;NXT1;CLNS1A;POP5;UPF2;EIF3G;POP7;THOC7;EIF4A1;EIF4G1;RPP40;RPP38;GEMIN6;EIF4EBP1;EIF2B2,EIF2B4;FXR1;NXT1;CLNS1A;POP5;UPF2;EIF3G;POP7;THOC7;EIF4A1;EIF4G1;RPP40;RPP38;GEMIN6;EIF4EBP1;EIF2B2
Ribosome,-0.19288469064525576,-1.0276640303859665,0.6746987951807228,0.7170675830469645,153,56,RPL27A;RPLP1;RPL37;RPS24;RPS12;RPL34;RPL28;RPS11;RPL37A;RPL21;RPL12;RPS27;RPL35;RPS14;RPL26;RPL27;RPS5;RPS15A;RPL10A;RPL30;RPL19;RPLP0;RPS19;RPL23;RPL36;RPS21;RPL13;RPL18;RPL5;RPS28;RPL15;RPL18A;RPL6;RPL38;MRPL33;FAU;RPL17;MRPL13;RPS16;MRPS18C;MRPL14;MRPL28;MRPL32;MRPL4;MRPL17;MRPL24;RPL22L1;MRPL15;MRPL27;MRPL21;MRPS12;MRPL34;MRPL2;MRPL19;MRPS17;MRPL3,RPLP1;RPL37;RPS24;RPS12;RPL34;RPL28;RPS11;RPL37A;RPL21;RPL12;RPS27;RPL35;RPS14;RPL26;RPL27;RPS5;RPS15A;RPL10A;RPL30;RPL19;RPLP0;RPS19;RPL23;RPL36;RPS21;RPL13;RPL18;RPL5;RPS28;RPL15;RPL18A;RPL6;RPL38;MRPL33;FAU;RPL17;MRPL13;RPS16;MRPS18C;MRPL14;MRPL28;MRPL32;MRPL4;MRPL17;MRPL24;RPL22L1;MRPL15;MRPL27;MRPL21;MRPS12;MRPL34;MRPL2;MRPL19;MRPS17;MRPL3
Thermogenesis,-0.2707259176025518,-1.0940866930260642,0.6,0.8132875143184422,231,23,COX7B2;NDUFS6;COX8A;ACTB;COX7C;UQCRFS1;NDUFB2;UQCR10;NDUFB7;COX7B;UQCRH;NDUFB10;COA6;NDUFA8;NDUFC1;NDUFV2;COA4;SDHB;NDUFAF2;UQCRC2;NDUFV3;AKT1S1;MLST8,COA4;SDHB;NDUFAF2;UQCRC2;NDUFV3;AKT1S1;MLST8
Non-alcoholic fatty liver disease (NAFLD),0.18845103422431542,3.0223238673034483,0.75,0.9074889867841409,149,20,COX7B2;NDUFS6;COX8A;COX7C;UQCRFS1;NDUFB2;UQCR10;NDUFB7;COX7B;UQCRH;NDUFB10;CYCS;NDUFA8;NDUFC1;NDUFV2;BID;BAX;SDHB;UQCRC2;NDUFV3,COX7B2;NDUFS6;COX8A;COX7C;UQCRFS1;NDUFB2;UQCR10;NDUFB7;COX7B;UQCRH;NDUFB10;CYCS;NDUFA8;NDUFC1;NDUFV2
