Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
SRP-dependent cotranslational protein targeting to membrane (GO:0006614),-0.6371567681535929,-8.428668813207253,0.0,0.0,90,30,RPL35;SEC61B;RPS24;RPL27A;RPS10;RPL7A;RPLP1;RPS13;RPL27;RPL12;RPS17;RPS2;RPL21;RPS7;RPS26;RPL35A;RPL36;RPL5;RPL26;RPL10;RPS3;RPS9;RPL19;RPL13A;RPS23;RPS27A;RPSA;RPL10A;RPL17;MRPS12,SEC61B;RPS24;RPL27A;RPS10;RPL7A;RPLP1;RPS13;RPL27;RPL12;RPS17;RPS2;RPL21;RPS7;RPS26;RPL35A;RPL36;RPL5;RPL26;RPL10;RPS3;RPS9;RPL19;RPL13A;RPS23;RPS27A;RPSA;RPL10A;RPL17;MRPS12
cotranslational protein targeting to membrane (GO:0006613),-0.645791093352633,-7.576897615452903,0.0,0.0,94,30,RPL35;RPS24;RPL27A;RPS10;RPL7A;RPLP1;RPS13;RPL27;RPL12;RPS17;RPS2;RPL21;RPS7;RPS26;RPL35A;RPL36;RPL5;RPL26;RPL10;RPS3;RPS9;RPL19;RPL13A;RPS23;RPS27A;RPSA;RPL10A;RPL17;ARL6IP1;MRPS12,RPS24;RPL27A;RPS10;RPL7A;RPLP1;RPS13;RPL27;RPL12;RPS17;RPS2;RPL21;RPS7;RPS26;RPL35A;RPL36;RPL5;RPL26;RPL10;RPS3;RPS9;RPL19;RPL13A;RPS23;RPS27A;RPSA;RPL10A;RPL17;ARL6IP1;MRPS12
viral gene expression (GO:0019080),-0.6364733765694944,-7.368799646330423,0.0,0.0,111,29,RPL35;RPS24;RPL27A;RPS10;RPL7A;RPLP1;RPS13;RPL27;RPL12;RPS17;RPS2;RPL21;RPS7;RPS26;RPL35A;RPL36;RPL5;RPL26;RPL10;RPS3;RPS9;RPL19;RPL13A;RPS23;RPS27A;RPSA;RPL10A;RPL17;MRPS12,RPS24;RPL27A;RPS10;RPL7A;RPLP1;RPS13;RPL27;RPL12;RPS17;RPS2;RPL21;RPS7;RPS26;RPL35A;RPL36;RPL5;RPL26;RPL10;RPS3;RPS9;RPL19;RPL13A;RPS23;RPS27A;RPSA;RPL10A;RPL17;MRPS12
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",-0.5655228766861802,-6.563288627251801,0.0,0.001671524087090691,113,31,MAGOHB;RPL35;RPS24;RPL27A;RPS10;RPL7A;RPLP1;RPS13;RPL27;RPL12;RPS17;RPS2;RPL21;RPS7;RPS26;RPL35A;RPL36;RPL5;RPL26;RPL10;RPS3;RPS9;RPL19;RPL13A;RPS23;RPS27A;RPSA;RPL10A;RPL17;EIF3E;MRPS12,RPS24;RPL27A;RPS10;RPL7A;RPLP1;RPS13;RPL27;RPL12;RPS17;RPS2;RPL21;RPS7;RPS26;RPL35A;RPL36;RPL5;RPL26;RPL10;RPS3;RPS9;RPL19;RPL13A;RPS23;RPS27A;RPSA;RPL10A;RPL17;EIF3E;MRPS12
protein targeting to ER (GO:0045047),-0.5034726490814383,-5.4094275165492505,0.02702702702702703,0.01872106977541574,98,30,SPCS3;RPL35;RPS24;RPL27A;RPS10;RPL7A;RPLP1;RPS13;RPL27;RPL12;RPS17;RPS2;RPL21;RPS7;RPS26;RPL35A;RPL36;RPL5;RPL26;RPL10;RPS3;RPS9;RPL19;RPL13A;RPS23;RPS27A;RPSA;RPL10A;RPL17;MRPS12,RPS24;RPL27A;RPS10;RPL7A;RPLP1;RPS13;RPL27;RPL12;RPS17;RPS2;RPL21;RPS7;RPS26;RPL35A;RPL36;RPL5;RPL26;RPL10;RPS3;RPS9;RPL19;RPL13A;RPS23;RPS27A;RPSA;RPL10A;RPL17;MRPS12
viral process (GO:0016032),-0.43645155085732634,-5.274354576883777,0.0,0.021172638436482084,221,37,DEK;RANBP1;RPL35;AP2S1;PPIA;SSB;RAN;RPS24;RPL27A;RPS10;UBB;RPL7A;RPLP1;RPS13;RPL27;RPL12;RPS17;RPS2;RPL21;RPS7;RPS26;RPL35A;RPL36;RPL5;RPL26;RPL10;RPS3;RPS9;RPL19;RPL13A;RPS23;RPS27A;RPSA;RPL10A;RPL17;EIF3F;MRPS12,AP2S1;PPIA;SSB;RAN;RPS24;RPL27A;RPS10;UBB;RPL7A;RPLP1;RPS13;RPL27;RPL12;RPS17;RPS2;RPL21;RPS7;RPS26;RPL35A;RPL36;RPL5;RPL26;RPL10;RPS3;RPS9;RPL19;RPL13A;RPS23;RPS27A;RPSA;RPL10A;RPL17;EIF3F;MRPS12
apoptotic process (GO:0006915),0.5936869328933065,3.5479772390547955,0.0,0.03653997970001128,232,15,BNIP3;IFIT2;AIFM2;PPIF;PHLDA2;GADD45A;CSE1L;EIF5A;PAWR;BAX;BAD;HSPD1;RTN4;GAPDH;FXR1,BNIP3;IFIT2;AIFM2;PPIF;PHLDA2;GADD45A;CSE1L;EIF5A
positive regulation of programmed cell death (GO:0043068),0.4726562457737182,3.2541805255837466,0.018518518518518517,0.1461599188000451,258,21,ANKRD1;NEURL1;BNIP3;IFIT2;AIFM2;TNFRSF12A;GADD45A;EEF1E1;ITGB1;PDCD5;ITGA6;PAWR;HMGB1;MTCH2;BAX;BAD;HSPD1;C1QBP;UBB;RPS27A;TNFSF10,ANKRD1;NEURL1;BNIP3;IFIT2;AIFM2;TNFRSF12A;GADD45A;EEF1E1;ITGB1;PDCD5;ITGA6;PAWR;HMGB1;MTCH2;BAX
peptide biosynthetic process (GO:0043043),-0.34782102029194994,-4.323447910324873,0.02702702702702703,0.15378021601234357,175,45,MRPL41;MRPS16;RPL39L;MRPL32;TARS;ABCF1;NHP2;RPL35;MRPL36;MRPS36;MRPL52;PABPC4;RPS24;RPL27A;RPS10;RPL7A;RPLP1;RPS13;RPL27;RPL12;RPS17;RPS2;RPL21;RPS7;RPS26;RPL35A;RPL36;RPL5;RPL26;RPL10;RPS3;RPS9;RPL19;RPL13A;RPS23;RPS27A;RPSA;RPL10A;RPL17;MRPL51;MRPS12;MRPS7;DHPS;RSL24D1;AGO2,ABCF1;NHP2;RPL35;MRPL36;MRPS36;MRPL52;PABPC4;RPS24;RPL27A;RPS10;RPL7A;RPLP1;RPS13;RPL27;RPL12;RPS17;RPS2;RPL21;RPS7;RPS26;RPL35A;RPL36;RPL5;RPL26;RPL10;RPS3;RPS9;RPL19;RPL13A;RPS23;RPS27A;RPSA;RPL10A;RPL17;MRPL51;MRPS12;MRPS7;DHPS;RSL24D1;AGO2
translation (GO:0006412),-0.28864715011313163,-4.160007364269513,0.09090909090909091,0.1763457911880679,233,54,EEF1E1;AIMP2;MRPL41;MRPS16;RPL39L;AIMP1;MRPL32;TARS;TRMT112;ABCF1;NHP2;RPL35;RWDD1;EEF1B2;MRPL36;MRPS36;MRPL52;PABPC4;EEF2;MRPS34;RPS24;RPL27A;RPS10;RPL7A;RPLP1;RPS13;RPL27;RPL12;RPS17;RPS2;RPL21;RPS7;RPS26;RPL35A;RPL36;RPL5;RPL26;RPL10;RPS3;RPS9;RPL19;RPL13A;RPS23;RPS27A;RPSA;RPL10A;RPL17;MRPL51;MRPL57;MRPS12;MRPS7;DHPS;RSL24D1;AGO2,AIMP2;MRPL41;MRPS16;RPL39L;AIMP1;MRPL32;TARS;TRMT112;ABCF1;NHP2;RPL35;RWDD1;EEF1B2;MRPL36;MRPS36;MRPL52;PABPC4;EEF2;MRPS34;RPS24;RPL27A;RPS10;RPL7A;RPLP1;RPS13;RPL27;RPL12;RPS17;RPS2;RPL21;RPS7;RPS26;RPL35A;RPL36;RPL5;RPL26;RPL10;RPS3;RPS9;RPL19;RPL13A;RPS23;RPS27A;RPSA;RPL10A;RPL17;MRPL51;MRPL57;MRPS12;MRPS7;DHPS;RSL24D1;AGO2
