Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Ribosome,-0.3389892293487861,-3.964310071783246,0.02631578947368421,0.2222222222222222,153,38,MRPL17;MRPL20;MRPS16;MRPL32;RPL35;MRPL22;MRPL36;RPS24;RPL27A;RPS10;RPL7A;RPLP1;RPS13;RPL27;RPL12;RPS17;RPS2;RPL21;RPS7;RPS26;RPL35A;RPL36;RPL5;RPL26;RPL10;RPS3;RPS9;RPL19;RPL13A;RPS23;RPS27A;RPSA;RPL36AL;RPL10A;RPL17;MRPS12;MRPS7;RSL24D1,RPS24;RPL27A;RPS10;RPL7A;RPLP1;RPS13;RPL27;RPL12;RPS17;RPS2;RPL21;RPS7;RPS26;RPL35A;RPL36;RPL5;RPL26;RPL10;RPS3;RPS9;RPL19;RPL13A;RPS23;RPS27A;RPSA;RPL36AL;RPL10A;RPL17;MRPS12;MRPS7;RSL24D1
Cellular senescence,0.3928153905896916,2.415426319114673,0.21153846153846154,0.3735042735042735,160,17,HLA-G;GADD45A;RRAS2;HRAS;SLC25A4;HLA-A;EIF4EBP1;HLA-B;KRAS;CDK4;CALM1;CALM3;SLC25A5;HLA-C;PPP1CA;VDAC2;SLC25A6,HLA-G;GADD45A;RRAS2;HRAS;SLC25A4;HLA-A;EIF4EBP1;HLA-B;KRAS
Human cytomegalovirus infection,0.3849039703938367,2.318810127362435,0.04918032786885246,0.39550264550264547,225,18,HLA-G;RAC3;GNAI2;HRAS;HLA-A;CYCS;EIF4EBP1;TAPBP;HLA-B;KRAS;BAX;CDK4;CALM1;PDIA3;CALM3;HLA-C;GNAS;JAK1,HLA-G;RAC3;GNAI2;HRAS;HLA-A;CYCS;EIF4EBP1;TAPBP;HLA-B;KRAS
Proteoglycans in cancer,0.48143322861352045,2.6464186661672993,0.06451612903225806,0.4001831501831502,201,15,CD44;MET;FN1;RRAS2;HRAS;ITGB1;CAV1;KRAS;CAV2;ACTB;DDX5;CD63;EZR;PPP1CA;ACTG1,CD44;MET;FN1;RRAS2;HRAS;ITGB1;CAV1;KRAS;CAV2;ACTB;DDX5;CD63
Protein processing in endoplasmic reticulum,0.35485044719358505,2.4384302366809525,0.11320754716981132,0.43879731379731385,165,23,FBXO2;DNAJC10;RAD23B;LMAN2;HSPH1;UBE2D2;BAX;PDIA6;HSP90AA1;ERP29;UBE2J2;CKAP4;SAR1A;HSPA5;HSPA8;CANX;PDIA3;HSP90AB1;BCAP31;HSP90B1;SEC61B;SKP1;NFE2L2,FBXO2;DNAJC10;RAD23B;LMAN2;HSPH1;UBE2D2;BAX;PDIA6;HSP90AA1;ERP29;UBE2J2;CKAP4;SAR1A;HSPA5;HSPA8;CANX;PDIA3
PI3K-Akt signaling pathway,0.4061724123353004,2.21858251209128,0.13333333333333333,0.445316588173731,354,15,LAMC2;MET;FN1;HRAS;ITGB1;EIF4EBP1;ITGA6;KRAS;HSP90AA1;BAD;CDK4;HSP90AB1;HSP90B1;JAK1;CDC37,LAMC2;MET;FN1;HRAS;ITGB1;EIF4EBP1;ITGA6;KRAS;HSP90AA1;BAD;CDK4
Epstein-Barr virus infection,0.4020889467202059,2.8127954963460686,0.05660377358490566,0.44932844932844934,201,22,HLA-G;CD44;PSMD14;GADD45A;ISG15;PSMC5;PSMC3;PSMC2;HLA-A;CYCS;TAPBP;HLA-B;BAX;PSMD11;CDK4;PSMD1;PDIA3;ADRM1;HLA-C;PSMC1;HES1;JAK1,HLA-G;CD44;PSMD14;GADD45A;ISG15;PSMC5;PSMC3;PSMC2;HLA-A;CYCS;TAPBP;HLA-B
Focal adhesion,0.479725609564289,2.465120662380442,0.06349206349206349,0.5429385429385429,199,16,LAMC2;RAC3;PARVB;MET;FN1;PARVA;HRAS;ITGB1;CAV1;ITGA6;CAV2;ACTB;BAD;PPP1CA;ACTG1;ACTN4,LAMC2;RAC3;PARVB;MET;FN1;PARVA;HRAS;ITGB1;CAV1;ITGA6;CAV2;ACTB;BAD
Human papillomavirus infection,0.3233023508086577,1.9672572872872818,0.31666666666666665,0.5644688644688645,330,24,HLA-G;LAMC2;FN1;HRAS;ITGB1;ISG15;ATP6V0B;HLA-A;EIF4EBP1;ITGA6;HLA-B;KRAS;BAX;BAD;CDK4;ATP6V0E1;HLA-C;PKM;PSMC1;BCAP31;GNAS;HES1;JAK1;MAML2,HLA-G;LAMC2;FN1;HRAS;ITGB1;ISG15;ATP6V0B;HLA-A;EIF4EBP1;ITGA6;HLA-B;KRAS
Pathways in cancer,0.31753700284265285,2.013615568683999,0.15384615384615385,0.5757020757020757,530,30,RASGRP2;LAMC2;RAC3;GNAI2;MET;GADD45A;FN1;HRAS;ITGB1;CYCS;ITGA6;KRAS;NQO1;BAX;HSP90AA1;BAD;CDK4;CALM1;CKS1B;CALM3;HSP90AB1;HSP90B1;GSTO1;SKP1;NFE2L2;GNAS;HES1;JUP;JAK1;FOS,RASGRP2;LAMC2;RAC3;GNAI2;MET;GADD45A;FN1
Human immunodeficiency virus 1 infection,0.3668788050734524,2.0459403787771158,0.15625,0.6020299145299146,212,20,HLA-G;BST2;RAC3;GNAI2;HRAS;HLA-A;CYCS;TAPBP;HLA-B;KRAS;CFL1;BAX;BAD;CALM1;PDIA3;CALM3;HLA-C;SKP1;FOS;APOBEC3C,HLA-G;BST2;RAC3;GNAI2;HRAS;HLA-A;CYCS;TAPBP;HLA-B;KRAS;CFL1
Regulation of actin cytoskeleton,0.336974742714432,1.8508334522271097,0.17391304347826086,0.6471861471861472,214,21,RAC3;ARPC1B;FN1;RRAS2;HRAS;ITGB1;ARPC5L;ITGA6;ITGAE;KRAS;CFL1;ACTB;PFN1;ARPC3;EZR;ARPC2;PPP1CA;TMSB4X;ACTG1;SSH2;ACTN4,RAC3;ARPC1B;FN1;RRAS2;HRAS;ITGB1;ARPC5L;ITGA6;ITGAE;KRAS;CFL1
Endocytosis,0.31061073615338036,1.752893626931527,0.39344262295081966,0.6761529069221377,244,19,HLA-G;ARPC1B;HRAS;ARPC5L;CAV1;HLA-A;HLA-B;STAMBP;CAV2;HSPA8;CLTB;HLA-C;ARPC3;CAPZB;ARPC2;AP2S1;UBB;EPN2;CHMP1B,HLA-G;ARPC1B;HRAS;ARPC5L;CAV1;HLA-A;HLA-B;STAMBP;CAV2
Proteasome,0.33545030278407684,1.7882198781006002,0.2923076923076923,0.6786731786731788,45,23,PSMD14;PSMB9;PSMA1;PSMC5;PSMC3;POMP;PSMC2;PSME2;PSMB3;PSMD11;PSMB6;PSMD1;PSMA7;PSMB7;PSMA3;PSMB8;ADRM1;PSMB4;PSMC1;PSME1;PSMB1;PSMA4;PSMB2,PSMD14;PSMB9;PSMA1;PSMC5;PSMC3;POMP;PSMC2;PSME2;PSMB3;PSMD11;PSMB6;PSMD1;PSMA7;PSMB7;PSMA3;PSMB8;ADRM1;PSMB4;PSMC1;PSME1;PSMB1
Thermogenesis,0.16471929390849227,1.2308979219878435,0.8909090909090909,0.8163225663225663,231,30,NDUFAF2;NDUFS6;HRAS;UQCRFS1;COX5A;KRAS;COA6;COX8A;NDUFB8;COX20;ACTB;NDUFV3;NDUFS4;UQCRQ;NDUFC2;NDUFA2;NDUFS8;NDUFA3;NDUFB9;COX6B1;NDUFA4;COX7A2;UQCR10;NDUFB10;COX4I1;ACTG1;NDUFB7;NDUFB5;GNAS;KDM1A,NDUFAF2;NDUFS6;HRAS;UQCRFS1;COX5A;KRAS;COA6;COX8A;NDUFB8;COX20;ACTB
