Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
protein targeting to ER (GO:0045047),0.44089583050576237,45.13713711011554,0.0,0.04430379746835443,98,31,RPL27A;RPL37;RPL13A;RPLP1;RPS11;RPL21;RPL22;RPL28;RPSA;RPS20;RPL30;RPS10;RPS27;RPLP0;RPS17;RPS24;RPS15;RPL34;RPS2;RPL18;RPL36;RPL12;RPL38;RPS29;RPL23A;RPL29;RPS21;RPS16;SRP19;CHMP4A;MRPS12,RPL27A;RPL37;RPL13A;RPLP1;RPS11;RPL21;RPL22;RPL28;RPSA;RPS20;RPL30;RPS10;RPS27;RPLP0;RPS17;RPS24;RPS15;RPL34;RPS2;RPL18;RPL36;RPL12;RPL38;RPS29;RPL23A;RPL29;RPS21;RPS16
SRP-dependent cotranslational protein targeting to membrane (GO:0006614),0.5167000788454976,33.908604151041224,0.0,0.05537974683544304,90,30,RPL27A;RPL37;RPL13A;RPLP1;RPS11;RPL21;RPL22;RPL28;RPSA;RPS20;RPL30;RPS10;RPS27;RPLP0;RPS17;RPS24;RPS15;RPL34;RPS2;RPL18;RPL36;RPL12;RPL38;RPS29;RPL23A;RPL29;RPS21;RPS16;SRP19;MRPS12,RPL27A;RPL37;RPL13A;RPLP1;RPS11;RPL21;RPL22;RPL28;RPSA;RPS20;RPL30;RPS10;RPS27;RPLP0;RPS17;RPS24;RPS15;RPL34;RPS2;RPL18;RPL36;RPL12;RPL38;RPS29;RPL23A;RPL29;RPS21;RPS16
viral gene expression (GO:0019080),0.6095244452694631,29.29885098847073,0.0,0.05907172995780591,111,29,RPL27A;RPL37;RPL13A;RPLP1;RPS11;RPL21;RPL22;RPL28;RPSA;RPS20;RPL30;RPS10;RPS27;RPLP0;RPS17;RPS24;RPS15;RPL34;RPS2;RPL18;RPL36;RPL12;RPL38;RPS29;RPL23A;RPL29;RPS21;RPS16;MRPS12,RPL27A;RPL37;RPL13A;RPLP1;RPS11;RPL21;RPL22;RPL28;RPSA;RPS20;RPL30;RPS10;RPS27;RPLP0;RPS17;RPS24;RPS15;RPL34;RPS2;RPL18;RPL36;RPL12;RPL38;RPS29;RPL23A;RPL29;RPS21;RPS16
cotranslational protein targeting to membrane (GO:0006613),0.40765173361953455,27.748440013960035,0.0,0.06091772151898735,94,31,RPL27A;RPL37;RPL13A;RPLP1;RPS11;RPL21;RPL22;RPL28;RPSA;RPS20;RPL30;RPS10;RPS27;RPLP0;RPS17;RPS24;RPS15;RPL34;RPS2;RPL18;RPL36;RPL12;RPL38;RPS29;RPL23A;RPL29;RPS21;RPS16;SRP19;MRPS12;ARL6IP1,RPL27A;RPL37;RPL13A;RPLP1;RPS11;RPL21;RPL22;RPL28;RPSA;RPS20;RPL30;RPS10;RPS27;RPLP0;RPS17;RPS24;RPS15;RPL34;RPS2;RPL18;RPL36;RPL12;RPL38;RPS29;RPL23A;RPL29;RPS21;RPS16
viral transcription (GO:0019083),0.44553211826442585,22.542145771761394,0.0,0.07531645569620253,114,30,RPL27A;RPL37;RPL13A;RPLP1;RPS11;RPL21;RPL22;RPL28;RPSA;RPS20;RPL30;RPS10;RPS27;RPLP0;RPS17;RPS24;RPS15;RPL34;RPS2;RPL18;RPL36;RPL12;RPL38;RPS29;RPL23A;RPL29;RPS21;RPS16;MRPS12;DHX9,RPL27A;RPL37;RPL13A;RPLP1;RPS11;RPL21;RPL22;RPL28;RPSA;RPS20;RPL30;RPS10;RPS27;RPLP0;RPS17;RPS24;RPS15;RPL34;RPS2;RPL18;RPL36;RPL12;RPL38;RPS29;RPL23A;RPL29;RPS21;RPS16
viral process (GO:0016032),0.26093185618009773,20.60588974153317,0.0,0.0959915611814346,221,42,RPL27A;B2M;VPS28;RPL37;PPIA;RPL13A;NUCKS1;RPLP1;RPS11;CHMP2A;RPL21;RPL22;RPL28;RPSA;RPS20;RPL30;RPS10;RPS27;RPLP0;RPS17;RPS24;RPS15;RPL34;RPS2;RPL18;RPL36;RPL12;RPL38;RPS29;RPL23A;RPL29;RPS21;RAC1;RPS16;RANBP1;DENR;CHMP4A;RAB7A;EIF3A;MRPS12;VCP;HTATSF1,RPL27A;B2M;VPS28;RPL37;PPIA;RPL13A;NUCKS1;RPLP1;RPS11;CHMP2A;RPL21;RPL22;RPL28;RPSA;RPS20;RPL30;RPS10;RPS27;RPLP0;RPS17;RPS24;RPS15;RPL34;RPS2;RPL18;RPL36;RPL12;RPL38;RPS29;RPL23A;RPL29;RPS21;RAC1;RPS16
cytokine-mediated signaling pathway (GO:0019221),0.4212705329509948,19.31090005874444,0.0,0.09968354430379747,634,29,IFI6;PSMB9;TMSB4X;HLA-B;HLA-A;BST2;MT2A;HLA-C;IFITM3;B2M;PSME1;ITGB1;ANXA2;HSP90B1;TALDO1;PPIA;ANXA1;CFL1;RPLP0;CD44;MIF;GSTO1;PSMA2;PSMA5;PSMD7;HNRNPA2B1;PSMD8;HSPA9;PSMD12,IFI6;PSMB9;TMSB4X;HLA-B;HLA-A;BST2;MT2A;HLA-C;IFITM3;B2M;PSME1;ITGB1;ANXA2;HSP90B1;TALDO1;PPIA;ANXA1
cellular protein metabolic process (GO:0044267),0.2018536360858088,19.326094557476104,0.16666666666666666,0.1139240506329114,485,60,IGFBP6;FBXO2;UBE2L6;IGFBP7;LGALS1;MRPL36;ITM2B;RPL27A;B2M;HSP90B1;SEC11A;RPL37;RPL13A;H3F3A;RPLP1;RPS11;EEF1A1;RPL21;RPL22;RPL28;RPSA;RPS20;RPL30;RPS10;RPS27;RPLP0;RPS17;RPS24;RPS15;RPL34;RPS2;RPL18;RPL36;RPL12;RPL38;RPS29;RPL23A;RPL29;RPS21;RPS16;SERP1;NHP2;RRBP1;MRPL41;SNU13;MRPS18B;GGCX;MRPS18C;MRPS6;MRPS2;MRPL18;MRPS12;MRPL4;MRPS17;MRPL24;RSL24D1;MRPS7;EIF4G1;AGO2;FBXO22,IGFBP6;FBXO2;UBE2L6;IGFBP7;LGALS1;MRPL36;ITM2B;RPL27A;B2M;HSP90B1;SEC11A;RPL37;RPL13A;H3F3A;RPLP1;RPS11;EEF1A1;RPL21;RPL22;RPL28;RPSA;RPS20;RPL30;RPS10;RPS27;RPLP0;RPS17;RPS24;RPS15;RPL34;RPS2;RPL18;RPL36;RPL12;RPL38;RPS29;RPL23A;RPL29;RPS21
respiratory electron transport chain (GO:0022904),0.47360248447205067,15.116497218223042,0.0,0.19198312236286919,95,17,NDUFS6;NDUFA2;MT-ND3;UQCRB;MT-CO1;NDUFB9;NDUFB7;UQCR10;CYC1;ETFB;NDUFV1;MT-ND6;NDUFA6;NDUFB5;NDUFS7;NDUFS3;NDUFS2,NDUFS6;NDUFA2;MT-ND3;UQCRB;MT-CO1;NDUFB9;NDUFB7;UQCR10;CYC1;ETFB;NDUFV1;MT-ND6;NDUFA6;NDUFB5;NDUFS7;NDUFS3;NDUFS2
negative regulation of apoptotic process (GO:0043066),0.22983905581265507,13.490513447833603,0.1,0.214873417721519,486,32,IFI6;FHL2;ANXA5;DDAH2;CAV1;HSPB1;PRDX5;UFM1;ITGB1;HSP90B1;GSTP1;KRT18;TPT1;ANXA1;CFL1;PARK7;NPM1;CD44;PRDX2;MIF;PA2G4;TAF9;GLO1;BID;PHB2;DNAJA1;HSPA9;ARL6IP1;TRIAP1;PTRH2;CDK1;XIAP,IFI6;FHL2;ANXA5;DDAH2;CAV1;HSPB1;PRDX5;UFM1;ITGB1;HSP90B1;GSTP1;KRT18;TPT1;ANXA1
