Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Ribosome,0.22171038125614917,21.82750304265209,0.0,0.0,153,45,MRPL36;RPL27A;RPL37;RPL13A;RPLP1;RPS11;RPL21;RPL22;RPL28;RPSA;RPS20;RPL30;RPS10;RPS27;RPLP0;RPS17;RPS24;RPS12;RPS15;RPL34;RPS2;RPL18;RPL36;RPL12;FAU;RPL38;RPS29;RPL23A;RPL29;RPS21;RPS16;MRPL33;MRPL21;MRPL17;MRPS18C;MRPS6;MRPS2;MRPL18;MRPS12;MRPL4;MRPS17;MRPL24;RSL24D1;MRPS10;MRPS7,MRPL36;RPL27A;RPL37;RPL13A;RPLP1;RPS11;RPL21;RPL22;RPL28;RPSA;RPS20;RPL30;RPS10;RPS27;RPLP0;RPS17;RPS24;RPS12;RPS15;RPL34;RPS2;RPL18;RPL36;RPL12;FAU;RPL38;RPS29;RPL23A;RPL29;RPS21;RPS16;MRPL33;MRPL21;MRPL17;MRPS18C;MRPS6;MRPS2;MRPL18;MRPS12;MRPL4;MRPS17;MRPL24;RSL24D1;MRPS10
Non-alcoholic fatty liver disease (NAFLD),0.47213622291021684,11.740262265999506,0.0,0.10606060606060606,149,15,NDUFS6;NDUFA2;UQCRB;RAC1;NDUFB9;NDUFB7;UQCR10;CYC1;NDUFV1;NDUFA6;NDUFB5;NDUFS7;BID;NDUFS3;NDUFS2,NDUFS6;NDUFA2;UQCRB;RAC1;NDUFB9;NDUFB7;UQCR10;CYC1;NDUFV1;NDUFA6;NDUFB5;NDUFS7;BID;NDUFS3;NDUFS2
Parkinson disease,0.4743390357698291,10.106740895114555,0.0,0.11363636363636363,142,18,UBE2L6;NDUFS6;UCHL1;NDUFA2;UQCRB;PARK7;NDUFB9;NDUFB7;UQCR10;CYC1;SLC25A5;NDUFV1;NDUFA6;NDUFB5;NDUFS7;VDAC3;NDUFS3;NDUFS2,UBE2L6;NDUFS6;UCHL1;NDUFA2;UQCRB;PARK7;NDUFB9;NDUFB7;UQCR10;CYC1;SLC25A5;NDUFV1;NDUFA6;NDUFB5;NDUFS7;VDAC3;NDUFS3;NDUFS2
Huntington disease,0.47360248447205017,13.190239196287045,0.0,0.13636363636363635,193,17,NDUFS6;NDUFA2;UQCRB;NDUFB9;NDUFB7;UQCR10;CYC1;POLR2F;SLC25A5;POLR2E;NDUFV1;NDUFA6;NDUFB5;NDUFS7;VDAC3;NDUFS3;NDUFS2,NDUFS6;NDUFA2;UQCRB;NDUFB9;NDUFB7;UQCR10;CYC1;POLR2F;SLC25A5;POLR2E;NDUFV1;NDUFA6;NDUFB5;NDUFS7;VDAC3;NDUFS3;NDUFS2
Thermogenesis,0.19577440804168744,6.366133725606388,0.8461538461538461,0.4220779220779221,231,20,NDUFS6;NDUFA2;UQCRB;NDUFB9;NDUFB7;UQCR10;ACTG1;COA6;CYC1;COX14;NDUFV1;NDUFA6;NDUFB5;RHEB;NDUFS7;NDUFS3;NDUFS2;COA4;NDUFAF4;KDM1A,NDUFS6;NDUFA2;UQCRB;NDUFB9;NDUFB7;UQCR10;ACTG1;COA6;CYC1;COX14;NDUFV1;NDUFA6;NDUFB5;RHEB;NDUFS7;NDUFS3;NDUFS2
Pathways in cancer,-0.34079164149082475,-1.230620763227573,0.5185185185185185,0.4393939393939394,530,15,HES1;NQO1;ITGB1;HSP90B1;GSTP1;RAC1;CALM2;GSTO1;CKS1B;CDK4;TPM3;BID;MGST2;XIAP;CALML5,XIAP;CALML5
Epstein-Barr virus infection,0.31332095970969687,6.417318007516777,0.13636363636363635,0.48484848484848486,201,16,TAPBP;HLA-B;HLA-A;HES1;PDIA3;HLA-C;B2M;RAC1;CD44;CDK4;PSMD7;PSMD8;BID;ADRM1;EIF2AK2;PSMD12,TAPBP;HLA-B;HLA-A;HES1;PDIA3;HLA-C;B2M
Spliceosome,-0.33071760034976827,-1.2900581840155976,0.32954545454545453,0.5568181818181819,134,21,SNRPE;RBM8A;LSM2;SNRPB;RBMX;TRA2B;SNU13;RBM25;SNRPD3;SNRPD1;SNRPA;SNRNP27;SNRNP70;SRSF2;RBM17;HNRNPU;NCBP2;DDX42;ACIN1;SF3A2;PRPF38B,RBM8A;LSM2;SNRPB;RBMX;TRA2B;SNU13;RBM25;SNRPD3;SNRPD1;SNRPA;SNRNP27;SNRNP70;SRSF2;RBM17;HNRNPU;NCBP2;DDX42;ACIN1;SF3A2;PRPF38B
Alzheimer disease,0.2412808616819487,6.482646671658671,0.29411764705882354,0.5636363636363637,171,17,NDUFS6;NDUFA2;GAPDH;UQCRB;NDUFB9;NDUFB7;CALM2;UQCR10;CYC1;NDUFV1;NDUFA6;NDUFB5;NDUFS7;BID;NDUFS3;NDUFS2;CALML5,NDUFS6;NDUFA2;GAPDH;UQCRB;NDUFB9;NDUFB7;CALM2;UQCR10;CYC1;NDUFV1;NDUFA6;NDUFB5;NDUFS7;BID;NDUFS3;NDUFS2
RNA transport,-0.37726886848886276,-1.3902996389203308,0.20689655172413793,0.8181818181818181,165,21,EEF1A1;RBM8A;EIF5B;EIF3J;FXR1;KPNB1;SAP18;EIF3A;EIF2B4;POP7;RANGAP1;SEC13;NCBP2;UPF3B;GEMIN6;RPP40;GEMIN7;ACIN1;PHAX;TGS1;EIF4G1,EIF3A;EIF2B4;POP7;RANGAP1;SEC13;NCBP2;UPF3B;GEMIN6;RPP40;GEMIN7;ACIN1;PHAX;TGS1;EIF4G1
Human immunodeficiency virus 1 infection,0.22895649940621424,4.24893426662243,0.6666666666666666,0.8181818181818182,212,16,TAPBP;HLA-B;HLA-A;BST2;PDIA3;HLA-C;B2M;CFL1;RAC1;CALM2;BID;RNF7;CUL4A;CCNB1;CDK1;CALML5,TAPBP;HLA-B;HLA-A;BST2;PDIA3;HLA-C;B2M
