Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
SRP-dependent cotranslational protein targeting to membrane (GO:0006614),0.6233030770987228,8.257934482045393,0.0,0.0,90,71,RPS16;RPS28;RPS3A;RPS27;RPL15;RPS29;RPL14;RPS6;RPL13;RPL30;RPL38;RPS15A;RPS19;RPL13A;RPL17;RPL37;RPL39;RPS4X;RPL3;RPL18A;RPL7;RPS8;RPSA;RPL31;RPS25;RPL8;RPL11;RPL36A;RPS21;RPS15;RPL23A;RPL10A;RPL29;RPL22;RPL34;RPS9;RPS20;RPS27A;RPL24;RPS23;RPL6;RPL27A;RPL5;RPL26;UBA52;RPS3;RPL23;RPLP0;RPS11;RPL19;RPL28;RPL41;SRP14;RPLP2;RPLP1;RPS26;RPS18;RPS7;RPS17;RPS2;RPS10;RPS24;RPL32;RPL27;RPL7A;SEC61B;RPL10;SRP9;SRP72;SRP19;ZFAND2B,RPS16;RPS28;RPS3A;RPS27;RPL15;RPS29;RPL14;RPS6;RPL13;RPL30;RPL38;RPS15A;RPS19;RPL13A;RPL17;RPL37;RPL39;RPS4X;RPL3;RPL18A;RPL7;RPS8;RPSA;RPL31;RPS25;RPL8;RPL11;RPL36A;RPS21;RPS15;RPL23A;RPL10A;RPL29;RPL22;RPL34;RPS9;RPS20;RPS27A;RPL24;RPS23;RPL6;RPL27A;RPL5;RPL26;UBA52;RPS3;RPL23;RPLP0;RPS11;RPL19;RPL28;RPL41;SRP14;RPLP2;RPLP1;RPS26;RPS18;RPS7;RPS17;RPS2;RPS10;RPS24;RPL32;RPL27;RPL7A;SEC61B;RPL10
viral gene expression (GO:0019080),0.5045935375070942,6.831815241336668,0.0,0.0014237016242229796,111,71,RPS16;RPS28;RPS3A;RPS27;RPL15;RPS29;RPL14;RPS6;RPL13;RPL30;RPL38;RPS15A;RPS19;RPL13A;RPL17;RPL37;RPL39;RPS4X;RPL3;RPL18A;RPL7;RPS8;RPSA;RPL31;RPS25;RPL8;RPL11;RPL36A;RPS21;RPS15;RPL23A;RPL10A;RPL29;RPL22;RPL34;RPS9;RPS20;RPS27A;RPL24;RPS23;RPL6;RPL27A;RPL5;RPL26;UBA52;RPS3;RPL23;RPLP0;RPS11;RPL19;RPL28;RPL41;RPLP2;RPLP1;RPS26;RPS18;RPS7;RPS17;RPS2;RPS10;RPS24;RPL32;RPL27;RPL7A;RPL10;EIF2AK4;NUP37;NUPL2;NUP107;NUP93;NUP88,RPS16;RPS28;RPS3A;RPS27;RPL15;RPS29;RPL14;RPS6;RPL13;RPL30;RPL38;RPS15A;RPS19;RPL13A;RPL17;RPL37;RPL39;RPS4X;RPL3;RPL18A;RPL7;RPS8;RPSA;RPL31;RPS25;RPL8;RPL11;RPL36A;RPS21;RPS15;RPL23A;RPL10A;RPL29;RPL22;RPL34;RPS9;RPS20;RPS27A;RPL24;RPS23;RPL6;RPL27A;RPL5;RPL26;UBA52;RPS3;RPL23;RPLP0;RPS11;RPL19;RPL28;RPL41;RPLP2;RPLP1;RPS26;RPS18;RPS7;RPS17;RPS2;RPS10;RPS24;RPL32;RPL27;RPL7A;RPL10
cotranslational protein targeting to membrane (GO:0006613),0.6264264402821932,6.970099964381119,0.0,0.0017796270302787246,94,72,RPS16;RPS28;RPS3A;RPS27;RPL15;RPS29;RPL14;RPS6;RPL13;RPL30;RPL38;RPS15A;RPS19;RPL13A;RPL17;RPL37;RPL39;SEC62;SSR2;RPS4X;RPL3;RPL18A;RPL7;RPS8;RPSA;RPL31;RPS25;RPL8;RPL11;RPL36A;RPS21;RPS15;RPL23A;RPL10A;RPL29;RPL22;RPL34;RPS9;RPS20;RPS27A;RPL24;RPS23;RPL6;RPL27A;RPL5;RPL26;UBA52;RPS3;RPL23;RPLP0;RPS11;RPL19;RPL28;RPL41;SRP14;RPLP2;RPLP1;RPS26;RPS18;RPS7;RPS17;RPS2;RPS10;RPS24;RPL32;RPL27;RPL7A;RPL10;SRP9;SRP72;SSR1;SRP19,RPS16;RPS28;RPS3A;RPS27;RPL15;RPS29;RPL14;RPS6;RPL13;RPL30;RPL38;RPS15A;RPS19;RPL13A;RPL17;RPL37;RPL39;SEC62;SSR2;RPS4X;RPL3;RPL18A;RPL7;RPS8;RPSA;RPL31;RPS25;RPL8;RPL11;RPL36A;RPS21;RPS15;RPL23A;RPL10A;RPL29;RPL22;RPL34;RPS9;RPS20;RPS27A;RPL24;RPS23;RPL6;RPL27A;RPL5;RPL26;UBA52;RPS3;RPL23;RPLP0;RPS11;RPL19;RPL28;RPL41;SRP14;RPLP2;RPLP1;RPS26;RPS18;RPS7;RPS17;RPS2;RPS10;RPS24;RPL32;RPL27;RPL7A;RPL10
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",0.5418723867760645,6.983953240942261,0.0,0.002372836040371633,113,76,PNRC1;RPS16;RPS28;RPS3A;RPS27;RPL15;RPS29;RPL14;EIF3E;RPS6;RPL13;RPL30;RPL38;RPS15A;RPS19;RPL13A;RPL17;RPL37;RPL39;RPS4X;RPL3;RPL18A;RPL7;RPS8;RPSA;RPL31;RPS25;RPL8;RPL11;RPL36A;RPS21;RPS15;RPL23A;RPL10A;RPL29;RPL22;RPL34;RPS9;RPS20;RPS27A;RPL24;RPS23;RPL6;RPL27A;RPL5;RPL26;UBA52;RPS3;RPL23;RPLP0;RPS11;RPL19;RPL28;RPL41;RPLP2;RPLP1;RPS26;RPS18;RPS7;RPS17;RPS2;RPS10;RPS24;RPL32;RPL27;RPL7A;RPL10;RBM8A;GSPT1;PYM1;NCBP2;PPP2CA;MAGOHB;RNPS1;EIF4G1;ETF1,PNRC1;RPS16;RPS28;RPS3A;RPS27;RPL15;RPS29;RPL14;EIF3E;RPS6;RPL13;RPL30;RPL38;RPS15A;RPS19;RPL13A;RPL17;RPL37;RPL39;RPS4X;RPL3;RPL18A;RPL7;RPS8;RPSA;RPL31;RPS25;RPL8;RPL11;RPL36A;RPS21;RPS15;RPL23A;RPL10A;RPL29;RPL22;RPL34;RPS9;RPS20;RPS27A;RPL24;RPS23;RPL6;RPL27A;RPL5;RPL26;UBA52;RPS3;RPL23;RPLP0;RPS11;RPL19;RPL28;RPL41;RPLP2;RPLP1;RPS26;RPS18;RPS7;RPS17;RPS2;RPS10;RPS24;RPL32;RPL27;RPL7A;RPL10;RBM8A
protein targeting to ER (GO:0045047),0.5999873003901806,7.43875177692073,0.0,0.0035592540605574492,98,73,RPS16;RPS28;RPS3A;RPS27;RPL15;RPS29;RPL14;RPS6;RPL13;RPL30;RPL38;RPS15A;RPS19;RPL13A;RPL17;RPL37;RPL39;SEC62;RPS4X;RPL3;RPL18A;RPL7;RPS8;RPSA;RPL31;RPS25;RPL8;RPL11;RPL36A;RPS21;RPS15;RPL23A;RPL10A;RPL29;RPL22;RPL34;RPS9;RPS20;RPS27A;RPL24;RPS23;RPL6;RPL27A;RPL5;RPL26;UBA52;RPS3;RPL23;RPLP0;RPS11;RPL19;RPL28;RPL41;SRP14;RPLP2;RPLP1;RPS26;RPS18;RPS7;RPS17;RPS2;SEC61G;RPS10;RPS24;RPL32;RPL27;RPL7A;RPL10;CHMP4A;SRP9;SRP72;SRP19;SPCS3,RPS16;RPS28;RPS3A;RPS27;RPL15;RPS29;RPL14;RPS6;RPL13;RPL30;RPL38;RPS15A;RPS19;RPL13A;RPL17;RPL37;RPL39;SEC62;RPS4X;RPL3;RPL18A;RPL7;RPS8;RPSA;RPL31;RPS25;RPL8;RPL11;RPL36A;RPS21;RPS15;RPL23A;RPL10A;RPL29;RPL22;RPL34;RPS9;RPS20;RPS27A;RPL24;RPS23;RPL6;RPL27A;RPL5;RPL26;UBA52;RPS3;RPL23;RPLP0;RPS11;RPL19;RPL28;RPL41;SRP14;RPLP2;RPLP1;RPS26;RPS18;RPS7;RPS17;RPS2;SEC61G;RPS10;RPS24;RPL32;RPL27;RPL7A;RPL10
viral transcription (GO:0019083),0.44941108978036537,6.52991742251531,0.0,0.004745672080743266,114,72,RPS16;RPS28;RPS3A;RPS27;RPL15;RPS29;RPL14;RPS6;RPL13;RPL30;RPL38;RPS15A;RPS19;RPL13A;RPL17;RPL37;RPL39;RPS4X;RPL3;RPL18A;RPL7;RPS8;RPSA;RPL31;RPS25;RPL8;RPL11;RPL36A;RPS21;RPS15;RPL23A;RPL10A;RPL29;RPL22;RPL34;RPS9;RPS20;RPS27A;RPL24;RPS23;RPL6;RPL27A;RPL5;RPL26;UBA52;RPS3;RPL23;RPLP0;RPS11;RPL19;RPL28;RPL41;RPLP2;RPLP1;RPS26;RPS18;RPS7;RPS17;RPS2;RPS10;RPS24;RPL32;RPL27;RPL7A;RPL10;NUP37;DHX9;NUPL2;NUP107;NUP93;USF2;NUP88,RPS16;RPS28;RPS3A;RPS27;RPL15;RPS29;RPL14;RPS6;RPL13;RPL30;RPL38;RPS15A;RPS19;RPL13A;RPL17;RPL37;RPL39;RPS4X;RPL3;RPL18A;RPL7;RPS8;RPSA;RPL31;RPS25;RPL8;RPL11;RPL36A;RPS21;RPS15;RPL23A;RPL10A;RPL29;RPL22;RPL34;RPS9;RPS20;RPS27A;RPL24;RPS23;RPL6;RPL27A;RPL5;RPL26;UBA52;RPS3;RPL23;RPLP0;RPS11;RPL19;RPL28;RPL41;RPLP2;RPLP1;RPS26;RPS18;RPS7;RPS17;RPS2;RPS10;RPS24;RPL32;RPL27;RPL7A;RPL10
epithelium development (GO:0060429),0.5600942978869645,5.565990118576006,0.0,0.049829556847804296,116,25,KRT4;AKR1C2;ELF3;UPK2;UPK1B;BDH2;KRT16;AKR1C1;ANXA4;GSTK1;KRT6A;TAGLN2;DNPH1;CBR1;PIH1D1;CTSB;HNRNPH3;PGK1;VDAC1;PCNA;VCL;CDK1;TOLLIP;ANXA7;LHX1,KRT4;AKR1C2;ELF3;UPK2;UPK1B;BDH2;KRT16;AKR1C1;ANXA4;GSTK1
skin development (GO:0043588),0.6377409718768627,5.398503534523171,0.0,0.06228694605975536,95,18,SPRR1B;IVL;SCEL;AKR1C3;TXNIP;KRT16;CSTA;ADAM9;CLDN4;STMN1;PDGFA;CLIC4;ANXA1;DSP;DHCR24;ITGA6;MET;EREG,SPRR1B;IVL;SCEL;AKR1C3;TXNIP;KRT16;CSTA
regulation of signal transduction (GO:0009966),0.4934600100264098,5.209805912222224,0.0,0.08463115210658824,234,31,EPHB6;SEMA5A;IGFBP3;CD24;DHRS3;AKR1C3;IGFBP6;GATA3;CLU;ELF1;ABRACL;CD55;CD46;NUCKS1;SNX3;PPP2CA;MTCH1;ITGB1BP1;YWHAG;ILK;RGS20;PTPN1;BIRC5;MET;XIAP;GLRX2;POFUT1;CDKN2AIP;NCLN;IRAK1;DUSP6,EPHB6;SEMA5A;IGFBP3;CD24;DHRS3;AKR1C3;IGFBP6;GATA3;CLU
epidermis development (GO:0008544),0.6609941599215673,5.123196316195402,0.0,0.08477496035145925,82,19,SPRR1B;CALML5;SCEL;ELF3;KRT15;KRT14;KRT5;KRT16;KRT17;ALDH3A2;FABP5;COL17A1;ATP2A2;HDAC1;DSP;PTHLH;LAMA3;LAMC2;KLK5,SPRR1B;CALML5;SCEL;ELF3;KRT15;KRT14;KRT5;KRT16;KRT17
cytoplasmic translation (GO:0002181),0.37277845461125103,5.15799712740354,0.06451612903225806,0.08613394826549027,55,40,RPS28;RPS3A;RPL15;RPS29;RPL30;RPL38;RPL17;RPL39;RPL18A;RPL7;RPL31;RPL8;RPL11;RPL36A;RPS21;RPL10A;RPL29;RPL22;RPS20;RPL24;RPS23;RPL6;RPL27A;RPL26;RPS3;RPLP0;RPL19;RPL41;RPLP2;RPLP1;RPS26;RPS7;RPL32;GSPT1;RPL26L1;RWDD1;RPL22L1;ZC3H15;RPL7L1;MRTO4,RPS28;RPS3A;RPL15;RPS29;RPL30;RPL38;RPL17;RPL39;RPL18A;RPL7;RPL31;RPL8;RPL11;RPL36A;RPS21;RPL10A;RPL29;RPL22;RPS20;RPL24;RPS23;RPL6;RPL27A;RPL26;RPS3;RPLP0;RPL19;RPL41;RPLP2;RPLP1;RPS26;RPS7
activation of MAPK activity (GO:0000187),-0.6710886647816819,-3.683667081414867,0.0,0.1065003827507017,118,16,RPS27A;UBA52;ERP29;UBB;HACD3;ADORA2B;KARS;CDK1;THBS1;UBE2N;IKBKG;DBNL;NRG1;IL1B;IRAK1;DUSP6,THBS1;UBE2N;IKBKG;DBNL;NRG1;IL1B;IRAK1;DUSP6
cellular response to hormone stimulus (GO:0032870),0.6971817577979593,4.917180423585417,0.0,0.11115824219894803,81,15,MEF2C;CTSH;AKR1C2;AKR1C3;TFPI;AKR1C1;JUNB;ATP1A1;AKR1B1;ZFP36L1;CAV1;CTSL;CTSB;UBE2L3;URI1,MEF2C;CTSH;AKR1C2;AKR1C3;TFPI;AKR1C1;JUNB;ATP1A1;AKR1B1;ZFP36L1
positive regulation of macromolecule metabolic process (GO:0010604),0.30486547198610386,4.919630628798942,0.10344827586206896,0.11982822003876746,277,44,MEF2C;CTSH;AGR2;CLU;SNCA;CAMK2N1;ZNF580;ID2;AKR1B1;ROCK1;CD46;NFE2L2;RPL11;RPL5;RPS3;RPL23;RPS7;ERP29;DDRGK1;ATF4;SNF8;HMGN5;KRAS;TFAP2A;ANXA2;MTPN;DTNBP1;FN1;BRCA1;PARK7;PTPN1;EZR;ARRB2;PHB;ZPR1;HSPA1B;HSPA1A;DNMT1;GAS6;FAM98A;HMGB2;IL1B;HMGA2;INHBA,MEF2C;CTSH;AGR2;CLU;SNCA;CAMK2N1
epithelial cell differentiation (GO:0030855),0.5413347735249258,4.781093724537553,0.0,0.13931937322753446,97,28,KRT4;AKR1C2;ELF3;UPK2;UPK1B;GATA3;DAB2;BDH2;AKR1C1;ANXA4;GSTK1;TAGLN2;DNPH1;HDAC1;CBR1;PIH1D1;RAB10;CTSB;HNRNPH3;EDF1;PGK1;VDAC1;PCNA;CDK1;TOLLIP;ANXA7;E2F8;CCNO,KRT4;AKR1C2;ELF3;UPK2;UPK1B;GATA3;DAB2;BDH2;AKR1C1;ANXA4;GSTK1
