Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Fluid shear stress and atherosclerosis,0.4275491766989835,7.171322580373325,0.0,0.0,139,28,MEF2C;CALML5;GSTA4;MGST2;FOS;MGST3;GSTM3;NFE2L2;MGST1;SUMO2;GSTP1;CAV1;RHOA;CALM2;NQO1;CALM3;MAPK13;CTSL;CALM1;PDGFA;SUMO3;GSTO1;CAV2;RELA;RAC3;MAPK12;IKBKG;IL1B,MEF2C;CALML5;GSTA4;MGST2;FOS
Pyrimidine metabolism,-0.5763275209200247,-3.78178931370536,0.0,0.0,57,16,TYMS;NT5C3B;CDA;UCK2;TYMP;TK1;DCTD;PNP;RRM2;CAD;NME4;DTYMK;DCTPP1;NT5C;UPP1;NT5E,TYMP;TK1;DCTD;PNP;RRM2;CAD;NME4;DTYMK;DCTPP1;NT5C;UPP1;NT5E
Ribosome biogenesis in eukaryotes,-0.5080162738905262,-3.592084062338964,0.0,0.014256777812402617,101,41,FBL;AK6;CSNK2B;XRN2;REXO2;SNU13;MPHOSPH10;NOP10;IMP3;GNL3;EIF6;EMG1;POP7;NXT1;NOB1;GAR1;WDR75;XPO1;CSNK2A1;POP4;NOP58;GTPBP4;RRP7A;NHP2;POP5;UTP6;RPP30;SBDS;RBM28;IMP4;BMS1;WDR3;LSG1;RPP25;NAT10;TCOF1;WDR43;NOP56;UTP14A;RIOK1;RPP40,POP7;NXT1;NOB1;GAR1;WDR75;XPO1;CSNK2A1;POP4;NOP58;GTPBP4;RRP7A;NHP2;POP5;UTP6;RPP30;SBDS;RBM28;IMP4;BMS1;WDR3;LSG1;RPP25;NAT10;TCOF1;WDR43;NOP56;UTP14A;RIOK1;RPP40
Estrogen signaling pathway,0.5968114872659612,6.454918000329562,0.0,0.016197890507282774,137,22,KRT13;CALML5;KRT15;KRT14;KRT16;FOS;KRT17;CTSD;KRT19;GNAS;CALM2;ATF4;GRB2;CALM3;KRAS;CALM1;GNAI2;HSPA1B;HSPA1A;HRAS;FKBP4;HSPA8,KRT13;CALML5;KRT15;KRT14;KRT16;FOS;KRT17;CTSD;KRT19;GNAS
Arginine and proline metabolism,-0.5342886207990583,-3.1452132306364673,0.017241379310344827,0.05702711124961047,49,16,SAT1;ALDH3A2;SAT2;AMD1;GAMT;GOT2;PYCR1;GOT1;PYCR2;SMS;L3HYPDH;LAP3;SRM;CKB;CKMT1B;ODC1,L3HYPDH;LAP3;SRM;CKB;CKMT1B;ODC1
Oxytocin signaling pathway,0.4467809666365667,5.0643498153207736,0.1,0.12238406161058095,153,20,MEF2C;CALML5;FOS;CDKN1A;GNAS;ROCK1;MYL6;RHOA;PPP1CB;CALM2;EEF2;CCND1;CALM3;PPP1CA;KRAS;CALM1;GNAI2;HRAS;TRPM2;CAMK1,MEF2C;CALML5;FOS;CDKN1A;GNAS
Vascular smooth muscle contraction,0.5669337055921339,4.866530581965685,0.05555555555555555,0.12688347564038172,132,15,CALML5;PLA2G10;ADM;GNAS;ROCK1;MYL6;CALD1;RHOA;PPP1CB;CALM2;CALM3;PPP1CA;CALM1;ADORA2B;PPP1R14A,CALML5;PLA2G10;ADM;GNAS
Toxoplasmosis,-0.4588514176820387,-2.853803836879995,0.017543859649122806,0.185338111561234,113,20,HLA-DMA;JAK1;NFKBIA;MAPK13;BAD;GNAI2;ITGB1;RELA;ITGA6;HSPA1B;HSPA1A;CASP8;XIAP;LAMA3;MAPK12;IKBKG;HSPA8;LAMC2;IRAK1;PPIF,ITGA6;HSPA1B;HSPA1A;CASP8;XIAP;LAMA3;MAPK12;IKBKG;HSPA8;LAMC2;IRAK1;PPIF
cGMP-PKG signaling pathway,0.37501945121237273,4.50864107135432,0.1,0.23540934203917632,166,25,MEF2C;CALML5;ATP1B3;ATP2B4;GTF2I;ATP1A1;SLC25A6;ROCK1;RHOA;ATP2A2;PPP1CB;CALM2;ATF4;CALM3;PPP1CA;ATP2B1;CALM1;VDAC3;BAD;GNAI2;VDAC2;VDAC1;ATP1B1;SLC25A4;PPIF,MEF2C;CALML5;ATP1B3;ATP2B4;GTF2I;ATP1A1;SLC25A6
Purine metabolism,-0.4570811539390471,-2.64004527608385,0.031746031746031744,0.2692946920120494,129,24,NUDT16;ADSL;AK6;ADSS;AK2;ADK;NT5C3B;APRT;DGUOK;PKM;GUK1;ITPA;NUDT5;PNP;RRM2;ATIC;NME4;PAICS;GART;NT5C;AK1;PPAT;HPRT1;NT5E,PNP;RRM2;ATIC;NME4;PAICS;GART;NT5C;AK1;PPAT;HPRT1;NT5E
Transcriptional misregulation in cancer,0.4527695741461595,4.231747080271138,0.05128205128205128,0.28076343545956806,186,29,MEF2C;HPGD;IGFBP3;PBX1;NFKBIZ;MLF1;CDKN1A;REL;KLF3;JUP;ID2;H3F3A;H3F3B;FUS;HDAC1;PDGFA;DDX5;MAX;DDIT3;TAF15;CEBPB;RELA;BAX;GADD45A;TCF3;MET;HMGA2;DUSP6;ETV5,MEF2C;HPGD;IGFBP3;PBX1;NFKBIZ;MLF1;CDKN1A;REL;KLF3;JUP
Proteasome,-0.40141319821964994,-2.579488942138364,0.01639344262295082,0.3027868049681699,45,32,PSMD8;PSMB8;PSMB9;PSMD4;PSMB1;PSMC1;PSME3;PSMA4;PSMA2;PSMB2;PSMD12;PSMB6;PSMF1;PSMD13;PSMC4;PSMD6;PSMD7;PSMA7;PSMC6;PSMD2;PSMB4;PSMA5;PSMA3;PSMB3;PSMB7;PSMC3;PSME2;PSMD3;PSMD1;PSMC2;ADRM1;PSMD11,PSMB1;PSMC1;PSME3;PSMA4;PSMA2;PSMB2;PSMD12;PSMB6;PSMF1;PSMD13;PSMC4;PSMD6;PSMD7;PSMA7;PSMC6;PSMD2;PSMB4;PSMA5;PSMA3;PSMB3;PSMB7;PSMC3;PSME2;PSMD3;PSMD1;PSMC2;ADRM1;PSMD11
Pathogenic Escherichia coli infection,-0.4254907939129434,-2.6521565057483727,0.09090909090909091,0.30794640074789653,55,18,ROCK1;YWHAZ;ARPC3;RHOA;ARPC2;ARPC1A;YWHAQ;TUBB6;ITGB1;EZR;TUBB;TUBA4A;TUBB2A;TUBB2B;TUBA1C;TUBA1B;ARPC4;ARPC5L,EZR;TUBB;TUBA4A;TUBB2A;TUBB2B;TUBA1C;TUBA1B;ARPC4;ARPC5L
Adrenergic signaling in cardiomyocytes,0.43428166875821556,4.2691290633239385,0.08108108108108109,0.309559685250293,145,23,PPP2R2B;CALML5;ATP1B3;GNAS;ATP2B4;ATP1A1;ATP2A2;PPP1CB;CALM2;ATF4;CALM3;PPP1CA;MAPK13;ATP2B1;CALM1;PPP2CA;GNAI2;TPM3;TPM4;ATP1B1;CREM;TPM2;MAPK12,PPP2R2B;CALML5;ATP1B3;GNAS;ATP2B4
Ribosome,0.23927413769299422,3.9035451212258434,0.06451612903225806,0.3695518723143032,153,100,RPS16;RPS28;RPS3A;RPS27;RPL15;RPS29;RPL14;RPS6;RPL13;RSL24D1;RPL30;RPL38;RPS15A;RPS19;RPL13A;RPL17;RPL37;RPL39;RPS4X;RPL3;RPL18A;RPL7;RPS8;RPS27L;RPSA;RPL31;RPS25;RPL8;RPL11;RPL36A;RPS21;RPS15;RPL23A;RPL10A;RPL29;RPL22;RPL36AL;RPL34;RPS9;RPS20;RPS27A;RPL24;RPS23;RPL6;RPL27A;RPL5;RPL26;UBA52;RPS3;RPL23;RPLP0;RPS11;RPL19;RPL28;RPL41;RPLP2;RPLP1;RPS26;RPS18;RPS7;FAU;RPS17;RPS2;RPS10;RPS24;RPL32;RPL27;MRPL33;RPL7A;MRPS15;RPL10;MRPL28;MRPL11;MRPS9;MRPS18C;MRPL16;MRPL27;MRPL34;MRPL22;MRPL23;MRPL14;RPL26L1;MRPL4;MRPL19;MRPL12;MRPS6;RPL22L1;MRPL15;MRPL1;MRPS5;MRPL18;MRPL21;MRPS11;MRPL32;MRPL24;MRPS10;MRPS2;MRPS17;MRPL20;MRPS16,RPS16;RPS28;RPS3A;RPS27;RPL15;RPS29;RPL14;RPS6;RPL13;RSL24D1;RPL30;RPL38;RPS15A;RPS19;RPL13A;RPL17;RPL37;RPL39;RPS4X;RPL3;RPL18A;RPL7;RPS8;RPS27L;RPSA;RPL31;RPS25;RPL8;RPL11;RPL36A;RPS21;RPS15;RPL23A;RPL10A;RPL29;RPL22;RPL36AL;RPL34;RPS9;RPS20;RPS27A;RPL24;RPS23;RPL6;RPL27A;RPL5;RPL26;UBA52;RPS3;RPL23;RPLP0;RPS11;RPL19;RPL28;RPL41;RPLP2;RPLP1;RPS26;RPS18;RPS7;FAU;RPS17;RPS2;RPS10;RPS24;RPL32;RPL27;MRPL33;RPL7A;MRPS15;RPL10
