Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
SRP-dependent cotranslational protein targeting to membrane (GO:0006614),0.6400221076195033,11.70720509575309,0.0,0.0,90,71,RPS16;RPS27;RPS3A;RPS28;RPL15;RPL14;RPS29;RPL37;RPL13A;RPL30;RPL13;RPS6;RPS15A;RPS19;RPL39;RPL17;RPS4X;RPL38;RPSA;RPL3;RPL7;RPS8;RPL18A;RPL31;RPL11;RPS25;RPL8;RPL27A;RPS15;RPL22;RPS20;RPL36A;RPL34;RPS9;RPL23A;RPL10A;RPS27A;RPS21;RPL6;RPS23;RPL29;RPL24;RPS11;UBA52;RPL5;RPL26;RPL23;RPLP0;RPS3;RPL28;RPL19;RPL41;SRP14;RPLP2;RPL21;RPS5;RPS7;RPS18;RPL18;RPS17;RPS2;RPS10;RPS24;RPL27;RPL7A;SEC61B;RPL10;SRP9;ZFAND2B;SRP72;SRP19,RPS16;RPS27;RPS3A;RPS28;RPL15;RPL14;RPS29;RPL37;RPL13A;RPL30;RPL13;RPS6;RPS15A;RPS19;RPL39;RPL17;RPS4X;RPL38;RPSA;RPL3;RPL7;RPS8;RPL18A;RPL31;RPL11;RPS25;RPL8;RPL27A;RPS15;RPL22;RPS20;RPL36A;RPL34;RPS9;RPL23A;RPL10A;RPS27A;RPS21;RPL6;RPS23;RPL29;RPL24;RPS11;UBA52;RPL5;RPL26;RPL23;RPLP0;RPS3;RPL28;RPL19;RPL41;SRP14;RPLP2;RPL21;RPS5;RPS7;RPS18;RPL18;RPS17;RPS2;RPS10;RPS24;RPL27;RPL7A;SEC61B
cotranslational protein targeting to membrane (GO:0006613),0.6305830215869869,8.468779380049863,0.0,0.0,94,73,RPS16;RPS27;RPS3A;RPS28;RPL15;RPL14;RPS29;RPL37;RPL13A;SEC62;RPL30;RPL13;RPS6;SSR2;RPS15A;RPS19;RPL39;RPL17;RPS4X;RPL38;RPSA;RPL3;RPL7;RPS8;RPL18A;RPL31;RPL11;RPS25;RPL8;RPL27A;RPS15;RPL22;RPS20;RPL36A;RPL34;RPS9;RPL23A;RPL10A;RPS27A;RPS21;RPL6;RPS23;RPL29;RPL24;RPS11;UBA52;RPL5;RPL26;RPL23;RPLP0;RPS3;RPL28;RPL19;RPL41;SRP14;RPLP2;RPL21;RPS5;RPS7;RPS18;RPL18;RPS17;RPS2;RPS10;RPS24;RPL27;RPL7A;ARL6IP1;RPL10;SRP9;SRP72;SSR1;SRP19,RPS16;RPS27;RPS3A;RPS28;RPL15;RPL14;RPS29;RPL37;RPL13A;SEC62;RPL30;RPL13;RPS6;SSR2;RPS15A;RPS19;RPL39;RPL17;RPS4X;RPL38;RPSA;RPL3;RPL7;RPS8;RPL18A;RPL31;RPL11;RPS25;RPL8;RPL27A;RPS15;RPL22;RPS20;RPL36A;RPL34;RPS9;RPL23A;RPL10A;RPS27A;RPS21;RPL6;RPS23;RPL29;RPL24;RPS11;UBA52;RPL5;RPL26;RPL23;RPLP0;RPS3;RPL28;RPL19;RPL41;SRP14;RPLP2;RPL21;RPS5;RPS7;RPS18;RPL18;RPS17;RPS2;RPS10;RPS24;RPL27;RPL7A
protein targeting to ER (GO:0045047),0.6164709437532867,11.458712670997281,0.0,0.0,98,74,RPS16;RPS27;RPS3A;RPS28;RPL15;RPL14;RPS29;RPL37;RPL13A;SEC62;RPL30;RPL13;RPS6;RPS15A;RPS19;RPL39;RPL17;RPS4X;RPL38;RPSA;RPL3;RPL7;RPS8;RPL18A;RPL31;RPL11;RPS25;RPL8;RPL27A;RPS15;RPL22;RPS20;RPL36A;RPL34;RPS9;RPL23A;RPL10A;RPS27A;RPS21;RPL6;RPS23;RPL29;RPL24;RPS11;UBA52;RPL5;RPL26;RPL23;RPLP0;RPS3;RPL28;RPL19;RPL41;SRP14;RPLP2;RPL21;RPS5;RPS7;RPS18;RPL18;RPS17;RPS2;RPS10;RPS24;SPCS2;SEC61G;RPL27;RPL7A;RPL10;SRP9;CHMP4A;SRP72;SRP19;SPCS3,RPS16;RPS27;RPS3A;RPS28;RPL15;RPL14;RPS29;RPL37;RPL13A;SEC62;RPL30;RPL13;RPS6;RPS15A;RPS19;RPL39;RPL17;RPS4X;RPL38;RPSA;RPL3;RPL7;RPS8;RPL18A;RPL31;RPL11;RPS25;RPL8;RPL27A;RPS15;RPL22;RPS20;RPL36A;RPL34;RPS9;RPL23A;RPL10A;RPS27A;RPS21;RPL6;RPS23;RPL29;RPL24;RPS11;UBA52;RPL5;RPL26;RPL23;RPLP0;RPS3;RPL28;RPL19;RPL41;SRP14;RPLP2;RPL21;RPS5;RPS7;RPS18;RPL18;RPS17;RPS2;RPS10;RPS24;SPCS2;SEC61G;RPL27;RPL7A
viral gene expression (GO:0019080),0.5059604049587682,7.416192893713206,0.0,0.0043499275012083135,111,73,RPS16;RPS27;RPS3A;RPS28;RPL15;RPL14;RPS29;RPL37;RPL13A;RPL30;RPL13;RPS6;RPS15A;RPS19;RPL39;RPL17;RPS4X;RPL38;RPSA;RPL3;RPL7;RPS8;RPL18A;RPL31;RPL11;RPS25;RPL8;RPL27A;RPS15;RPL22;RPS20;RPL36A;RPL34;RPS9;RPL23A;RPL10A;RPS27A;RPS21;RPL6;RPS23;RPL29;RPL24;RPS11;UBA52;RPL5;RPL26;RPL23;RPLP0;RPS3;RPL28;RPL19;RPL41;RPLP2;RPL21;RPS5;RPS7;RPS18;RPL18;RPS17;RPS2;RPS10;TPR;RPS24;RPL27;RPL7A;RPL10;EIF2AK4;NUP37;NUP50;NUP93;NUPL2;NUP107;NUP88,RPS16;RPS27;RPS3A;RPS28;RPL15;RPL14;RPS29;RPL37;RPL13A;RPL30;RPL13;RPS6;RPS15A;RPS19;RPL39;RPL17;RPS4X;RPL38;RPSA;RPL3;RPL7;RPS8;RPL18A;RPL31;RPL11;RPS25;RPL8;RPL27A;RPS15;RPL22;RPS20;RPL36A;RPL34;RPS9;RPL23A;RPL10A;RPS27A;RPS21;RPL6;RPS23;RPL29;RPL24;RPS11;UBA52;RPL5;RPL26;RPL23;RPLP0;RPS3;RPL28;RPL19;RPL41;RPLP2;RPL21;RPS5;RPS7;RPS18;RPL18;RPS17;RPS2;RPS10;TPR;RPS24;RPL27;RPL7A
skin development (GO:0043588),0.6487775835816632,7.12646431586669,0.0,0.008699855002416627,95,19,SPRR1B;IVL;SCEL;AKR1C3;KRT16;TXNIP;CSTA;ADAM9;CLDN4;STMN1;PDGFA;ANXA1;CLIC4;ITGA3;DSP;DHCR24;ITGA6;MET;EREG,SPRR1B;IVL;SCEL;AKR1C3;KRT16;TXNIP;CSTA
viral transcription (GO:0019083),0.4582168568053764,7.033299658915468,0.0,0.008699855002416627,114,74,RPS16;RPS27;RPS3A;RPS28;RPL15;RPL14;RPS29;RPL37;RPL13A;RPL30;RPL13;RPS6;RPS15A;RPS19;RPL39;RPL17;RPS4X;RPL38;RPSA;RPL3;RPL7;RPS8;RPL18A;RPL31;RPL11;RPS25;RPL8;RPL27A;RPS15;RPL22;RPS20;RPL36A;RPL34;RPS9;RPL23A;RPL10A;RPS27A;RPS21;RPL6;RPS23;RPL29;RPL24;RPS11;UBA52;RPL5;RPL26;RPL23;RPLP0;RPS3;RPL28;RPL19;RPL41;RPLP2;RPL21;RPS5;RPS7;RPS18;RPL18;RPS17;RPS2;RPS10;TPR;RPS24;RPL27;RPL7A;RPL10;NUP37;NUP50;DHX9;NUP93;NUPL2;NUP107;USF2;NUP88,RPS16;RPS27;RPS3A;RPS28;RPL15;RPL14;RPS29;RPL37;RPL13A;RPL30;RPL13;RPS6;RPS15A;RPS19;RPL39;RPL17;RPS4X;RPL38;RPSA;RPL3;RPL7;RPS8;RPL18A;RPL31;RPL11;RPS25;RPL8;RPL27A;RPS15;RPL22;RPS20;RPL36A;RPL34;RPS9;RPL23A;RPL10A;RPS27A;RPS21;RPL6;RPS23;RPL29;RPL24;RPS11;UBA52;RPL5;RPL26;RPL23;RPLP0;RPS3;RPL28;RPL19;RPL41;RPLP2;RPL21;RPS5;RPS7;RPS18;RPL18;RPS17;RPS2;RPS10;TPR;RPS24;RPL27;RPL7A
epithelium development (GO:0060429),0.5494988275711649,6.399594278693382,0.0,0.02361389214941656,116,27,KRT4;AKR1C2;ELF3;UPK2;KRT16;UPK1B;BDH2;AKR1C1;ZNF358;ANXA4;GSTK1;KRT6A;TAGLN2;PIH1D1;CBR1;AHI1;CTSB;PGK1;HNRNPH3;VDAC1;TOLLIP;PCNA;ANXA7;VCL;CDK1;LHX1;SIX1,KRT4;AKR1C2;ELF3;UPK2;KRT16;UPK1B;BDH2;AKR1C1;ZNF358;ANXA4;GSTK1
negative regulation of cellular process (GO:0048523),0.3224751768843894,5.874160276459439,0.0,0.046662858649325546,535,90,HPGD;SEMA5A;AGR2;IGFBP3;BTG2;IGFBP6;GPNMB;PDCD4;SOX4;GATA3;SKIL;TOB1;CLU;CD9;TXNIP;HIST1H2AC;BMP4;ARHGDIB;CAMK2N1;BTG1;S100A11;BNIP3L;AKR1B1;VAMP8;FTH1;CHMP2A;LMNA;IGFBP7;TXNDC12;EIF2AK2;TMBIM6;FGFBP1;TGFBI;CSNK2B;SMARCA4;SNX3;EI24;HTRA2;ITGB1BP1;CTBP2;COPS8;PRKRA;TFAP2A;PPP2CA;SOD2;BAD;CDKN3;MIF;RTN4;BTG3;CIB1;SUZ12;TCHP;PARK7;CDK6;CDA;TBRG1;KARS;MALSU1;NDUFS3;PHB;LPXN;PTHLH;CDH13;GMNN;PDPN;ARHGDIA;HRAS;HSPA1A;CDC6;EMP3;GTPBP4;HSPA1B;FOXM1;SRSF6;RAD18;CUL4A;ORC6;PINX1;EEF1E1;LDOC1;DCBLD2;BST2;BNIP3;IL1B;CDKN2AIP;INHBA;EREG;NEURL1;FHL1,HPGD;SEMA5A;AGR2;IGFBP3;BTG2;IGFBP6;GPNMB;PDCD4;SOX4;GATA3;SKIL;TOB1;CLU;CD9;TXNIP;HIST1H2AC;BMP4;ARHGDIB;CAMK2N1
nuclear-transcribed mRNA catabolic process (GO:0000956),0.28244659270257233,5.876460457625348,0.041666666666666664,0.0513291445142581,175,93,PNRC1;RPS16;RPS27;RPS3A;RPS28;RPL15;RPL14;RPS29;ZFP36L1;EIF3E;RPL37;RPL13A;RPL30;RPL13;RPS6;RPS15A;RPS19;RPL39;RPL17;RPS4X;RPL38;RPSA;RPL3;RPL7;RPS8;RPL18A;RPL31;RPL11;RPS25;RPL8;RPL27A;RPS15;RPL22;RPS20;RPL36A;RPL34;RPS9;RPL23A;RPL10A;RPS27A;RPS21;RPL6;RPS23;RPL29;RPL24;RPS11;UBA52;RPL5;RPL26;RPL23;RPLP0;RPS3;RPL28;RPL19;RPL41;RPLP2;RPL21;RPS5;RPS7;RPS18;RPL18;RPS17;RPS2;RPS10;RPS24;RPL27;RPL7A;EXOSC4;RPL10;RBM8A;EXOSC7;LSM5;DDX5;MAGOHB;GSPT1;LSM1;PPP2CA;PYM1;THRAP3;NCBP2;RNPS1;POLR2G;EIF4E;EXOSC5;EIF4G1;EIF4A1;ETF1;LSM4;NCBP1;PELO;MRTO4;EXOSC8;EXOSC9,PNRC1;RPS16;RPS27;RPS3A;RPS28;RPL15;RPL14;RPS29;ZFP36L1;EIF3E;RPL37;RPL13A;RPL30;RPL13;RPS6;RPS15A;RPS19;RPL39;RPL17;RPS4X;RPL38;RPSA;RPL3;RPL7;RPS8;RPL18A;RPL31;RPL11;RPS25;RPL8;RPL27A;RPS15;RPL22;RPS20;RPL36A;RPL34;RPS9;RPL23A;RPL10A;RPS27A;RPS21;RPL6;RPS23;RPL29;RPL24;RPS11;UBA52;RPL5;RPL26;RPL23;RPLP0;RPS3;RPL28;RPL19;RPL41;RPLP2;RPL21;RPS5;RPS7;RPS18;RPL18;RPS17;RPS2;RPS10;RPS24;RPL27;RPL7A
cellular response to metal ion (GO:0071248),0.4768901506726768,5.957849499091014,0.0,0.0541324311261479,101,17,MEF2C;MT1F;AKR1C3;SNCA;FOS;MT1X;B2M;IQGAP1;CLIC4;PRNP;DAXX;TFAP2A;MT2A;MT1E;TRPM2;BNIP3;PPIF,MEF2C;MT1F;AKR1C3;SNCA;FOS
