Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Estrogen signaling pathway,0.6493254587231775,7.776778181227539,0.0,0.0,137,22,KRT13;CALML5;KRT15;KRT16;KRT14;FOS;CTSD;KRT19;GNAS;KRT17;HSP90B1;ATF4;KRAS;GNAI2;CALM2;CALM3;CALM1;GRB2;HRAS;HSPA1A;FKBP4;HSPA1B,KRT13;CALML5;KRT15;KRT16;KRT14;FOS;CTSD;KRT19;GNAS;KRT17
Ribosome biogenesis in eukaryotes,-0.4996077573562368,-3.0045968587372114,0.0,0.11227095223790927,101,41,RPP38;REXO2;CSNK2B;XRN2;SNU13;AK6;NOP10;IMP3;EMG1;MPHOSPH10;GNL3;NXT1;EIF6;CSNK2A1;WDR75;NOB1;POP7;POP4;GAR1;NOP58;POP5;UTP6;BMS1;UTP18;NHP2;XPO1;GTPBP4;RBM28;RRP7A;RPP25;SBDS;IMP4;NAT10;WDR3;RPP30;LSG1;NOP56;TCOF1;RPP40;RIOK1;UTP14A,GNL3;NXT1;EIF6;CSNK2A1;WDR75;NOB1;POP7;POP4;GAR1;NOP58;POP5;UTP6;BMS1;UTP18;NHP2;XPO1;GTPBP4;RBM28;RRP7A;RPP25;SBDS;IMP4;NAT10;WDR3;RPP30;LSG1;NOP56;TCOF1;RPP40;RIOK1;UTP14A
Vascular smooth muscle contraction,0.5601745997430405,5.72279211454591,0.03333333333333333,0.12506680919294497,132,15,CALML5;PLA2G10;ADM;GNAS;ROCK1;CALD1;MYL6;RHOA;CALM2;CALM3;PPP1CB;PPP1CA;CALM1;ADORA2B;PPP1R14A,CALML5;PLA2G10;ADM;GNAS;ROCK1;CALD1;MYL6
Pyrimidine metabolism,-0.5456340932707983,-3.0733965520132203,0.0,0.13667768098528085,57,17,TYMS;NT5C3B;DCTD;CDA;TYMP;UCK2;NME4;TK1;DTYMK;UCK1;PNP;NT5C;DCTPP1;CAD;RRM2;UPP1;NT5E,UCK2;NME4;TK1;DTYMK;UCK1;PNP;NT5C;DCTPP1;CAD;RRM2;UPP1;NT5E
Transcriptional misregulation in cancer,0.44195837221553025,4.8038716863726645,0.0,0.3048503474078033,186,29,MEF2C;HPGD;IGFBP3;PBX1;NUPR1;MLF1;REL;KLF3;JUP;H3F3A;ID2;H3F3B;EWSR1;HDAC1;PDGFA;DDX5;MAX;TCF3;GADD45A;DDIT3;TAF15;RELA;CEBPB;BAX;MET;SIX1;HMGA2;DUSP6;ETV5,MEF2C;HPGD;IGFBP3;PBX1;NUPR1;MLF1;REL;KLF3;JUP
Ribosome,0.22995387875647738,4.623192274310367,0.14814814814814814,0.3064136825227151,153,102,RPS16;RPS27;RPS3A;RPS28;RPL15;RPL14;RPS29;RPL37;RPL13A;RPL30;RPL13;RPS6;RPS15A;RPS19;RPL39;RPL17;RPS4X;RPL38;RPSA;RPL3;RPL7;RPS27L;RPS8;RPL18A;RPL31;RPL11;RPS25;RPL8;RPL27A;RPS15;RPL22;RPS20;RPL36A;RPL34;RPS9;RPL23A;RPL10A;RPS27A;RPS21;MRPL36;RPL6;RPS23;RPL36AL;RPL29;RPL24;RPS11;UBA52;RPL5;RPL26;RPL23;RPLP0;RPS3;RPL28;RPL19;RPL41;RPLP2;RPS12;RPL21;RPS5;RPS7;RPS18;RPL18;RPS17;RPS2;FAU;RPS10;RPS24;RPL27;RPL7A;MRPL33;MRPS9;MRPL28;MRPS7;MRPS15;MRPL11;RPL10;MRPL16;MRPL27;MRPL22;MRPS18C;RPL26L1;MRPL14;MRPL34;MRPL23;MRPL19;RPL22L1;MRPL1;MRPL4;MRPL12;MRPS6;MRPL32;MRPS5;MRPL21;MRPL15;MRPL18;MRPS11;MRPL24;MRPL20;MRPS16;MRPS2;MRPS10;MRPS17,RPS16;RPS27;RPS3A;RPS28;RPL15;RPL14;RPS29;RPL37;RPL13A;RPL30;RPL13;RPS6;RPS15A;RPS19;RPL39;RPL17;RPS4X;RPL38;RPSA;RPL3;RPL7;RPS27L;RPS8;RPL18A;RPL31;RPL11;RPS25;RPL8;RPL27A;RPS15;RPL22;RPS20;RPL36A;RPL34;RPS9;RPL23A;RPL10A;RPS27A;RPS21;MRPL36;RPL6;RPS23;RPL36AL;RPL29;RPL24;RPS11;UBA52;RPL5;RPL26;RPL23;RPLP0;RPS3;RPL28;RPL19;RPL41;RPLP2;RPS12;RPL21;RPS5;RPS7;RPS18;RPL18;RPS17;RPS2;FAU;RPS10;RPS24;RPL27;RPL7A
Cell cycle,-0.3721603233844431,-2.5359389281953133,0.0,0.3436467407629919,124,42,ANAPC11;YWHAE;HDAC1;CCNB2;MCM3;CCND1;CDC26;YWHAQ;MCM7;STAG1;ORC3;YWHAG;PRKDC;CHEK1;CDK6;YWHAB;GADD45A;MAD2L2;PTTG1;STAG2;WEE1;CCNB1;SMC1A;CCNA2;BUB1B;TTK;PCNA;YWHAH;CDC20;SMC3;CDC6;MAD2L1;E2F3;TFDP1;CDK1;PKMYT1;CDK4;DBF4;CDC45;BUB3;ORC6;MAD1L1,GADD45A;MAD2L2;PTTG1;STAG2;WEE1;CCNB1;SMC1A;CCNA2;BUB1B;TTK;PCNA;YWHAH;CDC20;SMC3;CDC6;MAD2L1;E2F3;TFDP1;CDK1;PKMYT1;CDK4;DBF4;CDC45;BUB3;ORC6;MAD1L1
Fluid shear stress and atherosclerosis,0.41600236730164986,4.827143415812506,0.0,0.3925708177445216,139,30,MEF2C;CALML5;FOS;BMP4;MGST2;MGST3;GSTM3;MGST1;NFE2L2;GSTP1;SUMO2;HSP90B1;RAC1;CYBA;NQO1;RHOA;CALM2;CALM3;PDGFA;CALM1;MAPK13;SUMO3;CTSL;CAV2;GSTO1;RELA;RAC3;MAPK12;IKBKG;IL1B,MEF2C;CALML5;FOS;BMP4;MGST2
Nucleotide excision repair,-0.3971715770820377,-2.4518347430499046,0.05172413793103448,0.39376189045759485,47,19,POLD4;RAD23A;RFC1;POLD3;GTF2H5;GTF2H3;CETN2;POLE4;RFC4;RPA3;RFC2;RAD23B;PCNA;POLD2;GTF2H2;GTF2H1;RFC3;CUL4A;POLE3,POLE4;RFC4;RPA3;RFC2;RAD23B;PCNA;POLD2;GTF2H2;GTF2H1;RFC3;CUL4A;POLE3
Axon guidance,0.4913341182768843,4.224175628065387,0.0,0.406467129877071,181,20,EPHB6;SEMA5A;ABLIM1;DPYSL2;ROCK1;SSH2;MYL12B;RAC1;KRAS;GNAI2;RHOA;PAK1;ITGB1;PTPN11;RHOD;ILK;MET;RAC3;PPP3R1;HRAS,EPHB6;SEMA5A
