Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Thermogenesis,0.3788150807899372,138.8218744272883,0.0,0.0,231,20,COX7A2L;COX7C;NDUFB4;NDUFA11;NDUFB10;UQCRB;UQCRC1;NDUFB7;NDUFB11;NDUFS6;SMARCE1;SDHC;ACSL3;PRKAA1;RPS6;PNPLA2;CREB1;SDHA;GNAS;CREB3L4,COX7A2L;COX7C;NDUFB4;NDUFA11;NDUFB10;UQCRB;UQCRC1;NDUFB7;NDUFB11;NDUFS6;SMARCE1;SDHC;ACSL3;PRKAA1;RPS6;PNPLA2;CREB1;SDHA;GNAS;CREB3L4
Ribosome,0.4417298521687346,inf,,0.0,153,57,RPS2;RPL26;RPL6;RPL36AL;RPL37A;RPS27A;RPL36A;RPS21;RPS5;RPL41;RPLP0;MRPL36;RPLP2;RPL29;RPS3;UBA52;RPL7;RPL10A;RPL34;RPL28;RPS12;RPS9;RPS15;RPS23;RPS25;RPLP1;RPL8;RPL38;RPS11;RPL23A;RPL22;RPL11;RPS27L;RPL3;RPL18A;RPS20;RPL31;RPS8;RPS15A;RPL39;RPL13;RPL14;RPSA;RPL30;RPS19;RPS6;RPS4X;RPS29;RPL13A;RPS28;RPS3A;RPL15;RPL27A;RPL37;RPS27;RPS16;RPL3L,RPS2;RPL26;RPL6;RPL36AL;RPL37A;RPS27A;RPL36A;RPS21;RPS5;RPL41;RPLP0;MRPL36;RPLP2;RPL29;RPS3;UBA52;RPL7;RPL10A;RPL34;RPL28;RPS12;RPS9;RPS15;RPS23;RPS25;RPLP1;RPL8;RPL38;RPS11;RPL23A;RPL22;RPL11;RPS27L;RPL3;RPL18A;RPS20;RPL31;RPS8;RPS15A;RPL39;RPL13;RPL14;RPSA;RPL30;RPS19;RPS6;RPS4X;RPS29;RPL13A;RPS28;RPS3A;RPL15;RPL27A;RPL37
Huntington disease,0.20359281437125804,47.28789986091785,0.5,0.5220883534136547,193,21,COX7A2L;COX7C;NDUFB4;NDUFA11;NDUFB10;UQCRB;UQCRC1;NDUFB7;NDUFB11;NDUFS6;POLR2A;SDHC;REST;GNAQ;SLC25A6;CREB1;SDHA;DCTN1;POLR2J3;CREB3L4;DNAL4,COX7A2L;COX7C;NDUFB4;NDUFA11;NDUFB10;UQCRB;UQCRC1;NDUFB7;NDUFB11;NDUFS6;POLR2A;SDHC;REST;GNAQ;SLC25A6;CREB1;SDHA;DCTN1;POLR2J3;CREB3L4;DNAL4
Ras signaling pathway,-0.4727552459280566,-1.2142177361013042,0.1958762886597938,0.5897342744446751,232,20,GNG5;PLA2G16;EGFR;RRAS;ARF6;GNB5;RAB5B;RGL2;ETS2;RASA2;REL;IGF1R;GNG4;NTF4;INSR;FGFR2;PLCE1;GNG7;PLA2G10;CALML5,FGFR2;PLCE1;GNG7;PLA2G10;CALML5
Metabolism of xenobiotics by cytochrome P450,-0.5230442751900242,-1.236703588616846,0.1717171717171717,0.6074320116254931,74,17,AKR7A2;MGST1;GSTP1;GSTM4;MGST2;MGST3;GSTM3;ALDH1A3;GSTK1;EPHX1;CYP2S1;ALDH3B1;UGT1A1;UGT1A6;GSTA4;AKR1C1;ALDH3A1,CYP2S1;ALDH3B1;UGT1A1;UGT1A6;GSTA4;AKR1C1;ALDH3A1
Human immunodeficiency virus 1 infection,-0.49549727034674895,-1.2181648016181166,0.20202020202020202,0.6180887135838351,212,22,CALR;HLA-A;GNG5;RNF7;HLA-C;HLA-E;HLA-B;JUN;MAP2K7;AP1S3;GNAQ;TAPBP;GNB5;NFKBIA;B2M;AP1G2;TNFRSF1A;GNG4;FOS;GNG7;MAP2K6;CALML5,GNG7;MAP2K6;CALML5
cAMP signaling pathway,-0.5031030682515666,-1.1831382623854285,0.21,0.6453125572421204,212,17,ATP1A1;RRAS;JUN;CAMK2G;NFKBIA;CREB1;GNAS;ATP2B4;ATP1B3;CREB3L4;FOS;PPARA;EDN1;PLCE1;HCAR2;CALML5;CNGA1,EDN1;PLCE1;HCAR2;CALML5;CNGA1
Kaposi sarcoma-associated herpesvirus infection,-0.5095154824887388,-1.2394508382674385,0.19387755102040816,0.646428514396129,186,24,HLA-A;GNG5;HLA-C;HLA-E;HLA-B;JUN;MAP2K7;GNB5;NFKBIA;CREB1;JAK1;GABARAP;GABARAPL1;TNFRSF1A;ATG14;GNG4;FOS;ZFP36;CDKN1A;CLEC2B;PTGS2;GNG7;MAP2K6;CALML5,GABARAP;GABARAPL1;TNFRSF1A;ATG14;GNG4;FOS;ZFP36;CDKN1A;CLEC2B;PTGS2;GNG7;MAP2K6;CALML5
Dopaminergic synapse,-0.543956517725202,-1.2651009154589175,0.20408163265306123,0.6618227112310566,131,16,GNG5;GNAQ;PPP2R3C;CAMK2G;GNB5;ATF6B;CREB1;LRTOMT;GNAS;CREB3L4;GNG4;FOS;DRD4;GNG7;CALML5;PPP2R2B,DRD4;GNG7;CALML5;PPP2R2B
Oxytocin signaling pathway,-0.5137089507058576,-1.2789368801623588,0.15151515151515152,0.6814199709362674,153,15,MYL6B;EGFR;EEF2;JUN;PRKAA1;MYL6;GNAQ;CAMK2G;GNAS;FOS;PPP1R12B;CDKN1A;PTGS2;CALML5;MEF2C,FOS;PPP1R12B;CDKN1A;PTGS2;CALML5;MEF2C
