Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Endometrial cancer,-0.19491525423728978,-101.47058823529412,0.0,0.0,58,22,MYC;HRAS;AXIN1;RAF1;MAP2K1;MAPK1;BAX;BAK1;ILK;AKT1;ELK1;NRAS;CCND1;GRB2;PDPK1;KRAS;MLH1;PTEN;MAP2K2;BAD;CTNNB1;GADD45A,MYC;HRAS;AXIN1;RAF1;MAP2K1;MAPK1;BAX;BAK1;ILK;AKT1;ELK1;NRAS;CCND1;GRB2;PDPK1;KRAS;MLH1;PTEN;MAP2K2;BAD;CTNNB1;GADD45A
Prolactin signaling pathway,-0.1939807194921257,-113.01369863013744,0.0,0.0,70,17,MAPK12;HRAS;MAPK9;RAF1;MAP2K1;MAPK1;MAPK13;AKT1;SOCS4;NRAS;CCND1;GRB2;KRAS;MAP2K2;STAT3;RELA;MAPK8,MAPK12;HRAS;MAPK9;RAF1;MAP2K1;MAPK1;MAPK13;AKT1;SOCS4;NRAS;CCND1;GRB2;KRAS;MAP2K2;STAT3;RELA;MAPK8
Renal cell carcinoma,-0.25229681978798335,-181.91780656004067,0.0,0.0,69,25,HRAS;TGFA;PTPN11;CUL2;RAF1;MAP2K1;MET;MAPK1;FH;TGFB1;AKT1;RAP1B;NRAS;VHL;GRB2;EGLN1;KRAS;MAP2K2;BAD;HIF1A;CRK;PAK1;EGLN2;PRCC;RAP1A,HRAS;TGFA;PTPN11;CUL2;RAF1;MAP2K1;MET;MAPK1;FH;TGFB1;AKT1;RAP1B;NRAS;VHL;GRB2;EGLN1;KRAS;MAP2K2;BAD;HIF1A;CRK;PAK1;EGLN2;PRCC;RAP1A
Adrenergic signaling in cardiomyocytes,-0.1893655091129269,inf,,0.0,145,32,PPP2R2C;MAPK12;TPM2;PPP2R2D;TPM4;CREM;MAPK1;PPP2CB;PPP2CA;RYR2;MAPK13;CALM1;AKT1;ATP1B1;ATP2B1;TPM3;PPP2R5D;PPP2R2A;PPP1CC;ADRB2;PPP1CA;GNAI2;ATP2A2;PPP2R1B;PPP1CB;CALM3;PPP2R5A;PPP2R5E;PPP2R1A;GNAI3;CALM2;PPP2R5C,PPP2R2D;TPM4;CREM;MAPK1;PPP2CB;PPP2CA;RYR2;MAPK13;CALM1;AKT1;ATP1B1;ATP2B1;TPM3;PPP2R5D;PPP2R2A;PPP1CC;ADRB2;PPP1CA;GNAI2;ATP2A2;PPP2R1B;PPP1CB;CALM3;PPP2R5A;PPP2R5E;PPP2R1A;GNAI3;CALM2;PPP2R5C
Alzheimer disease,-0.14233150343524822,inf,,0.0,171,67,CYCS;IL1B;UQCRFS1;BID;ERN1;NDUFAB1;SDHB;CASP3;NDUFV3;NDUFA8;MAPK1;NAE1;PPP3R1;PSEN2;CYC1;COX8A;FAS;NDUFS1;COX5A;NDUFB9;ITPR3;FADD;NDUFB2;NDUFA12;NDUFA6;UQCRQ;CALM1;NDUFB8;NDUFS8;IDE;RTN4;NDUFS3;NDUFB3;NDUFV1;COX7B;NDUFS4;HSD17B10;COX7B2;NDUFA10;NDUFS7;NDUFC2;SDHD;CASP8;NDUFV2;NDUFB6;UQCRC2;ATP2A2;CALM3;NDUFA3;NDUFA4;BAD;NDUFA5;CAPN2;NDUFA9;NDUFA2;PPP3CA;NDUFA1;UQCR10;COX6A1;COX7A2;CALM2;COX6B1;APP;COX6C;UQCR11;NDUFA13;UQCRH,CASP3;NDUFV3;NDUFA8;MAPK1;NAE1;PPP3R1;PSEN2;CYC1;COX8A;FAS;NDUFS1;COX5A;NDUFB9;ITPR3;FADD;NDUFB2;NDUFA12;NDUFA6;UQCRQ;CALM1;NDUFB8;NDUFS8;IDE;RTN4;NDUFS3;NDUFB3;NDUFV1;COX7B;NDUFS4;HSD17B10;COX7B2;NDUFA10;NDUFS7;NDUFC2;SDHD;CASP8;NDUFV2;NDUFB6;UQCRC2;ATP2A2;CALM3;NDUFA3;NDUFA4;BAD;NDUFA5;CAPN2;NDUFA9;NDUFA2;PPP3CA;NDUFA1;UQCR10;COX6A1;COX7A2;CALM2;COX6B1;APP;COX6C;UQCR11;NDUFA13;UQCRH
Insulin signaling pathway,-0.17080671871303502,inf,,0.0,137,43,PRKAR1B;EIF4E;IRS1;HRAS;MAPK9;G6PC3;PRKAG2;RAF1;MAP2K1;MAPK1;PYGB;PRKAR2A;RPS6KB1;PTPN1;CALM1;AKT1;SOCS4;MTOR;ELK1;EIF4EBP1;RPS6KB2;RHEB;MKNK2;NRAS;FASN;GRB2;PPP1CC;PPP1CA;PDPK1;KRAS;PPP1CB;CALM3;PHKG2;MAP2K2;BAD;CRK;HK1;IRS2;PYGL;EIF4E2;CALM2;PRKAG1;MAPK8,PRKAR1B;EIF4E;IRS1;HRAS;MAPK9;G6PC3;PRKAG2;RAF1;MAP2K1;MAPK1;PYGB;PRKAR2A;RPS6KB1;PTPN1;CALM1;AKT1;SOCS4;MTOR;ELK1;EIF4EBP1;RPS6KB2;RHEB;MKNK2;NRAS;FASN;GRB2;PPP1CC;PPP1CA;PDPK1;KRAS;PPP1CB;CALM3;PHKG2;MAP2K2;BAD;CRK;HK1;IRS2;PYGL;EIF4E2;CALM2;PRKAG1;MAPK8
Oxidative phosphorylation,-0.16099558983181364,inf,,0.0,133,59,UQCRFS1;PPA1;ATP6V0A2;NDUFAB1;SDHB;ATP6AP1;ATP6V0B;NDUFV3;NDUFA8;COX15;CYC1;COX8A;NDUFS1;COX5A;NDUFB9;NDUFB2;NDUFA12;NDUFA6;UQCRQ;NDUFB8;NDUFS8;NDUFS3;COX17;COX10;NDUFB3;NDUFV1;COX7B;NDUFS4;PPA2;COX7B2;NDUFA10;NDUFS7;NDUFC2;SDHD;NDUFV2;NDUFB6;ATP6V0D1;UQCRC2;ATP6V1B2;NDUFA3;NDUFA4;NDUFA5;NDUFA9;NDUFA2;NDUFA1;UQCR10;ATP6V1H;COX6A1;ATP6V1F;COX7A2;COX11;COX6B1;COX6C;UQCR11;ATP6V1G1;NDUFA13;ATP6V1D;ATP6V0E1;UQCRH,ATP6AP1;ATP6V0B;NDUFV3;NDUFA8;COX15;CYC1;COX8A;NDUFS1;COX5A;NDUFB9;NDUFB2;NDUFA12;NDUFA6;UQCRQ;NDUFB8;NDUFS8;NDUFS3;COX17;COX10;NDUFB3;NDUFV1;COX7B;NDUFS4;PPA2;COX7B2;NDUFA10;NDUFS7;NDUFC2;SDHD;NDUFV2;NDUFB6;ATP6V0D1;UQCRC2;ATP6V1B2;NDUFA3;NDUFA4;NDUFA5;NDUFA9;NDUFA2;NDUFA1;UQCR10;ATP6V1H;COX6A1;ATP6V1F;COX7A2;COX11;COX6B1;COX6C;UQCR11;ATP6V1G1;NDUFA13;ATP6V1D;ATP6V0E1;UQCRH
Retrograde endocannabinoid signaling,-0.1741493383742924,inf,,0.0,148,38,GNB4;MAPK12;MAPK9;NDUFAB1;NDUFV3;NDUFA8;MAPK1;NDUFS1;NDUFB9;MAPK13;ITPR3;NDUFB2;NDUFA12;NDUFA6;NDUFB8;NDUFS8;NDUFS3;NDUFB3;NDUFV1;NDUFS4;GNB1;NDUFA10;NDUFS7;NDUFC2;NDUFV2;NDUFB6;GNAI2;GNB2;NDUFA3;NDUFA4;NDUFA5;GNG12;NDUFA9;NDUFA2;NDUFA1;GNAI3;NDUFA13;MAPK8,GNB4;MAPK12;MAPK9;NDUFAB1;NDUFV3;NDUFA8;MAPK1;NDUFS1;NDUFB9;MAPK13;ITPR3;NDUFB2;NDUFA12;NDUFA6;NDUFB8;NDUFS8;NDUFS3;NDUFB3;NDUFV1;NDUFS4;GNB1;NDUFA10;NDUFS7;NDUFC2;NDUFV2;NDUFB6;GNAI2;GNB2;NDUFA3;NDUFA4;NDUFA5;GNG12;NDUFA9;NDUFA2;NDUFA1;GNAI3;NDUFA13;MAPK8
Ribosome biogenesis in eukaryotes,0.5693811774759374,1.9688689270393553,0.0,0.0031877411777864774,101,56,UTP14A;DKC1;RPP40;RIOK1;TCOF1;WDR43;WDR3;UTP4;NAT10;NOP58;NOP56;IMP4;GTPBP4;UTP15;WDR75;MDN1;POP5;GAR1;SBDS;RPP25;RCL1;NOB1;RAN;NHP2;UTP18;UTP6;RBM28;POP1;MPHOSPH10;RPP30;LSG1;NXF1;BMS1;RRP7A;NXT1;HEATR1;POP7;GNL3;AK6;GNL2;IMP3;POP4;WDR36;RIOK2;EIF6;SNU13;NOP10;RPP38;EMG1;REXO2;TBL3;XPO1;XRN2;CSNK2A1;NVL;CSNK2B,UTP14A;DKC1;RPP40;RIOK1;TCOF1;WDR43;WDR3;UTP4;NAT10;NOP58;NOP56;IMP4;GTPBP4;UTP15;WDR75;MDN1;POP5;GAR1;SBDS;RPP25;RCL1;NOB1;RAN;NHP2;UTP18;UTP6;RBM28;POP1;MPHOSPH10;RPP30;LSG1;NXF1;BMS1;RRP7A;NXT1;HEATR1;POP7;GNL3;AK6;GNL2;IMP3;POP4;WDR36;RIOK2
Antigen processing and presentation,0.5926343404408971,1.835486670565971,0.0,0.010929398323839351,77,18,HLA-G;HSPA8;HSP90AA1;HSP90AB1;HSPA4;PSME2;PSME3;HLA-DPB1;CD74;HSPA1B;HSPA1A;CTSL;TAP2;HSPA5;CANX;CTSB;NFYB;PDIA3,HLA-G;HSPA8;HSP90AA1;HSP90AB1;HSPA4;PSME2;PSME3;HLA-DPB1;CD74;HSPA1B;HSPA1A
