Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083),0.7883913590528566,2.3141087771954,0.0,0.0,27,17,RRM2;CDC45;CCNE1;DHFR;CCNA1;PCNA;CDC6;ORC1;E2F1;E2F7;FBXO5;POLA1;CDT1;TYMS;TFDP1;ZPR1;NPAT,RRM2;CDC45;CCNE1;DHFR;CCNA1;PCNA;CDC6;ORC1;E2F1;E2F7;FBXO5;POLA1;CDT1;TYMS
RNA splicing (GO:0008380),-0.15776610601035887,inf,,0.0,107,62,MTERF3;NCBP1;LSM4;SNRPG;USB1;SNRPF;MAGOHB;PRPF4;SF3A3;SYNCRIP;SNRPB;SNRPA1;SNRNP70;SNRNP40;SNRPD1;USP39;PPIG;SRPK1;SNRNP25;SF3B2;SRSF10;SRRM1;PTBP1;SNRNP48;KHSRP;MPHOSPH10;SRSF7;EFTUD2;GEMIN2;DHX15;SMNDC1;SLU7;CDC40;PDCD7;NCBP2;RP9;TXNL4A;NOL3;BCAS2;SRSF2;SNRPD3;RSRC1;EIF4A3;PPP2CA;SRSF11;MBNL1;DHX16;LSM1;RNPS1;MAGOH;TRA2B;PRPF3;HNRNPH3;LUC7L3;SFPQ;SF3B4;RRAGC;TARDBP;IVNS1ABP;ZCRB1;HNRNPC;CDK12,LSM4;SNRPG;USB1;SNRPF;MAGOHB;PRPF4;SF3A3;SYNCRIP;SNRPB;SNRPA1;SNRNP70;SNRNP40;SNRPD1;USP39;PPIG;SRPK1;SNRNP25;SF3B2;SRSF10;SRRM1;PTBP1;SNRNP48;KHSRP;MPHOSPH10;SRSF7;EFTUD2;GEMIN2;DHX15;SMNDC1;SLU7;CDC40;PDCD7;NCBP2;RP9;TXNL4A;NOL3;BCAS2;SRSF2;SNRPD3;RSRC1;EIF4A3;PPP2CA;SRSF11;MBNL1;DHX16;LSM1;RNPS1;MAGOH;TRA2B;PRPF3;HNRNPH3;LUC7L3;SFPQ;SF3B4;RRAGC;TARDBP;IVNS1ABP;ZCRB1;HNRNPC;CDK12
mitochondrial ATP synthesis coupled electron transport (GO:0042775),-0.15066332242095587,inf,,0.0,86,51,CYCS;TAZ;MT-ND6;UQCRFS1;NDUFA6;COX5A;COX15;NDUFB2;NDUFA8;COX8A;NDUFS3;UQCRQ;NDUFS1;NDUFAB1;NDUFS8;NDUFB8;CYC1;NDUFV1;NDUFV3;NDUFB9;NDUFA12;SDHAF2;NDUFA9;NDUFS7;NDUFC2;NDUFS4;UQCC3;NDUFB3;NDUFAF1;NDUFA4;NDUFB1;NDUFA10;PMPCB;NDUFV2;UQCR11;NDUFA2;COX7B;NDUFB6;COX6C;COX6A1;NDUFA3;NDUFA13;NDUFA5;UQCRC2;NDUFA1;COX5B;NDUFB11;NDUFS2;SDHD;UQCR10;COX6B1,UQCRFS1;NDUFA6;COX5A;COX15;NDUFB2;NDUFA8;COX8A;NDUFS3;UQCRQ;NDUFS1;NDUFAB1;NDUFS8;NDUFB8;CYC1;NDUFV1;NDUFV3;NDUFB9;NDUFA12;SDHAF2;NDUFA9;NDUFS7;NDUFC2;NDUFS4;UQCC3;NDUFB3;NDUFAF1;NDUFA4;NDUFB1;NDUFA10;PMPCB;NDUFV2;UQCR11;NDUFA2;COX7B;NDUFB6;COX6C;COX6A1;NDUFA3;NDUFA13;NDUFA5;UQCRC2;NDUFA1;COX5B;NDUFB11;NDUFS2;SDHD;UQCR10;COX6B1
respiratory electron transport chain (GO:0022904),-0.17423851232218976,inf,,0.0,95,57,CYCS;ETFB;MT-ND6;SLC25A12;UQCRFS1;SLC25A13;NDUFA6;COX5A;COX15;NDUFB2;NDUFA8;COX8A;NDUFS3;UQCRQ;NDUFS1;NDUFAB1;NDUFS8;NDUFB8;CYC1;SDHB;NDUFV1;ETFDH;NDUFV3;NDUFB9;NDUFA12;SDHAF2;NDUFA9;GPD2;NDUFS7;NDUFC2;NDUFS4;UQCC3;NDUFB3;ETFA;NDUFAF1;NDUFA4;NDUFB1;NDUFA10;PMPCB;NDUFV2;UQCR11;NDUFA2;COX7B;NDUFB6;COX6C;COX6A1;NDUFA3;NDUFA13;NDUFA5;UQCRC2;NDUFA1;COX5B;NDUFB11;NDUFS2;SDHD;UQCR10;COX6B1,ETFB;MT-ND6;SLC25A12;UQCRFS1;SLC25A13;NDUFA6;COX5A;COX15;NDUFB2;NDUFA8;COX8A;NDUFS3;UQCRQ;NDUFS1;NDUFAB1;NDUFS8;NDUFB8;CYC1;SDHB;NDUFV1;ETFDH;NDUFV3;NDUFB9;NDUFA12;SDHAF2;NDUFA9;GPD2;NDUFS7;NDUFC2;NDUFS4;UQCC3;NDUFB3;ETFA;NDUFAF1;NDUFA4;NDUFB1;NDUFA10;PMPCB;NDUFV2;UQCR11;NDUFA2;COX7B;NDUFB6;COX6C;COX6A1;NDUFA3;NDUFA13;NDUFA5;UQCRC2;NDUFA1;COX5B;NDUFB11;NDUFS2;SDHD;UQCR10;COX6B1
DNA synthesis involved in DNA repair (GO:0000731),0.6168602249984763,2.0322301571815244,0.0,0.003932002437440287,66,43,EXO1;PCNA;RAD51;BRCA2;RBBP8;RFC3;RFC2;BLM;RAD51AP1;RFC4;BRCA1;RFC5;BRIP1;DTL;DNA2;POLA1;RAD51C;POLD1;RPA3;XRCC3;XRCC2;POLE;POLD2;ISG15;RAD51D;PRIMPOL;POLD3;RMI1;WRNIP1;BARD1;RPA2;RMI2;RAD50;RPA1;RFC1;UBB;CDKN2D;VCP;KAT5;FAAP20;UBC;ATM;UBE2L6,EXO1;PCNA;RAD51;BRCA2;RBBP8;RFC3;RFC2;BLM;RAD51AP1;RFC4;BRCA1;RFC5;BRIP1;DTL;DNA2;POLA1;RAD51C;POLD1;RPA3;XRCC3;XRCC2;POLE;POLD2;ISG15;RAD51D;PRIMPOL;POLD3
DNA-dependent DNA replication (GO:0006261),0.6202042773756843,2.023523765518372,0.0,0.004353288412880318,57,43,CDC45;MCM10;PRIM1;ORC1;POLE2;RAD51;POLA2;RFC3;GINS2;RFC2;ORC6;RFC4;RFC5;DNA2;GINS4;POLA1;POLD1;POLE3;MCMBP;HMGA1;CDC7;POLE;PRIM2;POLD2;MCM2;PRIMPOL;MGME1;WDHD1;ORC3;GINS1;BAZ1A;LRWD1;ORC5;POLE4;TOPBP1;RPA1;RFC1;REV3L;CDC34;ORC4;POLG;RPAIN;POLK,CDC45;MCM10;PRIM1;ORC1;POLE2;RAD51;POLA2;RFC3;GINS2;RFC2;ORC6;RFC4;RFC5;DNA2;GINS4;POLA1;POLD1;POLE3;MCMBP;HMGA1;CDC7;POLE;PRIM2;POLD2;MCM2;PRIMPOL;MGME1;WDHD1;ORC3
DNA biosynthetic process (GO:0071897),0.6541409858666037,2.0338102461402428,0.0,0.004521802803056329,40,27,EXO1;RAD51;BRCA2;RBBP8;RFC3;BLM;RAD51AP1;BRCA1;BRIP1;DNA2;POLA1;RAD51C;POLD1;TYMS;XRCC3;XRCC2;POLE;RAD51D;POLD3;RMI1;WRNIP1;BARD1;RMI2;RAD50;CDKN2D;KAT5;ATM,EXO1;RAD51;BRCA2;RBBP8;RFC3;BLM;RAD51AP1;BRCA1;BRIP1;DNA2;POLA1;RAD51C;POLD1;TYMS;XRCC3;XRCC2;POLE;RAD51D;POLD3;RMI1;WRNIP1
positive regulation of mitotic cell cycle phase transition (GO:1901992),0.6739476745572371,1.9928325357456267,0.001040582726326743,0.006143753808500448,41,17,CDC45;CDK1;UBE2C;CDCA5;DTL;LSM11;RAD51C;MECP2;CDC7;CDK4;ANAPC5;LSM10;CUL3;EIF4G1;RDX;CCNB1;ANAPC11,CDC45;CDK1;UBE2C;CDCA5;DTL;LSM11;RAD51C;MECP2;CDC7;CDK4
strand displacement (GO:0000732),0.6565259992839355,1.9636166143257352,0.0,0.008847005484240644,27,19,EXO1;RAD51;BRCA2;RBBP8;BLM;RAD51AP1;BRCA1;BRIP1;DNA2;RAD51C;XRCC3;XRCC2;RAD51D;RMI1;BARD1;RMI2;RAD50;KAT5;ATM,EXO1;RAD51;BRCA2;RBBP8;BLM;RAD51AP1;BRCA1;BRIP1;DNA2;RAD51C;XRCC3;XRCC2
DNA replication (GO:0006260),0.5631058869458249,1.9410607198844376,0.0,0.00974064240184071,121,80,CDC45;CLSPN;CDK1;EXO1;MCM7;FEN1;MCM10;CDC6;ORC1;POLE2;RBBP8;POLA2;RFC3;RFC2;BLM;TIPIN;ORC6;RFC4;FAM111A;BRCA1;RFC5;BRIP1;MCM6;MCM8;DNA2;MCM5;CHEK1;RECQL4;POLA1;POLD1;POLE3;RPA3;MCM4;MCM3;MCMBP;NASP;CDC7;POLE;DONSON;POLD2;RNASEH2A;MCM2;WDHD1;ORC3;DUT;RMI1;DBF4;HUS1;BARD1;CDK2;ATR;RPA2;NAP1L1;BAZ1A;TIMELESS;GRWD1;IGHMBP2;ORC5;SET;TOPBP1;RMI2;RAD50;RPA1;RBM14;ERCC4;RFC1;REV3L;CDC25C;TOP1;ORC4;POLG;RPAIN;RBMS1;TBRG1;KAT5;RAD9A;POLK;ATM;KIN;RHNO1,CDC45;CLSPN;CDK1;EXO1;MCM7;FEN1;MCM10;CDC6;ORC1;POLE2;RBBP8;POLA2;RFC3;RFC2;BLM;TIPIN;ORC6;RFC4;FAM111A;BRCA1;RFC5;BRIP1;MCM6;MCM8;DNA2;MCM5;CHEK1;RECQL4;POLA1;POLD1;POLE3;RPA3;MCM4;MCM3;MCMBP;NASP;CDC7;POLE;DONSON;POLD2;RNASEH2A;MCM2;WDHD1;ORC3;DUT;RMI1;DBF4;HUS1
