Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
neutrophil activation involved in immune response (GO:0002283),-0.14423984550597518,-1106.4039222772174,0.0,0.0,484,202,ATAD3B;TRPM2;PSMD14;GLA;PRSS3;PTGES2;GYG1;RAP2C;COTL1;CXCL1;KCNAB2;HMOX2;CCT8;PA2G4;KCMF1;ADAM8;PSMD11;PSMD1;DNAJC5;PSMD6;DYNC1LI1;CCT2;HSP90AA1;PNP;DSN1;PSMA5;PSMD7;PLAUR;GLIPR1;PSMD12;SNAP29;DEGS1;CYSTM1;MAPK1;PSMC2;KPNB1;ARL8A;PSMD13;NIT2;STOM;STK10;RAB10;RHOF;CD68;PSMD3;DBNL;CD44;PPIE;SLC15A4;STXBP3;PSMD2;CAB39;ATP6V1D;FUCA2;RHOG;TOLLIP;AP1M1;NFKB1;RAB18;CD58;RAP1B;HSPA8;NEU1;IMPDH2;PKP1;PSMB7;PDAP1;GPI;FAF2;PYGB;PGRMC1;ATG7;ANXA3;IMPDH1;ITGAV;VAMP7;PSMC3;DYNLL1;RAB5C;CEP290;RAB14;RAB7A;TUBB4B;QSOX1;ACLY;HMGB1;RHOA;TMEM179B;ACAA1;YPEL5;HSP90AB1;PSMB1;DGAT1;UBR4;GOLGA7;PTPN6;ATP11B;APEH;GCA;PAFAH1B2;ATP6V0A1;PLAU;CPPED1;PSMA2;PRDX4;CSNK2B;ILF2;APRT;NAPRT;SURF4;VAPA;HSPA1A;XRCC6;ARMC8;XRCC5;CAP1;SVIP;ADGRE5;PKM;HEXB;SERPINB1;GDI2;DIAPH1;BRI3;ACTR10;CD55;AGPAT2;DNASE1L1;MIF;SDCBP;CTSZ;FABP5;RAP1A;ROCK1;CPNE3;HEBP2;CAND1;CD59;ACTR2;AGA;COPB1;SLC44A2;PGAM1;PRDX6;CMTM6;RAC1;COMMD3;IST1;CSTB;FTL;SCAMP1;CYFIP1;MAPK14;RAP2B;VCL;HUWE1;ANXA2;PPIA;DYNLT1;SRP14;EEF2;CDA;IQGAP1;CD63;CYBA;A1BG;PYCARD;MGST1;TRAPPC1;DDOST;ARPC5;MLEC;DERA;LAMP1;GSTP1;CAT;BST2;JUP;CST3;VAMP8;PLAC8;S100A11;CTSA;FTH1;ASAH1;CAPN1;CREG1;B2M;PRCP;PSAP;EEF1A1;GRN;GSN;TIMP2;FUCA1;NHLRC3;ALDH3B1;CTSD;NPC2;OLR1;IDH1;CTSH,CDA;IQGAP1;CD63;CYBA;A1BG;PYCARD;MGST1;TRAPPC1;DDOST;ARPC5;MLEC;DERA;LAMP1;GSTP1;CAT;BST2;JUP;CST3;VAMP8;PLAC8;S100A11;CTSA;FTH1;ASAH1;CAPN1;CREG1;B2M;PRCP;PSAP;EEF1A1;GRN;GSN;TIMP2;FUCA1;NHLRC3;ALDH3B1;CTSD;NPC2;OLR1;IDH1;CTSH
nuclear-transcribed mRNA catabolic process (GO:0000956),-0.1687854649838391,-1097.4270770415344,0.0,0.0,175,128,SMG9;MRTO4;EXOSC5;EXOSC9;ETF1;DHX34;MAGOHB;UPF3B;PAPD5;PPP2R2A;EXOSC8;PPP2CA;NCBP2;GSPT1;POLR2G;DXO;PELO;POLR2D;LSM4;MRPS12;EIF4E;EXOSC4;NCBP1;EIF4A1;LSM1;DCP1A;UPF1;CNOT11;MTPAP;UPF2;EIF4G1;EXOSC7;RNPS1;EIF4A3;CNOT3;EXOSC10;PATL1;CNOT4;MAGOH;LSM5;CASC3;RPS13;ZCCHC6;DCP2;RBM8A;RC3H1;CNOT7;CNOT1;CNOT8;CNOT10;PAIP1;PNRC2;SMG6;RPL32;PAPD4;RPL12;RPL36;SMG1;RPL36A;SMG7;RPL27;CNOT2;RPL10;RPS18;RPS21;RPL35;RPL38;RPL9;RPL19;RPS17;RPL5;UBA52;RPS2;RPL13;RPS10;RPL18A;RPS23;RPS26;RPL4;RPL8;RPL29;RPL24;RPS19;RPL23;RPS3A;RPS20;RPS25;RPL30;RPS14;RPS8;RPLP2;RPL41;RPS6;RPS15A;RPL14;PABPC1;RPS24;RPL15;RPS28;RPS29;RPL23A;RPL11;EIF4A2;RPLP1;RPL22;RPS9;RPL39;RPLP0;RPL31;RPL28;RPL7;EIF3E;RPL13A;RPL6;RPL3;RPS3;RPS4X;RPL37;RPL21;RPSA;RPS15;RPS11;RPL34;RPS27;RPL27A;EIF4B;RPL7A;PNRC1,RPL36;SMG1;RPL36A;SMG7;RPL27;CNOT2;RPL10;RPS18;RPS21;RPL35;RPL38;RPL9;RPL19;RPS17;RPL5;UBA52;RPS2;RPL13;RPS10;RPL18A;RPS23;RPS26;RPL4;RPL8;RPL29;RPL24;RPS19;RPL23;RPS3A;RPS20;RPS25;RPL30;RPS14;RPS8;RPLP2;RPL41;RPS6;RPS15A;RPL14;PABPC1;RPS24;RPL15;RPS28;RPS29;RPL23A;RPL11;EIF4A2;RPLP1;RPL22;RPS9;RPL39;RPLP0;RPL31;RPL28;RPL7;EIF3E;RPL13A;RPL6;RPL3;RPS3;RPS4X;RPL37;RPL21;RPSA;RPS15;RPS11;RPL34;RPS27;RPL27A;EIF4B;RPL7A;PNRC1
viral process (GO:0016032),-0.13366916952187508,-1242.6042361784534,0.0,0.0,221,156,TP53;NUP35;RCC1;EIF3B;VPS37C;NUPL2;SSB;VPS37A;HIPK2;IRF7;NUP88;UBP1;PARD6A;VPS4A;NUP98;HTATSF1;FURIN;SEH1L;PPID;MRPS12;AP1B1;CHMP6;UBAP1;RANBP1;AAAS;NUP37;NUP54;VAPB;NUP93;HCFC2;DENR;NUP43;CTBP1;RAE1;NUP155;AP1M1;NDC1;BICD1;RAN;NEDD4L;CHMP4A;XPO1;NUP85;NUP62;POM121C;TSG101;CHMP4C;NUP58;EIF3G;MCTS1;TBC1D20;RANBP2;PTBP1;NUP107;RPS13;CTBP2;RAB7A;ATP6V1H;EIF3A;EIF3D;CHMP2B;NUP133;CALCOCO2;VTA1;DEK;MVB12A;NUP153;AP1S2;RPL32;NFIA;RAB1A;NUP50;TPR;VPS37B;AP1M2;RPL12;ARF1;NUP160;AP2S1;RAC1;RRAGA;IST1;RPL36;RPL36A;NUP214;RPL27;RPL10;RPS18;RPS21;RPL35;RPL38;RPL9;RPL19;RPS17;RPL5;UBA52;RPS2;RPL13;RPS10;RPL18A;RPS23;PPIA;RPS26;RPL4;RPL8;PCBP2;RPL29;RPL24;RPS19;RPL23;RPS3A;RPS20;RPS25;RPL30;RPS14;CHMP2A;RPS8;RPLP2;RPL41;RPS6;RPS15A;EIF3L;GAS6;RPL14;RPS24;RPL15;RPS28;RPS29;RPL23A;RPL11;RPLP1;RPL22;RPS9;RPL39;RPLP0;RPL31;RPL28;RPL7;RPL13A;RPL6;RPL3;RPS3;RPS4X;RPL37;RPL21;RPSA;RPS15;EIF3F;UBC;RPS11;VPS28;RPL34;RPS27;RPL27A;RPL7A;B2M,RPL38;RPL9;RPL19;RPS17;RPL5;UBA52;RPS2;RPL13;RPS10;RPL18A;RPS23;PPIA;RPS26;RPL4;RPL8;PCBP2;RPL29;RPL24;RPS19;RPL23;RPS3A;RPS20;RPS25;RPL30;RPS14;CHMP2A;RPS8;RPLP2;RPL41;RPS6;RPS15A;EIF3L;GAS6;RPL14;RPS24;RPL15;RPS28;RPS29;RPL23A;RPL11;RPLP1;RPL22;RPS9;RPL39;RPLP0;RPL31;RPL28;RPL7;RPL13A;RPL6;RPL3;RPS3;RPS4X;RPL37;RPL21;RPSA;RPS15;EIF3F;UBC;RPS11;VPS28;RPL34;RPS27;RPL27A;RPL7A;B2M
cellular protein metabolic process (GO:0044267),-0.19418667867506753,inf,,0.0,485,244,STC2;GATA6;PAPPA;MMP1;RABGGTB;IGHMBP2;GPC3;FARSB;WARS;RSL1D1;UBE2M;UBL4A;MSRA;SARS;CDC34;MRPL24;PIGH;SEC11C;MRPL32;EEF1A2;HARS2;MRPL41;MRPS17;MRPL4;ABL2;CCDC59;DUSP12;FURIN;TARS;GSPT1;FBXO22;MRPL3;PELO;MRPS18C;MRPL35;RPS6KB2;MRPS12;MRPL34;UBE2N;MRPL10;B4GALT7;PCMT1;FBXW2;PSEN2;MRPS2;MRPS5;SNU13;MRPL42;HARS;ATG3;UBE2S;NHP2;MRPS15;HTRA2;MRPS18B;MRRF;L2HGDH;DARS;JAG1;RIPK1;UBE2G2;MRPS16;MRPS9;MRPL1;MRPL27;ST3GAL1;AFG3L2;YARS2;MRPL18;COPS5;PLOD1;MRPS11;RABGGTA;FUCA2;EIF4G1;MRPL55;LIPT1;MEN1;MRPS33;ADORA2B;RPL39L;MRPS6;MRPL52;TMEM208;OMA1;MRPL37;UBE2D2;MRPS7;FSTL3;PPP4R2;AGO2;MRPL13;ERO1A;SEPHS1;MRPL36;UBE2D3;CSNK1G3;SERP1;ATG7;TNIP1;STOML2;PRKDC;GGCX;RPS13;GOLM1;MRPS18A;FBXO11;QSOX1;ICMT;COA1;IGFBP4;SHISA5;RSL24D1;MRPS36;ABCF1;CLN5;VWA1;YES1;ADAM17;UBE2L3;MRPL43;USP25;FAM20C;TXN;MRPL9;SIAH1;MRPL28;WDYHV1;ARAF;LCMT1;SPCS3;SIAH2;SPCS1;RPL32;UBE2I;UBA3;RRBP1;IMMP1L;UBE2G1;RPL12;USP9X;MRPL51;MRPS21;GGA1;RPL36;RPL36A;RPL27;RPL10;RPS18;RPS21;RPL35;YME1L1;RPL38;RPL9;RPL19;RPS17;RPL5;UBA52;RPS2;RPL13;RPS10;RPL18A;RPS23;RPS26;RCN1;SPCS2;RPL4;RPL8;RPL29;RPL24;RPS19;RPL23;RPS3A;RPS20;RPS25;RPL30;RPS14;RPS8;RPLP2;RPL41;RPS6;RPS15A;GAS6;RPL14;RPS24;RPL15;RPS28;RPS29;RPL23A;APH1A;RPL11;APP;APLP2;RPLP1;RPL22;RPS9;RPL39;RPLP0;RPL31;PRKCSH;RPN1;RPL28;RPL7;TGFBI;RPL13A;FBXO2;RPL6;RPL3;RPS3;RPS4X;RPL37;RPL21;RPSA;RPS15;UBC;RPS11;RPL34;RPS27;HSP90B1;CST3;UBE2L6;RPL27A;CALU;RPL7A;FN1;PDIA6;PRSS23;B2M;IGFBP7;NUCB1;SNCA;EEF1A1;MSLN;GSN;ITM2B;PROC;BMP4;H3F3A;MMP2;IGFBP6;IGFBP3;SORL1;RPL3L;CTSH,RPL38;RPL9;RPL19;RPS17;RPL5;UBA52;RPS2;RPL13;RPS10;RPL18A;RPS23;RPS26;RCN1;SPCS2;RPL4;RPL8;RPL29;RPL24;RPS19;RPL23;RPS3A;RPS20;RPS25;RPL30;RPS14;RPS8;RPLP2;RPL41;RPS6;RPS15A;GAS6;RPL14;RPS24;RPL15;RPS28;RPS29;RPL23A;APH1A;RPL11;APP;APLP2;RPLP1;RPL22;RPS9;RPL39;RPLP0;RPL31;PRKCSH;RPN1;RPL28;RPL7;TGFBI;RPL13A;FBXO2;RPL6;RPL3;RPS3;RPS4X;RPL37;RPL21;RPSA;RPS15;UBC;RPS11;RPL34;RPS27;HSP90B1;CST3;UBE2L6;RPL27A;CALU;RPL7A;FN1;PDIA6;PRSS23;B2M;IGFBP7;NUCB1;SNCA;EEF1A1;MSLN;GSN;ITM2B;PROC;BMP4;H3F3A;MMP2;IGFBP6;IGFBP3;SORL1;RPL3L;CTSH
neutrophil degranulation (GO:0043312),-0.14423984550597518,inf,,0.0,480,202,ATAD3B;TRPM2;PSMD14;GLA;PRSS3;PTGES2;GYG1;RAP2C;COTL1;CXCL1;KCNAB2;HMOX2;CCT8;PA2G4;KCMF1;ADAM8;PSMD11;PSMD1;DNAJC5;PSMD6;DYNC1LI1;CCT2;HSP90AA1;PNP;DSN1;PSMA5;PSMD7;PLAUR;GLIPR1;PSMD12;SNAP29;DEGS1;CYSTM1;MAPK1;PSMC2;KPNB1;ARL8A;PSMD13;NIT2;STOM;STK10;RAB10;RHOF;CD68;PSMD3;DBNL;CD44;PPIE;SLC15A4;STXBP3;PSMD2;CAB39;ATP6V1D;FUCA2;RHOG;TOLLIP;AP1M1;NFKB1;RAB18;CD58;RAP1B;HSPA8;NEU1;IMPDH2;PKP1;PSMB7;PDAP1;GPI;FAF2;PYGB;PGRMC1;ATG7;ANXA3;IMPDH1;ITGAV;VAMP7;PSMC3;DYNLL1;RAB5C;CEP290;RAB14;RAB7A;TUBB4B;QSOX1;ACLY;HMGB1;RHOA;TMEM179B;ACAA1;YPEL5;HSP90AB1;PSMB1;DGAT1;UBR4;GOLGA7;PTPN6;ATP11B;APEH;GCA;PAFAH1B2;ATP6V0A1;PLAU;CPPED1;PSMA2;PRDX4;CSNK2B;ILF2;APRT;NAPRT;SURF4;VAPA;HSPA1A;XRCC6;ARMC8;XRCC5;CAP1;SVIP;ADGRE5;PKM;HEXB;SERPINB1;GDI2;DIAPH1;BRI3;ACTR10;CD55;AGPAT2;DNASE1L1;MIF;SDCBP;CTSZ;FABP5;RAP1A;ROCK1;CPNE3;HEBP2;CAND1;CD59;ACTR2;AGA;COPB1;SLC44A2;PGAM1;PRDX6;CMTM6;RAC1;COMMD3;IST1;CSTB;FTL;SCAMP1;CYFIP1;MAPK14;RAP2B;VCL;HUWE1;ANXA2;PPIA;DYNLT1;SRP14;EEF2;CDA;IQGAP1;CD63;CYBA;A1BG;PYCARD;MGST1;TRAPPC1;DDOST;ARPC5;MLEC;DERA;LAMP1;GSTP1;CAT;BST2;JUP;CST3;VAMP8;PLAC8;S100A11;CTSA;FTH1;ASAH1;CAPN1;CREG1;B2M;PRCP;PSAP;EEF1A1;GRN;GSN;TIMP2;FUCA1;NHLRC3;ALDH3B1;CTSD;NPC2;OLR1;IDH1;CTSH,CDA;IQGAP1;CD63;CYBA;A1BG;PYCARD;MGST1;TRAPPC1;DDOST;ARPC5;MLEC;DERA;LAMP1;GSTP1;CAT;BST2;JUP;CST3;VAMP8;PLAC8;S100A11;CTSA;FTH1;ASAH1;CAPN1;CREG1;B2M;PRCP;PSAP;EEF1A1;GRN;GSN;TIMP2;FUCA1;NHLRC3;ALDH3B1;CTSD;NPC2;OLR1;IDH1;CTSH
neutrophil mediated immunity (GO:0002446),-0.14350866283796018,inf,,0.0,488,203,ATAD3B;TRPM2;PSMD14;GLA;PRSS3;PTGES2;GYG1;RAP2C;COTL1;CXCL1;KCNAB2;HMOX2;CCT8;PA2G4;KCMF1;ADAM8;PSMD11;PSMD1;DNAJC5;PSMD6;DYNC1LI1;CCT2;HSP90AA1;PNP;DSN1;PSMA5;PSMD7;PLAUR;GLIPR1;PSMD12;SNAP29;DEGS1;CYSTM1;MAPK1;PSMC2;KPNB1;ARL8A;PSMD13;NIT2;STOM;STK10;RAB10;RHOF;CD68;PSMD3;DBNL;CD44;PPIE;SLC15A4;STXBP3;PSMD2;CAB39;ATP6V1D;FUCA2;RHOG;TOLLIP;AP1M1;NFKB1;RAB18;CD58;RAP1B;HSPA8;NEU1;IMPDH2;PKP1;PSMB7;PDAP1;GPI;FAF2;PYGB;PGRMC1;ATG7;ANXA3;IMPDH1;ITGAV;VAMP7;PSMC3;DYNLL1;RAB5C;CEP290;RAB14;RAB7A;TUBB4B;QSOX1;ACLY;HMGB1;RHOA;TMEM179B;ACAA1;YPEL5;HSP90AB1;PSMB1;DGAT1;UBR4;GOLGA7;PTPN6;ADAM17;ATP11B;APEH;GCA;PAFAH1B2;ATP6V0A1;PLAU;CPPED1;PSMA2;PRDX4;CSNK2B;ILF2;APRT;NAPRT;SURF4;VAPA;HSPA1A;XRCC6;ARMC8;XRCC5;CAP1;SVIP;ADGRE5;PKM;HEXB;SERPINB1;GDI2;DIAPH1;BRI3;ACTR10;CD55;AGPAT2;DNASE1L1;MIF;SDCBP;CTSZ;FABP5;RAP1A;ROCK1;CPNE3;HEBP2;CAND1;CD59;ACTR2;AGA;COPB1;SLC44A2;PGAM1;PRDX6;CMTM6;RAC1;COMMD3;IST1;CSTB;FTL;SCAMP1;CYFIP1;MAPK14;RAP2B;VCL;HUWE1;ANXA2;PPIA;DYNLT1;SRP14;EEF2;CDA;IQGAP1;CD63;CYBA;A1BG;PYCARD;MGST1;TRAPPC1;DDOST;ARPC5;MLEC;DERA;LAMP1;GSTP1;CAT;BST2;JUP;CST3;VAMP8;PLAC8;S100A11;CTSA;FTH1;ASAH1;CAPN1;CREG1;B2M;PRCP;PSAP;EEF1A1;GRN;GSN;TIMP2;FUCA1;NHLRC3;ALDH3B1;CTSD;NPC2;OLR1;IDH1;CTSH,CDA;IQGAP1;CD63;CYBA;A1BG;PYCARD;MGST1;TRAPPC1;DDOST;ARPC5;MLEC;DERA;LAMP1;GSTP1;CAT;BST2;JUP;CST3;VAMP8;PLAC8;S100A11;CTSA;FTH1;ASAH1;CAPN1;CREG1;B2M;PRCP;PSAP;EEF1A1;GRN;GSN;TIMP2;FUCA1;NHLRC3;ALDH3B1;CTSD;NPC2;OLR1;IDH1;CTSH
erythrocyte differentiation (GO:0030218),0.6849018851597961,2.2455850475627517,0.0011350737797956867,0.010787012863720512,36,15,VEGFA;INHBA;CEBPG;LYAR;HSPA9;SLC25A38;HIPK2;FLVCR1;MBD4;CASP3;ATPIF1;PTPN2;ACIN1;RPS19;RPS14,VEGFA;INHBA;CEBPG;LYAR;HSPA9;SLC25A38;HIPK2;FLVCR1
cotranslational protein targeting to membrane (GO:0006613),-0.6108973178670654,-503.1596730437708,0.0,0.012802105766929889,94,78,MRPS12;SRP19;SRP68;SEC63;SRP72;RPS13;SRP54;SEC61A1;RPL32;SEC62;SRP9;RPL12;RPL36;RPL36A;RPL27;RPL10;RPS18;RPS21;RPL35;RPL38;RPL9;RPL19;RPS17;RPL5;UBA52;RPS2;RPL13;RPS10;RPL18A;RPS23;RPS26;RPL4;RPL8;RPL29;RPL24;RPS19;RPL23;RPS3A;RPS20;RPS25;RPL30;RPS14;RPS8;RPLP2;RPL41;SRP14;RPS6;RPS15A;RPL14;RPS24;RPL15;RPS28;RPS29;RPL23A;RPL11;RPLP1;RPL22;RPS9;RPL39;RPLP0;RPL31;RPL28;RPL7;RPL13A;RPL6;RPL3;RPS3;RPS4X;RPL37;RPL21;RPSA;RPS15;RPS11;RPL34;RPS27;RPL27A;RPL7A;SSR2,RPL36;RPL36A;RPL27;RPL10;RPS18;RPS21;RPL35;RPL38;RPL9;RPL19;RPS17;RPL5;UBA52;RPS2;RPL13;RPS10;RPL18A;RPS23;RPS26;RPL4;RPL8;RPL29;RPL24;RPS19;RPL23;RPS3A;RPS20;RPS25;RPL30;RPS14;RPS8;RPLP2;RPL41;SRP14;RPS6;RPS15A;RPL14;RPS24;RPL15;RPS28;RPS29;RPL23A;RPL11;RPLP1;RPL22;RPS9;RPL39;RPLP0;RPL31;RPL28;RPL7;RPL13A;RPL6;RPL3;RPS3;RPS4X;RPL37;RPL21;RPSA;RPS15;RPS11;RPL34;RPS27;RPL27A;RPL7A;SSR2
peptide biosynthetic process (GO:0043043),-0.15005416435050895,-600.3467750549287,0.0,0.014594400574300075,175,132,IGHMBP2;FARSB;WARS;RSL1D1;SARS;MRPL24;MRPL32;EEF1A2;HARS2;MRPL41;MRPS17;MRPL4;FURIN;TARS;GSPT1;MRPL3;PELO;MRPS18C;MRPL35;RPS6KB2;MRPS12;MRPL34;MRPL10;MRPS2;MRPS5;SNU13;MRPL42;HARS;NHP2;MRPS15;MRPS18B;MRRF;DARS;MRPS16;MRPS9;MRPL1;MRPL27;YARS2;MRPL18;COPS5;MRPS11;EIF4G1;MRPL55;MRPS33;RPL39L;MRPS6;MRPL52;MRPL37;MRPS7;AGO2;MRPL13;MRPL36;TNIP1;RPS13;MRPS18A;COA1;RSL24D1;MRPS36;ABCF1;MRPL43;MRPL9;MRPL28;RPL32;RRBP1;RPL12;MRPL51;MRPS21;RPL36;RPL36A;RPL27;RPL10;RPS18;RPS21;RPL35;RPL38;RPL9;RPL19;RPS17;RPL5;RPS2;RPL13;RPS10;RPL18A;RPS23;RPS26;RPL4;RPL8;RPL29;RPL24;RPS19;RPL23;RPS3A;RPS20;RPS25;RPL30;RPS14;RPS8;RPLP2;RPL41;RPS6;RPS15A;RPL14;RPS24;RPL15;RPS28;RPS29;RPL23A;RPL11;RPLP1;RPL22;RPS9;RPL39;RPLP0;RPL31;RPL28;RPL7;RPL13A;RPL6;RPL3;RPS3;RPS4X;RPL37;RPL21;RPSA;RPS15;RPS11;RPL34;RPS27;RPL27A;RPL7A;EEF1A1;RPL3L,RPL38;RPL9;RPL19;RPS17;RPL5;RPS2;RPL13;RPS10;RPL18A;RPS23;RPS26;RPL4;RPL8;RPL29;RPL24;RPS19;RPL23;RPS3A;RPS20;RPS25;RPL30;RPS14;RPS8;RPLP2;RPL41;RPS6;RPS15A;RPL14;RPS24;RPL15;RPS28;RPS29;RPL23A;RPL11;RPLP1;RPL22;RPS9;RPL39;RPLP0;RPL31;RPL28;RPL7;RPL13A;RPL6;RPL3;RPS3;RPS4X;RPL37;RPL21;RPSA;RPS15;RPS11;RPL34;RPS27;RPL27A;RPL7A;EEF1A1;RPL3L
protein targeting to ER (GO:0045047),-0.5020825624496468,-503.67056135666473,0.0,0.015362526920315867,98,84,PMM2;MRPS12;SRP19;SRP68;PMM1;CHMP4A;SEC63;SRP72;RPS13;SRP54;SEC61A1;SEC61G;SPCS3;SPCS1;RPL32;SEC62;SRP9;RPL12;RPL36;RPL36A;RPL27;RPL10;RPS18;RPS21;RPL35;RPL38;RPL9;RPL19;RPS17;RPL5;UBA52;RPS2;RPL13;RPS10;RPL18A;RPS23;RPS26;SPCS2;RPL4;RPL8;RPL29;RPL24;RPS19;RPL23;RPS3A;RPS20;RPS25;RPL30;RPS14;RPS8;RPLP2;RPL41;SRP14;RPS6;RPS15A;RPL14;RPS24;RPL15;RPS28;RPS29;RPL23A;RPL11;RPLP1;RPL22;RPS9;RPL39;RPLP0;RPL31;RPL28;RPL7;RPL13A;RPL6;RPL3;RPS3;RPS4X;RPL37;RPL21;RPSA;RPS15;RPS11;RPL34;RPS27;RPL27A;RPL7A,RPL36;RPL36A;RPL27;RPL10;RPS18;RPS21;RPL35;RPL38;RPL9;RPL19;RPS17;RPL5;UBA52;RPS2;RPL13;RPS10;RPL18A;RPS23;RPS26;SPCS2;RPL4;RPL8;RPL29;RPL24;RPS19;RPL23;RPS3A;RPS20;RPS25;RPL30;RPS14;RPS8;RPLP2;RPL41;SRP14;RPS6;RPS15A;RPL14;RPS24;RPL15;RPS28;RPS29;RPL23A;RPL11;RPLP1;RPL22;RPS9;RPL39;RPLP0;RPL31;RPL28;RPL7;RPL13A;RPL6;RPL3;RPS3;RPS4X;RPL37;RPL21;RPSA;RPS15;RPS11;RPL34;RPS27;RPL27A;RPL7A
