Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
mitochondrial translation (GO:0032543),-0.21118041746105115,-1711.4825276717163,0.0,0.0,108,63,HARS2;MRPS30;MTERF3;MRPL15;MRPL10;MRPL35;MRPL17;MRPS25;MTIF2;GFM2;MRPS2;MRRF;MRPL32;MRPL21;MRPL49;MRPS10;MTRF1L;MRPS18C;MRPL41;MRPS33;MRPL50;MRPL57;MRPS31;MRPL47;MRPL39;MRPS11;MRPS22;HARS;MRPS23;GATC;ERAL1;MRPL34;MRPL46;MRPS16;MRPS5;MRPL2;MRPL42;RARS2;MRPL20;MRPS12;MRPL40;MRPL33;MRPS6;MRPL22;MRPL55;CHCHD1;TSFM;MRPL24;MRPL12;MRPL3;DAP3;MRPL37;MRPL4;MTIF3;MRPS36;MRPL1;MRPS18B;MRPL27;AURKAIP1;MRPL43;MRPL14;MRPL13;MRPS21,MRPL17;MRPS25;MTIF2;GFM2;MRPS2;MRRF;MRPL32;MRPL21;MRPL49;MRPS10;MTRF1L;MRPS18C;MRPL41;MRPS33;MRPL50;MRPL57;MRPS31;MRPL47;MRPL39;MRPS11;MRPS22;HARS;MRPS23;GATC;ERAL1;MRPL34;MRPL46;MRPS16;MRPS5;MRPL2;MRPL42;RARS2;MRPL20;MRPS12;MRPL40;MRPL33;MRPS6;MRPL22;MRPL55;CHCHD1;TSFM;MRPL24;MRPL12;MRPL3;DAP3;MRPL37;MRPL4;MTIF3;MRPS36;MRPL1;MRPS18B;MRPL27;AURKAIP1;MRPL43;MRPL14;MRPL13;MRPS21
mitochondrial translational elongation (GO:0070125),-0.27911431847724943,-2550.5487155503356,0.0,0.0,88,53,MRPS30;MRPL15;MRPL10;MRPL35;MRPL17;MRPS25;MRPS2;MRPL32;MRPL21;MRPL49;MRPS10;MRPS18C;MRPL41;MRPS33;MRPL50;MRPL57;MRPS31;MRPL47;MRPL39;MRPS11;MRPS22;MRPS23;ERAL1;MRPL34;MRPL46;MRPS16;MRPS5;MRPL2;MRPL42;MRPL20;MRPS12;MRPL40;MRPL33;MRPS6;MRPL22;MRPL55;CHCHD1;TSFM;MRPL24;MRPL12;MRPL3;DAP3;MRPL37;MRPL4;MRPS36;MRPL1;MRPS18B;MRPL27;AURKAIP1;MRPL43;MRPL14;MRPL13;MRPS21,MRPS18C;MRPL41;MRPS33;MRPL50;MRPL57;MRPS31;MRPL47;MRPL39;MRPS11;MRPS22;MRPS23;ERAL1;MRPL34;MRPL46;MRPS16;MRPS5;MRPL2;MRPL42;MRPL20;MRPS12;MRPL40;MRPL33;MRPS6;MRPL22;MRPL55;CHCHD1;TSFM;MRPL24;MRPL12;MRPL3;DAP3;MRPL37;MRPL4;MRPS36;MRPL1;MRPS18B;MRPL27;AURKAIP1;MRPL43;MRPL14;MRPL13;MRPS21
mitochondrial translational termination (GO:0070126),-0.25957807315694365,-3813.005401313368,0.0,0.0,90,55,MRPS30;MRPL15;MRPL10;MRPL35;MRPL17;MRPS25;GFM2;MRPS2;MRRF;MRPL32;MRPL21;MRPL49;MRPS10;MTRF1L;MRPS18C;MRPL41;MRPS33;MRPL50;MRPL57;MRPS31;MRPL47;MRPL39;MRPS11;MRPS22;MRPS23;ERAL1;MRPL34;MRPL46;MRPS16;MRPS5;MRPL2;MRPL42;MRPL20;MRPS12;MRPL40;MRPL33;MRPS6;MRPL22;MRPL55;CHCHD1;MRPL24;MRPL12;MRPL3;DAP3;MRPL37;MRPL4;MRPS36;MRPL1;MRPS18B;MRPL27;AURKAIP1;MRPL43;MRPL14;MRPL13;MRPS21,MRPL17;MRPS25;GFM2;MRPS2;MRRF;MRPL32;MRPL21;MRPL49;MRPS10;MTRF1L;MRPS18C;MRPL41;MRPS33;MRPL50;MRPL57;MRPS31;MRPL47;MRPL39;MRPS11;MRPS22;MRPS23;ERAL1;MRPL34;MRPL46;MRPS16;MRPS5;MRPL2;MRPL42;MRPL20;MRPS12;MRPL40;MRPL33;MRPS6;MRPL22;MRPL55;CHCHD1;MRPL24;MRPL12;MRPL3;DAP3;MRPL37;MRPL4;MRPS36;MRPL1;MRPS18B;MRPL27;AURKAIP1;MRPL43;MRPL14;MRPL13;MRPS21
regulation of mRNA stability (GO:0043488),-0.1644820995699396,-1473.692326951475,0.0,0.0,129,49,E2F1;EXOSC9;CIRBP;EXOSC2;METTL3;DCP1A;EXOSC3;FASTKD3;PSMD5;PSME3;RC3H1;EXOSC8;EXOSC5;FMR1;TBRG4;DCP2;PSMD14;YTHDF2;PSMD9;KHSRP;ZC3H14;DIS3;EXOSC4;PSMA1;EXOSC1;GIGYF2;PSMA5;PSMD7;IGF2BP2;TNPO1;PCID2;PSMC2;PAIP1;HNRNPU;PSMC5;PSMD12;PSMF1;PSMD11;EXOSC7;PSMD6;ELAVL1;PSMD1;YWHAB;PSMD4;HNRNPD;PSMA4;PSMA7;SERBP1;NPM1,CIRBP;EXOSC2;METTL3;DCP1A;EXOSC3;FASTKD3;PSMD5;PSME3;RC3H1;EXOSC8;EXOSC5;FMR1;TBRG4;DCP2;PSMD14;YTHDF2;PSMD9;KHSRP;ZC3H14;DIS3;EXOSC4;PSMA1;EXOSC1;GIGYF2;PSMA5;PSMD7;IGF2BP2;TNPO1;PCID2;PSMC2;PAIP1;HNRNPU;PSMC5;PSMD12;PSMF1;PSMD11;EXOSC7;PSMD6;ELAVL1;PSMD1;YWHAB;PSMD4;HNRNPD;PSMA4;PSMA7;SERBP1;NPM1
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",-0.12514983894535736,inf,,0.0,237,118,PRPF3;ZCCHC8;RBMX2;UPF3B;PPIL3;PSPC1;CWC25;SNRNP48;GTF2F2;TFIP11;PRPF19;BUD31;DBR1;METTL3;SLU7;BCAS2;PHF5A;CPSF4;HTATSF1;SMNDC1;RBM22;ZMAT5;NCBP1;FIP1L1;CSTF2T;DDX42;PRPF4;POLR2D;CRNKL1;ZRSR2;POLR2C;SRSF7;SART3;WBP4;BUD13;SRSF3;PDCD7;WDR33;CDC5L;CPSF7;ISY1;SNW1;SF3A3;PPIE;PQBP1;SNRNP27;LSM8;POLR2G;MAGOHB;DHX32;CSTF1;CPSF3;SRSF10;PPIL1;CDC40;U2AF2;PRPF38A;SF3B4;SRSF11;SF3B2;POLR2H;CSTF2;FRG1;XAB2;SNU13;POLR2A;DDX39A;CSTF3;SYNCRIP;HNRNPF;PLRG1;GEMIN6;DDX41;PTBP1;NCBP2;EFTUD2;GTF2F1;SYF2;SRRM2;SNRPB2;POLR2I;RBM17;CLP1;CCAR1;EIF4A3;TRA2A;GEMIN7;SNRNP40;SART1;HNRNPU;POLR2E;PRCC;PUF60;SPEN;RNPS1;SF3B6;WBP11;SRRM1;PPIH;PRPF40A;NONO;POLR2K;U2SURP;ELAVL1;DDX46;CWC22;LSM4;LSM3;SNRNP70;SNRPD1;HNRNPK;HNRNPD;SNRPG;SNRPE;SNRPF;RALY;PCBP1;HNRNPA3,SLU7;BCAS2;PHF5A;CPSF4;HTATSF1;SMNDC1;RBM22;ZMAT5;NCBP1;FIP1L1;CSTF2T;DDX42;PRPF4;POLR2D;CRNKL1;ZRSR2;POLR2C;SRSF7;SART3;WBP4;BUD13;SRSF3;PDCD7;WDR33;CDC5L;CPSF7;ISY1;SNW1;SF3A3;PPIE;PQBP1;SNRNP27;LSM8;POLR2G;MAGOHB;DHX32;CSTF1;CPSF3;SRSF10;PPIL1;CDC40;U2AF2;PRPF38A;SF3B4;SRSF11;SF3B2;POLR2H;CSTF2;FRG1;XAB2;SNU13;POLR2A;DDX39A;CSTF3;SYNCRIP;HNRNPF;PLRG1;GEMIN6;DDX41;PTBP1;NCBP2;EFTUD2;GTF2F1;SYF2;SRRM2;SNRPB2;POLR2I;RBM17;CLP1;CCAR1;EIF4A3;TRA2A;GEMIN7;SNRNP40;SART1;HNRNPU;POLR2E;PRCC;PUF60;SPEN;RNPS1;SF3B6;WBP11;SRRM1;PPIH;PRPF40A;NONO;POLR2K;U2SURP;ELAVL1;DDX46;CWC22;LSM4;LSM3;SNRNP70;SNRPD1;HNRNPK;HNRNPD;SNRPG;SNRPE;SNRPF;RALY;PCBP1;HNRNPA3
mRNA processing (GO:0006397),-0.07705202249481986,inf,,0.0,284,145,ERN1;SARNP;PRPF3;ZCCHC8;RBMX2;THOC2;UPF3B;PPIL3;PSPC1;CDK7;CWC25;SNRNP48;GTF2F2;CCNH;TFIP11;GEMIN2;PRPF19;BUD31;DBR1;METTL3;FAM103A1;SLU7;BCAS2;PHF5A;CPSF4;KIN;HTATSF1;SMNDC1;RBM22;ZMAT5;NCBP1;FIP1L1;CSTF2T;AKAP8L;DDX42;PRPF4;POLR2D;POLDIP3;CRNKL1;PRPF18;ZRSR2;POLR2C;GTF2H2;SRSF7;SART3;WBP4;BUD13;SRSF3;PDCD7;WDR33;MNAT1;TBRG4;CDC5L;CPSF7;ISY1;SNW1;GTF2H1;SF3A3;PPIE;PQBP1;SNRNP27;CHTOP;LSM8;POLR2G;MAGOHB;DHX32;SON;ERCC3;CSTF1;RNMT;CPSF3;SRSF10;PPIL1;CDC40;U2AF2;PRPF38A;SF3B4;SRSF11;SF3B2;POLR2H;CSTF2;FRG1;XAB2;SNU13;CELF1;POLR2A;DDX39A;CSTF3;SYNCRIP;HNRNPF;PLRG1;GEMIN6;DDX41;PTBP1;NCBP2;EFTUD2;GTF2F1;SYF2;SRRM2;SNRPB2;POLR2I;GTF2H5;RBM17;THOC3;CLP1;THOC1;CCAR1;EIF4A3;TRA2A;GEMIN7;SNRNP40;SART1;HNRNPU;POLR2E;PRCC;PUF60;SPEN;RNPS1;GTF2H3;SF3B6;WBP11;SRRM1;PPIH;PRPF40A;NONO;POLR2K;SCAF11;U2SURP;ELAVL1;DDX46;CWC22;THOC6;LSM4;LSM3;SNRNP70;SNRPD1;HNRNPK;HNRNPD;SNRPG;AURKAIP1;SNRPE;SNRPF;RALY;PCBP1;HNRNPA3,GTF2F2;CCNH;TFIP11;GEMIN2;PRPF19;BUD31;DBR1;METTL3;FAM103A1;SLU7;BCAS2;PHF5A;CPSF4;KIN;HTATSF1;SMNDC1;RBM22;ZMAT5;NCBP1;FIP1L1;CSTF2T;AKAP8L;DDX42;PRPF4;POLR2D;POLDIP3;CRNKL1;PRPF18;ZRSR2;POLR2C;GTF2H2;SRSF7;SART3;WBP4;BUD13;SRSF3;PDCD7;WDR33;MNAT1;TBRG4;CDC5L;CPSF7;ISY1;SNW1;GTF2H1;SF3A3;PPIE;PQBP1;SNRNP27;CHTOP;LSM8;POLR2G;MAGOHB;DHX32;SON;ERCC3;CSTF1;RNMT;CPSF3;SRSF10;PPIL1;CDC40;U2AF2;PRPF38A;SF3B4;SRSF11;SF3B2;POLR2H;CSTF2;FRG1;XAB2;SNU13;CELF1;POLR2A;DDX39A;CSTF3;SYNCRIP;HNRNPF;PLRG1;GEMIN6;DDX41;PTBP1;NCBP2;EFTUD2;GTF2F1;SYF2;SRRM2;SNRPB2;POLR2I;GTF2H5;RBM17;THOC3;CLP1;THOC1;CCAR1;EIF4A3;TRA2A;GEMIN7;SNRNP40;SART1;HNRNPU;POLR2E;PRCC;PUF60;SPEN;RNPS1;GTF2H3;SF3B6;WBP11;SRRM1;PPIH;PRPF40A;NONO;POLR2K;SCAF11;U2SURP;ELAVL1;DDX46;CWC22;THOC6;LSM4;LSM3;SNRNP70;SNRPD1;HNRNPK;HNRNPD;SNRPG;AURKAIP1;SNRPE;SNRPF;RALY;PCBP1;HNRNPA3
"mRNA splicing, via spliceosome (GO:0000398)",-0.06437153281609005,inf,,0.0,262,130,RNF113A;TXNL4B;PRPF3;ZCCHC8;RBMX2;DDX20;UPF3B;PPIL3;PSPC1;TGS1;CWC25;SNRNP48;GTF2F2;TFIP11;GEMIN2;PRPF19;BUD31;DBR1;METTL3;PRMT7;SLU7;BCAS2;PHF5A;CPSF4;HTATSF1;SMNDC1;RBM22;ZMAT5;NCBP1;FIP1L1;CSTF2T;DDX42;PRPF4;POLR2D;CRNKL1;ZRSR2;POLR2C;SRSF7;SART3;WBP4;BUD13;SRSF3;PDCD7;WDR33;WDR77;CDC5L;CPSF7;ISY1;SNW1;SF3A3;PPIE;PQBP1;SNRNP27;LSM8;POLR2G;MAGOHB;PRMT5;DHX32;CSTF1;CPSF3;SRSF10;PPIL1;CDC40;U2AF2;PRPF38A;SF3B4;SRSF11;SF3B2;POLR2H;CSTF2;FRG1;XAB2;SNU13;POLR2A;DDX39A;CSTF3;SYNCRIP;HNRNPF;PLRG1;GEMIN6;DDX41;PTBP1;SRPK2;NCBP2;EFTUD2;GTF2F1;SYF2;SRRM2;SNRPB2;POLR2I;RBM17;CLP1;CCAR1;EIF4A3;TRA2A;GEMIN7;SNRNP40;SART1;HNRNPU;POLR2E;PRCC;PUF60;SPEN;RNPS1;SF3B6;WBP11;SRRM1;PPIH;PRPF40A;NONO;POLR2K;SCAF11;U2SURP;ELAVL1;DDX46;CWC22;LSM4;LSM3;SNRNP70;SNRPD1;HNRNPK;HNRNPD;SNRPG;SNRPE;SNRPF;RALY;STRAP;PCBP1;CLNS1A;HNRNPA3,PPIL3;PSPC1;TGS1;CWC25;SNRNP48;GTF2F2;TFIP11;GEMIN2;PRPF19;BUD31;DBR1;METTL3;PRMT7;SLU7;BCAS2;PHF5A;CPSF4;HTATSF1;SMNDC1;RBM22;ZMAT5;NCBP1;FIP1L1;CSTF2T;DDX42;PRPF4;POLR2D;CRNKL1;ZRSR2;POLR2C;SRSF7;SART3;WBP4;BUD13;SRSF3;PDCD7;WDR33;WDR77;CDC5L;CPSF7;ISY1;SNW1;SF3A3;PPIE;PQBP1;SNRNP27;LSM8;POLR2G;MAGOHB;PRMT5;DHX32;CSTF1;CPSF3;SRSF10;PPIL1;CDC40;U2AF2;PRPF38A;SF3B4;SRSF11;SF3B2;POLR2H;CSTF2;FRG1;XAB2;SNU13;POLR2A;DDX39A;CSTF3;SYNCRIP;HNRNPF;PLRG1;GEMIN6;DDX41;PTBP1;SRPK2;NCBP2;EFTUD2;GTF2F1;SYF2;SRRM2;SNRPB2;POLR2I;RBM17;CLP1;CCAR1;EIF4A3;TRA2A;GEMIN7;SNRNP40;SART1;HNRNPU;POLR2E;PRCC;PUF60;SPEN;RNPS1;SF3B6;WBP11;SRRM1;PPIH;PRPF40A;NONO;POLR2K;SCAF11;U2SURP;ELAVL1;DDX46;CWC22;LSM4;LSM3;SNRNP70;SNRPD1;HNRNPK;HNRNPD;SNRPG;SNRPE;SNRPF;RALY;STRAP;PCBP1;CLNS1A;HNRNPA3
modification-dependent protein catabolic process (GO:0019941),-0.16100899404614882,inf,,0.0,142,57,DTL;CDC23;UHRF1;TAF1;RNF40;TRPC4AP;BFAR;FBXO11;FBXO45;UBL4A;RCHY1;UBE2H;NEDD4L;CDC34;ARIH1;RNF144B;RNF126;RNF34;RANBP2;SQSTM1;FBXO8;NPLOC4;RNF8;ADRM1;COPS3;PSMD14;UBE2E1;TOLLIP;FBXO22;RNF6;ARIH2;PSMD9;SMURF2;XBP1;RNF20;UBE2D3;UBE2D1;ARRDC1;ISG15;UBE2K;UBE2G2;PPP1R11;TOPORS;UBE2B;FBXO7;UBE2R2;UBE2A;RNF11;UBA6;PSMC2;PSMF1;UBE2D2;PSMD11;RNF168;STUB1;UBE2C;RANBP1,CDC23;UHRF1;TAF1;RNF40;TRPC4AP;BFAR;FBXO11;FBXO45;UBL4A;RCHY1;UBE2H;NEDD4L;CDC34;ARIH1;RNF144B;RNF126;RNF34;RANBP2;SQSTM1;FBXO8;NPLOC4;RNF8;ADRM1;COPS3;PSMD14;UBE2E1;TOLLIP;FBXO22;RNF6;ARIH2;PSMD9;SMURF2;XBP1;RNF20;UBE2D3;UBE2D1;ARRDC1;ISG15;UBE2K;UBE2G2;PPP1R11;TOPORS;UBE2B;FBXO7;UBE2R2;UBE2A;RNF11;UBA6;PSMC2;PSMF1;UBE2D2;PSMD11;RNF168;STUB1;UBE2C;RANBP1
neutrophil activation involved in immune response (GO:0002283),-0.0898888198759155,inf,,0.0,484,89,CXCL1;RAP2C;ATAD3B;TRPM2;DSN1;SLC15A4;YPEL5;PLAU;GLIPR1;CD68;CYSTM1;SERPINB1;GYG1;DNAJC5;ITGAV;GLA;NFKB1;ATG7;KCMF1;CD58;DEGS1;CD44;AGA;STXBP3;ATP6V1D;IMPDH2;PRSS3;NEU1;CCT8;CD55;PA2G4;AP1M1;VAMP7;SNAP29;PSMD14;PPIE;TOLLIP;CEP290;PTPN6;HMOX2;PYGB;PNP;GOLGA7;TCIRG1;RAB10;COMMD3;GCA;PTGES2;RHOG;MAPK1;DYNC1LI1;TMEM179B;DGAT1;CFD;DBNL;ROCK1;PAFAH1B2;RAP1B;RHOF;COPB1;PSMA5;ACAA1;DYNLL1;KPNB1;CCT2;PSMD7;RAB6A;CSNK2B;COTL1;RAB14;QSOX1;PSMC2;GDI2;ACTR10;RAB18;PSMD12;PSMD11;TMBIM1;CD47;PSMD6;LGALS3;PSMD1;FUCA2;SPTAN1;AGPAT2;XRCC5;RHOA;CD59;RAC1,DSN1;SLC15A4;YPEL5;PLAU;GLIPR1;CD68;CYSTM1;SERPINB1;GYG1;DNAJC5;ITGAV;GLA;NFKB1;ATG7;KCMF1;CD58;DEGS1;CD44;AGA;STXBP3;ATP6V1D;IMPDH2;PRSS3;NEU1;CCT8;CD55;PA2G4;AP1M1;VAMP7;SNAP29;PSMD14;PPIE;TOLLIP;CEP290;PTPN6;HMOX2;PYGB;PNP;GOLGA7;TCIRG1;RAB10;COMMD3;GCA;PTGES2;RHOG;MAPK1;DYNC1LI1;TMEM179B;DGAT1;CFD;DBNL;ROCK1;PAFAH1B2;RAP1B;RHOF;COPB1;PSMA5;ACAA1;DYNLL1;KPNB1;CCT2;PSMD7;RAB6A;CSNK2B;COTL1;RAB14;QSOX1;PSMC2;GDI2;ACTR10;RAB18;PSMD12;PSMD11;TMBIM1;CD47;PSMD6;LGALS3;PSMD1;FUCA2;SPTAN1;AGPAT2;XRCC5;RHOA;CD59;RAC1
neutrophil degranulation (GO:0043312),-0.0898888198759155,inf,,0.0,480,89,CXCL1;RAP2C;ATAD3B;TRPM2;DSN1;SLC15A4;YPEL5;PLAU;GLIPR1;CD68;CYSTM1;SERPINB1;GYG1;DNAJC5;ITGAV;GLA;NFKB1;ATG7;KCMF1;CD58;DEGS1;CD44;AGA;STXBP3;ATP6V1D;IMPDH2;PRSS3;NEU1;CCT8;CD55;PA2G4;AP1M1;VAMP7;SNAP29;PSMD14;PPIE;TOLLIP;CEP290;PTPN6;HMOX2;PYGB;PNP;GOLGA7;TCIRG1;RAB10;COMMD3;GCA;PTGES2;RHOG;MAPK1;DYNC1LI1;TMEM179B;DGAT1;CFD;DBNL;ROCK1;PAFAH1B2;RAP1B;RHOF;COPB1;PSMA5;ACAA1;DYNLL1;KPNB1;CCT2;PSMD7;RAB6A;CSNK2B;COTL1;RAB14;QSOX1;PSMC2;GDI2;ACTR10;RAB18;PSMD12;PSMD11;TMBIM1;CD47;PSMD6;LGALS3;PSMD1;FUCA2;SPTAN1;AGPAT2;XRCC5;RHOA;CD59;RAC1,DSN1;SLC15A4;YPEL5;PLAU;GLIPR1;CD68;CYSTM1;SERPINB1;GYG1;DNAJC5;ITGAV;GLA;NFKB1;ATG7;KCMF1;CD58;DEGS1;CD44;AGA;STXBP3;ATP6V1D;IMPDH2;PRSS3;NEU1;CCT8;CD55;PA2G4;AP1M1;VAMP7;SNAP29;PSMD14;PPIE;TOLLIP;CEP290;PTPN6;HMOX2;PYGB;PNP;GOLGA7;TCIRG1;RAB10;COMMD3;GCA;PTGES2;RHOG;MAPK1;DYNC1LI1;TMEM179B;DGAT1;CFD;DBNL;ROCK1;PAFAH1B2;RAP1B;RHOF;COPB1;PSMA5;ACAA1;DYNLL1;KPNB1;CCT2;PSMD7;RAB6A;CSNK2B;COTL1;RAB14;QSOX1;PSMC2;GDI2;ACTR10;RAB18;PSMD12;PSMD11;TMBIM1;CD47;PSMD6;LGALS3;PSMD1;FUCA2;SPTAN1;AGPAT2;XRCC5;RHOA;CD59;RAC1
