Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886),-0.2175580733150727,-1477.0170728759451,0.0,0.0,98,47,KLC2;DCTN5;AP1S1;DYNC1LI1;AP1B1;KIF22;SAR1B;AP1M1;ACTR1A;HLA-DPB1;CTSL;KIFAP3;DYNLL2;AP2S1;AP2M1;DNM2;CENPE;KIF2C;KIF23;CLTC;CAPZA1;DYNLL1;KLC1;RAB7A;KIF4A;DCTN6;AP2B1;KIF11;CAPZB;RACGAP1;ACTR1B;KIF15;KIF3A;DYNC1I2;ARF1;AP1M2;CD74;DCTN3;SEC13;CAPZA2;AP1G1;KIF2A;CLTA;AP1S2;KIF18A;DCTN1;AP2A1,AP1S1;DYNC1LI1;AP1B1;KIF22;SAR1B;AP1M1;ACTR1A;HLA-DPB1;CTSL;KIFAP3;DYNLL2;AP2S1;AP2M1;DNM2;CENPE;KIF2C;KIF23;CLTC;CAPZA1;DYNLL1;KLC1;RAB7A;KIF4A;DCTN6;AP2B1;KIF11;CAPZB;RACGAP1;ACTR1B;KIF15;KIF3A;DYNC1I2;ARF1;AP1M2;CD74;DCTN3;SEC13;CAPZA2;AP1G1;KIF2A;CLTA;AP1S2;KIF18A;DCTN1;AP2A1
antigen processing and presentation of exogenous peptide antigen (GO:0002478),-0.2175580733150727,inf,,0.0,98,47,KLC2;DCTN5;AP1S1;DYNC1LI1;AP1B1;KIF22;SAR1B;AP1M1;ACTR1A;HLA-DPB1;CTSL;KIFAP3;DYNLL2;AP2S1;AP2M1;DNM2;CENPE;KIF2C;KIF23;CLTC;CAPZA1;DYNLL1;KLC1;RAB7A;KIF4A;DCTN6;AP2B1;KIF11;CAPZB;RACGAP1;ACTR1B;KIF15;KIF3A;DYNC1I2;ARF1;AP1M2;CD74;DCTN3;SEC13;CAPZA2;AP1G1;KIF2A;CLTA;AP1S2;KIF18A;DCTN1;AP2A1,AP1S1;DYNC1LI1;AP1B1;KIF22;SAR1B;AP1M1;ACTR1A;HLA-DPB1;CTSL;KIFAP3;DYNLL2;AP2S1;AP2M1;DNM2;CENPE;KIF2C;KIF23;CLTC;CAPZA1;DYNLL1;KLC1;RAB7A;KIF4A;DCTN6;AP2B1;KIF11;CAPZB;RACGAP1;ACTR1B;KIF15;KIF3A;DYNC1I2;ARF1;AP1M2;CD74;DCTN3;SEC13;CAPZA2;AP1G1;KIF2A;CLTA;AP1S2;KIF18A;DCTN1;AP2A1
antigen processing and presentation of peptide antigen via MHC class II (GO:0002495),-0.2175580733150727,inf,,0.0,99,47,KLC2;DCTN5;AP1S1;DYNC1LI1;AP1B1;KIF22;SAR1B;AP1M1;ACTR1A;HLA-DPB1;CTSL;KIFAP3;DYNLL2;AP2S1;AP2M1;DNM2;CENPE;KIF2C;KIF23;CLTC;CAPZA1;DYNLL1;KLC1;RAB7A;KIF4A;DCTN6;AP2B1;KIF11;CAPZB;RACGAP1;ACTR1B;KIF15;KIF3A;DYNC1I2;ARF1;AP1M2;CD74;DCTN3;SEC13;CAPZA2;AP1G1;KIF2A;CLTA;AP1S2;KIF18A;DCTN1;AP2A1,AP1S1;DYNC1LI1;AP1B1;KIF22;SAR1B;AP1M1;ACTR1A;HLA-DPB1;CTSL;KIFAP3;DYNLL2;AP2S1;AP2M1;DNM2;CENPE;KIF2C;KIF23;CLTC;CAPZA1;DYNLL1;KLC1;RAB7A;KIF4A;DCTN6;AP2B1;KIF11;CAPZB;RACGAP1;ACTR1B;KIF15;KIF3A;DYNC1I2;ARF1;AP1M2;CD74;DCTN3;SEC13;CAPZA2;AP1G1;KIF2A;CLTA;AP1S2;KIF18A;DCTN1;AP2A1
ribosome assembly (GO:0042255),0.6888737947058027,2.039639310228046,0.0,0.0016197807264349646,57,28,RRS1;BOP1;NLE1;MRTO4;C1QBP;RPF2;NOP2;PPAN;RRP7A;MDN1;BRIX1;MPV17L2;SBDS;MRPL20;MTERF3;EIF6;WDR18;MRPS7;ERAL1;MRPL11;RPF1;MRPS11;NPM1;EIF2A;MTERF4;RPL12;DDX3X;RPS5,RRS1;BOP1;NLE1;MRTO4;C1QBP;RPF2;NOP2;PPAN;RRP7A;MDN1;BRIX1;MPV17L2;SBDS;MRPL20;MTERF3;EIF6;WDR18;MRPS7
regulation of telomerase RNA localization to Cajal body (GO:1904872),0.7111436133472411,2.022975522285117,0.0,0.0017007697627567126,18,17,CCT6A;RUVBL1;CCT5;DKC1;CCT7;CCT2;RUVBL2;CCT4;NHP2;TCP1;CCT8;CCT3;NAF1;NOP10;EXOSC10;PARN;DCP2,CCT6A;RUVBL1;CCT5;DKC1;CCT7;CCT2;RUVBL2;CCT4;NHP2;TCP1;CCT8;CCT3;NAF1
ribosomal large subunit assembly (GO:0000027),0.7075965279191105,1.9728695771057063,0.0,0.003887473743443915,31,17,RRS1;BOP1;NLE1;MRTO4;RPF2;NOP2;PPAN;MDN1;BRIX1;MRPL20;WDR18;MRPL11;RPF1;FASTKD2;DDX28;DHX30;RPL12,RRS1;BOP1;NLE1;MRTO4;RPF2;NOP2;PPAN;MDN1;BRIX1;MRPL20
ribosomal large subunit biogenesis (GO:0042273),0.6258941357696766,1.9405809013515996,0.0,0.007127035196313845,64,41,RRS1;BOP1;NOP16;NLE1;WDR74;MRTO4;PAK1IP1;RPF2;RRP15;NOP2;PPAN;EBNA1BP2;MAK16;SURF6;NIP7;MDN1;BRIX1;MRPL20;RSL1D1;PES1;NHP2;NOC2L;EIF6;MALSU1;WDR18;WDR12;SNU13;SDAD1;LAS1L;MRPL1;MRPL11;GTF3A;RPF1;RPL26L1;AAMP;ZNF622;NSA2;NPM1;WDR55;YAE1D1;RPL12,RRS1;BOP1;NOP16;NLE1;WDR74;MRTO4;PAK1IP1;RPF2;RRP15;NOP2;PPAN;EBNA1BP2;MAK16;SURF6;NIP7;MDN1;BRIX1;MRPL20;RSL1D1;PES1;NHP2;NOC2L;EIF6;MALSU1;WDR18;WDR12
regulation of cellular ketone metabolic process (GO:0010565),0.5975834032335385,1.8607445580100024,0.0,0.01241001233484019,62,45,PSMD1;PSMD14;PSMC4;PSME3;ODC1;PSMD11;PSMD13;PSMA7;PSMD12;PSMD3;PSMB6;PSMD2;PSMB2;PRKAG2;PSMD7;PSMD6;PSMB7;PSMA5;PSMB3;PSME2;PSMC2;PSMC3;PSMC5;PSMA2;PSMD8;PSMC6;PSMA1;PSMD9;FGFR4;PSMB1;PSMA3;PSMA4;PSMC1;PSMB4;PSMB5;NQO1;PSMD4;OAZ1;PSMF1;AZIN1;PSMD5;PSMA6;PANK2;SIRT5;PSME4,PSMD1;PSMD14;PSMC4;PSME3;ODC1;PSMD11;PSMD13;PSMA7;PSMD12;PSMD3;PSMB6;PSMD2;PSMB2;PRKAG2;PSMD7;PSMD6;PSMB7;PSMA5;PSMB3;PSME2;PSMC2;PSMC3;PSMC5;PSMA2;PSMD8;PSMC6;PSMA1;PSMD9;FGFR4;PSMB1;PSMA3;PSMA4;PSMC1;PSMB4;PSMB5
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972),0.6158123331184983,1.899950990972854,0.0,0.012773128014172864,63,45,PINX1;PSMD1;PSMD14;PSMC4;PSME3;PSMD11;PSMD13;PSMA7;AURKB;PSMD12;PSMD3;PSMB6;PSMD2;PSMB2;PSMD7;PSMD6;PSMB7;FHL1;PSMA5;PSMB3;PSME2;PSMC2;PSMC3;PSMC5;PSMA2;PSMD8;PSMC6;PSMA1;PSMD9;PSMB1;PSMA3;PSMA4;VPS4A;PSMC1;PSMB4;PSMB5;PSMD4;PSMF1;AURKA;RBX1;PSMD5;UBB;PSMA6;SKP1;PSME4,PINX1;PSMD1;PSMD14;PSMC4;PSME3;PSMD11;PSMD13;PSMA7;AURKB;PSMD12;PSMD3;PSMB6;PSMD2;PSMB2;PSMD7;PSMD6;PSMB7;FHL1;PSMA5;PSMB3;PSME2;PSMC2;PSMC3;PSMC5;PSMA2;PSMD8;PSMC6;PSMA1;PSMD9;PSMB1;PSMA3;PSMA4;VPS4A;PSMC1;PSMB4;PSMB5
regulation of cellular amino acid metabolic process (GO:0006521),0.6028753312139419,1.862837201803257,0.0,0.013120223884123214,52,41,PSMD1;PSMD14;PSMC4;PSME3;ODC1;PSMD11;PSMD13;PSMA7;PSMD12;PSMD3;PSMB6;PSMD2;PSMB2;PSMD7;PSMD6;PSMB7;PSMA5;PSMB3;PSME2;PSMC2;PSMC3;PSMC5;PSMA2;PSMD8;PSMC6;PSMA1;PSMD9;PSMB1;PSMA3;PSMA4;PSMC1;PSMB4;PSMB5;NQO1;PSMD4;OAZ1;PSMF1;AZIN1;PSMD5;PSMA6;PSME4,PSMD1;PSMD14;PSMC4;PSME3;ODC1;PSMD11;PSMD13;PSMA7;PSMD12;PSMD3;PSMB6;PSMD2;PSMB2;PSMD7;PSMD6;PSMB7;PSMA5;PSMB3;PSME2;PSMC2;PSMC3;PSMC5;PSMA2;PSMD8;PSMC6;PSMA1;PSMD9;PSMB1;PSMA3;PSMA4;PSMC1;PSMB4;PSMB5
