Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
cytoskeleton organization (GO:0007010),-0.7569982536158052,-7.023526245926654,0.0,0.0,127,20,LARP4;EZR;SH3KBP1;CNN2;PACSIN3;CFL1;JUP;LAMA5;RTKN2;TPM1;DST;PALLD;RHOBTB3;SYNE2;KLHL20;NEDD9;KRT13;KRT16;KRT4;PLCE1,JUP;LAMA5;RTKN2;TPM1;DST;PALLD;RHOBTB3;SYNE2;KLHL20;NEDD9;KRT13;KRT16;KRT4;PLCE1
epithelial cell differentiation (GO:0030855),-0.6571216774858466,-6.955603939312832,0.0,0.0,97,23,E2F4;CPT1A;PCNA;HNRNPH3;VDAC1;ANXA7;PGK1;EDF1;ACADVL;CBR1;TAGLN2;LGALS3;ANXA4;LAMA5;GSTK1;CDK1;AKR1C1;GATA3;AKR1C2;KRT4;UPK2;BMP4;ELF3,ANXA4;LAMA5;GSTK1;CDK1;AKR1C1;GATA3;AKR1C2;KRT4;UPK2;BMP4;ELF3
negative regulation of cell death (GO:0060548),-0.6982801634970007,-6.755612746838258,0.0,0.0,82,19,HSPA1B;PSMC5;TXNDC12;HSPA1A;NUP62;EIF4G1;PARK7;CHMP4B;BNIP3L;CYR61;SNCA;AMIGO2;CLU;SOX4;CTGF;AGR2;SORL1;GPNMB;BMP4,BNIP3L;CYR61;SNCA;AMIGO2;CLU;SOX4;CTGF;AGR2;SORL1;GPNMB;BMP4
protein targeting to ER (GO:0045047),-0.47035288883315773,-6.377852384786005,0.0,0.00022760146345613888,98,57,SRP72;SEC61A1;SRP19;SPCS1;MRPS12;RPL36A;RPL35;RPL7A;RPL27;RPL23;RPS13;RPL12;CHMP4B;RPL35A;RPS10;RPL36;RPL5;RPS27A;RPL24;SEC61G;RPS26;RPL38;RPL27A;SPCS2;RPL29;RPS18;RPS7;RPL37;RPS17;RPS14;RPL18;RPL19;RPL26;RPL32;RPS24;RPS25;RPL9;RPL7;RPL11;RPS5;RPL41;RPS8;RPS2;RPL10;RPS28;RPSA;RPL22;RPS19;RPS11;RPS4X;RPL15;RPLP1;RPLP2;RPL13A;RPS27;RPLP0;RPL6,MRPS12;RPL36A;RPL35;RPL7A;RPL27;RPL23;RPS13;RPL12;CHMP4B;RPL35A;RPS10;RPL36;RPL5;RPS27A;RPL24;SEC61G;RPS26;RPL38;RPL27A;SPCS2;RPL29;RPS18;RPS7;RPL37;RPS17;RPS14;RPL18;RPL19;RPL26;RPL32;RPS24;RPS25;RPL9;RPL7;RPL11;RPS5;RPL41;RPS8;RPS2;RPL10;RPS28;RPSA;RPL22;RPS19;RPS11;RPS4X;RPL15;RPLP1;RPLP2;RPL13A;RPS27;RPLP0;RPL6
SRP-dependent cotranslational protein targeting to membrane (GO:0006614),-0.5086410009772202,-6.41815913985758,0.0,0.0002845018293201736,90,55,SRP72;SEC61A1;SRP19;MRPS12;RPL36A;RPL35;SEC61B;RPL7A;RPL27;RPL23;RPS13;RPL12;RPL35A;RPS10;RPL36;RPL5;RPS27A;RPL24;RPS26;RPL38;RPL27A;RPL29;RPS18;RPS7;RPL37;RPS17;RPS14;RPL18;RPL19;RPL26;RPL32;RPS24;RPS25;RPL9;RPL7;RPL11;RPS5;RPL41;RPS8;RPS2;RPL10;RPS28;RPSA;RPL22;RPS19;RPS11;RPS4X;RPL15;RPLP1;RPLP2;RPL13A;RPS27;RPLP0;RPL6;ZFAND2B,MRPS12;RPL36A;RPL35;SEC61B;RPL7A;RPL27;RPL23;RPS13;RPL12;RPL35A;RPS10;RPL36;RPL5;RPS27A;RPL24;RPS26;RPL38;RPL27A;RPL29;RPS18;RPS7;RPL37;RPS17;RPS14;RPL18;RPL19;RPL26;RPL32;RPS24;RPS25;RPL9;RPL7;RPL11;RPS5;RPL41;RPS8;RPS2;RPL10;RPS28;RPSA;RPL22;RPS19;RPS11;RPS4X;RPL15;RPLP1;RPLP2;RPL13A;RPS27;RPLP0;RPL6;ZFAND2B
ribosome biogenesis (GO:0042254),0.4598237187215988,4.049195787486068,0.0,0.0009128987219417893,227,143,URB2;RRS1;LTV1;PNO1;NOP16;LYAR;UTP20;TSR1;WDR43;PAK1IP1;RRP9;MRTO4;DDX31;DKC1;NOLC1;EBNA1BP2;BOP1;RPF2;NOP58;WDR12;EXOSC6;ERI1;EXOSC2;RPP25;PDCD11;UTP14A;WDR3;SURF6;EXOSC3;WDR75;DCAF13;NOM1;EXOSC9;RPP40;RIOK1;IMP4;NOB1;NOP56;NOP14;NAF1;WDR36;NIP7;DDX56;UTP4;BYSL;NOL9;ABCE1;NOC2L;UTP3;UTP18;EIF6;SBDS;MRPL36;WDR74;BMS1;PES1;NOL8;NPM1;RRP1;LSG1;EMG1;FBL;MPHOSPH10;ISG20L2;GNL3;EXOSC4;ZNF622;RRP36;C1D;RAN;NOL11;RPP30;MALSU1;KRR1;WDR46;DDX49;DDX27;IMP3;SDAD1;UTP6;EXOSC1;RPF1;EXOSC8;GNL2;WDR18;DDX52;SNU13;RRP7A;EXOSC7;MRPS12;AAMP;RPL36A;RPL35;RPL26L1;POP4;RPL7A;RPL27;RPL23;EIF2A;RPS13;RPL12;RPL35A;RPS10;RPL36;RPL5;RPS27A;RPL24;RPS26;RPL38;RPL27A;RPL29;RPS18;RPS7;RPL37;RPS17;RPS14;RPL18;RPL19;RPL26;RPL32;RPS24;RPS25;RPL9;RPL7;RPL11;RPS5;RPL41;RPS8;RPS2;RPL10;RPS28;RPSA;RPL22;RPS19;RPS11;RPS4X;RPL15;RPLP1;RPLP2;RPL13A;RPS27;RPLP0;RPL6,URB2;RRS1;LTV1;PNO1;NOP16;LYAR;UTP20;TSR1;WDR43;PAK1IP1;RRP9;MRTO4;DDX31;DKC1;NOLC1;EBNA1BP2;BOP1;RPF2;NOP58;WDR12;EXOSC6;ERI1;EXOSC2;RPP25;PDCD11;UTP14A;WDR3;SURF6;EXOSC3;WDR75;DCAF13;NOM1;EXOSC9;RPP40;RIOK1;IMP4;NOB1;NOP56;NOP14;NAF1;WDR36;NIP7;DDX56;UTP4;BYSL;NOL9;ABCE1;NOC2L;UTP3;UTP18;EIF6;SBDS;MRPL36;WDR74;BMS1;PES1;NOL8;NPM1;RRP1;LSG1;EMG1;FBL;MPHOSPH10;ISG20L2;GNL3;EXOSC4
rRNA metabolic process (GO:0016072),0.4491610999034994,3.819608201429568,0.0,0.0022822468048544734,201,121,LTV1;PNO1;LYAR;UTP20;TSR1;WDR43;CD3EAP;RRP9;MRTO4;DKC1;NIFK;NOLC1;EBNA1BP2;BOP1;NOP58;WDR12;EXOSC6;ERI1;EXOSC2;RPP25;PDCD11;UTP14A;WDR3;EXOSC3;WDR75;DCAF13;EXOSC9;RPP40;RIOK1;IMP4;NOB1;NOP56;NOP14;WDR36;DDX56;UTP4;BYSL;NOL9;UTP3;UTP18;SBDS;BMS1;PES1;NOL8;RRP1;EMG1;FBL;MPHOSPH10;ISG20L2;EXOSC4;RRP36;C1D;SIRT7;NOL11;RPP30;KRR1;WDR46;DDX49;DDX27;IMP3;UTP6;EXOSC1;RPF1;EXOSC8;MARS;WDR18;DDX52;SNU13;RRP7A;EXOSC7;MRPS12;RPL36A;RPL35;POP4;RPL7A;RPL27;RPL23;RPS13;RPL12;RPL35A;RPS10;RPL36;RPL5;RPS27A;RPL24;RPS26;RPL38;RPL27A;RPL29;RPS18;RPS7;RPL37;RPS17;RPS14;RPL18;RPL19;RPL26;RPL32;RPS24;RPS25;RPL9;RPL7;RPL11;RPS5;RPL41;RPS8;RPS2;RPL10;RPS28;RPSA;RPL22;RPS19;RPS11;RPS4X;RPL15;RPLP1;RPLP2;RPL13A;RPS27;RPLP0;RPL6,LTV1;PNO1;LYAR;UTP20;TSR1;WDR43;CD3EAP;RRP9;MRTO4;DKC1;NIFK;NOLC1;EBNA1BP2;BOP1;NOP58;WDR12;EXOSC6;ERI1;EXOSC2;RPP25;PDCD11;UTP14A;WDR3;EXOSC3;WDR75;DCAF13;EXOSC9;RPP40;RIOK1;IMP4;NOB1;NOP56;NOP14;WDR36;DDX56;UTP4;BYSL;NOL9
ncRNA processing (GO:0034470),0.43634028370950356,3.681900185893156,0.0,0.003651594887767157,228,125,LTV1;PNO1;LYAR;UTP20;TSR1;WDR43;RRP9;MRTO4;DKC1;NOLC1;EBNA1BP2;BOP1;NOP58;WDR12;EXOSC6;ERI1;EXOSC2;RPP25;PDCD11;UTP14A;WDR3;POP1;EXOSC3;WDR75;DCAF13;EXOSC9;RPP40;RIOK1;INTS10;IMP4;NOB1;NOP56;SSB;NOP14;WDR36;DDX56;UTP4;BYSL;NOL9;UTP3;UTP18;SBDS;BMS1;PES1;NOL8;RRP1;EMG1;FBL;MPHOSPH10;ISG20L2;EXOSC4;RRP36;C1D;POP7;NOL11;RPP30;AGO2;KRR1;WDR46;HNRNPA2B1;DDX49;SRRT;DDX27;IMP3;UTP6;EXOSC1;RPF1;EXOSC8;KARS;WDR18;DDX52;SNU13;RRP7A;EXOSC7;MRPS12;RPL36A;RPL35;POP4;RPL7A;RPL27;RPL23;RPS13;RPL12;RPL35A;RPS10;RPL36;RPL5;RPS27A;RPL24;RPS26;RPL38;RPL27A;RPL29;RPS18;RPS7;RPL37;RPS17;RPS14;RPL18;RPL19;RPL26;RPL32;RPS24;RPS25;RPL9;RPL7;RPL11;RPS5;RPL41;RPS8;RPS2;RPL10;RPS28;RPSA;RPL22;RPS19;RPS11;RPS4X;RPL15;RPLP1;RPLP2;RPL13A;RPS27;RPLP0;RPL6,LTV1;PNO1;LYAR;UTP20;TSR1;WDR43;RRP9;MRTO4;DKC1;NOLC1;EBNA1BP2;BOP1;NOP58;WDR12;EXOSC6;ERI1;EXOSC2;RPP25;PDCD11;UTP14A;WDR3;POP1;EXOSC3;WDR75;DCAF13;EXOSC9;RPP40;RIOK1;INTS10;IMP4;NOB1;NOP56;SSB;NOP14;WDR36;DDX56;UTP4;BYSL;NOL9
rRNA processing (GO:0006364),0.42169582277602524,3.600214004232034,0.0,0.006162066373107078,203,129,LTV1;PNO1;LYAR;UTP20;TSR1;WDR43;MAK16;RRP9;MRTO4;DKC1;NOLC1;EBNA1BP2;BOP1;NAT10;NOP58;WDR12;EXOSC6;ERI1;EXOSC2;RPP25;PDCD11;UTP14A;WDR3;EXOSC3;WDR75;DCAF13;EXOSC9;RPP40;RIOK1;RRP15;IMP4;NOB1;NOP56;NOP14;WDR36;DDX56;UTP4;BYSL;NOL9;UTP3;UTP18;EIF6;SBDS;BMS1;RSL1D1;PES1;NOL8;NSA2;RRP1;EMG1;FBL;MPHOSPH10;ISG20L2;EXOSC4;SART1;RRP36;C1D;NOL11;RPP30;KRR1;LSM6;SRFBP1;MRPL1;WDR46;DDX49;NOP2;DDX27;IMP3;NHP2;UTP6;EXOSC1;RPF1;EXOSC8;WDR18;DDX52;SNU13;RRP7A;EXOSC7;MRPS12;RPL36A;RPL35;POP4;RPL7A;RPL27;RPL23;RPS13;RPL12;RPL35A;RPS10;RPL36;RPL5;RPS27A;RPL24;RPS26;RPL38;RPL27A;RPL29;RPS18;RPS7;RPL37;RPS17;RPS14;RPL18;RPL19;RPL26;RPL32;RPS24;RPS25;RPL9;RPL7;RPL11;RPS5;RPL41;RPS8;RPS2;RPL10;RPS28;RPSA;RPL22;RPS19;RPS11;RPS4X;RPL15;RPLP1;RPLP2;RPL13A;RPS27;RPLP0;RPL6,LTV1;PNO1;LYAR;UTP20;TSR1;WDR43;MAK16;RRP9;MRTO4;DKC1;NOLC1;EBNA1BP2;BOP1;NAT10;NOP58;WDR12;EXOSC6;ERI1;EXOSC2;RPP25;PDCD11;UTP14A;WDR3;EXOSC3;WDR75;DCAF13;EXOSC9;RPP40;RIOK1;RRP15;IMP4;NOB1;NOP56;NOP14;WDR36;DDX56;UTP4;BYSL;NOL9;UTP3;UTP18;EIF6;SBDS;BMS1;RSL1D1;PES1;NOL8;NSA2;RRP1;EMG1;FBL;MPHOSPH10;ISG20L2;EXOSC4;SART1;RRP36;C1D
cotranslational protein targeting to membrane (GO:0006613),-0.4607838691875583,-5.7857695130786935,0.0,0.007017711789897615,94,56,ARL6IP1;SRP72;SEC61A1;SRP19;MRPS12;RPL36A;RPL35;SSR1;RPL7A;RPL27;RPL23;SSR2;RPS13;RPL12;RPL35A;RPS10;RPL36;RPL5;RPS27A;RPL24;RPS26;RPL38;RPL27A;RPL29;RPS18;RPS7;RPL37;RPS17;RPS14;RPL18;RPL19;RPL26;RPL32;RPS24;RPS25;RPL9;RPL7;RPL11;RPS5;RPL41;RPS8;RPS2;RPL10;RPS28;RPSA;RPL22;RPS19;RPS11;RPS4X;RPL15;RPLP1;RPLP2;RPL13A;RPS27;RPLP0;RPL6,MRPS12;RPL36A;RPL35;SSR1;RPL7A;RPL27;RPL23;SSR2;RPS13;RPL12;RPL35A;RPS10;RPL36;RPL5;RPS27A;RPL24;RPS26;RPL38;RPL27A;RPL29;RPS18;RPS7;RPL37;RPS17;RPS14;RPL18;RPL19;RPL26;RPL32;RPS24;RPS25;RPL9;RPL7;RPL11;RPS5;RPL41;RPS8;RPS2;RPL10;RPS28;RPSA;RPL22;RPS19;RPS11;RPS4X;RPL15;RPLP1;RPLP2;RPL13A;RPS27;RPLP0;RPL6
