Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
cytoplasmic translation (GO:0002181),0.40857856672131865,2456.8474341005453,0.0,0.0,55,37,RPL32;RPL29;RPL36;RPL24;RPL8;RPL36A;RPS20;RPLP1;RPL38;RPL22;RPS26;RPL18;RPS3;RPL19;RPL35A;RPLP2;RPS23;RPS29;RPL41;RPL18A;RPS7;RPS28;RPL9;RPL11;RPS3A;RPL27A;RPL39;RPLP0;RPL30;RPL4;RPL7;RPL15;RPL26;RPL10A;RPL31;RPL6;EIF4B,RPL32;RPL29;RPL36;RPL24;RPL8;RPL36A;RPS20;RPLP1;RPL38;RPL22;RPS26;RPL18;RPS3;RPL19;RPL35A;RPLP2;RPS23;RPS29;RPL41;RPL18A;RPS7;RPS28;RPL9;RPL11;RPS3A;RPL27A;RPL39;RPLP0;RPL30;RPL4;RPL7;RPL15;RPL26;RPL10A;RPL31;RPL6
rRNA metabolic process (GO:0016072),0.34851603085971267,3001.5054086285304,0.0,0.0,201,72,RPL32;RPL29;UBA52;RPS17;RPSA;RPL36;RPL24;RPS5;RPL8;RPL36A;RPS20;RPS10;RPS18;RPS27A;RPS15;RPLP1;RPL38;RPL22;RPS26;RPL18;RPS3;RPL19;RPL35A;RPS16;RPL37A;RPLP2;RPS19;RPS23;RPS29;RPL41;RPS13;RPL23A;RPL18A;RPS9;RPS14;RPS7;RPL37;RPS28;RPL7A;RPL9;RPL14;RPL11;RPL21;RPS3A;RPL27A;RPL39;RPS6;RPS25;RPLP0;RPL30;RPS24;RPL4;RPS8;RPL7;RPL13;RPL15;RPL23;RPL26;RPL5;RPS15A;RPL28;RPS4X;RPS11;RPL3;RPL10A;RPL31;RPL6;RPL34;RPL10;RPS27;RPL13A;ANG,RPL32;RPL29;UBA52;RPS17;RPSA;RPL36;RPL24;RPS5;RPL8;RPL36A;RPS20;RPS10;RPS18;RPS27A;RPS15;RPLP1;RPL38;RPL22;RPS26;RPL18;RPS3;RPL19;RPL35A;RPS16;RPL37A;RPLP2;RPS19;RPS23;RPS29;RPL41;RPS13;RPL23A;RPL18A;RPS9;RPS14;RPS7;RPL37;RPS28;RPL7A;RPL9;RPL14;RPL11;RPL21;RPS3A;RPL27A;RPL39;RPS6;RPS25;RPLP0;RPL30;RPS24;RPL4;RPS8;RPL7;RPL13;RPL15;RPL23;RPL26;RPL5;RPS15A;RPL28;RPS4X;RPS11;RPL3
SRP-dependent cotranslational protein targeting to membrane (GO:0006614),0.4113475177304957,inf,,0.0,90,71,RPL32;RPL29;UBA52;RPS17;RPSA;RPL36;RPL24;RPS5;RPL8;RPL36A;RPS20;RPS10;RPS18;RPS27A;RPS15;RPLP1;RPL38;RPL22;RPS26;RPL18;RPS3;RPL19;RPL35A;RPS16;RPL37A;RPLP2;RPS19;RPS23;RPS29;RPL41;RPS13;RPL23A;RPL18A;RPS9;RPS14;RPS7;RPL37;RPS28;RPL7A;RPL9;RPL14;RPL11;RPL21;RPS3A;RPL27A;RPL39;RPS6;RPS25;RPLP0;RPL30;RPS24;RPL4;RPS8;RPL7;RPL13;RPL15;RPL23;RPL26;RPL5;RPS15A;RPL28;RPS4X;RPS11;RPL3;RPL10A;RPL31;RPL6;RPL34;RPL10;RPS27;RPL13A,RPL32;RPL29;UBA52;RPS17;RPSA;RPL36;RPL24;RPS5;RPL8;RPL36A;RPS20;RPS10;RPS18;RPS27A;RPS15;RPLP1;RPL38;RPL22;RPS26;RPL18;RPS3;RPL19;RPL35A;RPS16;RPL37A;RPLP2;RPS19;RPS23;RPS29;RPL41;RPS13;RPL23A;RPL18A;RPS9;RPS14;RPS7;RPL37;RPS28;RPL7A;RPL9;RPL14;RPL11;RPL21;RPS3A;RPL27A;RPL39;RPS6;RPS25;RPLP0;RPL30;RPS24;RPL4;RPS8;RPL7;RPL13;RPL15;RPL23;RPL26;RPL5;RPS15A;RPL28;RPS4X;RPS11;RPL3;RPL10A;RPL31;RPL6;RPL34;RPL10;RPS27;RPL13A
cellular macromolecule biosynthetic process (GO:0034645),0.2597080180305859,inf,,0.0,368,79,RPL32;RPL29;RPS17;RPSA;RPL36;RPL24;RPS5;RPL8;RPL36A;RPS20;RPS10;RPS18;RPS27A;RPS15;RPLP1;RPL38;RPL22;RPS26;RPL18;RPS3;RPL19;RPL35A;RPS16;RPL37A;RPLP2;RPS19;RPS23;RPS29;RPL41;RPS13;RPL23A;BPTF;RPL18A;RPS9;RPS14;EEF1D;RPS7;RPL37;RPS28;RPL7A;RPL9;RPL14;RPL11;RPL21;RPS3A;RPL27A;RPL39;RPS6;RPS25;RPLP0;RPL30;RPS24;RPL4;RPS8;RPL7;RPL13;RPL15;RPL23;RPL26;RPL5;RPS15A;RPL28;RPS4X;RPS11;RPL3;RPL10A;RPL31;RPL6;RPL34;RPL10;SMARCA1;RPS27;EEF2;NAP1L1;RPL13A;GATA2;EEF1A1;BAZ2B;CALCOCO1,RPL32;RPL29;RPS17;RPSA;RPL36;RPL24;RPS5;RPL8;RPL36A;RPS20;RPS10;RPS18;RPS27A;RPS15;RPLP1;RPL38;RPL22;RPS26;RPL18;RPS3;RPL19;RPL35A;RPS16;RPL37A;RPLP2;RPS19;RPS23;RPS29;RPL41;RPS13;RPL23A;BPTF;RPL18A;RPS9;RPS14;EEF1D;RPS7;RPL37;RPS28;RPL7A;RPL9;RPL14;RPL11;RPL21;RPS3A;RPL27A;RPL39;RPS6;RPS25;RPLP0;RPL30;RPS24;RPL4;RPS8;RPL7;RPL13;RPL15;RPL23;RPL26;RPL5;RPS15A;RPL28;RPS4X;RPS11;RPL3;RPL10A;RPL31;RPL6;RPL34;RPL10;SMARCA1;RPS27;EEF2;NAP1L1;RPL13A
cellular protein metabolic process (GO:0044267),0.2337886870204716,inf,,0.0,485,90,HSP90B1;RPL32;RPL29;UBA52;RPS17;RPSA;RPL36;CST3;RPL24;RPS5;RPL8;RPL36A;RPS20;RPS10;RPS18;RPS27A;RPS15;RPLP1;RPL38;RPL22;RPS26;RPL18;RPS3;RPL19;RPL35A;RPS16;RPL37A;RPLP2;RPS19;RPS23;RPS29;RPL41;RPS13;RPL23A;RPL18A;RPS9;RPS14;RPS7;UBE2L6;RPL37;RPS28;RPL7A;RPL9;RPL14;RPL11;RPL21;RPS3A;PRKCSH;RPL27A;RPL39;RPS6;H3F3A;RPS25;RPLP0;UBC;RPL30;RPS24;RCN1;RPL4;RPS8;RPL7;RPL13;RPL15;RPL23;RPL26;RPL5;RPS15A;RPL28;RPS4X;RPS11;B2M;RPL3;RPL10A;RPL31;RPL6;MSLN;NUCB1;RPL34;RPL10;ITM2B;CYR61;RPS27;IGFBP6;RPL13A;PNPLA2;EEF1A1;GSN;IGFBP3;SORL1;CTSH,HSP90B1;RPL32;RPL29;UBA52;RPS17;RPSA;RPL36;CST3;RPL24;RPS5;RPL8;RPL36A;RPS20;RPS10;RPS18;RPS27A;RPS15;RPLP1;RPL38;RPL22;RPS26;RPL18;RPS3;RPL19;RPL35A;RPS16;RPL37A;RPLP2;RPS19;RPS23;RPS29;RPL41;RPS13;RPL23A;RPL18A;RPS9;RPS14;RPS7;UBE2L6;RPL37;RPS28;RPL7A;RPL9;RPL14;RPL11;RPL21;RPS3A;PRKCSH;RPL27A;RPL39;RPS6;H3F3A;RPS25;RPLP0;UBC;RPL30;RPS24;RCN1;RPL4;RPS8;RPL7;RPL13;RPL15;RPL23;RPL26;RPL5;RPS15A;RPL28;RPS4X;RPS11;B2M;RPL3;RPL10A;RPL31;RPL6;MSLN;NUCB1;RPL34;RPL10;ITM2B;CYR61;RPS27;IGFBP6;RPL13A;PNPLA2
cotranslational protein targeting to membrane (GO:0006613),0.4127929037152937,inf,,0.0,94,72,RPL32;RPL29;UBA52;RPS17;RPSA;RPL36;RPL24;RPS5;RPL8;RPL36A;RPS20;RPS10;RPS18;RPS27A;RPS15;RPLP1;RPL38;RPL22;RPS26;RPL18;RPS3;RPL19;RPL35A;RPS16;RPL37A;RPLP2;RPS19;RPS23;RPS29;RPL41;RPS13;RPL23A;RPL18A;RPS9;RPS14;RPS7;RPL37;RPS28;RPL7A;RPL9;RPL14;RPL11;RPL21;RPS3A;RPL27A;RPL39;RPS6;RPS25;RPLP0;RPL30;RPS24;SSR2;RPL4;RPS8;RPL7;RPL13;RPL15;RPL23;RPL26;RPL5;RPS15A;RPL28;RPS4X;RPS11;RPL3;RPL10A;RPL31;RPL6;RPL34;RPL10;RPS27;RPL13A,RPL32;RPL29;UBA52;RPS17;RPSA;RPL36;RPL24;RPS5;RPL8;RPL36A;RPS20;RPS10;RPS18;RPS27A;RPS15;RPLP1;RPL38;RPL22;RPS26;RPL18;RPS3;RPL19;RPL35A;RPS16;RPL37A;RPLP2;RPS19;RPS23;RPS29;RPL41;RPS13;RPL23A;RPL18A;RPS9;RPS14;RPS7;RPL37;RPS28;RPL7A;RPL9;RPL14;RPL11;RPL21;RPS3A;RPL27A;RPL39;RPS6;RPS25;RPLP0;RPL30;RPS24;SSR2;RPL4;RPS8;RPL7;RPL13;RPL15;RPL23;RPL26;RPL5;RPS15A;RPL28;RPS4X;RPS11;RPL3
gene expression (GO:0010467),0.1988607416012144,inf,,0.0,412,79,RPL32;RPL29;RPS17;RPSA;RPL36;RPL24;RPS5;RPL8;RPL36A;RPS20;RPS10;RPS18;RPS27A;RPS15;RPLP1;RPL38;RPL22;RPS26;RPL18;RPS3;RPL19;RPL35A;RPS16;RPL37A;RPLP2;RPS19;RPS23;RPS29;RPL41;RPS13;RPL23A;BPTF;RPL18A;RPS9;RPS14;RPS7;RPL37;RPS28;RPL7A;RPL9;RPL14;RPL11;RPL21;RPS3A;RPL27A;RPL39;RPS6;RPS25;RPLP0;RPL30;RPS24;RPL4;RPS8;RPL7;RPL13;RPL15;RPL23;RPL26;RPL5;RPS15A;DDX17;RPL28;RPS4X;RPS11;RPL3;RPL10A;RPL31;RPL6;RPL34;RPL10;SMARCA1;RPS27;RPL13A;GATA2;EEF1A1;BAZ2B;SORL1;RBPMS;CALCOCO1,RPL32;RPL29;RPS17;RPSA;RPL36;RPL24;RPS5;RPL8;RPL36A;RPS20;RPS10;RPS18;RPS27A;RPS15;RPLP1;RPL38;RPL22;RPS26;RPL18;RPS3;RPL19;RPL35A;RPS16;RPL37A;RPLP2;RPS19;RPS23;RPS29;RPL41;RPS13;RPL23A;BPTF;RPL18A;RPS9;RPS14;RPS7;RPL37;RPS28;RPL7A;RPL9;RPL14;RPL11;RPL21;RPS3A;RPL27A;RPL39;RPS6;RPS25;RPLP0;RPL30;RPS24;RPL4;RPS8;RPL7;RPL13;RPL15;RPL23;RPL26;RPL5;RPS15A;DDX17;RPL28;RPS4X;RPS11;RPL3
ncRNA processing (GO:0034470),0.4113475177304957,inf,,0.0,228,71,RPL32;RPL29;UBA52;RPS17;RPSA;RPL36;RPL24;RPS5;RPL8;RPL36A;RPS20;RPS10;RPS18;RPS27A;RPS15;RPLP1;RPL38;RPL22;RPS26;RPL18;RPS3;RPL19;RPL35A;RPS16;RPL37A;RPLP2;RPS19;RPS23;RPS29;RPL41;RPS13;RPL23A;RPL18A;RPS9;RPS14;RPS7;RPL37;RPS28;RPL7A;RPL9;RPL14;RPL11;RPL21;RPS3A;RPL27A;RPL39;RPS6;RPS25;RPLP0;RPL30;RPS24;RPL4;RPS8;RPL7;RPL13;RPL15;RPL23;RPL26;RPL5;RPS15A;RPL28;RPS4X;RPS11;RPL3;RPL10A;RPL31;RPL6;RPL34;RPL10;RPS27;RPL13A,RPL32;RPL29;UBA52;RPS17;RPSA;RPL36;RPL24;RPS5;RPL8;RPL36A;RPS20;RPS10;RPS18;RPS27A;RPS15;RPLP1;RPL38;RPL22;RPS26;RPL18;RPS3;RPL19;RPL35A;RPS16;RPL37A;RPLP2;RPS19;RPS23;RPS29;RPL41;RPS13;RPL23A;RPL18A;RPS9;RPS14;RPS7;RPL37;RPS28;RPL7A;RPL9;RPL14;RPL11;RPL21;RPS3A;RPL27A;RPL39;RPS6;RPS25;RPLP0;RPL30;RPS24;RPL4;RPS8;RPL7;RPL13;RPL15;RPL23;RPL26;RPL5;RPS15A;RPL28;RPS4X;RPS11;RPL3;RPL10A;RPL31;RPL6;RPL34;RPL10;RPS27;RPL13A
nuclear-transcribed mRNA catabolic process (GO:0000956),0.3076352451645807,inf,,0.0,175,77,RPL32;RPL29;UBA52;RPS17;RPSA;RPL36;RPL24;RPS5;RPL8;RPL36A;RPS20;RPS10;RPS18;RPS27A;RPS15;RPLP1;RPL38;RPL22;RPS26;RPL18;RPS3;RPL19;RPL35A;RPS16;RPL37A;RPLP2;RPS19;RPS23;RPS29;RPL41;UPF3A;RPS13;RPL23A;RPL18A;RPS9;RPS14;RPS7;RPL37;RPS28;RPL7A;RPL9;RPL14;RPL11;RPL21;RPS3A;RPL27A;RPL39;RPS6;RPS25;RPLP0;PABPC1;RPL30;RPS24;RPL4;RPS8;RPL7;RPL13;RPL15;RPL23;RPL26;RPL5;RPS15A;RPL28;RPS4X;RPS11;RPL3;RPL10A;RPL31;RPL6;RPL34;RPL10;EIF4A2;RPS27;RPL13A;EIF3E;EIF4B;PNRC1,RPL32;RPL29;UBA52;RPS17;RPSA;RPL36;RPL24;RPS5;RPL8;RPL36A;RPS20;RPS10;RPS18;RPS27A;RPS15;RPLP1;RPL38;RPL22;RPS26;RPL18;RPS3;RPL19;RPL35A;RPS16;RPL37A;RPLP2;RPS19;RPS23;RPS29;RPL41;UPF3A;RPS13;RPL23A;RPL18A;RPS9;RPS14;RPS7;RPL37;RPS28;RPL7A;RPL9;RPL14;RPL11;RPL21;RPS3A;RPL27A;RPL39;RPS6;RPS25;RPLP0;PABPC1;RPL30;RPS24;RPL4;RPS8;RPL7;RPL13;RPL15;RPL23;RPL26;RPL5;RPS15A;RPL28;RPS4X;RPS11;RPL3;RPL10A;RPL31;RPL6;RPL34;RPL10;EIF4A2;RPS27;RPL13A;EIF3E
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",0.34595705215073985,inf,,0.0,113,75,RPL32;RPL29;UBA52;RPS17;RPSA;RPL36;RPL24;RPS5;RPL8;RPL36A;RPS20;RPS10;RPS18;RPS27A;RPS15;RPLP1;RPL38;RPL22;RPS26;RPL18;RPS3;RPL19;RPL35A;RPS16;RPL37A;RPLP2;RPS19;RPS23;RPS29;RPL41;UPF3A;RPS13;RPL23A;RPL18A;RPS9;RPS14;RPS7;RPL37;RPS28;RPL7A;RPL9;RPL14;RPL11;RPL21;RPS3A;RPL27A;RPL39;RPS6;RPS25;RPLP0;PABPC1;RPL30;RPS24;RPL4;RPS8;RPL7;RPL13;RPL15;RPL23;RPL26;RPL5;RPS15A;RPL28;RPS4X;RPS11;RPL3;RPL10A;RPL31;RPL6;RPL34;RPL10;RPS27;RPL13A;EIF3E;PNRC1,RPL32;RPL29;UBA52;RPS17;RPSA;RPL36;RPL24;RPS5;RPL8;RPL36A;RPS20;RPS10;RPS18;RPS27A;RPS15;RPLP1;RPL38;RPL22;RPS26;RPL18;RPS3;RPL19;RPL35A;RPS16;RPL37A;RPLP2;RPS19;RPS23;RPS29;RPL41;UPF3A;RPS13;RPL23A;RPL18A;RPS9;RPS14;RPS7;RPL37;RPS28;RPL7A;RPL9;RPL14;RPL11;RPL21;RPS3A;RPL27A;RPL39;RPS6;RPS25;RPLP0;PABPC1;RPL30;RPS24;RPL4;RPS8;RPL7;RPL13;RPL15;RPL23;RPL26;RPL5;RPS15A;RPL28;RPS4X;RPS11;RPL3
