Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
ribosome biogenesis (GO:0042254),0.3501363028266888,6.725742864482919,0.0,0.0017878062206246972,227,132,PAK1IP1;RRP9;NOP58;UTP3;PNO1;RRS1;RIOK1;RPP40;NOP16;NIP7;RPF2;BOP1;MRTO4;WDR12;NOP56;NOLC1;GNL3;DCAF13;LTV1;EXOSC8;DKC1;BMS1;RPP30;UTP4;BYSL;EXOSC9;TSR1;SBDS;POP4;LYAR;GNL2;SURF6;RAN;NPM1;EBNA1BP2;EXOSC2;WDR46;WDR43;WDR74;PDCD11;DDX56;MALSU1;RRP1;NOL11;IMP4;NOL8;NOC2L;WDR75;SDAD1;NOC4L;UTP18;MRPL36;IMP3;PIH1D1;EXOSC3;MPHOSPH10;ZNF622;EIF6;RRP7A;DDX52;XRN2;RPL26L1;RPL35;EXOSC1;AAMP;EXOSC7;GTF3A;RPS24;RPL12;RPL7A;RPL27;RPS26;RPS10;RPS13;RPLP1;RPS11;UBA52;RPL28;RPL36;RPL41;RPL22;RPL5;RPL37A;RPL24;RPL34;RPL26;RPL19;RPLP2;RPLP0;RPL36A;RPS20;RPS9;RPSA;RPS23;RPS5;RPS15;RPS7;RPL31;RPS25;RPL6;RPL7;RPL23A;RPS21;RPL39;RPL10A;RPL11;RPL3;RPS8;RPL13A;RPL37;RPS15A;RPL18A;RPS27A;RPS19;RPL8;RPS6;RPL38;RPL14;RPL30;FBL;RPL13;RPS4X;CSNK1D;RPL10;RPS29;MRPS12;RPS27;RPS3A;RPS28;RPL15;RIOK3;RPS16,PAK1IP1;RRP9;NOP58;UTP3;PNO1;RRS1;RIOK1;RPP40;NOP16;NIP7;RPF2;BOP1;MRTO4;WDR12;NOP56;NOLC1;GNL3;DCAF13;LTV1;EXOSC8;DKC1;BMS1;RPP30;UTP4;BYSL;EXOSC9;TSR1;SBDS;POP4;LYAR;GNL2;SURF6;RAN;NPM1;EBNA1BP2;EXOSC2;WDR46;WDR43;WDR74;PDCD11;DDX56;MALSU1;RRP1;NOL11;IMP4;NOL8;NOC2L;WDR75;SDAD1
response to unfolded protein (GO:0006986),0.7741436997196902,6.223990290536131,0.0,0.002979677034374495,44,19,HSPH1;HSP90AA1;HSPA8;HSPD1;SERPINH1;HSPE1;HSP90AB1;DNAJA1;HSPA4;HSPA1B;ERP44;HSPA5;HSPA9;HSPA1A;HYOU1;DERL1;DNAJB1;HERPUD1;OPTN,HSPH1;HSP90AA1;HSPA8;HSPD1;SERPINH1;HSPE1;HSP90AB1;DNAJA1;HSPA4;HSPA1B;ERP44;HSPA5;HSPA9;HSPA1A;HYOU1
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972),0.5069542701043268,6.2361848688734645,0.0,0.004469515551561743,63,40,FHL1;PSMD1;PSMB3;PSMC2;PSMD6;PSMD12;PSMD14;PSMA1;PSMB7;PSMB6;PSMC5;PSMA3;PSME3;PSMA7;PSMC6;PSMC3;PSMA4;PSMD11;PSMD2;PSMD7;PSME2;PSMD3;PSMA5;PSMA2;PSMC4;VPS4A;PSMB1;UBB;PSMD13;PSMB2;PSMC1;PSMB4;SKP1;PSMD4;PSMF1;UBA52;PSME1;UBC;RPS27A;PSMD8,FHL1;PSMD1;PSMB3;PSMC2;PSMD6;PSMD12;PSMD14;PSMA1;PSMB7;PSMB6;PSMC5;PSMA3;PSME3;PSMA7;PSMC6;PSMC3;PSMA4;PSMD11;PSMD2;PSMD7;PSME2;PSMD3;PSMA5;PSMA2;PSMC4;VPS4A;PSMB1;UBB;PSMD13
anaphase-promoting complex-dependent catabolic process (GO:0031145),0.5242286484868328,6.036549519391298,0.0,0.004916467106717917,80,46,PTTG1;CCNB1;CDC20;MAD2L1;UBE2S;PSMD1;PSMB3;PSMC2;PSMD6;PSMD12;PSMD14;PSMA1;PSMB7;PSMB6;PSMC5;PSMA3;PSME3;PSMA7;PSMC6;PSMC3;PSMA4;PSMD11;PSMD2;PSMD7;PSME2;PSMD3;PSMA5;PLK1;PSMA2;PSMC4;PSMB1;UBB;PSMD13;BUB3;PSMB2;PSMC1;PSMB4;PSMD4;PSMF1;ANAPC15;UBA52;ANAPC11;PSME1;UBC;RPS27A;PSMD8,PTTG1;CCNB1;CDC20;MAD2L1;UBE2S;PSMD1;PSMB3;PSMC2;PSMD6;PSMD12;PSMD14;PSMA1;PSMB7;PSMB6;PSMC5;PSMA3;PSME3;PSMA7;PSMC6;PSMC3;PSMA4;PSMD11;PSMD2;PSMD7;PSME2;PSMD3;PSMA5;PLK1;PSMA2;PSMC4;PSMB1;UBB;PSMD13;BUB3
negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051436),0.482886983253023,5.805759388417748,0.0,0.005810370217030266,72,44,CCNB1;CDC20;MAD2L1;PSMD1;PSMB3;PSMC2;PSMD6;PSMD12;PSMD14;PSMA1;PSMB7;PSMB6;PSMC5;PSMA3;PSME3;PSMA7;PSMC6;PSMC3;PSMA4;PSMD11;PSMD2;PSMD7;PSME2;PSMD3;PSMA5;PSMA2;PSMC4;PSMB1;UBB;PSMD13;BUB3;PSMB2;PSMC1;PSMB4;PSMD4;PSMF1;ANAPC15;UBA52;ANAPC11;PSME1;UBC;RPS27A;PSMD8;FBXO5,CCNB1;CDC20;MAD2L1;PSMD1;PSMB3;PSMC2;PSMD6;PSMD12;PSMD14;PSMA1;PSMB7;PSMB6;PSMC5;PSMA3;PSME3;PSMA7;PSMC6;PSMC3;PSMA4;PSMD11;PSMD2;PSMD7;PSME2;PSMD3;PSMA5;PSMA2;PSMC4;PSMB1;UBB;PSMD13;BUB3
regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051439),0.4864956169712787,5.819108948908044,0.0,0.005874220439195434,73,45,CCNB1;CDC20;MAD2L1;PSMD1;PSMB3;PSMC2;PSMD6;PSMD12;PSMD14;PSMA1;PSMB7;PSMB6;PSMC5;PSMA3;PSME3;PSMA7;PSMC6;PSMC3;PSMA4;PSMD11;PSMD2;PSMD7;PSME2;PSMD3;PSMA5;PLK1;PSMA2;PSMC4;PSMB1;UBB;PSMD13;BUB3;PSMB2;PSMC1;PSMB4;PSMD4;PSMF1;ANAPC15;UBA52;ANAPC11;PSME1;UBC;RPS27A;PSMD8;FBXO5,CCNB1;CDC20;MAD2L1;PSMD1;PSMB3;PSMC2;PSMD6;PSMD12;PSMD14;PSMA1;PSMB7;PSMB6;PSMC5;PSMA3;PSME3;PSMA7;PSMC6;PSMC3;PSMA4;PSMD11;PSMD2;PSMD7;PSME2;PSMD3;PSMA5;PLK1;PSMA2;PSMC4;PSMB1;UBB;PSMD13;BUB3
positive regulation of ubiquitin protein ligase activity (GO:1904668),0.47377367243480717,5.912947474272667,0.0,0.00607854115012397,83,48,CCNB1;CDC20;MAD2L1;UBE2S;PSMD1;PSMB3;PSMC2;PSMD6;PSMD12;PSMD14;PSMA1;PSMB7;PSMB6;PSMC5;PSMA3;PSME3;PSMA7;PSMC6;PSMC3;PSMA4;PSMD11;PSMD2;PSMD7;PSME2;PSMD3;PSMA5;PLK1;PSMA2;PSMC4;PSMB1;UBB;PSMD13;BUB3;PSMB2;PSMC1;PSMB4;SKP1;PSMD4;PSMF1;RAB1A;ANAPC15;UBA52;ANAPC11;PSME1;UBC;RPS27A;PSMD8;FBXO5,CCNB1;CDC20;MAD2L1;UBE2S;PSMD1;PSMB3;PSMC2;PSMD6;PSMD12;PSMD14;PSMA1;PSMB7;PSMB6;PSMC5;PSMA3;PSME3;PSMA7;PSMC6;PSMC3;PSMA4;PSMD11;PSMD2;PSMD7;PSME2;PSMD3;PSMA5;PLK1;PSMA2;PSMC4;PSMB1;UBB;PSMD13;BUB3
negative regulation of apoptotic process (GO:0043066),0.2987056182694691,5.832883000926386,0.0,0.006555289475623889,486,102,AXL;CD74;PDPN;HSPD1;MAD2L1;DKK1;HMGN5;PPIF;CD44;DNAJA1;DNAJB6;SET;BIRC5;HSPA1B;PLK2;PA2G4;HSPA5;HSPA9;GRK5;PRELID1;BNIP3;MET;HSPA1A;ITGB1;ATAD3A;KRT18;CFL1;MAGEA3;PTRH2;SFN;NAA15;GAS6;SUPV3L1;APIP;NPM1;FAM129B;THBS1;HMGA2;GPX1;TAF9;HIGD1A;HSP90B1;HDAC3;BID;PLK1;ANXA1;GLO1;ANXA5;ARHGDIA;UBB;AATF;HDAC1;HNRNPK;MSH2;TMBIM6;SON;PARK7;CAT;CSNK2A1;TOPORS;DDX3X;YWHAE;CTNNB1;ARL6IP1;HDAC2;PRDX3;SOD1;MYDGF;CIB1;MTDH;CAV1;MIF;GSTP1;YWHAZ;UBA52;LAMTOR5;TPT1;UBC;SQSTM1;RPS27A;ANKLE2;HIGD2A;RPL10;PTK2;RPS3A;BNIP3L;IGBP1;NFKBIA;SNCA;MGMT;LGMN;CDKN2D;PROC;ANXA4;SNAI2;IFI6;BMP4;MYD88;RNF144B;NTF4;CTSH;EPHB6,AXL;CD74;PDPN;HSPD1;MAD2L1;DKK1;HMGN5;PPIF;CD44;DNAJA1;DNAJB6;SET;BIRC5;HSPA1B;PLK2;PA2G4;HSPA5;HSPA9;GRK5;PRELID1;BNIP3;MET;HSPA1A;ITGB1;ATAD3A;KRT18;CFL1;MAGEA3;PTRH2;SFN;NAA15;GAS6;SUPV3L1;APIP;NPM1;FAM129B;THBS1;HMGA2;GPX1;TAF9;HIGD1A;HSP90B1;HDAC3
ncRNA processing (GO:0034470),0.3165437050980717,5.70132316595277,0.0,0.00679366363837385,228,121,RRP9;NOP58;UTP3;PNO1;RIOK1;RPP40;BOP1;MRTO4;WDR12;INTS4;NOP56;NOLC1;DCAF13;HNRNPA2B1;LTV1;EXOSC8;SSB;DKC1;BMS1;RPP30;UTP4;BYSL;SRRT;EXOSC9;TSR1;SBDS;POP4;LYAR;EBNA1BP2;EXOSC2;WDR46;WDR43;PDCD11;DDX56;KARS;RRP1;NOL11;IMP4;NOL8;WDR75;MRPL44;NOC4L;UTP18;IMP3;PIH1D1;EXOSC3;MPHOSPH10;RRP7A;DDX52;POP7;XRN2;RPL35;EXOSC1;SARS;EXOSC7;RPS24;RPL12;RPL7A;RPL27;RPS26;RPS10;RPS13;RPLP1;RPS11;UBA52;RPL28;RPL36;RPL41;RPL22;RPL5;RPL37A;RPL24;RPL34;RPL26;RPL19;RPLP2;RPLP0;RPL36A;RPS20;RPS9;RPSA;RPS23;RPS5;RPS15;RPS7;RPL31;RPS25;RPL6;RPL7;RPL23A;RPS21;RPL39;RPL10A;RPL11;RPL3;RPS8;RPL13A;RPL37;RPS15A;RPL18A;RPS27A;RPS19;RPL8;RPS6;RPL38;RPL14;RPL30;FBL;RPL13;RPS4X;CSNK1D;RPL10;RPS29;AGO2;MRPS12;RPS27;RPS3A;RPS28;RPL15;RIOK3;RPS16,RRP9;NOP58;UTP3;PNO1;RIOK1;RPP40;BOP1;MRTO4;WDR12;INTS4;NOP56;NOLC1;DCAF13;HNRNPA2B1;LTV1;EXOSC8;SSB;DKC1;BMS1;RPP30;UTP4;BYSL;SRRT;EXOSC9;TSR1;SBDS;POP4;LYAR;EBNA1BP2;EXOSC2;WDR46;WDR43;PDCD11;DDX56;KARS;RRP1;NOL11;IMP4;NOL8;WDR75;MRPL44
negative regulation of cell cycle G2/M phase transition (GO:1902750),0.5043401392555166,5.726071697499896,0.0,0.007548515153748722,70,43,FHL1;DTL;PSMD1;CHEK1;PSMB3;PSMC2;PSMD6;PSMD12;PSMD14;PSMA1;PSMB7;PSMB6;PSMC5;PSMA3;PSME3;PSMA7;PSMC6;PSMC3;PSMA4;PSMD11;PSMD2;PSMD7;PSME2;PSMD3;PSMA5;PLK1;PSMA2;PSMC4;PSMB1;UBB;PSMD13;PSMB2;H2AFY;PSMC1;PSMB4;SKP1;PSMD4;PSMF1;UBA52;PSME1;UBC;RPS27A;PSMD8,FHL1;DTL;PSMD1;CHEK1;PSMB3;PSMC2;PSMD6;PSMD12;PSMD14;PSMA1;PSMB7;PSMB6;PSMC5;PSMA3;PSME3;PSMA7;PSMC6;PSMC3;PSMA4;PSMD11;PSMD2;PSMD7;PSME2;PSMD3;PSMA5;PLK1;PSMA2;PSMC4;PSMB1;UBB;PSMD13
