Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
cotranslational protein targeting to membrane (GO:0006613),0.6752556672461987,1206.1902822122725,0.0,0.0,94,30,RPS2;RPL15;RPL21;RPS29;RPL11;UBA52;RPL30;RPS9;RPS15A;RPS19;RPS8;RPS24;RPS6;RPS20;RPS3;RPL39;SRP14;RPL31;RPS3A;RPS4X;RPL22;RPL28;RPL34;RPSA;RPL13A;RPS11;RPLP1;RPS27;RPL37;RPL27A,RPS2;RPL15;RPL21;RPS29;RPL11;UBA52;RPL30;RPS9;RPS15A;RPS19;RPS8;RPS24;RPS6;RPS20;RPS3;RPL39;SRP14;RPL31;RPS3A;RPS4X;RPL22;RPL28;RPL34;RPSA;RPL13A;RPS11;RPLP1;RPS27;RPL37
ncRNA processing (GO:0034470),0.5728592593516764,1357.2046009994467,0.0,0.0,228,30,RPS2;RPL15;RPL21;RPS29;RPL11;UBA52;RPL30;RPS9;RPS15A;RPS19;RPS8;RPS24;RPS6;RPS20;RPS3;RPL39;RPL31;RPS3A;RPS4X;RPL22;RPL28;RPL34;RPSA;RPL13A;RPS11;RPLP1;RPS27;RPL37;RPL27A;ADAR,RPS2;RPL15;RPL21;RPS29;RPL11;UBA52;RPL30;RPS9;RPS15A;RPS19;RPS8;RPS24;RPS6;RPS20;RPS3;RPL39;RPL31;RPS3A;RPS4X;RPL22;RPL28;RPL34;RPSA;RPL13A;RPS11;RPLP1;RPS27;RPL37
nuclear-transcribed mRNA catabolic process (GO:0000956),0.3308620411026237,1106.2565177971164,0.0,0.0,175,35,RPS2;RPL15;RPL21;RPS29;RPL11;UBA52;RPL30;RPS9;RPS15A;RPS19;RPS8;RPS24;RPS6;RPS20;RPS3;RPL39;RPL31;RPS3A;RPS4X;PABPC1;RPL22;RPL28;RPL34;RPSA;RPL13A;RPS11;CSDE1;RPLP1;RPS27;RPL37;PNRC2;RPL27A;EIF4B;EIF4A2;PNRC1,RPS2;RPL15;RPL21;RPS29;RPL11;UBA52;RPL30;RPS9;RPS15A;RPS19;RPS8;RPS24;RPS6;RPS20;RPS3;RPL39;RPL31;RPS3A;RPS4X;PABPC1;RPL22;RPL28;RPL34;RPSA;RPL13A;RPS11;CSDE1;RPLP1
ribosome biogenesis (GO:0042254),0.6754265745697368,1665.8502960240153,0.0,0.0,227,30,RPS2;RPL15;RPL21;RPS29;RPL11;UBA52;RPL30;RPS9;RPS15A;RPS19;RPS8;RPS24;RPS6;RPS20;RPS3;RPL39;RPL31;RPS3A;RPS4X;RPL22;RPL28;RPL34;RPSA;RPL13A;RPS11;RPLP1;RPS27;RPL37;GNL1;RPL27A,RPS2;RPL15;RPL21;RPS29;RPL11;UBA52;RPL30;RPS9;RPS15A;RPS19;RPS8;RPS24;RPS6;RPS20;RPS3;RPL39;RPL31;RPS3A;RPS4X;RPL22;RPL28;RPL34;RPSA;RPL13A;RPS11;RPLP1;RPS27;RPL37;GNL1
translation (GO:0006412),0.2350413483547109,1833.3225171667289,0.0,0.0,233,34,RPS2;RPL15;RPL21;RPS29;RPL11;RPL30;RPS9;RPS15A;RPS19;RPS8;RPS24;RPS6;RPS20;RPS3;EEF1D;RPL39;RPL31;RPS3A;RPS4X;RPL22;RPL28;RPL34;RPSA;RPL13A;RPS11;RPLP1;RPS27;RPL37;EEF1A1;RPL27A;EIF4B;EIF4EBP2;QARS;RPL3L,RPS2;RPL15;RPL21;RPS29;RPL11;RPL30;RPS9;RPS15A;RPS19;RPS8;RPS24;RPS6;RPS20;RPS3;EEF1D;RPL39;RPL31;RPS3A;RPS4X;RPL22;RPL28;RPL34;RPSA;RPL13A;RPS11;RPLP1
viral process (GO:0016032),0.5230113050441298,1085.1764764723437,0.0,0.0,221,35,RPS2;RPL15;RPL21;RPS29;RPL11;UBA52;RPL30;RPS9;RPS15A;RPS19;RPS8;RPS24;RPS6;PPIA;RPS20;RPS3;NUCKS1;RPL39;RPL31;RPS3A;RPS4X;RPL22;RPL28;RPL34;RPSA;RPL13A;RPS11;RPLP1;VPS4B;UBC;RPS27;RPL37;RPL27A;RXRA;B2M,RPS2;RPL15;RPL21;RPS29;RPL11;UBA52;RPL30;RPS9;RPS15A;RPS19;RPS8;RPS24;RPS6;PPIA;RPS20;RPS3;NUCKS1;RPL39;RPL31;RPS3A;RPS4X;RPL22;RPL28;RPL34;RPSA;RPL13A;RPS11;RPLP1;VPS4B;UBC;RPS27;RPL37
SRP-dependent cotranslational protein targeting to membrane (GO:0006614),0.6752556672461987,inf,,0.0,90,30,RPS2;RPL15;RPL21;RPS29;RPL11;UBA52;RPL30;RPS9;RPS15A;RPS19;RPS8;RPS24;RPS6;RPS20;RPS3;RPL39;SRP14;RPL31;RPS3A;RPS4X;RPL22;RPL28;RPL34;RPSA;RPL13A;RPS11;RPLP1;RPS27;RPL37;RPL27A,RPS2;RPL15;RPL21;RPS29;RPL11;UBA52;RPL30;RPS9;RPS15A;RPS19;RPS8;RPS24;RPS6;RPS20;RPS3;RPL39;SRP14;RPL31;RPS3A;RPS4X;RPL22;RPL28;RPL34;RPSA;RPL13A;RPS11;RPLP1;RPS27;RPL37
cellular macromolecule biosynthetic process (GO:0034645),0.22046238192460466,633.6397954600442,0.0,0.020390824129141883,368,36,RPS2;RPL15;RPL21;RPS29;RPL11;RPL30;RPS9;RPS15A;RPS19;RPS8;RPS24;RPS6;RPS20;RPS3;EEF1D;RPL39;RPL31;RPS3A;RPS4X;RPL22;RPL28;PTMA;RPL34;RPSA;RPL13A;RPS11;RPLP1;RPS27;RPL37;ATF6B;EEF1A1;RPL27A;EIF4EBP2;MLF1;RMI2;RPL3L,RPS2;RPL15;RPL21;RPS29;RPL11;RPL30;RPS9;RPS15A;RPS19;RPS8;RPS24;RPS6;RPS20;RPS3;EEF1D;RPL39;RPL31;RPS3A;RPS4X;RPL22;RPL28;PTMA;RPL34;RPSA;RPL13A;RPS11;RPLP1
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",0.3890435064449475,758.7040623908554,0.0,0.022429906542056073,113,32,RPS2;RPL15;RPL21;RPS29;RPL11;UBA52;RPL30;RPS9;RPS15A;RPS19;RPS8;RPS24;RPS6;RPS20;RPS3;RPL39;RPL31;RPS3A;RPS4X;PABPC1;RPL22;RPL28;RPL34;RPSA;RPL13A;RPS11;RPLP1;RPS27;RPL37;PNRC2;RPL27A;PNRC1,RPS2;RPL15;RPL21;RPS29;RPL11;UBA52;RPL30;RPS9;RPS15A;RPS19;RPS8;RPS24;RPS6;RPS20;RPS3;RPL39;RPL31;RPS3A;RPS4X;PABPC1;RPL22;RPL28;RPL34;RPSA;RPL13A;RPS11;RPLP1;RPS27;RPL37
rRNA processing (GO:0006364),0.6702209454734217,838.666845176825,0.0,0.024922118380062305,203,29,RPS2;RPL15;RPL21;RPS29;RPL11;UBA52;RPL30;RPS9;RPS15A;RPS19;RPS8;RPS24;RPS6;RPS20;RPS3;RPL39;RPL31;RPS3A;RPS4X;RPL22;RPL28;RPL34;RPSA;RPL13A;RPS11;RPLP1;RPS27;RPL37;RPL27A,RPS2;RPL15;RPL21;RPS29;RPL11;UBA52;RPL30;RPS9;RPS15A;RPS19;RPS8;RPS24;RPS6;RPS20;RPS3;RPL39;RPL31;RPS3A;RPS4X;RPL22;RPL28;RPL34;RPSA;RPL13A;RPS11;RPLP1;RPS27;RPL37
