Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
DNA repair (GO:0006281),-0.11230158730158697,-1052.9538069800587,0.0,0.0,289,60,ALKBH2;NSMCE3;IGHMBP2;BRCC3;ERCC2;APTX;USP47;PMS1;GTF2H5;GTF2H3;EYA3;HMGA1;CHD1L;MEN1;NSMCE4A;UBE2N;ASF1A;MMS19;CIB1;TRIM28;NSMCE1;HMGA2;POLD2;WRNIP1;NPM1;CETN2;RBM14;RAD50;APEX1;FANCD2;RAD51C;PARK7;UBE2V2;BABAM1;APEX2;NABP1;GTF2H1;XPA;HUS1;NABP2;RAD23A;RAD23B;VCP;SMUG1;MGME1;MSH6;WDR33;TOPBP1;MGMT;XRCC4;NUDT1;PARP1;ALKBH5;SMARCB1;ASCC2;HMGB1;DDX1;RPS27A;XRCC5;UBB,ALKBH2;NSMCE3;IGHMBP2;BRCC3;ERCC2;APTX;USP47;PMS1;GTF2H5;GTF2H3;EYA3;HMGA1;CHD1L;MEN1;NSMCE4A;UBE2N;ASF1A;MMS19;CIB1;TRIM28;NSMCE1;HMGA2;POLD2;WRNIP1;NPM1;CETN2;RBM14;RAD50;APEX1;FANCD2;RAD51C;PARK7;UBE2V2;BABAM1;APEX2;NABP1;GTF2H1;XPA;HUS1;NABP2;RAD23A;RAD23B;VCP;SMUG1;MGME1;MSH6;WDR33;TOPBP1;MGMT;XRCC4;NUDT1;PARP1;ALKBH5;SMARCB1;ASCC2;HMGB1;DDX1;RPS27A;XRCC5;UBB
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",-0.08284883458470096,inf,,0.0,237,117,RBM15;HTATSF1;RBMX2;GEMIN6;GCFC2;PRPF19;NCBP2;METTL3;GTF2F2;HSPA8;POLR2H;SNRPG;SNRPD1;SNU13;SNRNP25;GEMIN7;PRPF4;U2AF2;DDX39A;LSM3;POLR2D;HNRNPD;EFTUD2;PDCD7;TXNL4A;POLR2I;SNRPF;SNRNP40;CSTF3;SRSF9;DDX41;POLR2C;HNRNPF;PPIL1;SRSF7;SRSF2;MAGOHB;LSM7;NCBP1;CWC25;SF3A3;EIF4A3;SNRPE;CPSF4;SRRM2;POLR2F;PRPF38A;LSM4;POLR2L;SMNDC1;PSPC1;PABPN1;PHF5A;POLR2G;PPIE;CDC40;SYNCRIP;FRG1;CTNNBL1;RBM8A;POLR2K;PUF60;CPSF3;POLR2E;MAGOH;SF3B5;SRSF3;RBM17;CWC27;PCBP1;SNRPA1;PLRG1;PRPF31;DDX23;PPIH;SNRPB;ALYREF;PQBP1;SART3;CCAR1;SNRNP27;BUD31;SNRPB2;SNRNP35;NAA38;PTBP1;RBM22;RNPS1;PRPF40A;ELAVL1;SRSF11;SF3B2;WDR33;HNRNPA3;SRRM1;BCAS2;PRPF6;SF3B6;UPF3B;LSM2;SNW1;HNRNPC;POLR2J;SNRPD3;U2SURP;RBMX;SNRNP70;WBP11;PRCC;DDX46;HNRNPR;LSM5;SNRPD2;HNRNPM;UBL5;HNRNPH3;HNRNPA2B1,SNRPG;SNRPD1;SNU13;SNRNP25;GEMIN7;PRPF4;U2AF2;DDX39A;LSM3;POLR2D;HNRNPD;EFTUD2;PDCD7;TXNL4A;POLR2I;SNRPF;SNRNP40;CSTF3;SRSF9;DDX41;POLR2C;HNRNPF;PPIL1;SRSF7;SRSF2;MAGOHB;LSM7;NCBP1;CWC25;SF3A3;EIF4A3;SNRPE;CPSF4;SRRM2;POLR2F;PRPF38A;LSM4;POLR2L;SMNDC1;PSPC1;PABPN1;PHF5A;POLR2G;PPIE;CDC40;SYNCRIP;FRG1;CTNNBL1;RBM8A;POLR2K;PUF60;CPSF3;POLR2E;MAGOH;SF3B5;SRSF3;RBM17;CWC27;PCBP1;SNRPA1;PLRG1;PRPF31;DDX23;PPIH;SNRPB;ALYREF;PQBP1;SART3;CCAR1;SNRNP27;BUD31;SNRPB2;SNRNP35;NAA38;PTBP1;RBM22;RNPS1;PRPF40A;ELAVL1;SRSF11;SF3B2;WDR33;HNRNPA3;SRRM1;BCAS2;PRPF6;SF3B6;UPF3B;LSM2;SNW1;HNRNPC;POLR2J;SNRPD3;U2SURP;RBMX;SNRNP70;WBP11;PRCC;DDX46;HNRNPR;LSM5;SNRPD2;HNRNPM;UBL5;HNRNPH3;HNRNPA2B1
mRNA processing (GO:0006397),-0.07094755745606288,inf,,0.0,284,136,RBM15;HTATSF1;RBMX2;TBRG4;GEMIN6;GCFC2;PRPF19;ERCC2;NCBP2;METTL3;THOC2;GTF2F2;HSPA8;POLR2H;SNRPG;SNRPD1;GTF2H5;SNU13;SNRNP25;GEMIN7;PRPF4;GTF2H3;U2AF2;DDX39A;LSM3;POLR2D;HNRNPD;POLDIP3;EFTUD2;PDCD7;TXNL4A;POLR2I;SNRPF;CDK7;GEMIN2;SNRNP40;CSTF3;SRSF9;DDX41;POLR2C;HNRNPF;PPIL1;SRSF7;SRSF2;MAGOHB;LSM7;NCBP1;AURKAIP1;CWC25;SF3A3;EIF4A3;SNRPE;CPSF4;SRRM2;POLR2F;PRPF38A;LSM4;POLR2L;SMNDC1;PSPC1;CELF1;PABPN1;PHF5A;POLR2G;PPIE;CDC40;PRPF18;SYNCRIP;FRG1;THOC1;CTNNBL1;RBM8A;POLR2K;PUF60;CPSF3;POLR2E;MAGOH;SF3B5;SRSF3;RBM17;CWC27;PCBP1;SNRPA1;PLRG1;PRPF31;DDX23;PPIH;GTF2H1;SNRPB;ALYREF;THOC7;PQBP1;SART3;CCAR1;SNRNP27;BUD31;SON;SNRPB2;SNRNP35;THOC6;NAA38;PTBP1;RBM22;RNPS1;PRPF40A;ELAVL1;SRSF11;SF3B2;WDR33;HNRNPA3;SRRM1;BCAS2;PRPF6;KIN;SF3B6;UPF3B;LSM2;CPSF6;SNW1;ALKBH5;HNRNPC;POLR2J;SNRPD3;U2SURP;RBMX;SNRNP70;WBP11;PRCC;DDX46;HNRNPR;LSM5;SNRPD2;HNRNPM;UBL5;HNRNPH3;HNRNPA2B1,SNRPG;SNRPD1;GTF2H5;SNU13;SNRNP25;GEMIN7;PRPF4;GTF2H3;U2AF2;DDX39A;LSM3;POLR2D;HNRNPD;POLDIP3;EFTUD2;PDCD7;TXNL4A;POLR2I;SNRPF;CDK7;GEMIN2;SNRNP40;CSTF3;SRSF9;DDX41;POLR2C;HNRNPF;PPIL1;SRSF7;SRSF2;MAGOHB;LSM7;NCBP1;AURKAIP1;CWC25;SF3A3;EIF4A3;SNRPE;CPSF4;SRRM2;POLR2F;PRPF38A;LSM4;POLR2L;SMNDC1;PSPC1;CELF1;PABPN1;PHF5A;POLR2G;PPIE;CDC40;PRPF18;SYNCRIP;FRG1;THOC1;CTNNBL1;RBM8A;POLR2K;PUF60;CPSF3;POLR2E;MAGOH;SF3B5;SRSF3;RBM17;CWC27;PCBP1;SNRPA1;PLRG1;PRPF31;DDX23;PPIH;GTF2H1;SNRPB;ALYREF;THOC7;PQBP1;SART3;CCAR1;SNRNP27;BUD31;SON;SNRPB2;SNRNP35;THOC6;NAA38;PTBP1;RBM22;RNPS1;PRPF40A;ELAVL1;SRSF11;SF3B2;WDR33;HNRNPA3;SRRM1;BCAS2;PRPF6;KIN;SF3B6;UPF3B;LSM2;CPSF6;SNW1;ALKBH5;HNRNPC;POLR2J;SNRPD3;U2SURP;RBMX;SNRNP70;WBP11;PRCC;DDX46;HNRNPR;LSM5;SNRPD2;HNRNPM;UBL5;HNRNPH3;HNRNPA2B1
"mRNA splicing, via spliceosome (GO:0000398)",-0.059717867533023244,inf,,0.0,262,130,RBM15;HTATSF1;RBMX2;WDR77;GEMIN4;GEMIN6;GCFC2;PRPF19;NCBP2;METTL3;GTF2F2;HSPA8;PRMT5;POLR2H;SNRPG;SNRPD1;SNU13;SNRNP25;GEMIN7;PRPF4;U2AF2;DDX39A;LSM3;POLR2D;TGS1;HNRNPD;EFTUD2;PDCD7;SNUPN;TXNL4A;POLR2I;SNRPF;GEMIN2;SNRNP40;PRMT7;CSTF3;STRAP;SRSF9;TXNL4B;DDX41;POLR2C;HNRNPF;PPIL1;SRSF7;SRSF2;MAGOHB;LSM7;NCBP1;CWC25;SF3A3;EIF4A3;SNRPE;CPSF4;SRRM2;POLR2F;PRPF38A;LSM4;POLR2L;SMNDC1;PSPC1;PABPN1;PHF5A;POLR2G;PPIE;CDC40;SYNCRIP;FRG1;CTNNBL1;RBM8A;POLR2K;PUF60;CLNS1A;CPSF3;POLR2E;MAGOH;SF3B5;SRSF3;RBM17;CWC27;PCBP1;SNRPA1;SRPK1;PLRG1;PRPF31;DDX23;PPIH;SNRPB;ALYREF;PQBP1;SART3;DCPS;CCAR1;SNRNP27;BUD31;SNRPB2;SNRNP35;NAA38;PTBP1;RBM22;RNPS1;PRPF40A;ELAVL1;SRSF11;SF3B2;WDR33;HNRNPA3;SRRM1;BCAS2;PRPF6;SF3B6;UPF3B;LSM2;SNW1;HNRNPC;POLR2J;SNRPD3;U2SURP;RBMX;SNRNP70;WBP11;PRCC;DDX46;DDX1;HNRNPR;LSM5;SNRPD2;HNRNPM;UBL5;HNRNPH3;HNRNPA2B1,SNRPG;SNRPD1;SNU13;SNRNP25;GEMIN7;PRPF4;U2AF2;DDX39A;LSM3;POLR2D;TGS1;HNRNPD;EFTUD2;PDCD7;SNUPN;TXNL4A;POLR2I;SNRPF;GEMIN2;SNRNP40;PRMT7;CSTF3;STRAP;SRSF9;TXNL4B;DDX41;POLR2C;HNRNPF;PPIL1;SRSF7;SRSF2;MAGOHB;LSM7;NCBP1;CWC25;SF3A3;EIF4A3;SNRPE;CPSF4;SRRM2;POLR2F;PRPF38A;LSM4;POLR2L;SMNDC1;PSPC1;PABPN1;PHF5A;POLR2G;PPIE;CDC40;SYNCRIP;FRG1;CTNNBL1;RBM8A;POLR2K;PUF60;CLNS1A;CPSF3;POLR2E;MAGOH;SF3B5;SRSF3;RBM17;CWC27;PCBP1;SNRPA1;SRPK1;PLRG1;PRPF31;DDX23;PPIH;SNRPB;ALYREF;PQBP1;SART3;DCPS;CCAR1;SNRNP27;BUD31;SNRPB2;SNRNP35;NAA38;PTBP1;RBM22;RNPS1;PRPF40A;ELAVL1;SRSF11;SF3B2;WDR33;HNRNPA3;SRRM1;BCAS2;PRPF6;SF3B6;UPF3B;LSM2;SNW1;HNRNPC;POLR2J;SNRPD3;U2SURP;RBMX;SNRNP70;WBP11;PRCC;DDX46;DDX1;HNRNPR;LSM5;SNRPD2;HNRNPM;UBL5;HNRNPH3;HNRNPA2B1
RNA splicing (GO:0008380),-0.1757435246093301,-793.644098818459,0.0,0.030048277010154823,107,51,NCBP2;MPHOSPH10;MTERF3;SNRPG;SNRPD1;SNRNP25;PPIG;PRPF4;EFTUD2;PDCD7;TXNL4A;SNRPF;GEMIN2;SNRNP40;SRSF7;SRSF2;MAGOHB;LUC7L3;NCBP1;KHSRP;USB1;SF3A3;EIF4A3;LSM1;LSM4;SMNDC1;CDC40;PRPF18;SYNCRIP;MAGOH;SNRPA1;SRPK1;DDX23;SNRPB;MBNL1;SNRNP35;CDK12;NOL3;PTBP1;RNPS1;SRSF11;SF3B2;SRRM1;BCAS2;PRPF6;HNRNPC;SNRPD3;SNRNP70;PPP2CA;SNRPD2;HNRNPH3,SNRPG;SNRPD1;SNRNP25;PPIG;PRPF4;EFTUD2;PDCD7;TXNL4A;SNRPF;GEMIN2;SNRNP40;SRSF7;SRSF2;MAGOHB;LUC7L3;NCBP1;KHSRP;USB1;SF3A3;EIF4A3;LSM1;LSM4;SMNDC1;CDC40;PRPF18;SYNCRIP;MAGOH;SNRPA1;SRPK1;DDX23;SNRPB;MBNL1;SNRNP35;CDK12;NOL3;PTBP1;RNPS1;SRSF11;SF3B2;SRRM1;BCAS2;PRPF6;HNRNPC;SNRPD3;SNRNP70;PPP2CA;SNRPD2;HNRNPH3
respiratory electron transport chain (GO:0022904),-0.219690785787749,-376.93861829460866,0.0,0.052189112701847847,95,43,CYCS;SLC25A13;NDUFV3;CYC1;NDUFS7;SDHAF2;ETFDH;NDUFB9;SDHB;UQCRFS1;NDUFAB1;NDUFB2;NDUFAF1;UQCC3;NDUFB6;SDHD;NDUFS3;UQCRC2;COX5A;NDUFA1;NDUFC1;NDUFV2;ETFB;COX8A;NDUFA10;NDUFA6;NDUFB3;NDUFA8;NDUFV1;NDUFB8;UQCR10;COX7B;NDUFB10;NDUFA3;COX7A2L;UQCR11;NDUFS4;COX4I1;NDUFA4;NDUFS8;NDUFC2;UQCRQ;COX5B,NDUFB9;SDHB;UQCRFS1;NDUFAB1;NDUFB2;NDUFAF1;UQCC3;NDUFB6;SDHD;NDUFS3;UQCRC2;COX5A;NDUFA1;NDUFC1;NDUFV2;ETFB;COX8A;NDUFA10;NDUFA6;NDUFB3;NDUFA8;NDUFV1;NDUFB8;UQCR10;COX7B;NDUFB10;NDUFA3;COX7A2L;UQCR11;NDUFS4;COX4I1;NDUFA4;NDUFS8;NDUFC2;UQCRQ;COX5B
RNA modification (GO:0009451),0.5740964607628558,1.9861787079104605,0.0010362694300518134,0.06103486969055321,55,24,CTU1;TRMT6;TRMT61A;NAT10;CTU2;PUS3;LRPPRC;NOP2;NOP56;WDR4;SSB;METTL3;METTL1;NSUN5;QTRT1;FTSJ3;TRMT1;NOP58;URM1;TSR3;THG1L;NOP10;NSUN2;FTSJ1,CTU1;TRMT6;TRMT61A;NAT10;CTU2;PUS3;LRPPRC;NOP2;NOP56;WDR4;SSB;METTL3;METTL1;NSUN5;QTRT1;FTSJ3;TRMT1
nuclear export (GO:0051168),-0.1593860684769782,-392.182306060003,0.3333333333333333,0.06642250707507907,93,39,NCBP2;CHORDC1;THOC2;LSG1;NUP88;RITA1;U2AF2;DDX39A;POLDIP3;EIF5A;NXT1;RAN;SRSF9;NXF1;RANBP1;SRSF7;SRSF2;NUP133;MAGOHB;NCBP1;EIF4A3;EIF4E;CDC40;THOC1;RBM8A;CSE1L;RANBP3;MAGOH;SRSF3;NUPL2;ALYREF;THOC7;THOC6;XPO1;RNPS1;SRSF11;NUTF2;SRRM1;UPF3B,NCBP2;CHORDC1;THOC2;LSG1;NUP88;RITA1;U2AF2;DDX39A;POLDIP3;EIF5A;NXT1;RAN;SRSF9;NXF1;RANBP1;SRSF7;SRSF2;NUP133;MAGOHB;NCBP1;EIF4A3;EIF4E;CDC40;THOC1;RBM8A;CSE1L;RANBP3;MAGOH;SRSF3;NUPL2;ALYREF;THOC7;THOC6;XPO1;RNPS1;SRSF11;NUTF2;SRRM1;UPF3B
rRNA processing (GO:0006364),0.4722482688374186,1.8981179829892894,0.0,0.09255837381644332,203,109,UTP14A;PNO1;LYAR;WDR43;LTV1;DKC1;BOP1;MRTO4;RPP40;DHX37;WDR3;NAT10;BYSL;RIOK1;UTP15;RSL1D1;MAK16;RRP9;IMP4;EBNA1BP2;NOP2;EXOSC2;PES1;DCAF13;WDR55;NOP56;NOB1;NOP14;EXOSC4;RRP15;PDCD11;WDR36;WDR75;UTP4;UTP6;RRP1;EXOSC3;NHP2;WDR46;MPHOSPH10;UTP18;EXOSC5;SRFBP1;RPP25;LAS1L;TBL3;MDN1;TSR1;MRPS12;RIOK2;RPS13;DDX56;UTP3;RPL10;RRP1B;SNU13;EIF6;SBDS;NOLC1;NOP58;WDR12;BMS1;RRP7A;TEX10;ERI1;RRP36;DDX27;DIEXF;NOC4L;EMG1;EXOSC8;HEATR1;NOL11;EXOSC1;NSA2;KRR1;DDX49;C1D;TSR3;RPP38;MPHOSPH6;EXOSC9;MRPL1;EXOSC7;IMP3;RPL32;WDR18;RPF1;EXOSC10;PELP1;FBL;NOL8;RPS7;RPL36;RPL18;RPL35;RPS27A;RPL24;POP4;RPL27;RPL8;RPL38;RPL6;RPL35A;RPS21;RPL5;RPL19;RPS5;RPS14,UTP14A;PNO1;LYAR;WDR43;LTV1;DKC1;BOP1;MRTO4;RPP40;DHX37;WDR3;NAT10;BYSL;RIOK1;UTP15;RSL1D1;MAK16;RRP9;IMP4;EBNA1BP2;NOP2;EXOSC2;PES1;DCAF13;WDR55;NOP56;NOB1;NOP14;EXOSC4;RRP15;PDCD11;WDR36;WDR75;UTP4;UTP6;RRP1;EXOSC3;NHP2;WDR46;MPHOSPH10;UTP18;EXOSC5;SRFBP1;RPP25;LAS1L;TBL3;MDN1;TSR1;MRPS12;RIOK2;RPS13;DDX56;UTP3;RPL10;RRP1B;SNU13;EIF6;SBDS;NOLC1;NOP58
ribosomal large subunit assembly (GO:0000027),0.5720720976920157,1.8822705833864188,0.003161222339304531,0.09566042076500167,31,19,RRS1;BOP1;RPF2;MRTO4;PPAN;NLE1;NOP2;DDX28;MDN1;RPL10;MRPL20;BRIX1;FASTKD2;DHX30;WDR18;RPF1;RPL24;RPL6;RPL5,RRS1;BOP1;RPF2;MRTO4;PPAN;NLE1;NOP2;DDX28
