Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
tRNA modification (GO:0006400),0.601230082914177,2.693448379522884,0.0,0.019490410867683293,58,28,CTU1;PUS1;TRMT6;TRMT61A;NAT10;CTU2;PUS3;YRDC;WDR4;SSB;METTL1;TRMT61B;THUMPD2;OSGEP;QTRT1;RPUSD3;TRMT1;PUSL1;CDK5RAP1;RPUSD1;THUMPD3;URM1;TRMT112;SEPHS1;THG1L;METTL2A;NSUN2;FTSJ1,CTU1;PUS1;TRMT6;TRMT61A;NAT10;CTU2;PUS3;YRDC;WDR4;SSB;METTL1;TRMT61B;THUMPD2;OSGEP;QTRT1;RPUSD3;TRMT1;PUSL1;CDK5RAP1;RPUSD1;THUMPD3
maturation of LSU-rRNA (GO:0000470),0.6006799159774988,2.610114439385104,0.0,0.031865274910656806,23,18,BOP1;RPF2;RSL1D1;MAK16;NOP2;PES1;RRP15;NHP2;LAS1L;FTSJ3;SNU13;EIF6;WDR12;NSA2;MRPL1;RPL7L1;RPF1;RPL35,BOP1;RPF2;RSL1D1;MAK16;NOP2;PES1;RRP15;NHP2;LAS1L;FTSJ3;SNU13;EIF6;WDR12
RNA modification (GO:0009451),0.6062858735049657,2.6957707625795937,0.0,0.03619647732569754,55,25,CTU1;TRMT6;TRMT61A;NAT10;CTU2;PUS3;LRPPRC;NOP2;NOP56;WDR4;SSB;METTL3;METTL1;NSUN5;QTRT1;FTSJ3;TRMT1;NOP58;URM1;TSR3;THG1L;NOP10;NSUN2;FTSJ1;ADAR,CTU1;TRMT6;TRMT61A;NAT10;CTU2;PUS3;LRPPRC;NOP2;NOP56;WDR4;SSB;METTL3;METTL1;NSUN5;QTRT1;FTSJ3;TRMT1
ribosomal large subunit biogenesis (GO:0042273),0.5411980561836823,2.5325499750775187,0.0,0.04325014983019245,64,43,RRS1;NOP16;BOP1;RPF2;MRTO4;PPAN;RSL1D1;NLE1;MAK16;EBNA1BP2;PAK1IP1;NOP2;PES1;WDR74;WDR55;RRP15;NHP2;SURF6;LAS1L;NIP7;GTF3A;MDN1;RPL10;SNU13;EIF6;NOC2L;MRPL20;WDR12;AAMP;BRIX1;MALSU1;NSA2;NPM1;RPL26L1;MRPL1;WDR18;RPF1;RPL24;RPL6;RPL35A;RPL5;RPL11;RPL3L,RRS1;NOP16;BOP1;RPF2;MRTO4;PPAN;RSL1D1;NLE1;MAK16;EBNA1BP2;PAK1IP1;NOP2;PES1;WDR74;WDR55;RRP15;NHP2;SURF6;LAS1L;NIP7;GTF3A;MDN1;RPL10;SNU13;EIF6;NOC2L;MRPL20;WDR12;AAMP
tRNA processing (GO:0008033),0.5272573543601515,2.4669269588664013,0.0,0.046753783212359325,63,33,CTU1;TSEN2;TRMT6;RPP40;TRMT61A;CTU2;PUS3;POP5;TRNT1;POP1;WDR4;SSB;METTL1;RPP25;QTRT1;TSEN54;TRMT1;TRMT10C;POP7;URM1;TSEN15;RTCB;KARS;CPSF4;ELAC2;THG1L;RPP38;NSUN2;HSD17B10;FTSJ1;TSEN34;DDX1;POP4,CTU1;TSEN2;TRMT6;RPP40;TRMT61A;CTU2;PUS3;POP5;TRNT1;POP1;WDR4;SSB;METTL1;RPP25;QTRT1;TSEN54;TRMT1;TRMT10C
rRNA processing (GO:0006364),0.49189305705982017,2.539226686513313,0.0,0.05081428547646001,203,138,UTP14A;PNO1;LYAR;WDR43;LTV1;DKC1;BOP1;MRTO4;RPP40;DHX37;WDR3;NAT10;BYSL;RIOK1;UTP15;RSL1D1;MAK16;RRP9;IMP4;EBNA1BP2;NOP2;EXOSC2;PES1;DCAF13;WDR55;NOP56;NOB1;NOP14;EXOSC4;RRP15;PDCD11;WDR36;WDR75;UTP4;UTP6;RRP1;EXOSC3;NHP2;WDR46;MPHOSPH10;UTP18;EXOSC5;SRFBP1;RPP25;LAS1L;TBL3;MDN1;TSR1;MRPS12;RIOK2;RPS13;DDX56;UTP3;RPL10;RRP1B;SNU13;EIF6;SBDS;NOLC1;NOP58;WDR12;BMS1;RRP7A;TEX10;ERI1;RRP36;DDX27;DIEXF;NOC4L;EMG1;EXOSC8;HEATR1;NOL11;EXOSC1;NSA2;KRR1;DDX49;C1D;TSR3;RPP38;MPHOSPH6;EXOSC9;MRPL1;EXOSC7;IMP3;RPL32;WDR18;RPF1;EXOSC10;PELP1;FBL;NOL8;RPS7;RPL36;RPL18;RPL35;RPS27A;RPL24;POP4;RPL27;RPL8;RPL38;RPL6;RPL35A;RPS21;RPL5;RPL19;RPS5;RPS14;RPS2;RPL15;RPL21;RPS29;RPL11;UBA52;RPL30;RPS9;RPS15A;RPS19;RPS8;RPS24;RPS6;RPS20;RPS3;RPL39;RPL31;RPS3A;RPS4X;RPL22;RPL28;RPL34;RPSA;RPL13A;RPS11;RPLP1;RPS27;RPL37;RPL27A,UTP14A;PNO1;LYAR;WDR43;LTV1;DKC1;BOP1;MRTO4;RPP40;DHX37;WDR3;NAT10;BYSL;RIOK1;UTP15;RSL1D1;MAK16;RRP9;IMP4;EBNA1BP2;NOP2;EXOSC2;PES1;DCAF13;WDR55;NOP56;NOB1;NOP14;EXOSC4;RRP15;PDCD11;WDR36;WDR75;UTP4;UTP6;RRP1;EXOSC3;NHP2;WDR46;MPHOSPH10;UTP18;EXOSC5;SRFBP1;RPP25;LAS1L;TBL3;MDN1;TSR1;MRPS12;RIOK2;RPS13;DDX56;UTP3;RPL10;RRP1B;SNU13;EIF6;SBDS;NOLC1;NOP58
rRNA metabolic process (GO:0016072),0.4777444674844027,2.4690949865537184,0.0,0.05276995595467994,201,132,UTP14A;PNO1;LYAR;WDR43;LTV1;DKC1;BOP1;MRTO4;RPP40;NIFK;DHX37;WDR3;BYSL;RIOK1;CD3EAP;UTP15;RRP9;IMP4;EBNA1BP2;EXOSC2;PES1;DCAF13;WDR55;NOP56;NOB1;NOP14;EXOSC4;PDCD11;WDR36;WDR75;UTP4;UTP6;RRP1;EXOSC3;WDR46;MPHOSPH10;UTP18;EXOSC5;RPP25;LAS1L;TBL3;GTF3A;MDN1;TSR1;MRPS12;RIOK2;RPS13;DDX56;UTP3;RPL10;RRP1B;SNU13;SBDS;NOLC1;NOP58;WDR12;BMS1;MARS;RRP7A;TEX10;ERI1;RRP36;DDX27;DIEXF;NOC4L;EMG1;EXOSC8;HEATR1;NOL11;EXOSC1;KRR1;DDX49;C1D;RPP38;SIRT7;MPHOSPH6;EXOSC9;EXOSC7;IMP3;RPL32;WDR18;RPF1;EXOSC10;PELP1;FBL;NOL8;RPS7;RPL36;RPL18;RPL35;RPS27A;RPL24;POP4;RPL27;RPL8;RPL38;RPL6;RPL35A;RPS21;RPL5;RPL19;RPS5;RPS14;RPS2;RPL15;RPL21;RPS29;RPL11;UBA52;RPL30;RPS9;RPS15A;RPS19;RPS8;RPS24;RPS6;RPS20;RPS3;RPL39;RPL31;RPS3A;RPS4X;RPL22;RPL28;RPL34;RPSA;RPL13A;RPS11;RPLP1;RPS27;RPL37;RPL27A,UTP14A;PNO1;LYAR;WDR43;LTV1;DKC1;BOP1;MRTO4;RPP40;NIFK;DHX37;WDR3;BYSL;RIOK1;CD3EAP;UTP15;RRP9;IMP4;EBNA1BP2;EXOSC2;PES1;DCAF13;WDR55;NOP56;NOB1;NOP14;EXOSC4;PDCD11;WDR36;WDR75;UTP4;UTP6;RRP1;EXOSC3;WDR46;MPHOSPH10;UTP18;EXOSC5;RPP25;LAS1L;TBL3;GTF3A;MDN1;TSR1;MRPS12;RIOK2;RPS13;DDX56;UTP3;RPL10;RRP1B;SNU13;SBDS;NOLC1;NOP58
ncRNA processing (GO:0034470),0.4642169762792971,2.419433056751718,0.0,0.05981184287437201,228,139,UTP14A;PNO1;LYAR;WDR43;LTV1;DKC1;BOP1;MRTO4;RPP40;DHX37;WDR3;BYSL;RIOK1;UTP15;RRP9;IMP4;EBNA1BP2;EXOSC2;PES1;DCAF13;WDR55;NOP56;NOB1;NOP14;EXOSC4;PDCD11;POP1;SSB;WDR36;WDR75;UTP4;UTP6;METTL3;RRP1;EXOSC3;WDR46;MPHOSPH10;AGO2;UTP18;EXOSC5;RPP25;LAS1L;TBL3;MDN1;TSR1;MRPS12;RIOK2;RPS13;DDX56;UTP3;RPL10;RRP1B;SNU13;SBDS;NOLC1;POP7;NOP58;WDR12;BMS1;RRP7A;TEX10;ERI1;RRP36;DDX27;DIEXF;NOC4L;EMG1;EXOSC8;HEATR1;NOL11;NCBP1;EXOSC1;KARS;KRR1;INTS12;DDX49;C1D;THG1L;RPP38;MPHOSPH6;EXOSC9;EXOSC7;PRKRA;IMP3;RPL32;WDR18;RPF1;EXOSC10;PELP1;FBL;NOL8;RPS7;RPL36;RPL18;RPL35;RPS27A;RPL24;HNRNPA2B1;POP4;RPL27;RPL8;RPL38;RPL6;RPL35A;RPS21;RPL5;RPL19;RPS5;RPS14;RPS2;RPL15;RPL21;RPS29;RPL11;UBA52;RPL30;RPS9;RPS15A;RPS19;RPS8;RPS24;RPS6;RPS20;RPS3;RPL39;RPL31;RPS3A;RPS4X;RPL22;RPL28;RPL34;RPSA;RPL13A;RPS11;RPLP1;RPS27;RPL37;RPL27A;ADAR,UTP14A;PNO1;LYAR;WDR43;LTV1;DKC1;BOP1;MRTO4;RPP40;DHX37;WDR3;BYSL;RIOK1;UTP15;RRP9;IMP4;EBNA1BP2;EXOSC2;PES1;DCAF13;WDR55;NOP56;NOB1;NOP14;EXOSC4;PDCD11;POP1;SSB;WDR36;WDR75;UTP4;UTP6;METTL3;RRP1;EXOSC3;WDR46;MPHOSPH10;AGO2;UTP18;EXOSC5;RPP25;LAS1L;TBL3;MDN1;TSR1;MRPS12;RIOK2;RPS13;DDX56;UTP3;RPL10;RRP1B;SNU13;SBDS;NOLC1;POP7;NOP58
maturation of SSU-rRNA (GO:0030490),0.5220355501318692,2.4058339091161636,0.0,0.0598634048078844,47,37,UTP14A;WDR3;NAT10;RIOK1;DCAF13;NOB1;NOP14;PDCD11;UTP4;UTP6;UTP23;NOL10;WDR46;MPHOSPH10;UTP18;SRFBP1;TBL3;TSR1;RIOK2;UTP3;SNU13;BMS1;RRP36;DIEXF;NOC4L;EMG1;HEATR1;NOL11;KRR1;TSR3;NGDN;MRPS11;TSR2;RPS14;RPS19;RPS8;RPS24,UTP14A;WDR3;NAT10;RIOK1;DCAF13;NOB1;NOP14;PDCD11;UTP4;UTP6;UTP23;NOL10;WDR46;MPHOSPH10;UTP18;SRFBP1;TBL3;TSR1;RIOK2;UTP3;SNU13
neutrophil degranulation (GO:0043312),-0.2263318242878693,-27.156508536027225,0.017543859649122806,0.06095600058470984,480,133,ATAD3B;PSMD14;TRPM2;HMOX2;PTGES2;PSMD3;KCMF1;PSMA5;APRT;PSMD12;CCT2;VAMP7;HSPA8;NIT2;PA2G4;PRSS3;PSMD11;PSMD7;PSMD13;HSP90AA1;PLAUR;PSMD1;CCT8;RHOF;AP1M1;DNASE1L1;HSP90AB1;PSMC2;MAPK1;KPNB1;HSPA1A;FUCA2;PSMD2;PSMB7;GYG1;PNP;CD44;GLA;MIF;ANXA3;COTL1;PSMA2;DYNC1LI1;PPIE;PSMB1;HSPA1B;DBNL;TUBB4B;GPI;PRDX4;CD58;TMEM179B;NAPRT;RHOG;CPNE3;CYSTM1;PSMD6;DGAT1;CD47;VCP;RAB10;CTSZ;CEP290;HEBP2;COPB1;PGAM1;PAFAH1B2;LAMTOR1;IMPDH2;RAB5C;STXBP3;PSMC3;SVIP;MLEC;PRDX6;GSDMD;ACAA1;HMGB1;RAB7A;CD59;XRCC6;BRI3;ALDOA;NDUFC2;DYNLL1;XRCC5;FABP5;CSTB;PPIA;FTL;PKM;CAT;SRP14;DSP;DDOST;CD63;CDA;GGH;ERP44;VAMP8;RHOA;CAPN1;LAMP1;PYCARD;CST3;ARPC5;GSTP1;CTSD;EEF1A1;PLAC8;S100A11;SDCBP;CFD;GSN;B2M;VAT1;PSAP;FTH1;CREG1;JUP;YPEL5;IDH1;GRN;TIMP2;NPC2;OLR1;SLPI;SYNGR1;BST2;CTSH;ALOX5;LCN2;CALML5,CFD;GSN;B2M;VAT1;PSAP;FTH1;CREG1;JUP;YPEL5;IDH1;GRN;TIMP2;NPC2;OLR1;SLPI;SYNGR1;BST2;CTSH;ALOX5;LCN2;CALML5
