Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
cytoplasmic translation (GO:0002181),0.6092307692307656,1430.6358381503162,0.0,0.0,55,33,RPS26;RPL4;RPL19;RPLP1;RPL36A;RPS21;RPL41;RPL24;RPLP2;RPL26;RPS3;RPS23;RPL29;RPLP0;RPS20;RPL10A;RPL22;RPL8;RPL6;RPL11;RPL7;RPL18A;RPL17;RPL38;RPL39;RPL31;RPL27A;RPS29;RPL30;RPS28;EIF4B;RPS3A;RPL15,RPS26;RPL4;RPL19;RPLP1;RPL36A;RPS21;RPL41;RPL24;RPLP2;RPL26;RPS3;RPS23;RPL29;RPLP0;RPS20;RPL10A;RPL22;RPL8;RPL6;RPL11;RPL7;RPL18A;RPL17;RPL38;RPL39;RPL31;RPL27A;RPS29;RPL30;RPS28;EIF4B;RPS3A;RPL15
proteasomal protein catabolic process (GO:0010498),0.3299382649275548,1946.278429211672,0.0,0.0,238,24,PSMD8;PCBP2;RNF5;UBXN1;UBA52;RPS27A;UBC;ERLEC1;SHARPIN;NFE2L2;MARCH6;PSMD10;BIRC2;RNF139;UBE2D1;UBXN6;ATXN3;SIRT2;SPSB3;ZNRF1;TBL1XR1;NHLRC3;BTBD3;ABTB1,PSMD8;PCBP2;RNF5;UBXN1;UBA52;RPS27A;UBC;ERLEC1;SHARPIN;NFE2L2;MARCH6;PSMD10;BIRC2;RNF139;UBE2D1;UBXN6;ATXN3;SIRT2;SPSB3;ZNRF1;TBL1XR1;NHLRC3;BTBD3
SRP-dependent cotranslational protein targeting to membrane (GO:0006614),0.5313297190439392,inf,,0.0,90,61,RPS14;RPS26;RPL21;RPS5;RPL4;RPL37A;RPL19;RPLP1;RPL36A;RPS21;SRP14;RPL41;RPL24;RPLP2;RPL23;RPL26;UBA52;RPS3;RPS27A;RPS23;RPL28;RPL29;RPS9;RPLP0;RPL5;RPL23A;RPL34;RPS15;RPS20;RPL10A;RPL22;RPL8;RPS25;RPL6;RPS11;RPL11;RPL7;RPL18A;RPL17;RPL38;RPL39;RPL3;RPL31;RPSA;RPS8;RPL27A;RPS19;RPS4X;RPS15A;RPL13;RPS6;RPS29;RPL30;RPL14;RPL37;RPL13A;RPS28;RPS3A;RPL15;RPS27;RPS16,RPS14;RPS26;RPL21;RPS5;RPL4;RPL37A;RPL19;RPLP1;RPL36A;RPS21;SRP14;RPL41;RPL24;RPLP2;RPL23;RPL26;UBA52;RPS3;RPS27A;RPS23;RPL28;RPL29;RPS9;RPLP0;RPL5;RPL23A;RPL34;RPS15;RPS20;RPL10A;RPL22;RPL8;RPS25;RPL6;RPS11;RPL11;RPL7;RPL18A;RPL17;RPL38;RPL39;RPL3;RPL31;RPSA;RPS8;RPL27A;RPS19;RPS4X;RPS15A;RPL13;RPS6;RPS29;RPL30;RPL14;RPL37;RPL13A;RPS28;RPS3A;RPL15
cellular macromolecule biosynthetic process (GO:0034645),0.14437490600759229,inf,,0.0,368,80,RPS14;RPS26;RPL21;RPS5;RPL4;RPL37A;RPL19;RPLP1;RPL36A;RPS21;RPL41;RPL24;RPLP2;RPL23;RPL26;RPS3;RPS27A;RPS23;RPL28;RPL29;RPS9;RPLP0;RPL5;RPL23A;RPL34;RPS15;RPS20;RPL10A;RPL22;RPL8;RPS25;RPL6;BPTF;AKR1B1;RPS11;NR3C1;RPL11;RPL7;RPL18A;IGF2BP3;RPL17;POLR2A;RPL38;RPL39;RPL3;RPL31;RPSA;RPS8;EEF2;RPL27A;RPS19;EEF1D;RSL24D1;RPS4X;RPS15A;RPL13;RPS6;RPS29;RPL30;RPL14;RPL37;DHPS;RPL13A;RPS28;SMARCA1;RPS3A;RPL15;EEF1A1;BAZ2B;ATF6B;RPS27;ST3GAL4;RPS16;GATA2;MLF1;RPL3L;ING4;CALCOCO1;GCNT1;NKX2-8,RPS14;RPS26;RPL21;RPS5;RPL4;RPL37A;RPL19;RPLP1;RPL36A;RPS21;RPL41;RPL24;RPLP2;RPL23;RPL26;RPS3;RPS27A;RPS23;RPL28;RPL29;RPS9;RPLP0;RPL5;RPL23A;RPL34;RPS15;RPS20;RPL10A;RPL22;RPL8;RPS25;RPL6;BPTF;AKR1B1;RPS11;NR3C1;RPL11;RPL7;RPL18A;IGF2BP3;RPL17;POLR2A;RPL38;RPL39;RPL3;RPL31;RPSA;RPS8;EEF2;RPL27A;RPS19;EEF1D;RSL24D1;RPS4X;RPS15A;RPL13;RPS6;RPS29;RPL30;RPL14;RPL37;DHPS;RPL13A;RPS28;SMARCA1
cotranslational protein targeting to membrane (GO:0006613),0.5388049006812937,inf,,0.0,94,65,ARL6IP1;RPS14;RPS26;RPL21;RPS5;RPL4;RPL37A;RPL19;RPLP1;RPL36A;RPS21;SRP14;RPL41;RPL24;RPLP2;RPL23;RPL26;UBA52;RPS3;RPS27A;RPS23;RPL28;RPL29;RPS9;RPLP0;SEC62;RPL5;RPL23A;RPL34;RPS15;RPS20;RPL10A;RPL22;RPL8;RPS25;RPL6;RPS11;RPL11;RPL7;RPL18A;RPL17;RPL38;RPL39;RPL3;RPL31;RPSA;RPS8;RPL27A;RPS19;RPS4X;RPS15A;RPL13;RPS6;RPS29;RPL30;SSR2;RPL14;RPL37;RPL13A;RPS28;TRAM1;RPS3A;RPL15;RPS27;RPS16,ARL6IP1;RPS14;RPS26;RPL21;RPS5;RPL4;RPL37A;RPL19;RPLP1;RPL36A;RPS21;SRP14;RPL41;RPL24;RPLP2;RPL23;RPL26;UBA52;RPS3;RPS27A;RPS23;RPL28;RPL29;RPS9;RPLP0;SEC62;RPL5;RPL23A;RPL34;RPS15;RPS20;RPL10A;RPL22;RPL8;RPS25;RPL6;RPS11;RPL11;RPL7;RPL18A;RPL17;RPL38;RPL39;RPL3;RPL31;RPSA;RPS8;RPL27A;RPS19;RPS4X;RPS15A;RPL13;RPS6;RPS29;RPL30;SSR2;RPL14;RPL37;RPL13A;RPS28;TRAM1;RPS3A;RPL15
ncRNA processing (GO:0034470),0.41269300588619423,inf,,0.0,228,65,RPS14;RPS26;RPL21;RPS5;RPL4;RPL37A;RPL19;RPLP1;RPL36A;RPS21;RPL41;RPL24;RPLP2;RPL23;RPL26;UBA52;RPS3;RPS27A;RPS23;RPL28;RPL29;RPS9;RPLP0;RPL5;RPL23A;RPL34;RPS15;CSNK1D;RPS20;RPL10A;RPL22;RPL8;RPS25;RPL6;RPS11;RPL11;RPL7;RPL18A;RPL17;RPL38;RPL39;RPL3;RPL31;RPSA;RPS8;RPL27A;RPS19;RPS4X;RPS15A;RPL13;ADAR;RPS6;RPS29;RPL30;RPL14;RPL37;RPL13A;RPS28;ZCCHC11;RPS3A;RPL15;RPS27;RIOK3;RPS16;SAMD15,RPS14;RPS26;RPL21;RPS5;RPL4;RPL37A;RPL19;RPLP1;RPL36A;RPS21;RPL41;RPL24;RPLP2;RPL23;RPL26;UBA52;RPS3;RPS27A;RPS23;RPL28;RPL29;RPS9;RPLP0;RPL5;RPL23A;RPL34;RPS15;CSNK1D;RPS20;RPL10A;RPL22;RPL8;RPS25;RPL6;RPS11;RPL11;RPL7;RPL18A;RPL17;RPL38;RPL39;RPL3;RPL31;RPSA;RPS8;RPL27A;RPS19;RPS4X;RPS15A;RPL13;ADAR;RPS6;RPS29;RPL30;RPL14;RPL37;RPL13A;RPS28;ZCCHC11;RPS3A;RPL15
nuclear-transcribed mRNA catabolic process (GO:0000956),0.2933680572693133,inf,,0.0,175,75,RPS14;ZCCHC6;RPS26;RPL21;RPS5;RPL4;RPL37A;RPL19;RPLP1;RPL36A;UPF3A;RPS21;RPL41;RPL24;RPLP2;RPL23;RPL26;UBA52;RPS3;RPS27A;RPS23;RPL28;RPL29;RPS9;RPLP0;RPL5;PNRC2;RPL23A;RPL34;PABPC1;RPS15;RPS20;RPL10A;RPL22;RPL8;RPS25;RPL6;RPS11;CSDE1;RPL11;RPL7;RPL18A;RPL17;RPL38;RPL39;RPL3;RPL31;RPSA;RPS8;RPL27A;RPS19;RPS4X;RPS15A;RPL13;RPS6;RPS29;RPL30;RPL14;EIF3E;RPL37;RPL13A;RPS28;ZCCHC11;EIF4B;RPS3A;RPL15;SAMD4B;XRN1;EIF4A2;RPS27;ZFP36L1;RPS16;ZFP36;SAMD4A;PNRC1,RPS14;ZCCHC6;RPS26;RPL21;RPS5;RPL4;RPL37A;RPL19;RPLP1;RPL36A;UPF3A;RPS21;RPL41;RPL24;RPLP2;RPL23;RPL26;UBA52;RPS3;RPS27A;RPS23;RPL28;RPL29;RPS9;RPLP0;RPL5;PNRC2;RPL23A;RPL34;PABPC1;RPS15;RPS20;RPL10A;RPL22;RPL8;RPS25;RPL6;RPS11;CSDE1;RPL11;RPL7;RPL18A;RPL17;RPL38;RPL39;RPL3;RPL31;RPSA;RPS8;RPL27A;RPS19;RPS4X;RPS15A;RPL13;RPS6;RPS29;RPL30;RPL14;EIF3E;RPL37;RPL13A;RPS28;ZCCHC11;EIF4B;RPS3A;RPL15;SAMD4B;XRN1;EIF4A2
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",0.43333649695385196,inf,,0.0,113,65,RPS14;RPS26;RPL21;RPS5;RPL4;RPL37A;RPL19;RPLP1;RPL36A;UPF3A;RPS21;RPL41;RPL24;RPLP2;RPL23;RPL26;UBA52;RPS3;RPS27A;RPS23;RPL28;RPL29;RPS9;RPLP0;RPL5;PNRC2;RPL23A;RPL34;PABPC1;RPS15;RPS20;RPL10A;RPL22;RPL8;RPS25;RPL6;RPS11;RPL11;RPL7;RPL18A;RPL17;RPL38;RPL39;RPL3;RPL31;RPSA;RPS8;RPL27A;RPS19;RPS4X;RPS15A;RPL13;RPS6;RPS29;RPL30;RPL14;EIF3E;RPL37;RPL13A;RPS28;RPS3A;RPL15;RPS27;RPS16;PNRC1,RPS14;RPS26;RPL21;RPS5;RPL4;RPL37A;RPL19;RPLP1;RPL36A;UPF3A;RPS21;RPL41;RPL24;RPLP2;RPL23;RPL26;UBA52;RPS3;RPS27A;RPS23;RPL28;RPL29;RPS9;RPLP0;RPL5;PNRC2;RPL23A;RPL34;PABPC1;RPS15;RPS20;RPL10A;RPL22;RPL8;RPS25;RPL6;RPS11;RPL11;RPL7;RPL18A;RPL17;RPL38;RPL39;RPL3;RPL31;RPSA;RPS8;RPL27A;RPS19;RPS4X;RPS15A;RPL13;RPS6;RPS29;RPL30;RPL14;EIF3E;RPL37;RPL13A;RPS28;RPS3A;RPL15
peptide biosynthetic process (GO:0043043),0.2711579787176852,inf,,0.0,175,65,RPS14;RPS26;RPL21;RPS5;RPL4;RPL37A;RPL19;RPLP1;RPL36A;RPS21;RPL41;RPL24;RPLP2;RPL23;RPL26;RPS3;RPS27A;RPS23;RPL28;RPL29;RPS9;RPLP0;RPL5;RPL23A;RPL34;RPS15;RPS20;RPL10A;RPL22;RPL8;RPS25;RPL6;RPS11;RPL11;RPL7;RPL18A;IGF2BP3;RPL17;RPL38;RPL39;RPL3;RPL31;RPSA;RPS8;RPL27A;RPS19;RSL24D1;RPS4X;RPS15A;RPL13;RPS6;RPS29;RPL30;RPL14;RPL37;DHPS;RPL13A;RPS28;RPS3A;RPL15;EEF1A1;RPS27;RPS16;RPL3L;PCSK5,RPS14;RPS26;RPL21;RPS5;RPL4;RPL37A;RPL19;RPLP1;RPL36A;RPS21;RPL41;RPL24;RPLP2;RPL23;RPL26;RPS3;RPS27A;RPS23;RPL28;RPL29;RPS9;RPLP0;RPL5;RPL23A;RPL34;RPS15;RPS20;RPL10A;RPL22;RPL8;RPS25;RPL6;RPS11;RPL11;RPL7;RPL18A;IGF2BP3;RPL17;RPL38;RPL39;RPL3;RPL31;RPSA;RPS8;RPL27A;RPS19;RSL24D1;RPS4X;RPS15A;RPL13;RPS6;RPS29;RPL30;RPL14;RPL37;DHPS;RPL13A;RPS28;RPS3A;RPL15;EEF1A1
protein targeting to ER (GO:0045047),0.532779993751907,inf,,0.0,98,62,RPS14;RPS26;RPL21;RPS5;RPL4;RPL37A;RPL19;RPLP1;RPL36A;RPS21;SRP14;RPL41;RPL24;RPLP2;RPL23;RPL26;UBA52;RPS3;RPS27A;RPS23;RPL28;RPL29;RPS9;RPLP0;SEC62;RPL5;RPL23A;RPL34;RPS15;RPS20;RPL10A;RPL22;RPL8;RPS25;RPL6;RPS11;RPL11;RPL7;RPL18A;RPL17;RPL38;RPL39;RPL3;RPL31;RPSA;RPS8;RPL27A;RPS19;RPS4X;RPS15A;RPL13;RPS6;RPS29;RPL30;RPL14;RPL37;RPL13A;RPS28;RPS3A;RPL15;RPS27;RPS16,RPS14;RPS26;RPL21;RPS5;RPL4;RPL37A;RPL19;RPLP1;RPL36A;RPS21;SRP14;RPL41;RPL24;RPLP2;RPL23;RPL26;UBA52;RPS3;RPS27A;RPS23;RPL28;RPL29;RPS9;RPLP0;SEC62;RPL5;RPL23A;RPL34;RPS15;RPS20;RPL10A;RPL22;RPL8;RPS25;RPL6;RPS11;RPL11;RPL7;RPL18A;RPL17;RPL38;RPL39;RPL3;RPL31;RPSA;RPS8;RPL27A;RPS19;RPS4X;RPS15A;RPL13;RPS6;RPS29;RPL30;RPL14;RPL37;RPL13A;RPS28;RPS3A;RPL15
