Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
protein targeting to ER (GO:0045047),-0.29473490427098575,-2036.8956743002539,0.0,0.0,98,31,SRP72;SPCS3;RPS13;SRP19;CHMP4A;RPL35;PMM2;SRP68;RPL32;SEC63;SRP9;RPL10;RPL12;SRPRA;SEC61A1;SEC61G;RPL27;SPCS2;CHMP4B;SRP54;SPCS1;PMM1;RPS24;RPS10;RPL7A;RPS2;RPS18;RPS7;RPS17;RPL36;RPL18,SRP72;SPCS3;RPS13;SRP19;CHMP4A;RPL35;PMM2;SRP68;RPL32;SEC63;SRP9;RPL10;RPL12;SRPRA;SEC61A1;SEC61G;RPL27;SPCS2;CHMP4B;SRP54;SPCS1;PMM1;RPS24;RPS10;RPL7A;RPS2;RPS18;RPS7;RPS17;RPL36;RPL18
"retrograde vesicle-mediated transport, Golgi to ER (GO:0006890)",-0.2357498616491468,inf,,0.0,81,42,COPZ2;KLC2;KIF23;NAPA;PICK1;BNIP1;KIF11;SURF4;ERGIC2;PITPNB;RER1;GBF1;KIF18A;RACGAP1;ZW10;BICD2;COPB1;KIF3A;LMAN2;KIF2A;CENPE;KIF4A;KIF22;ARF4;KIF15;ARF3;RINT1;TMED9;RAB1B;KLC1;SCYL1;KIF2C;STX18;RAB1A;KIF3B;SCFD1;ARFGAP2;COG4;COPE;TMED7;ARCN1;UVRAG,COPZ2;KLC2;KIF23;NAPA;PICK1;BNIP1;KIF11;SURF4;ERGIC2;PITPNB;RER1;GBF1;KIF18A;RACGAP1;ZW10;BICD2;COPB1;KIF3A;LMAN2;KIF2A;CENPE;KIF4A;KIF22;ARF4;KIF15;ARF3;RINT1;TMED9;RAB1B;KLC1;SCYL1;KIF2C;STX18;RAB1A;KIF3B;SCFD1;ARFGAP2;COG4;COPE;TMED7;ARCN1;UVRAG
regulation of epidermal growth factor receptor signaling pathway (GO:0042058),-0.2515630746598072,-604.2402826855167,0.0,0.05952112039756042,59,25,RNF126;HIP1;PLAUR;AKT1;STAM;NUP62;CDH13;EPN1;FER;UBB;TSG101;PTPN3;EPS15L1;CBLC;GRB2;PTPN12;SH3KBP1;RNF115;APP;ERRFI1;CBL;MVB12A;ARHGEF7;HGS;EPS15,RNF126;HIP1;PLAUR;AKT1;STAM;NUP62;CDH13;EPN1;FER;UBB;TSG101;PTPN3;EPS15L1;CBLC;GRB2;PTPN12;SH3KBP1;RNF115;APP;ERRFI1;CBL;MVB12A;ARHGEF7;HGS;EPS15
cytosolic transport (GO:0016482),-0.14228662472088985,-737.2786864122671,1.0,0.06389767336796928,119,43,DENND2A;YKT6;PLEKHJ1;RNF126;VTI1A;VPS29;RBSN;RAB14;GOSR2;VPS26A;CCDC91;TBC1D10B;EEA1;GBF1;ARFRP1;ANKRD27;SORT1;SNF8;TBC1D5;RILP;SYS1;TRIM27;HOOK1;STX6;VPS13A;VTI1B;VPS52;SPAG9;TMEM87B;CLTC;ANKFY1;VPS26B;FAM160A2;TGOLN2;HOOK3;SNX6;EPS15;ZFYVE21;CLN5;SNX5;GOSR1;STX5;AP2A1,VTI1A;VPS29;RBSN;RAB14;GOSR2;VPS26A;CCDC91;TBC1D10B;EEA1;GBF1;ARFRP1;ANKRD27;SORT1;SNF8;TBC1D5;RILP;SYS1;TRIM27;HOOK1;STX6;VPS13A;VTI1B;VPS52;SPAG9;TMEM87B;CLTC;ANKFY1;VPS26B;FAM160A2;TGOLN2;HOOK3;SNX6;EPS15;ZFYVE21;CLN5;SNX5;GOSR1;STX5;AP2A1
"mitochondrial electron transport, NADH to ubiquinone (GO:0006120)",-0.30222713049881555,-745.6025827490845,0.0,0.08519689782395905,47,30,NDUFAB1;MT-ND6;NDUFV3;NDUFA8;NDUFS1;NDUFA6;NDUFS8;NDUFB2;NDUFS3;NDUFB9;NDUFB8;NDUFA12;NDUFV1;NDUFS7;NDUFB3;NDUFAF1;NDUFS4;NDUFA10;NDUFA4;NDUFC2;NDUFA9;NDUFV2;NDUFA3;NDUFB6;NDUFA5;NDUFA2;NDUFA13;NDUFA1;NDUFS6;NDUFB1,NDUFAB1;MT-ND6;NDUFV3;NDUFA8;NDUFS1;NDUFA6;NDUFS8;NDUFB2;NDUFS3;NDUFB9;NDUFB8;NDUFA12;NDUFV1;NDUFS7;NDUFB3;NDUFAF1;NDUFS4;NDUFA10;NDUFA4;NDUFC2;NDUFA9;NDUFV2;NDUFA3;NDUFB6;NDUFA5;NDUFA2;NDUFA13;NDUFA1;NDUFS6;NDUFB1
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",-0.1550930189721877,-808.774646750572,1.0,0.12779534673593856,113,34,NCBP1;ETF1;MAGOHB;GSPT1;NCBP2;RPS13;EIF4G1;PPP2CA;PPP2R2A;RNPS1;RBM8A;EIF4A3;RPL35;MAGOH;UPF3B;UPF1;RPL32;RPL10;RPL12;PPP2R1A;RPL27;UPF2;SMG7;RPS24;RPS10;PYM1;RPL7A;RPS2;RPS18;RPS7;RPS17;RPL36;SKIV2L;RPL18,NCBP1;ETF1;MAGOHB;GSPT1;NCBP2;RPS13;EIF4G1;PPP2CA;PPP2R2A;RNPS1;RBM8A;EIF4A3;RPL35;MAGOH;UPF3B;UPF1;RPL32;RPL10;RPL12;PPP2R1A;RPL27;UPF2;SMG7;RPS24;RPS10;PYM1;RPL7A;RPS2;RPS18;RPS7;RPS17;RPL36;SKIV2L;RPL18
extracellular matrix disassembly (GO:0022617),0.6345205630993158,1.7435233843357212,0.001037344398340249,0.15345987256477142,79,16,MMP1;ADAM8;KLK5;CD44;LAMC2;NOXO1;FURIN;LAMA3;CTSL;HTRA1;LCP1;TIMP1;ADAM15;CAPN2;BSG;FN1,MMP1;ADAM8;KLK5;CD44;LAMC2;NOXO1;FURIN
ribosome biogenesis (GO:0042254),0.5324996494301051,1.7641645746877497,0.0,0.1717870866449591,227,138,PNO1;RPP40;PAK1IP1;RIOK1;BOP1;NOP16;DKC1;UTP14A;URB2;LYAR;RRS1;NOP56;WDR43;RPF2;RRP9;PDCD11;HEATR3;UTP4;NOLC1;LTV1;EXOSC9;EXOSC2;MRTO4;WDR3;RRP1;UTP15;TSR1;IMP4;NOP58;RPP25;WDR74;NAF1;EXOSC8;NOM1;BYSL;RRP36;DDX56;UTP3;DCAF13;EXOSC5;EBNA1BP2;SBDS;WDR75;NOC4L;UTP20;RPP30;UTP18;SURF6;RRP7A;MDN1;MTERF3;NIP7;WDR12;ERI1;DDX31;DHX37;TEX10;NOC2L;EXOSC3;LSG1;MALSU1;RCL1;WDR46;PES1;NOL8;NOB1;UTP6;POP4;EXOSC1;SDAD1;RAN;RIOK2;BMS1;NOP14;NOL11;KRR1;GTF3A;MPHOSPH10;MPHOSPH6;WDR36;EIF6;EMG1;LAS1L;IMP3;GNL3;GNL2;RPS13;NPM1;HEATR1;RRP1B;RPL26L1;WDR55;DDX49;SNU13;EXOSC6;ABCE1;AAMP;DIEXF;XPO1;NOL9;RPP38;RPP21;MTG1;TBL3;EXOSC4;EXOSC10;PELP1;DDX52;RPF1;EXOSC7;NVL;SETD4;RPL35;DDX27;XRN2;ISG20L2;MTERF4;WDR18;C1D;RPL32;PIH1D1;RPL10;RPL12;RPL27;ZNF622;FCF1;CSNK1E;RPS24;RPS10;RPL7A;RPS2;DIS3;RPS18;NOA1;RPS7;RPS17;RPL36;RPL18,PNO1;RPP40;PAK1IP1;RIOK1;BOP1;NOP16;DKC1;UTP14A;URB2;LYAR;RRS1;NOP56;WDR43;RPF2;RRP9;PDCD11;HEATR3;UTP4;NOLC1;LTV1;EXOSC9;EXOSC2;MRTO4;WDR3;RRP1;UTP15;TSR1;IMP4;NOP58;RPP25;WDR74;NAF1;EXOSC8;NOM1;BYSL;RRP36;DDX56;UTP3;DCAF13;EXOSC5;EBNA1BP2;SBDS;WDR75;NOC4L;UTP20;RPP30;UTP18;SURF6;RRP7A;MDN1;MTERF3;NIP7;WDR12;ERI1;DDX31;DHX37;TEX10;NOC2L;EXOSC3;LSG1;MALSU1;RCL1;WDR46;PES1;NOL8;NOB1;UTP6;POP4;EXOSC1;SDAD1;RAN;RIOK2;BMS1;NOP14;NOL11;KRR1;GTF3A;MPHOSPH10;MPHOSPH6;WDR36
rRNA processing (GO:0006364),0.5284722661637633,1.7222429004843693,0.0,0.1752430755857945,203,119,PNO1;RPP40;RIOK1;BOP1;DKC1;UTP14A;LYAR;NOP56;WDR43;RRP9;PDCD11;UTP4;NOLC1;NAT10;LTV1;EXOSC9;EXOSC2;MRTO4;WDR3;RRP1;UTP15;TSR1;IMP4;NOP2;NOP58;RPP25;EXOSC8;BYSL;RRP36;DDX56;RRP15;UTP3;DCAF13;EXOSC5;EBNA1BP2;SBDS;WDR75;NOC4L;UTP20;RPP30;UTP18;RRP7A;MDN1;WDR12;ERI1;DHX37;TEX10;EXOSC3;SRFBP1;NHP2;RCL1;WDR46;MAK16;PES1;NOL8;NOB1;UTP6;POP4;EXOSC1;RIOK2;BMS1;NOP14;RSL1D1;NOL11;KRR1;MPHOSPH10;MPHOSPH6;WDR36;EIF6;EMG1;LAS1L;MRPL1;IMP3;RPS13;SKIV2L2;HEATR1;RRP1B;WDR55;DDX49;SNU13;EXOSC6;DIEXF;NOL9;RPP38;RPP21;TBL3;EXOSC4;EXOSC10;PELP1;DDX52;RPF1;EXOSC7;RPL35;TSR3;DDX27;XRN2;NSA2;ISG20L2;SART1;WDR18;C1D;RPL32;PIH1D1;RPL10;RPL12;TFB1M;RPL27;FCF1;CSNK1E;RPS24;RPS10;RPL7A;RPS2;DIS3;RPS18;RPS7;RPS17;RPL36;RPL18,PNO1;RPP40;RIOK1;BOP1;DKC1;UTP14A;LYAR;NOP56;WDR43;RRP9;PDCD11;UTP4;NOLC1;NAT10;LTV1;EXOSC9;EXOSC2;MRTO4;WDR3;RRP1;UTP15;TSR1;IMP4;NOP2;NOP58;RPP25;EXOSC8;BYSL;RRP36;DDX56;RRP15;UTP3;DCAF13;EXOSC5;EBNA1BP2;SBDS;WDR75;NOC4L;UTP20;RPP30;UTP18;RRP7A;MDN1;WDR12;ERI1;DHX37;TEX10;EXOSC3;SRFBP1;NHP2;RCL1;WDR46;MAK16;PES1;NOL8;NOB1;UTP6;POP4;EXOSC1;RIOK2;BMS1;NOP14;RSL1D1;NOL11;KRR1;MPHOSPH10;MPHOSPH6;WDR36
regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083),0.6286187910031389,1.7465569859467411,0.00303951367781155,0.17672321630388965,27,18,CCNA1;CCNE1;CDC45;RRM2;ORC1;CDC6;DHFR;E2F1;PCNA;ZPR1;E2F7;CDT1;TFDP1;TYMS;POLA1;FBXO5;NPAT;BACH1,CCNA1;CCNE1;CDC45;RRM2;ORC1;CDC6;DHFR;E2F1;PCNA;ZPR1;E2F7;CDT1;TFDP1
