Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
rRNA metabolic process (GO:0016072),0.4631263070107665,3.4918831796886582,0.0,0.0026207522358677017,201,178,PNO1;RPP40;CD3EAP;RIOK1;BOP1;DKC1;UTP14A;LYAR;NOP56;WDR43;RRP9;NIFK;PDCD11;UTP4;NOLC1;LTV1;EXOSC9;EXOSC2;MRTO4;WDR3;RRP1;UTP15;TSR1;IMP4;NOP58;RPP25;EXOSC8;BYSL;RRP36;DDX56;UTP3;DCAF13;EXOSC5;EBNA1BP2;SBDS;MARS;WDR75;NOC4L;UTP20;RPP30;UTP18;RRP7A;MDN1;WDR12;ERI1;DHX37;TEX10;EXOSC3;RCL1;WDR46;PES1;NOL8;NOB1;UTP6;POP4;EXOSC1;RIOK2;BMS1;NOP14;NOL11;KRR1;GTF3A;MPHOSPH10;MPHOSPH6;WDR36;EMG1;LAS1L;IMP3;RPS13;HEATR1;RRP1B;WDR55;DDX49;SNU13;EXOSC6;DIEXF;NOL9;RPP38;RPP21;TBL3;EXOSC4;BRF1;EXOSC10;PELP1;DDX52;RPF1;EXOSC7;RPL35;DDX27;XRN2;DEDD2;ISG20L2;WDR18;C1D;RPL32;PIH1D1;RPL10;RPL12;RPL27;SIRT7;FCF1;CSNK1E;RPS24;RPS10;RPL7A;RPS2;DIS3;RPS18;RPS7;SPIN1;RPS17;RPL36;RPL18;RPS14;RPS26;RPL21;RPS5;RPL4;RPL37A;RPL19;RPLP1;RPL36A;RPS21;RPL41;RPL24;RPLP2;RPL23;RPL26;UBA52;RPS3;RPS27A;RPS23;RPL28;RPL29;RPS9;RPLP0;RPL5;RPL23A;RPL34;RPS15;CSNK1D;RPS20;RPL10A;RPL22;RPL8;RPS25;RPL6;RPS11;RPL11;RPL7;RPL18A;RPL17;RPL38;RPL39;RPL3;RPL31;RPSA;RPS8;RPL27A;RPS19;RPS4X;RPS15A;RPL13;RPS6;RPS29;RPL30;RPL14;RPL37;RPL13A;RPS28;RPS3A;RPL15;XRN1;RPS27;RIOK3;RPS16;SAMD15;ANG,PNO1;RPP40;CD3EAP;RIOK1;BOP1;DKC1;UTP14A;LYAR;NOP56;WDR43;RRP9;NIFK;PDCD11;UTP4;NOLC1;LTV1;EXOSC9;EXOSC2;MRTO4;WDR3;RRP1;UTP15;TSR1;IMP4;NOP58;RPP25;EXOSC8;BYSL;RRP36;DDX56;UTP3;DCAF13;EXOSC5;EBNA1BP2;SBDS;MARS;WDR75;NOC4L;UTP20;RPP30;UTP18;RRP7A;MDN1;WDR12;ERI1;DHX37;TEX10;EXOSC3;RCL1;WDR46;PES1;NOL8;NOB1;UTP6;POP4;EXOSC1;RIOK2;BMS1;NOP14;NOL11;KRR1;GTF3A;MPHOSPH10;MPHOSPH6;WDR36
rRNA processing (GO:0006364),0.4709871238979236,3.5312363832491735,0.0,0.0027299502456955217,203,182,PNO1;RPP40;RIOK1;BOP1;DKC1;UTP14A;LYAR;NOP56;WDR43;RRP9;PDCD11;UTP4;NOLC1;NAT10;LTV1;EXOSC9;EXOSC2;MRTO4;WDR3;RRP1;UTP15;TSR1;IMP4;NOP2;NOP58;RPP25;EXOSC8;BYSL;RRP36;DDX56;RRP15;UTP3;DCAF13;EXOSC5;EBNA1BP2;SBDS;WDR75;NOC4L;UTP20;RPP30;UTP18;RRP7A;MDN1;WDR12;ERI1;DHX37;TEX10;EXOSC3;SRFBP1;NHP2;RCL1;WDR46;MAK16;PES1;NOL8;NOB1;UTP6;POP4;EXOSC1;RIOK2;BMS1;NOP14;RSL1D1;NOL11;KRR1;MPHOSPH10;MPHOSPH6;WDR36;EIF6;EMG1;LAS1L;MRPL1;IMP3;RPS13;SKIV2L2;HEATR1;RRP1B;WDR55;DDX49;SNU13;EXOSC6;DIEXF;NOL9;RPP38;RPP21;TBL3;EXOSC4;EXOSC10;PELP1;DDX52;RPF1;EXOSC7;RPL35;TSR3;DDX27;XRN2;NSA2;ISG20L2;SART1;WDR18;C1D;RPL32;PIH1D1;RPL10;RPL12;TFB1M;RPL27;FCF1;CSNK1E;RPS24;RPS10;RPL7A;RPS2;DIS3;RPS18;RPS7;RPS17;RPL36;RPL18;RPS14;RPS26;RPL21;RPS5;RPL4;RPL37A;RPL19;RPLP1;RPL36A;RPS21;RPL41;RPL24;RPLP2;RPL23;RPL26;UBA52;RPS3;RPS27A;RPS23;RPL28;RPL29;RPS9;RPLP0;RPL5;RPL23A;RPL34;RPS15;CSNK1D;RPS20;RPL10A;RPL22;RPL8;RPS25;RPL6;RPS11;RPL11;RPL7;RPL18A;RPL17;RPL38;RPL39;RPL3;RPL31;RPSA;RPS8;RPL27A;RPS19;RPS4X;RPS15A;RPL13;RPS6;RPS29;RPL30;RPL14;RPL37;RPL13A;RPS28;RPS3A;RPL15;RPS27;RIOK3;RPS16;SAMD15,PNO1;RPP40;RIOK1;BOP1;DKC1;UTP14A;LYAR;NOP56;WDR43;RRP9;PDCD11;UTP4;NOLC1;NAT10;LTV1;EXOSC9;EXOSC2;MRTO4;WDR3;RRP1;UTP15;TSR1;IMP4;NOP2;NOP58;RPP25;EXOSC8;BYSL;RRP36;DDX56;RRP15;UTP3;DCAF13;EXOSC5;EBNA1BP2;SBDS;WDR75;NOC4L;UTP20;RPP30;UTP18;RRP7A;MDN1;WDR12;ERI1;DHX37;TEX10;EXOSC3;SRFBP1;NHP2;RCL1;WDR46;MAK16;PES1;NOL8;NOB1;UTP6;POP4;EXOSC1;RIOK2;BMS1;NOP14;RSL1D1;NOL11;KRR1;MPHOSPH10;MPHOSPH6;WDR36
positive regulation of DNA biosynthetic process (GO:2000573),0.6469835613393561,3.5658623535911778,0.0,0.003275940294834626,56,38,DKC1;CCT7;CCT6A;HSP90AA1;RFC3;CCT2;NAF1;TCP1;RGCC;DSCC1;CCT4;CCT5;GREM1;AURKB;HSP90AB1;RFC2;RFC5;CCT8;RFC4;CHTF18;FGFR4;CCT3;MYC;ATR;WRAP53;PTGES3;XRCC5;MAPK1;ACD;NVL;NEK2;MAPKAPK5;KLF4;MAP3K4;PARN;TNKS2;PRKD2;HNRNPA1,DKC1;CCT7;CCT6A;HSP90AA1;RFC3;CCT2;NAF1;TCP1;RGCC;DSCC1;CCT4;CCT5;GREM1;AURKB;HSP90AB1;RFC2;RFC5;CCT8;RFC4;CHTF18;FGFR4;CCT3;MYC;ATR;WRAP53;PTGES3;XRCC5
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972),0.5539097379197043,3.404862276077473,0.0,0.003821930343973731,63,53,FHL1;PSMD14;PINX1;PSMA1;PSMD1;PSME3;PSMD12;PSME2;PSMD11;AURKB;PSMC5;PSMC2;PSMD6;PSMD13;PSMA3;PSMD7;PSMB7;PSMB3;PSMA7;PSMC3;PSMD3;PSMA5;PSMD2;PSMA4;USP47;PSMC4;PSMC6;VPS4A;PSMB2;PSMA2;PSMB6;PSMD5;PSMB1;PSMB4;PSMB10;PSMD4;PSMF1;PSMC1;PSMD9;PSMA6;UBB;PSMB5;AURKA;RBX1;SKP1;CUL1;PSMB8;PSME4;PSMD8;UBA52;RPS27A;UBC;PSMD10,FHL1;PSMD14;PINX1;PSMA1;PSMD1;PSME3;PSMD12;PSME2;PSMD11;AURKB;PSMC5;PSMC2;PSMD6;PSMD13;PSMA3;PSMD7;PSMB7;PSMB3;PSMA7;PSMC3;PSMD3;PSMA5;PSMD2;PSMA4;USP47;PSMC4;PSMC6;VPS4A;PSMB2;PSMA2;PSMB6;PSMD5;PSMB1;PSMB4
cell cycle G1/S phase transition (GO:0044843),0.502035661978522,3.3701502609239036,0.0,0.004489251515143748,93,69,CCNE1;INHBA;CDC45;POLE3;MCM10;ORC6;MCM7;ORC1;CDC6;POLE2;RANBP1;POLA2;PRIM1;EIF4E;MCM8;PLK2;RCC1;PLK3;CDK4;ORC5;DBF4;CCNA2;CDT1;EIF4EBP1;GSPT1;CUL4A;POLE;NASP;RPA3;MCM4;CDC7;MYC;CCNE2;MCM6;CRLF3;MCM5;PRIM2;CUL2;POLA1;MCM3;RPA2;MAX;ORC3;CDC34;CDKN3;POLE4;CDK2;MCM2;RPA1;PPP6C;RPS6KB1;ORC4;RANBP2;WEE1;CDK6;CUL3;BCAT1;ORC2;CCND1;CCNH;CACUL1;RANBP3;CDK7;MNAT1;CUL1;CUL5;CDKN2D;CDKN1B;CDKN1A,CCNE1;INHBA;CDC45;POLE3;MCM10;ORC6;MCM7;ORC1;CDC6;POLE2;RANBP1;POLA2;PRIM1;EIF4E;MCM8;PLK2;RCC1;PLK3;CDK4;ORC5;DBF4;CCNA2;CDT1;EIF4EBP1;GSPT1;CUL4A;POLE;NASP;RPA3;MCM4;CDC7;MYC;CCNE2;MCM6;CRLF3;MCM5;PRIM2;CUL2;POLA1;MCM3;RPA2;MAX
G1/S transition of mitotic cell cycle (GO:0000082),0.5168371098002896,3.567866126401806,0.0,0.0049139104422519396,106,79,CCNA1;CCNE1;INHBA;CDC45;RRM2;POLE3;MCM10;ORC6;MCM7;ORC1;CDC6;DHFR;POLE2;E2F1;RANBP1;POLA2;PCNA;PRIM1;EIF4E;MCM8;PLK2;RCC1;PLK3;CDK4;ORC5;DBF4;CDT1;EIF4EBP1;TFDP1;GSPT1;CUL4A;POLE;NASP;RPA3;MCM4;CDC7;MYC;CCNE2;MCM6;CRLF3;MCM5;PRIM2;TYMS;CUL2;POLA1;MCM3;FBXO5;RPA2;MAX;ORC3;CDC34;CDKN3;POLE4;CDK2;MCM2;RPA1;PPP6C;RPS6KB1;ORC4;RANBP2;WEE1;CDK6;CUL3;BCAT1;ORC2;CCND1;CCNH;CACUL1;RANBP3;NPAT;CDK7;MNAT1;BACH1;CUL1;CUL5;CDKN2D;CDKN1B;CDKN1A;TFDP2,CCNA1;CCNE1;INHBA;CDC45;RRM2;POLE3;MCM10;ORC6;MCM7;ORC1;CDC6;DHFR;POLE2;E2F1;RANBP1;POLA2;PCNA;PRIM1;EIF4E;MCM8;PLK2;RCC1;PLK3;CDK4;ORC5;DBF4;CDT1;EIF4EBP1;TFDP1;GSPT1;CUL4A;POLE;NASP;RPA3;MCM4;CDC7;MYC;CCNE2;MCM6;CRLF3;MCM5;PRIM2;TYMS;CUL2;POLA1;MCM3;FBXO5;RPA2;MAX
DNA replication (GO:0006260),0.5130645023235679,3.35993262734512,0.0,0.005023108452079761,121,88,CLSPN;CDC45;POLE3;GRWD1;FEN1;MCM10;ORC6;RFC3;TIPIN;CDK1;MCM7;ORC1;CDC6;EXO1;TICRR;RBBP8;POLE2;POLD2;BLM;MCMBP;POLA2;CHEK1;RFC2;RFC5;SET;RECQL4;MCM8;RFC4;RBM14;HUS1;DNA2;ORC5;DBF4;POLD1;POLE;NASP;TOP1;IGHMBP2;RPA3;MCM4;CDC7;BRCA1;MCM6;ATR;FAM111A;ING5;MCM5;WDHD1;POLA1;MCM3;RPA2;BAZ1A;RMI1;RNASEH2A;ORC3;DONSON;NUP98;CDK2;TIMELESS;MCM2;TBRG1;POLG2;RPA1;RAD50;BARD1;TOP3A;ORC4;POLG;TOPBP1;REV3L;ERCC4;ORC2;UPF1;RPAIN;DUT;NAP1L1;RBMS1;RAD9A;KIN;RAD17;KAT5;RFC1;POLB;CDC25C;POLL;PIF1;RHNO1;ING4,CLSPN;CDC45;POLE3;GRWD1;FEN1;MCM10;ORC6;RFC3;TIPIN;CDK1;MCM7;ORC1;CDC6;EXO1;TICRR;RBBP8;POLE2;POLD2;BLM;MCMBP;POLA2;CHEK1;RFC2;RFC5;SET;RECQL4;MCM8;RFC4;RBM14;HUS1;DNA2;ORC5;DBF4;POLD1;POLE;NASP;TOP1;IGHMBP2;RPA3;MCM4;CDC7;BRCA1;MCM6;ATR;FAM111A;ING5;MCM5;WDHD1;POLA1;MCM3;RPA2;BAZ1A;RMI1;RNASEH2A;ORC3;DONSON;NUP98
negative regulation of cell cycle G2/M phase transition (GO:1902750),0.537066734861178,3.3733434895163033,0.0,0.005050407954536716,70,59,FHL1;PSMD14;PINX1;PSMA1;PSMD1;PSME3;PSMD12;PSME2;CHEK1;PSMD11;DTL;PSMC5;PSMC2;PSMD6;BRCC3;PSMD13;PSMA3;PSMD7;PSMB7;PSMB3;PSMA7;PSMC3;PSMD3;PSMA5;PSMD2;PSMA4;USP47;BRCA1;PSMC4;PSMC6;PSMB2;UIMC1;PSMA2;PSMB6;PSMD5;PSMB1;PSMB4;PSMB10;PSMD4;PSMF1;H2AFY;PSMC1;PLK1;PSMD9;PSMA6;FZR1;UBB;PSMB5;AURKA;RBX1;SKP1;CUL1;PSMB8;PSME4;PSMD8;UBA52;RPS27A;UBC;PSMD10,FHL1;PSMD14;PINX1;PSMA1;PSMD1;PSME3;PSMD12;PSME2;CHEK1;PSMD11;DTL;PSMC5;PSMC2;PSMD6;BRCC3;PSMD13;PSMA3;PSMD7;PSMB7;PSMB3;PSMA7;PSMC3;PSMD3;PSMA5;PSMD2;PSMA4;USP47;BRCA1;PSMC4;PSMC6;PSMB2;UIMC1;PSMA2;PSMB6;PSMD5;PSMB1;PSMB4
regulation of cellular ketone metabolic process (GO:0010565),0.5241167578279786,3.351133672791225,0.0,0.005062816819289877,62,50,PSMD14;PSMA1;ODC1;PSMD1;PSME3;PSMD12;PSME2;PSMD11;PSMC5;PSMC2;PSMD6;PSMD13;PSMA3;PSMD7;PSMB7;PSMB3;PSMA7;PSMC3;FGFR4;PSMD3;PSMA5;PSMD2;PSMA4;PSMC4;PRKAG2;PSMC6;PSMB2;PSMA2;PSMB6;PSMD5;PSMB1;PSMB4;PSMB10;PSMD4;PSMF1;PSMC1;PANK2;PSMD9;NQO1;PSMA6;AZIN1;SIRT5;PSMB5;OAZ1;PSMB8;PSME4;PSMD8;CAV1;OAZ2;PSMD10,PSMD14;PSMA1;ODC1;PSMD1;PSME3;PSMD12;PSME2;PSMD11;PSMC5;PSMC2;PSMD6;PSMD13;PSMA3;PSMD7;PSMB7;PSMB3;PSMA7;PSMC3;FGFR4;PSMD3;PSMA5;PSMD2;PSMA4;PSMC4;PRKAG2;PSMC6;PSMB2;PSMA2;PSMB6;PSMD5;PSMB1;PSMB4
regulation of cellular amine metabolic process (GO:0033238),0.5372579220213123,3.3373860120058403,0.0,0.005277903808344676,52,45,PSMD14;PSMA1;ODC1;PSMD1;PSME3;PSMD12;PSME2;PSMD11;PSMC5;PSMC2;PSMD6;PSMD13;PSMA3;PSMD7;PSMB7;PSMB3;PSMA7;PSMC3;PSMD3;PSMA5;PSMD2;PSMA4;PSMC4;PSMC6;PSMB2;PSMA2;PSMB6;PSMD5;PSMB1;PSMB4;PSMB10;PSMD4;PSMF1;PSMC1;PSMD9;NQO1;PSMA6;AZIN1;PSMB5;OAZ1;PSMB8;PSME4;PSMD8;OAZ2;PSMD10,PSMD14;PSMA1;ODC1;PSMD1;PSME3;PSMD12;PSME2;PSMD11;PSMC5;PSMC2;PSMD6;PSMD13;PSMA3;PSMD7;PSMB7;PSMB3;PSMA7;PSMC3;PSMD3;PSMA5;PSMD2;PSMA4;PSMC4;PSMC6;PSMB2;PSMA2;PSMB6;PSMD5;PSMB1;PSMB4
