Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
positive regulation of DNA biosynthetic process (GO:2000573),0.6260349737217541,3.6388729421356447,0.0,0.0010985211713210304,56,37,DKC1;CCT7;CCT6A;HSP90AA1;RFC3;CCT2;RGCC;NAF1;DSCC1;AURKB;TCP1;GREM1;CCT4;RFC2;CCT5;RFC5;HSP90AB1;RFC4;CCT8;CHTF18;ATR;CCT3;MYC;WRAP53;FGFR4;XRCC5;PTGES3;MAPK1;NVL;ACD;NEK2;KLF4;PARN;MAPKAPK5;MAP3K4;TNKS2;HNRNPA1,DKC1;CCT7;CCT6A;HSP90AA1;RFC3;CCT2;RGCC;NAF1;DSCC1;AURKB;TCP1;GREM1;CCT4;RFC2;CCT5;RFC5;HSP90AB1;RFC4;CCT8;CHTF18;ATR;CCT3;MYC;WRAP53;FGFR4;XRCC5
ribosome biogenesis (GO:0042254),0.48206330544885,3.4997079528784187,0.0,0.0016477817569815457,227,202,PNO1;RPP40;PAK1IP1;DKC1;RIOK1;UTP14A;BOP1;NOP16;URB2;LYAR;RRS1;RRP9;WDR43;NOP56;RPF2;PDCD11;LTV1;EXOSC9;NOLC1;HEATR3;UTP4;EXOSC2;MRTO4;TSR1;RRP1;WDR3;IMP4;NOP58;NOM1;WDR74;RPP25;NAF1;EXOSC8;UTP15;BYSL;UTP3;DDX56;RRP36;EBNA1BP2;UTP20;DCAF13;WDR75;SBDS;EXOSC5;NOC4L;ERI1;RPP30;UTP18;SURF6;WDR12;DDX31;TEX10;RRP7A;NIP7;MDN1;MTERF3;EXOSC3;LSG1;NOC2L;DHX37;NOL8;MALSU1;NOB1;PES1;SDAD1;WDR46;RIOK2;POP4;RAN;BMS1;NOP14;EXOSC1;RCL1;KRR1;UTP6;NOL11;MPHOSPH10;EMG1;EIF6;WDR36;MPHOSPH6;GTF3A;RPS13;GNL2;LAS1L;GNL3;IMP3;NPM1;EXOSC6;RPL26L1;DDX49;WDR55;HEATR1;RRP1B;SNU13;MTG1;NOL9;ABCE1;DIEXF;XPO1;AAMP;RPP38;EXOSC10;EXOSC4;RPP21;TBL3;PELP1;DDX52;NVL;RPF1;EXOSC7;SETD4;RPL35;ISG20L2;DDX27;XRN2;C1D;RPL32;WDR18;MTERF4;RPL10;RPL12;PIH1D1;RPL27;ZNF622;CSNK1E;RPS24;RPS10;FCF1;RPL7A;RPS2;RPS18;DIS3;RPS17;NOA1;RPL36;RPS7;RPL18;MRPL36;RPS26;RPL21;RPS5;RPL36A;RPL37A;RPL4;RPL19;RPLP1;RPS21;RPL23;RPL41;RPL26;RPL24;RPS3;RPLP2;UBA52;EIF2A;RPS27A;RPL29;RPS23;RPS9;RPL28;RPL5;RPLP0;RPL34;RPL23A;RPS15;RPL10A;RPS20;RPL22;RPS25;CSNK1D;RPL8;RPS11;RPL11;RPL17;RPL6;RPL18A;RPL7;RPL39;RPL38;RPL3;RPL31;RPS8;RPSA;RPS19;RPS4X;RPL27A;RPS15A;RPL13;RPS6;RPS29;RPL30;RPL14;RPL37;RPS28;RPL13A;RPS3A;RPL15;RIOK3;RPS27;RPS16;SAMD15,PNO1;RPP40;PAK1IP1;DKC1;RIOK1;UTP14A;BOP1;NOP16;URB2;LYAR;RRS1;RRP9;WDR43;NOP56;RPF2;PDCD11;LTV1;EXOSC9;NOLC1;HEATR3;UTP4;EXOSC2;MRTO4;TSR1;RRP1;WDR3;IMP4;NOP58;NOM1;WDR74;RPP25;NAF1;EXOSC8;UTP15;BYSL;UTP3;DDX56;RRP36;EBNA1BP2;UTP20;DCAF13;WDR75;SBDS;EXOSC5;NOC4L;ERI1;RPP30;UTP18;SURF6;WDR12;DDX31;TEX10;RRP7A;NIP7;MDN1;MTERF3;EXOSC3;LSG1;NOC2L;DHX37;NOL8;MALSU1;NOB1;PES1;SDAD1;WDR46;RIOK2;POP4;RAN;BMS1;NOP14;EXOSC1;RCL1;KRR1;UTP6;NOL11;MPHOSPH10;EMG1;EIF6;WDR36;MPHOSPH6;GTF3A;RPS13;GNL2;LAS1L;GNL3
G1/S transition of mitotic cell cycle (GO:0000082),0.51901630559928,3.512606906385094,0.0,0.0021970423426420607,106,80,CCNA1;CCNE1;INHBA;CDC45;RRM2;POLE3;MCM10;ORC6;ORC1;DHFR;MCM7;CDC6;POLE2;E2F1;PCNA;RANBP1;PRIM1;POLA2;MCM8;EIF4E;CCNE2;RCC1;PLK3;DBF4;PLK2;CDT1;CDK4;CDC7;NASP;POLE;RPA3;TFDP1;GSPT1;EIF4EBP1;ORC5;MCM4;POLA1;MCM6;MCM5;MYC;TYMS;CUL4A;FBXO5;MCM3;PRIM2;RPA2;CRLF3;MAX;CUL2;CDK2;MCM2;CDKN3;ORC3;POLE4;CDC34;RPA1;RANBP2;WEE1;RPS6KB1;PPP6C;CDK6;CUL3;ORC4;BCAT1;NPAT;CCND1;CCNH;ORC2;CACUL1;CDK7;RANBP3;MNAT1;CUL1;BACH1;RB1;CUL5;CDKN2D;CDKN1B;CDKN1A;TFDP2,CCNA1;CCNE1;INHBA;CDC45;RRM2;POLE3;MCM10;ORC6;ORC1;DHFR;MCM7;CDC6;POLE2;E2F1;PCNA;RANBP1;PRIM1;POLA2;MCM8;EIF4E;CCNE2;RCC1;PLK3;DBF4;PLK2;CDT1;CDK4;CDC7;NASP;POLE;RPA3;TFDP1;GSPT1;EIF4EBP1;ORC5;MCM4;POLA1;MCM6;MCM5;MYC;TYMS;CUL4A;FBXO5;MCM3;PRIM2;RPA2;CRLF3;MAX;CUL2
rRNA processing (GO:0006364),0.45776172621102024,3.546000819473791,0.0,0.0021970423426420607,203,181,PNO1;RPP40;DKC1;RIOK1;UTP14A;BOP1;LYAR;RRP9;WDR43;NOP56;PDCD11;LTV1;EXOSC9;NOLC1;NAT10;UTP4;EXOSC2;MRTO4;TSR1;RRP1;WDR3;IMP4;NOP58;RPP25;EXOSC8;UTP15;NOP2;BYSL;UTP3;RRP15;DDX56;RRP36;EBNA1BP2;UTP20;DCAF13;WDR75;SBDS;EXOSC5;NOC4L;ERI1;RPP30;UTP18;WDR12;TEX10;RRP7A;MDN1;EXOSC3;MAK16;NHP2;DHX37;NOL8;SRFBP1;NOB1;PES1;WDR46;RIOK2;POP4;BMS1;NOP14;EXOSC1;RCL1;KRR1;UTP6;NOL11;MPHOSPH10;RSL1D1;EMG1;EIF6;WDR36;MPHOSPH6;RPS13;LAS1L;IMP3;MRPL1;SKIV2L2;EXOSC6;DDX49;WDR55;HEATR1;RRP1B;SNU13;NOL9;DIEXF;RPP38;EXOSC10;EXOSC4;RPP21;TBL3;PELP1;DDX52;RPF1;EXOSC7;RPL35;ISG20L2;NSA2;DDX27;XRN2;TSR3;SART1;C1D;RPL32;TFB1M;WDR18;RPL10;RPL12;PIH1D1;RPL27;CSNK1E;RPS24;RPS10;FCF1;RPL7A;RPS2;RPS18;DIS3;RPS17;RPL36;RPS7;RPL18;RPS26;RPL21;RPS5;RPL36A;RPL37A;RPL4;RPL19;RPLP1;RPS21;RPL23;RPL41;RPL26;RPL24;RPS3;RPLP2;UBA52;RPS27A;RPL29;RPS23;RPS9;RPL28;RPL5;RPLP0;RPL34;RPL23A;RPS15;RPL10A;RPS20;RPL22;RPS25;CSNK1D;RPL8;RPS11;RPL11;RPL17;RPL6;RPL18A;RPL7;RPL39;RPL38;RPL3;RPL31;RPS8;RPSA;RPS19;RPS4X;RPL27A;RPS15A;RPL13;RPS6;RPS29;RPL30;RPL14;RPL37;RPS28;RPL13A;RPS3A;RPL15;RIOK3;RPS27;RPS16;SAMD15,PNO1;RPP40;DKC1;RIOK1;UTP14A;BOP1;LYAR;RRP9;WDR43;NOP56;PDCD11;LTV1;EXOSC9;NOLC1;NAT10;UTP4;EXOSC2;MRTO4;TSR1;RRP1;WDR3;IMP4;NOP58;RPP25;EXOSC8;UTP15;NOP2;BYSL;UTP3;RRP15;DDX56;RRP36;EBNA1BP2;UTP20;DCAF13;WDR75;SBDS;EXOSC5;NOC4L;ERI1;RPP30;UTP18;WDR12;TEX10;RRP7A;MDN1;EXOSC3;MAK16;NHP2;DHX37;NOL8;SRFBP1;NOB1;PES1;WDR46;RIOK2;POP4;BMS1;NOP14;EXOSC1;RCL1;KRR1;UTP6;NOL11;MPHOSPH10;RSL1D1;EMG1;EIF6;WDR36;MPHOSPH6
regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083),0.6699454038110803,3.4240539477515224,0.0,0.0021970423426420607,27,21,CCNA1;CCNE1;CDC45;RRM2;ORC1;DHFR;CDC6;E2F1;PCNA;E2F7;ZPR1;CDT1;TFDP1;POLA1;TYMS;FBXO5;NPAT;BACH1;RB1;ID2;TFDP2,CCNA1;CCNE1;CDC45;RRM2;ORC1;DHFR;CDC6;E2F1;PCNA;E2F7;ZPR1;CDT1;TFDP1;POLA1;TYMS;FBXO5
anaphase-promoting complex-dependent catabolic process (GO:0031145),0.49972074960442003,3.439677144444965,0.0,0.002197042342642061,80,70,UBE2S;PSMD14;PSMA1;MAD2L1;CDK1;PSMD1;PSME3;PSMD12;UBE2C;AURKB;PSME2;PSMD11;PSMC5;BUB3;CDC20;PSMC2;CCNB1;PSMA3;PSMD6;PSMB7;PSMD7;PSMD13;PSMB3;PTTG1;PSMA7;PSMC3;PSMD3;PSMA5;PSMA4;PSMD2;CDC23;PSMC6;PSMB2;PSMC4;PSMA2;ANAPC7;ANAPC4;PSMD5;ANAPC1;BUB1B;PSMB6;PSMB1;PSMB4;PSMB10;PSMD4;PLK1;PSMF1;ANAPC2;CUL3;ANAPC5;PSMD9;PSMA6;PSMC1;SKP2;FZR1;AURKA;UBB;CDC26;PSMB5;CDC27;CDC16;PSME4;PSMB8;PSMD8;PSME1;UBA52;RPS27A;UBC;PSMB9;UBE2D1,UBE2S;PSMD14;PSMA1;MAD2L1;CDK1;PSMD1;PSME3;PSMD12;UBE2C;AURKB;PSME2;PSMD11;PSMC5;BUB3;CDC20;PSMC2;CCNB1;PSMA3;PSMD6;PSMB7;PSMD7;PSMD13;PSMB3;PTTG1;PSMA7;PSMC3;PSMD3;PSMA5;PSMA4;PSMD2;CDC23;PSMC6;PSMB2;PSMC4;PSMA2;ANAPC7;ANAPC4;PSMD5;ANAPC1;BUB1B;PSMB6;PSMB1;PSMB4;PSMB10
DNA metabolic process (GO:0006259),0.44506573693049684,3.440900382059772,0.0,0.002380129204528899,315,216,NT5E;CLSPN;CDC45;ENDOG;FANCD2;XRCC3;POLE3;FEN1;MCM10;RAD18;ORC6;ORC1;GRWD1;TIPIN;TICRR;GLRX2;CDK1;MCM7;EXO1;CDC6;RFC3;HMGB2;POLE2;DCTPP1;KPNA2;BLM;BRCA2;UBE2T;RAD51;HELLS;TELO2;NUDT15;PCNA;XRCC2;PRIM1;RNASEH1;POLD2;UHRF1;CHEK1;POLA2;DNMT1;RBBP8;RECQL4;ERI1;TK1;RFC2;MCM8;RFC5;CHD1L;HMGB1;LRWD1;UBE2N;RFC4;DNA2;SET;RAD54L;FANCC;FANCA;HUS1;RAD51C;DBF4;DCLRE1B;RAD51AP1;CDC7;NASP;RBM14;POLD1;POLE;TOP1;RPA3;GINS4;ORC5;RAN;TOP2A;TATDN2;MCM4;BRCA1;POLA1;MCM6;ATR;RAD51D;MCM5;SUPV3L1;MMS19;ING5;NUDT1;IGHMBP2;FAM111A;TYMS;LIG4;MCM3;RNASEH2A;WDHD1;FANCG;PRIM2;SMC1A;XRCC5;NPM1;RPA2;TERF2;USP45;PARK7;MSH2;GADD45A;PTGES3;HMGB3;LONP1;NUP98;GEN1;FBXO6;NTHL1;CDK2;MCM2;RMI1;DONSON;PRKDC;GTF2H1;PARP2;TRIM28;NSMCE4A;GTF2H3;ORC3;POLE4;CDC34;MEN1;RAD51B;POLG2;TOP3A;TIMELESS;LIG1;PARP1;TBRG1;INIP;RBPJ;UHRF2;BARD1;NABP2;POLD3;RPA1;RAD50;UNG;MTOR;MBD3;ACD;FAN1;MUTYH;USP7;TOPBP1;MSH6;ORC4;DUT;POLG;TSN;XRCC6;UBE2V2;ERCC4;NAP1L1;RECQL;ERI3;MUS81;VCP;XPA;UBB;RPAIN;PDS5A;ORC2;UPF1;DDB1;RBMS1;RAD17;ERCC3;DNASE1L1;RFC1;KIN;MNAT1;TERF1;ASF1A;RAD9A;IGFBP4;KAT5;PURA;UBE2A;BACH1;TERF2IP;POLB;PIF1;CDC25C;SMARCB1;ERCC1;APEX1;TATDN1;CSNK1E;MSH3;HDAC1;XPC;SUMO1;PSME4;MBD4;FANCL;UVRAG;NSMCE3;RHNO1;TCF7L2;MGMT;RPS3;UBA52;RPS27A;UBC;SP100;DDB2;DNASE2;ATRX;TOP2B;ENDOV;ING4;BTG2,NT5E;CLSPN;CDC45;ENDOG;FANCD2;XRCC3;POLE3;FEN1;MCM10;RAD18;ORC6;ORC1;GRWD1;TIPIN;TICRR;GLRX2;CDK1;MCM7;EXO1;CDC6;RFC3;HMGB2;POLE2;DCTPP1;KPNA2;BLM;BRCA2;UBE2T;RAD51;HELLS;TELO2;NUDT15;PCNA;XRCC2;PRIM1;RNASEH1;POLD2;UHRF1;CHEK1;POLA2;DNMT1;RBBP8;RECQL4;ERI1;TK1;RFC2;MCM8;RFC5;CHD1L;HMGB1;LRWD1;UBE2N;RFC4;DNA2;SET;RAD54L;FANCC;FANCA;HUS1;RAD51C;DBF4;DCLRE1B;RAD51AP1;CDC7;NASP;RBM14;POLD1;POLE;TOP1;RPA3;GINS4;ORC5;RAN;TOP2A;TATDN2;MCM4;BRCA1;POLA1;MCM6;ATR;RAD51D;MCM5;SUPV3L1;MMS19;ING5;NUDT1;IGHMBP2;FAM111A;TYMS;LIG4;MCM3;RNASEH2A;WDHD1;FANCG;PRIM2;SMC1A;XRCC5;NPM1;RPA2;TERF2;USP45;PARK7;MSH2;GADD45A;PTGES3;HMGB3;LONP1;NUP98;GEN1;FBXO6;NTHL1;CDK2;MCM2;RMI1;DONSON;PRKDC
DNA replication (GO:0006260),0.5321926597938581,3.4539946052921326,0.0,0.002416746576906267,121,87,CLSPN;CDC45;POLE3;FEN1;MCM10;ORC6;ORC1;GRWD1;TIPIN;TICRR;CDK1;MCM7;EXO1;CDC6;RFC3;POLE2;BLM;POLD2;CHEK1;POLA2;RBBP8;RECQL4;MCMBP;RFC2;MCM8;RFC5;RFC4;DNA2;SET;HUS1;DBF4;CDC7;NASP;RBM14;POLD1;POLE;TOP1;RPA3;ORC5;MCM4;BRCA1;POLA1;MCM6;ATR;MCM5;ING5;IGHMBP2;FAM111A;MCM3;RNASEH2A;WDHD1;BAZ1A;RPA2;NUP98;CDK2;MCM2;RMI1;DONSON;ORC3;POLG2;TOP3A;TIMELESS;TBRG1;BARD1;RPA1;RAD50;TOPBP1;ORC4;DUT;POLG;ERCC4;NAP1L1;REV3L;RPAIN;ORC2;UPF1;RBMS1;RAD17;RFC1;KIN;RAD9A;KAT5;POLB;PIF1;CDC25C;RHNO1;ING4,CLSPN;CDC45;POLE3;FEN1;MCM10;ORC6;ORC1;GRWD1;TIPIN;TICRR;CDK1;MCM7;EXO1;CDC6;RFC3;POLE2;BLM;POLD2;CHEK1;POLA2;RBBP8;RECQL4;MCMBP;RFC2;MCM8;RFC5;RFC4;DNA2;SET;HUS1;DBF4;CDC7;NASP;RBM14;POLD1;POLE;TOP1;RPA3;ORC5;MCM4;BRCA1;POLA1;MCM6;ATR;MCM5;ING5;IGHMBP2;FAM111A;MCM3;RNASEH2A;WDHD1;BAZ1A;RPA2;NUP98;CDK2;MCM2;RMI1;DONSON
positive regulation of ubiquitin protein ligase activity (GO:1904668),0.5025453577312887,3.377087131236592,0.0,0.0025350488568946857,83,70,UBE2S;PSMD14;PSMA1;MAD2L1;CDK1;PSMD1;PSME3;PSMD12;UBE2C;PSME2;PSMD11;PSMC5;BUB3;CDC20;PSMC2;CCNB1;PSMA3;PSMD6;PSMB7;PSMD7;PSMD13;PSMB3;PSMA7;PSMC3;PSMD3;PSMA5;PSMA4;PSMD2;FBXO5;CDC23;PSMC6;PSMB2;PSMC4;PSMA2;ANAPC7;ANAPC4;PSMD5;ANAPC1;BUB1B;PSMB6;PSMB1;PSMB4;PSMB10;PSMD4;PLK1;PSMF1;ANAPC2;ANAPC5;PSMD9;PSMA6;PSMC1;FZR1;UBB;CDC26;PSMB5;CDC27;PTEN;CUL1;SKP1;RAB1A;CDC16;PSME4;PSMB8;PSMD8;PSME1;UBA52;RPS27A;UBC;PSMB9;UBE2D1,UBE2S;PSMD14;PSMA1;MAD2L1;CDK1;PSMD1;PSME3;PSMD12;UBE2C;PSME2;PSMD11;PSMC5;BUB3;CDC20;PSMC2;CCNB1;PSMA3;PSMD6;PSMB7;PSMD7;PSMD13;PSMB3;PSMA7;PSMC3;PSMD3;PSMA5;PSMA4;PSMD2;FBXO5;CDC23;PSMC6;PSMB2;PSMC4;PSMA2;ANAPC7;ANAPC4;PSMD5;ANAPC1;BUB1B;PSMB6;PSMB1;PSMB4;PSMB10
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972),0.5392054444032089,3.4019832759505766,0.0,0.002685273974340297,63,54,FHL1;PSMD14;PINX1;PSMA1;PSMD1;PSME3;PSMD12;AURKB;PSME2;PSMD11;PSMC5;PSMC2;PSMA3;PSMD6;PSMB7;PSMD7;PSMD13;PSMB3;PSMA7;PSMC3;USP47;PSMD3;PSMA5;PSMA4;PSMD2;VPS4A;PSMC6;PSMB2;PSMC4;PSMA2;PSMD5;PSMB6;PSMB1;PSMB4;PSMB10;PSMD4;PSMF1;PSMD9;PSMA6;PSMC1;AURKA;UBB;PSMB5;RBX1;CUL1;SKP1;PSME4;PSMB8;PSMD8;PSME1;UBA52;RPS27A;UBC;PSMB9,FHL1;PSMD14;PINX1;PSMA1;PSMD1;PSME3;PSMD12;AURKB;PSME2;PSMD11;PSMC5;PSMC2;PSMA3;PSMD6;PSMB7;PSMD7;PSMD13;PSMB3;PSMA7;PSMC3;USP47;PSMD3;PSMA5;PSMA4;PSMD2;VPS4A;PSMC6;PSMB2;PSMC4;PSMA2;PSMD5;PSMB6;PSMB1;PSMB4;PSMB10
