Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
SRP-dependent cotranslational protein targeting to membrane (GO:0006614),-0.6399377665313734,-8.174892658307025,0.0,0.0,90,69,ZFAND2B;SRP72;SRP19;SRP9;RPL35;SEC61B;RPS13;RPL27A;RPL27;RPLP1;RPS24;RPL12;RPS14;RPL37A;RPL28;RPL18;SRP14;RPL19;RPS23;RPL6;UBA52;RPL22;RPS27A;RPL41;RPS20;RPL37;RPS11;RPL26;RPS21;RPS3;RPL23;RPS9;RPL24;RPL34;RPL5;RPS15;RPSA;RPL32;RPL8;RPL23A;RPL13A;RPS19;RPL31;RPL11;RPS15A;RPL7;RPL10A;RPS25;RPL18A;RPS8;RPL3;RPL30;RPL10;RPS6;RPL29;RPS4X;RPL39;RPL36A;RPS29;RPL14;RPL13;MRPS12;RPL38;RPL17;RPL15;RPS28;RPS27;RPS3A;RPS16,SEC61B;RPS13;RPL27A;RPL27;RPLP1;RPS24;RPL12;RPS14;RPL37A;RPL28;RPL18;SRP14;RPL19;RPS23;RPL6;UBA52;RPL22;RPS27A;RPL41;RPS20;RPL37;RPS11;RPL26;RPS21;RPS3;RPL23;RPS9;RPL24;RPL34;RPL5;RPS15;RPSA;RPL32;RPL8;RPL23A;RPL13A;RPS19;RPL31;RPL11;RPS15A;RPL7;RPL10A;RPS25;RPL18A;RPS8;RPL3;RPL30;RPL10;RPS6;RPL29;RPS4X;RPL39;RPL36A;RPS29;RPL14;RPL13;MRPS12;RPL38;RPL17;RPL15;RPS28;RPS27;RPS3A;RPS16
cotranslational protein targeting to membrane (GO:0006613),-0.65187884543751,-8.01460583072942,0.0,0.0,94,70,SRP72;SSR1;SRP19;SRP9;RPL35;RPS13;RPL27A;RPL27;RPLP1;RPS24;RPL12;RPS14;RPL37A;RPL28;RPL18;SRP14;RPL19;RPS23;RPL6;UBA52;RPL22;RPS27A;RPL41;RPS20;RPL37;RPS11;RPL26;RPS21;RPS3;RPL23;RPS9;RPL24;RPL34;RPL5;RPS15;RPSA;RPL32;RPL8;RPL23A;RPL13A;RPS19;RPL31;RPL11;RPS15A;RPL7;RPL10A;RPS25;RPL18A;RPS8;RPL3;RPL30;RPL10;RPS6;RPL29;RPS4X;RPL39;RPL36A;TRAM1;RPS29;RPL14;RPL13;MRPS12;RPL38;RPL17;RPL15;RPS28;RPS27;RPS3A;SSR2;RPS16,RPS13;RPL27A;RPL27;RPLP1;RPS24;RPL12;RPS14;RPL37A;RPL28;RPL18;SRP14;RPL19;RPS23;RPL6;UBA52;RPL22;RPS27A;RPL41;RPS20;RPL37;RPS11;RPL26;RPS21;RPS3;RPL23;RPS9;RPL24;RPL34;RPL5;RPS15;RPSA;RPL32;RPL8;RPL23A;RPL13A;RPS19;RPL31;RPL11;RPS15A;RPL7;RPL10A;RPS25;RPL18A;RPS8;RPL3;RPL30;RPL10;RPS6;RPL29;RPS4X;RPL39;RPL36A;TRAM1;RPS29;RPL14;RPL13;MRPS12;RPL38;RPL17;RPL15;RPS28;RPS27;RPS3A;SSR2;RPS16
protein targeting to ER (GO:0045047),-0.6375519754034891,-7.8144490026172875,0.0,0.0,98,70,SRP72;SPCS3;SRP19;SRP9;SPCS2;RPL35;SEC61G;RPS13;RPL27A;RPL27;RPLP1;RPS24;RPL12;RPS14;RPL37A;RPL28;RPL18;SRP14;RPL19;RPS23;RPL6;UBA52;RPL22;RPS27A;RPL41;RPS20;RPL37;RPS11;RPL26;RPS21;RPS3;RPL23;RPS9;RPL24;RPL34;RPL5;RPS15;RPSA;RPL32;RPL8;RPL23A;RPL13A;RPS19;RPL31;RPL11;RPS15A;RPL7;RPL10A;RPS25;RPL18A;RPS8;RPL3;RPL30;RPL10;RPS6;RPL29;RPS4X;RPL39;RPL36A;RPS29;RPL14;RPL13;MRPS12;RPL38;RPL17;RPL15;RPS28;RPS27;RPS3A;RPS16,SRP9;SPCS2;RPL35;SEC61G;RPS13;RPL27A;RPL27;RPLP1;RPS24;RPL12;RPS14;RPL37A;RPL28;RPL18;SRP14;RPL19;RPS23;RPL6;UBA52;RPL22;RPS27A;RPL41;RPS20;RPL37;RPS11;RPL26;RPS21;RPS3;RPL23;RPS9;RPL24;RPL34;RPL5;RPS15;RPSA;RPL32;RPL8;RPL23A;RPL13A;RPS19;RPL31;RPL11;RPS15A;RPL7;RPL10A;RPS25;RPL18A;RPS8;RPL3;RPL30;RPL10;RPS6;RPL29;RPS4X;RPL39;RPL36A;RPS29;RPL14;RPL13;MRPS12;RPL38;RPL17;RPL15;RPS28;RPS27;RPS3A;RPS16
viral gene expression (GO:0019080),-0.5672129301285025,-6.862609925905089,0.0,0.0,111,69,NUP93;NUP54;SEH1L;NUP107;NUP50;NUP37;RPL35;RPS13;RPL27A;RPL27;RPLP1;RPS24;RPL12;RPS14;RPL37A;RPL28;RPL18;RPL19;RPS23;RPL6;UBA52;RPL22;RPS27A;RPL41;RPS20;RPL37;RPS11;RPL26;RPS21;RPS3;RPL23;RPS9;RPL24;RPL34;RPL5;RPS15;RPSA;RPL32;RPL8;RPL23A;RPL13A;RPS19;RPL31;RPL11;RPS15A;RPL7;RPL10A;RPS25;RPL18A;RPS8;RPL3;RPL30;RPL10;RPS6;RPL29;RPS4X;RPL39;RPL36A;RPS29;RPL14;RPL13;MRPS12;RPL38;RPL17;RPL15;RPS28;RPS27;RPS3A;RPS16,RPS13;RPL27A;RPL27;RPLP1;RPS24;RPL12;RPS14;RPL37A;RPL28;RPL18;RPL19;RPS23;RPL6;UBA52;RPL22;RPS27A;RPL41;RPS20;RPL37;RPS11;RPL26;RPS21;RPS3;RPL23;RPS9;RPL24;RPL34;RPL5;RPS15;RPSA;RPL32;RPL8;RPL23A;RPL13A;RPS19;RPL31;RPL11;RPS15A;RPL7;RPL10A;RPS25;RPL18A;RPS8;RPL3;RPL30;RPL10;RPS6;RPL29;RPS4X;RPL39;RPL36A;RPS29;RPL14;RPL13;MRPS12;RPL38;RPL17;RPL15;RPS28;RPS27;RPS3A;RPS16
viral transcription (GO:0019083),-0.5211624606120373,-6.431252996607547,0.0,0.0,114,71,NUP93;USF2;NUP54;SEH1L;NUP107;NUP50;NUP37;DHX9;RPL35;RPS13;RPL27A;RPL27;RPLP1;RPS24;RPL12;RPS14;RPL37A;RPL28;RPL18;RPL19;RPS23;RPL6;UBA52;RPL22;RPS27A;RPL41;RPS20;RPL37;RPS11;RPL26;RPS21;RPS3;RPL23;RPS9;RPL24;RPL34;RPL5;RPS15;RPSA;RPL32;RPL8;RPL23A;RPL13A;RPS19;RPL31;RPL11;RPS15A;RPL7;RPL10A;RPS25;RPL18A;RPS8;RPL3;RPL30;RPL10;RPS6;RPL29;RPS4X;RPL39;RPL36A;RPS29;RPL14;RPL13;MRPS12;RPL38;RPL17;RPL15;RPS28;RPS27;RPS3A;RPS16,RPS13;RPL27A;RPL27;RPLP1;RPS24;RPL12;RPS14;RPL37A;RPL28;RPL18;RPL19;RPS23;RPL6;UBA52;RPL22;RPS27A;RPL41;RPS20;RPL37;RPS11;RPL26;RPS21;RPS3;RPL23;RPS9;RPL24;RPL34;RPL5;RPS15;RPSA;RPL32;RPL8;RPL23A;RPL13A;RPS19;RPL31;RPL11;RPS15A;RPL7;RPL10A;RPS25;RPL18A;RPS8;RPL3;RPL30;RPL10;RPS6;RPL29;RPS4X;RPL39;RPL36A;RPS29;RPL14;RPL13;MRPS12;RPL38;RPL17;RPL15;RPS28;RPS27;RPS3A;RPS16
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",-0.5722470878394696,-6.263007708461903,0.0,0.00022227570209039436,113,74,ETF1;PPP2CA;MAGOHB;PPP2R1A;PPP2R2A;NCBP2;GSPT1;RNPS1;RPL35;RPS13;RPL27A;RPL27;RPLP1;RPS24;RPL12;RPS14;RPL37A;RPL28;RPL18;RPL19;RPS23;RPL6;UBA52;RPL22;RPS27A;RPL41;RPS20;RPL37;RPS11;RPL26;RPS21;RPS3;RPL23;RPS9;RPL24;RPL34;RPL5;RPS15;RPSA;RPL32;RPL8;RPL23A;PABPC1;RPL13A;RPS19;RPL31;RPL11;RPS15A;RPL7;RPL10A;RPS25;RPL18A;RPS8;RPL3;RPL30;RPL10;RPS6;RPL29;RPS4X;RPL39;RPL36A;RPS29;RPL14;RPL13;MRPS12;RPL38;RPL17;RPL15;RPS28;RPS27;EIF3E;RPS3A;RPS16;PNRC1,RPS13;RPL27A;RPL27;RPLP1;RPS24;RPL12;RPS14;RPL37A;RPL28;RPL18;RPL19;RPS23;RPL6;UBA52;RPL22;RPS27A;RPL41;RPS20;RPL37;RPS11;RPL26;RPS21;RPS3;RPL23;RPS9;RPL24;RPL34;RPL5;RPS15;RPSA;RPL32;RPL8;RPL23A;PABPC1;RPL13A;RPS19;RPL31;RPL11;RPS15A;RPL7;RPL10A;RPS25;RPL18A;RPS8;RPL3;RPL30;RPL10;RPS6;RPL29;RPS4X;RPL39;RPL36A;RPS29;RPL14;RPL13;MRPS12;RPL38;RPL17;RPL15;RPS28;RPS27;EIF3E;RPS3A;RPS16;PNRC1
regulation of cellular amino acid metabolic process (GO:0006521),0.473426070904117,3.6302194655314346,0.0,0.015595175068324581,52,38,PSMD14;PSMD6;ODC1;PSMD1;PSMD11;PSMD13;PSMA1;PSMC3;PSMC4;PSMB3;NQO1;PSMC5;PSME2;PSMD7;PSMB7;PSMA7;PSMB6;PSMC2;PSMD2;PSMC6;PSMD12;PSMA3;PSME3;PSMA4;PSMD3;PSMB9;PSMB2;PSMC1;PSMA5;PSMB1;PSMA2;PSMB4;AZIN1;PSMF1;PSMD4;OAZ1;PSMB5;PSMD8,PSMD14;PSMD6;ODC1;PSMD1;PSMD11;PSMD13;PSMA1;PSMC3;PSMC4;PSMB3;NQO1;PSMC5;PSME2;PSMD7;PSMB7;PSMA7;PSMB6;PSMC2;PSMD2;PSMC6;PSMD12;PSMA3;PSME3;PSMA4;PSMD3;PSMB9;PSMB2;PSMC1;PSMA5
regulation of cellular amine metabolic process (GO:0033238),0.473426070904117,3.6747727237912593,0.0017452006980802793,0.018153113836145016,52,38,PSMD14;PSMD6;ODC1;PSMD1;PSMD11;PSMD13;PSMA1;PSMC3;PSMC4;PSMB3;NQO1;PSMC5;PSME2;PSMD7;PSMB7;PSMA7;PSMB6;PSMC2;PSMD2;PSMC6;PSMD12;PSMA3;PSME3;PSMA4;PSMD3;PSMB9;PSMB2;PSMC1;PSMA5;PSMB1;PSMA2;PSMB4;AZIN1;PSMF1;PSMD4;OAZ1;PSMB5;PSMD8,PSMD14;PSMD6;ODC1;PSMD1;PSMD11;PSMD13;PSMA1;PSMC3;PSMC4;PSMB3;NQO1;PSMC5;PSME2;PSMD7;PSMB7;PSMA7;PSMB6;PSMC2;PSMD2;PSMC6;PSMD12;PSMA3;PSME3;PSMA4;PSMD3;PSMB9;PSMB2;PSMC1;PSMA5
regulation of cellular ketone metabolic process (GO:0010565),0.4713078547612931,3.6397187814946497,0.0,0.018565684605148312,62,40,FGFR4;PSMD14;PSMD6;ODC1;PSMD1;PSMD11;PSMD13;PSMA1;PSMC3;PSMC4;PSMB3;NQO1;PSMC5;PSME2;PSMD7;PSMB7;PSMA7;PSMB6;PSMC2;PSMD2;PSMC6;PSMD12;PSMA3;PSME3;PSMA4;PSMD3;PSMB9;PSMB2;PSMC1;PSMA5;PSMB1;PSMA2;PSMB4;AZIN1;PSMF1;PSMD4;CAV1;OAZ1;PSMB5;PSMD8,FGFR4;PSMD14;PSMD6;ODC1;PSMD1;PSMD11;PSMD13;PSMA1;PSMC3;PSMC4;PSMB3;NQO1;PSMC5;PSME2;PSMD7;PSMB7;PSMA7;PSMB6;PSMC2;PSMD2;PSMC6;PSMD12;PSMA3;PSME3;PSMA4;PSMD3;PSMB9;PSMB2;PSMC1;PSMA5
nuclear-transcribed mRNA catabolic process (GO:0000956),-0.40931175441862416,-5.2742439127120475,0.0,0.020004813188135493,175,92,ETF1;EXOSC5;EXOSC8;EXOSC9;EIF4E;LSM4;POLR2D;PPP2CA;POLR2G;MRTO4;LSM5;MAGOHB;EIF4A1;PELO;PPP2R1A;PPP2R2A;THRAP3;NCBP2;GSPT1;RNPS1;RPL35;DDX5;RPS13;RPL27A;RPL27;RPLP1;RPS24;RPL12;RPS14;RPL37A;RPL28;RPL18;RPL19;RPS23;RPL6;UBA52;RPL22;RPS27A;RPL41;RPS20;RPL37;RPS11;RPL26;RPS21;RPS3;RPL23;RPS9;RPL24;RPL34;RPL5;RPS15;RPSA;RPL32;RPL8;RPL23A;PABPC1;RPL13A;EIF4B;RPS19;RPL31;RPL11;RPS15A;RPL7;RPL10A;RPS25;RPL18A;ZFP36L1;RPS8;RPL3;RPL30;RPL10;RPS6;RPL29;RPS4X;RPL39;RPL36A;RPS29;RPL14;RPL13;MRPS12;RPL38;RPL17;EIF4A2;RPL15;RPS28;RPS27;EIF3E;RPS3A;RPS16;ZFP36;PNRC1;SAMD4A,RPS13;RPL27A;RPL27;RPLP1;RPS24;RPL12;RPS14;RPL37A;RPL28;RPL18;RPL19;RPS23;RPL6;UBA52;RPL22;RPS27A;RPL41;RPS20;RPL37;RPS11;RPL26;RPS21;RPS3;RPL23;RPS9;RPL24;RPL34;RPL5;RPS15;RPSA;RPL32;RPL8;RPL23A;PABPC1;RPL13A;EIF4B;RPS19;RPL31;RPL11;RPS15A;RPL7;RPL10A;RPS25;RPL18A;ZFP36L1;RPS8;RPL3;RPL30;RPL10;RPS6;RPL29;RPS4X;RPL39;RPL36A;RPS29;RPL14;RPL13;MRPS12;RPL38;RPL17;EIF4A2;RPL15;RPS28;RPS27;EIF3E;RPS3A;RPS16;ZFP36;PNRC1;SAMD4A
