Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
"mRNA splicing, via spliceosome (GO:0000398)",-0.21941216678058834,-1310.2040816326567,0.0,0.0,262,35,U2AF1;WDR77;BCAS2;DDX20;GEMIN4;FRG1;SF3A2;SNRNP40;HTATSF1;SF3B6;CSTF3;SNRNP70;SNRPA1;DDX17;SRPK2;HNRNPA3;HNRNPF;U2AF2;POLR2E;PNN;HNRNPK;SRSF2;SNRPD3;LSM3;PRPF4B;DDX46;PAPOLA;PABPC1;STRAP;HNRNPH1;NAA38;SNRPG;ALYREF;SNRPD1;LSM2,U2AF1;WDR77;BCAS2;DDX20;GEMIN4;FRG1;SF3A2;SNRNP40;HTATSF1;SF3B6;CSTF3;SNRNP70;SNRPA1;DDX17;SRPK2;HNRNPA3;HNRNPF;U2AF2;POLR2E;PNN;HNRNPK;SRSF2;SNRPD3;LSM3;PRPF4B;DDX46;PAPOLA;PABPC1;STRAP;HNRNPH1;NAA38;SNRPG;ALYREF;SNRPD1;LSM2
SRP-dependent cotranslational protein targeting to membrane (GO:0006614),-0.5094687794711849,inf,,0.0,90,62,RPS6;RPL5;RPL23;RPS3;RPLP1;RPS29;RPS8;RPL26;RPS15A;RPS24;RPL35A;SRP9;RPS3A;RPS14;RPS7;RPS15;RPL19;RPL34;RPS4X;RPS18;RPL37A;RPL12;RPL9;RPL24;RPL31;RPL37;RPS23;MRPS12;RPL13;RPS10;RPL39;RPS17;RPS26;RPL38;RPL15;RPL29;RPL14;RPL36A;RPS9;RPL27;RPL11;RPL32;RPL13A;RPS27;RPL7;SRP14;RPL18;RPS2;SEC61B;RPL7A;RPS27A;RPSA;RPL23A;RPL36;RPL3;RPL35;RPL21;RPS19;RPL41;RPS11;RPS21;RPL28,RPL26;RPS15A;RPS24;RPL35A;SRP9;RPS3A;RPS14;RPS7;RPS15;RPL19;RPL34;RPS4X;RPS18;RPL37A;RPL12;RPL9;RPL24;RPL31;RPL37;RPS23;MRPS12;RPL13;RPS10;RPL39;RPS17;RPS26;RPL38;RPL15;RPL29;RPL14;RPL36A;RPS9;RPL27;RPL11;RPL32;RPL13A;RPS27;RPL7;SRP14;RPL18;RPS2;SEC61B;RPL7A;RPS27A;RPSA;RPL23A;RPL36;RPL3;RPL35;RPL21;RPS19;RPL41;RPS11;RPS21;RPL28
cellular macromolecule biosynthetic process (GO:0034645),-0.11668851462872776,inf,,0.0,368,89,RPS6;MCM6;RAD9A;E2F1;BRIP1;CDC6;RPL5;TOPORS;DNA2;MCM2;MCM3;CDC25A;MCM5;DONSON;RAD50;MCM10;MCM4;RFC4;TIPIN;RPA2;BARD1;ORC6;RFC3;RPL23;RPS3;RPLP1;FEN1;RPS29;TYMS;RPS8;NASP;RPA1;DUT;POLR2E;CLSPN;RPL26;RPS15A;RPS24;RBBP8;RPL35A;RPS3A;RPS14;RPS7;RPS15;RPL19;RPL34;RPS4X;RPS18;RPL37A;RPL12;RPL9;RPL24;RPL31;RPL37;RPS23;MRPS12;RPL13;RPS10;RPL39;RPS17;RPS26;RPL38;RPL15;RPL29;RPL14;RPL36A;MRPL9;RPS9;RPL27;RPL11;RPL32;RPL13A;RPS27;RPL7;RPL18;RPS2;RPL7A;RPS27A;RPSA;RPL23A;RPL36;RPL3;RPL35;RPL21;RPS19;RPL41;RPS11;RPS21;RPL28,RPS3;RPLP1;FEN1;RPS29;TYMS;RPS8;NASP;RPA1;DUT;POLR2E;CLSPN;RPL26;RPS15A;RPS24;RBBP8;RPL35A;RPS3A;RPS14;RPS7;RPS15;RPL19;RPL34;RPS4X;RPS18;RPL37A;RPL12;RPL9;RPL24;RPL31;RPL37;RPS23;MRPS12;RPL13;RPS10;RPL39;RPS17;RPS26;RPL38;RPL15;RPL29;RPL14;RPL36A;MRPL9;RPS9;RPL27;RPL11;RPL32;RPL13A;RPS27;RPL7;RPL18;RPS2;RPL7A;RPS27A;RPSA;RPL23A;RPL36;RPL3;RPL35;RPL21;RPS19;RPL41;RPS11;RPS21;RPL28
cotranslational protein targeting to membrane (GO:0006613),-0.518425799603822,inf,,0.0,94,63,RPS6;RPL5;RPL23;RPS3;RPLP1;RPS29;RPS8;RPL26;RPS15A;RPS24;TRAM1;RPL35A;SRP9;RPS3A;RPS14;RPS7;RPS15;RPL19;RPL34;RPS4X;RPS18;RPL37A;RPL12;RPL9;RPL24;RPL31;RPL37;SSR2;RPS23;MRPS12;RPL13;RPS10;RPL39;RPS17;RPS26;RPL38;RPL15;RPL29;RPL14;RPL36A;RPS9;RPL27;RPL11;RPL32;RPL13A;RPS27;RPL7;SRP14;RPL18;RPS2;RPL7A;RPS27A;RPSA;RPL23A;RPL36;RPL3;RPL35;RPL21;RPS19;RPL41;RPS11;RPS21;RPL28,RPL26;RPS15A;RPS24;TRAM1;RPL35A;SRP9;RPS3A;RPS14;RPS7;RPS15;RPL19;RPL34;RPS4X;RPS18;RPL37A;RPL12;RPL9;RPL24;RPL31;RPL37;SSR2;RPS23;MRPS12;RPL13;RPS10;RPL39;RPS17;RPS26;RPL38;RPL15;RPL29;RPL14;RPL36A;RPS9;RPL27;RPL11;RPL32;RPL13A;RPS27;RPL7;SRP14;RPL18;RPS2;RPL7A;RPS27A;RPSA;RPL23A;RPL36;RPL3;RPL35;RPL21;RPS19;RPL41;RPS11;RPS21;RPL28
gene expression (GO:0010467),-0.26612892846730946,inf,,0.0,412,86,RPS6;SLBP;E2F1;RPL5;U2AF1;TOPORS;DDX20;CELF2;FYTTD1;YTHDC2;TSPAN5;SNRNP40;RPL23;DDX17;RPS3;RPLP1;TSPAN14;RPS29;HNRNPF;STUB1;RPS8;U2AF2;POLR2E;ALKBH5;RPL26;RPS15A;RPS24;RPL35A;RPS3A;RPS14;RPS7;HNRNPK;RPS15;RPL19;RPL34;SRSF2;RPS4X;RPS18;THOC3;RPL37A;RPL12;RPL9;RPL24;RPL31;RPL37;RPS23;MRPS12;RPL13;RPS10;RPL39;XRN2;RBM39;RPS17;RPS26;RPL38;RPL15;RPL29;RPL14;RPL36A;MRPL9;RPS9;RPL27;RPL11;RPL32;RPL13A;RPS27;HNRNPH1;RPL7;THOC7;SNRPG;RPL18;ALYREF;RPS2;RPL7A;RPS27A;RPSA;RPL23A;RPL36;RPL3;RPL35;RPL21;RPS19;RPL41;RPS11;RPS21;RPL28,RPL23;DDX17;RPS3;RPLP1;TSPAN14;RPS29;HNRNPF;STUB1;RPS8;U2AF2;POLR2E;ALKBH5;RPL26;RPS15A;RPS24;RPL35A;RPS3A;RPS14;RPS7;HNRNPK;RPS15;RPL19;RPL34;SRSF2;RPS4X;RPS18;THOC3;RPL37A;RPL12;RPL9;RPL24;RPL31;RPL37;RPS23;MRPS12;RPL13;RPS10;RPL39;XRN2;RBM39;RPS17;RPS26;RPL38;RPL15;RPL29;RPL14;RPL36A;MRPL9;RPS9;RPL27;RPL11;RPL32;RPL13A;RPS27;HNRNPH1;RPL7;THOC7;SNRPG;RPL18;ALYREF;RPS2;RPL7A;RPS27A;RPSA;RPL23A;RPL36;RPL3;RPL35;RPL21;RPS19;RPL41;RPS11;RPS21;RPL28
ncRNA processing (GO:0034470),-0.3366717526972329,inf,,0.0,228,68,RPS6;RPL5;RRP1B;NOL6;RRP1;EXOSC3;EXOSC9;RPL23;RPS3;RPLP1;EXOSC4;RPS29;RPS8;RPL26;RPS15A;RPS24;RPL35A;RPS3A;RPS14;MPHOSPH6;RPS7;RPS15;RPL19;RPL34;RPS4X;RPS18;RPL37A;RPL12;RPL9;RPL24;RPL31;RPL37;RPS23;MRPS12;RPL13;RPS10;RPL39;XRN2;RPS17;RPS26;RPL38;RPL15;RPL29;RPL14;RPL36A;IMP3;RPS9;RPL27;RPL11;RPL32;RPL13A;RPS27;RPL7;RPL18;RPS2;RPL7A;RPS27A;RPSA;RPL23A;RPL36;RPL3;RPL35;RPL21;RPS19;RPL41;RPS11;RPS21;RPL28,RPL26;RPS15A;RPS24;RPL35A;RPS3A;RPS14;MPHOSPH6;RPS7;RPS15;RPL19;RPL34;RPS4X;RPS18;RPL37A;RPL12;RPL9;RPL24;RPL31;RPL37;RPS23;MRPS12;RPL13;RPS10;RPL39;XRN2;RPS17;RPS26;RPL38;RPL15;RPL29;RPL14;RPL36A;IMP3;RPS9;RPL27;RPL11;RPL32;RPL13A;RPS27;RPL7;RPL18;RPS2;RPL7A;RPS27A;RPSA;RPL23A;RPL36;RPL3;RPL35;RPL21;RPS19;RPL41;RPS11;RPS21;RPL28
nuclear-transcribed mRNA catabolic process (GO:0000956),-0.3940950807982415,inf,,0.0,175,65,RPS6;RPL5;CSDE1;EIF4A2;EXOSC9;RPL23;RPS3;RPLP1;EXOSC4;RPS29;RPS8;EIF3E;RPL26;RPS15A;RPS24;RPL35A;RPS3A;RPS14;RPS7;RPS15;RPL19;RPL34;RPS4X;RPS18;RPL37A;RPL12;RPL9;RPL24;RPL31;RPL37;RPS23;MRPS12;RPL13;RPS10;RPL39;RPS17;RPS26;RPL38;RPL15;RPL29;RPL14;RPL36A;RPS9;RPL27;RPL11;PABPC1;RPL32;RPL13A;RPS27;RPL7;RPL18;RPS2;RPL7A;RPS27A;RPSA;RPL23A;RPL36;RPL3;RPL35;RPL21;RPS19;RPL41;RPS11;RPS21;RPL28,RPL23;RPS3;RPLP1;EXOSC4;RPS29;RPS8;EIF3E;RPL26;RPS15A;RPS24;RPL35A;RPS3A;RPS14;RPS7;RPS15;RPL19;RPL34;RPS4X;RPS18;RPL37A;RPL12;RPL9;RPL24;RPL31;RPL37;RPS23;MRPS12;RPL13;RPS10;RPL39;RPS17;RPS26;RPL38;RPL15;RPL29;RPL14;RPL36A;RPS9;RPL27;RPL11;PABPC1;RPL32;RPL13A;RPS27;RPL7;RPL18;RPS2;RPL7A;RPS27A;RPSA;RPL23A;RPL36;RPL3;RPL35;RPL21;RPS19;RPL41;RPS11;RPS21;RPL28
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",-0.5049743555965673,inf,,0.0,113,61,RPS6;RPL5;RPL23;RPS3;RPLP1;RPS29;RPS8;EIF3E;RPL26;RPS15A;RPS24;RPL35A;RPS3A;RPS14;RPS7;RPS15;RPL19;RPL34;RPS4X;RPS18;RPL37A;RPL12;RPL9;RPL24;RPL31;RPL37;RPS23;MRPS12;RPL13;RPS10;RPL39;RPS17;RPS26;RPL38;RPL15;RPL29;RPL14;RPL36A;RPS9;RPL27;RPL11;PABPC1;RPL32;RPL13A;RPS27;RPL7;RPL18;RPS2;RPL7A;RPS27A;RPSA;RPL23A;RPL36;RPL3;RPL35;RPL21;RPS19;RPL41;RPS11;RPS21;RPL28,RPL23;RPS3;RPLP1;RPS29;RPS8;EIF3E;RPL26;RPS15A;RPS24;RPL35A;RPS3A;RPS14;RPS7;RPS15;RPL19;RPL34;RPS4X;RPS18;RPL37A;RPL12;RPL9;RPL24;RPL31;RPL37;RPS23;MRPS12;RPL13;RPS10;RPL39;RPS17;RPS26;RPL38;RPL15;RPL29;RPL14;RPL36A;RPS9;RPL27;RPL11;PABPC1;RPL32;RPL13A;RPS27;RPL7;RPL18;RPS2;RPL7A;RPS27A;RPSA;RPL23A;RPL36;RPL3;RPL35;RPL21;RPS19;RPL41;RPS11;RPS21;RPL28
peptide biosynthetic process (GO:0043043),-0.5002188459048464,inf,,0.0,175,60,RPS6;RPL5;RPL23;RPS3;RPLP1;RPS29;RPS8;RPL26;RPS15A;RPS24;RPL35A;RPS3A;RPS14;RPS7;RPS15;RPL19;RPL34;RPS4X;RPS18;RPL37A;RPL12;RPL9;RPL24;RPL31;RPL37;RPS23;MRPS12;RPL13;RPS10;RPL39;RPS17;RPS26;RPL38;RPL15;RPL29;RPL14;RPL36A;MRPL9;RPS9;RPL27;RPL11;RPL32;RPL13A;RPS27;RPL7;RPL18;RPS2;RPL7A;RPS27A;RPSA;RPL23A;RPL36;RPL3;RPL35;RPL21;RPS19;RPL41;RPS11;RPS21;RPL28,RPL23;RPS3;RPLP1;RPS29;RPS8;RPL26;RPS15A;RPS24;RPL35A;RPS3A;RPS14;RPS7;RPS15;RPL19;RPL34;RPS4X;RPS18;RPL37A;RPL12;RPL9;RPL24;RPL31;RPL37;RPS23;MRPS12;RPL13;RPS10;RPL39;RPS17;RPS26;RPL38;RPL15;RPL29;RPL14;RPL36A;MRPL9;RPS9;RPL27;RPL11;RPL32;RPL13A;RPS27;RPL7;RPL18;RPS2;RPL7A;RPS27A;RPSA;RPL23A;RPL36;RPL3;RPL35;RPL21;RPS19;RPL41;RPS11;RPS21;RPL28
protein targeting to ER (GO:0045047),-0.4430386585163769,inf,,0.0,98,63,RPS6;RPL5;PMM1;SPCS3;RPL23;RPS3;RPLP1;RPS29;RPS8;RPL26;RPS15A;RPS24;RPL35A;SRP9;RPS3A;RPS14;RPS7;RPS15;RPL19;RPL34;RPS4X;RPS18;RPL37A;RPL12;RPL9;RPL24;RPL31;RPL37;RPS23;MRPS12;RPL13;RPS10;RPL39;RPS17;RPS26;RPL38;RPL15;RPL29;RPL14;RPL36A;RPS9;RPL27;RPL11;RPL32;RPL13A;RPS27;RPL7;SRP14;RPL18;RPS2;RPL7A;RPS27A;RPSA;RPL23A;RPL36;RPL3;RPL35;RPL21;RPS19;RPL41;RPS11;RPS21;RPL28,RPL26;RPS15A;RPS24;RPL35A;SRP9;RPS3A;RPS14;RPS7;RPS15;RPL19;RPL34;RPS4X;RPS18;RPL37A;RPL12;RPL9;RPL24;RPL31;RPL37;RPS23;MRPS12;RPL13;RPS10;RPL39;RPS17;RPS26;RPL38;RPL15;RPL29;RPL14;RPL36A;RPS9;RPL27;RPL11;RPL32;RPL13A;RPS27;RPL7;SRP14;RPL18;RPS2;RPL7A;RPS27A;RPSA;RPL23A;RPL36;RPL3;RPL35;RPL21;RPS19;RPL41;RPS11;RPS21;RPL28
