Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
RNA processing (GO:0006396),0.19544217914772472,1186.6132305397375,0.0,0.0,194,36,SNRPD1;HNRNPR;HNRNPC;SNRPB;HNRNPA0;LSM7;PNPT1;SRSF1;XRN2;DHX36;HNRNPU;PABPC4;SNRPD2;PRPF4;DHX15;SYNCRIP;SRSF11;SNRPF;HNRNPH1;DICER1;MPHOSPH10;TARDBP;SFPQ;PDCD7;SRPK2;NCBP2;CPSF6;KHSRP;HNRNPH3;HNRNPA2B1;DKC1;DHX32;LSM4;AKAP8L;RP9;LSM5,SNRPD1;HNRNPR;HNRNPC;SNRPB;HNRNPA0;LSM7;PNPT1;SRSF1;XRN2;DHX36;HNRNPU;PABPC4;SNRPD2;PRPF4;DHX15;SYNCRIP;SRSF11;SNRPF;HNRNPH1;DICER1;MPHOSPH10;TARDBP;SFPQ;PDCD7;SRPK2;NCBP2;CPSF6;KHSRP;HNRNPH3;HNRNPA2B1
peptide biosynthetic process (GO:0043043),0.17585484996510636,1272.7272727272928,0.0,0.0,175,48,RPS27A;RPS2;RPL27;RPL22;RPL36;RPS26;RPL6;SNU13;MRPL51;RPSA;RPS5;RPL12;RPL35;RPS20;ABCF1;RPL30;RPL39L;NHP2;PABPC4;RPL10;RPLP0;MRPS12;MRPL42;MRPS9;MRPL3;RPL8;RSL24D1;MRPS5;GSPT1;MRPL35;MRPL55;MRPS6;RSL1D1;MRPL36;AGO2;DHPS;RPL27A;IGF2BP3;MRPS17;RPL18A;RPS13;COA1;RPLP2;RPS28;MRPL23;MRPL34;MRPL32;MRPL4,RPS27A;RPS2;RPL27;RPL22;RPL36;RPS26;RPL6;SNU13;MRPL51;RPSA;RPS5;RPL12;RPL35;RPS20;ABCF1;RPL30;RPL39L;NHP2;PABPC4;RPL10;RPLP0;MRPS12;MRPL42;MRPS9;MRPL3;RPL8;RSL24D1;MRPS5;GSPT1;MRPL35;MRPL55;MRPS6;RSL1D1;MRPL36;AGO2;DHPS;RPL27A;IGF2BP3;MRPS17;RPL18A;RPS13;COA1;RPLP2;RPS28;MRPL23;MRPL34;MRPL32;MRPL4
ribonucleoprotein complex assembly (GO:0022618),0.19781621179328926,1169.94159546316,0.0,0.0,157,32,RPL6;SNRPD1;RPSA;RPS5;RPL12;SNW1;DYNC1H1;MRTO4;SNRPB;DDX3X;DENR;HSP90AB1;SRSF1;RPL10;STRAP;SNRPD2;NPM1;GEMIN6;ABT1;MCTS1;BOP1;SNRPF;RSL24D1;TXNL4A;DICER1;HSP90AA1;SRPK2;RPF2;LSM4;PPAN;RPS28;EIF4H,RPL6;SNRPD1;RPSA;RPS5;RPL12;SNW1;DYNC1H1;MRTO4;SNRPB;DDX3X;DENR;HSP90AB1;SRSF1;RPL10;STRAP;SNRPD2;NPM1;GEMIN6;ABT1;MCTS1;BOP1;SNRPF;RSL24D1;TXNL4A;DICER1;HSP90AA1;SRPK2
"mRNA splicing, via spliceosome (GO:0000398)",0.0981507218656929,inf,,0.0,262,49,SNRPD1;SNU13;YBX1;HNRNPA1;SNW1;HNRNPR;HNRNPC;POLR2K;SNRPB;FUS;HNRNPA0;LSM7;SRSF1;HNRNPU;CCAR1;STRAP;SNRPD2;GEMIN6;PRPF31;PRPF4;DHX15;SYNCRIP;SRSF11;SNRPF;SRSF3;HNRNPH1;TXNL4A;SNRPA;RBMX;PQBP1;SFPQ;PDCD7;POLR2L;SRPK2;NCBP2;SNRPB2;HNRNPH3;HNRNPA2B1;GTF2F2;ELAVL1;HNRNPM;DHX32;CHERP;LSM4;WDR83;UBL5;CDK13;LSM5;DDX39A,SNRPD1;SNU13;YBX1;HNRNPA1;SNW1;HNRNPR;HNRNPC;POLR2K;SNRPB;FUS;HNRNPA0;LSM7;SRSF1;HNRNPU;CCAR1;STRAP;SNRPD2;GEMIN6;PRPF31;PRPF4;DHX15;SYNCRIP;SRSF11;SNRPF;SRSF3;HNRNPH1;TXNL4A;SNRPA;RBMX;PQBP1;SFPQ;PDCD7;POLR2L;SRPK2;NCBP2;SNRPB2;HNRNPH3;HNRNPA2B1;GTF2F2
ncRNA processing (GO:0034470),0.1243816254416942,inf,,0.0,228,66,RPS27A;RPS2;RPL27;RPL22;RPL36;RPS26;RPL6;SNU13;RPSA;RPS5;RPL12;RPL35;RPS20;RPL30;MRTO4;IMP3;DDX27;LYAR;NOLC1;XRN2;RPL10;EXOSC5;RPLP0;MRPS12;RPL8;BOP1;KARS;BYSL;WDR46;DICER1;MPHOSPH10;RRP9;RIOK2;NOB1;RIOK1;WDR12;NOP58;INTS10;EXOSC6;WDR43;DIS3;PDCD11;HNRNPA2B1;BMS1;EBNA1BP2;UTP14A;AGO2;RPL27A;RPP40;DDX49;EXOSC2;DKC1;DCAF13;UBA52;PNO1;RPL18A;WDR3;IMP4;DDX56;PELP1;RPS13;RPLP2;RPS28;INTS1;RPP25;SBDS,RPS27A;RPS2;RPL27;RPL22;RPL36;RPS26;RPL6;SNU13;RPSA;RPS5;RPL12;RPL35;RPS20;RPL30;MRTO4;IMP3;DDX27;LYAR;NOLC1;XRN2;RPL10;EXOSC5;RPLP0;MRPS12;RPL8;BOP1;KARS;BYSL;WDR46;DICER1;MPHOSPH10;RRP9;RIOK2;NOB1;RIOK1;WDR12;NOP58;INTS10;EXOSC6;WDR43;DIS3;PDCD11;HNRNPA2B1;BMS1;EBNA1BP2;UTP14A;AGO2;RPL27A;RPP40;DDX49;EXOSC2;DKC1;DCAF13;UBA52;PNO1;RPL18A;WDR3;IMP4;DDX56;PELP1;RPS13;RPLP2;RPS28;INTS1;RPP25;SBDS
proteasomal protein catabolic process (GO:0010498),0.16863289382373567,inf,,0.0,238,40,RPS27A;PSMA7;PSMD11;PSMC5;PCNP;PSMA5;ERLEC1;PSMB3;PSMA4;PSMB6;UBE3A;PSMB2;PPP2R5C;PSMD14;CRBN;PSMD7;CDC26;PSMB1;RNF34;PSMC4;PSMB7;SEL1L;PSMD3;PSMC1;CDC34;TBL1XR1;RNF145;KEAP1;RMND5A;UBA52;CUL1;GID4;TP53;RNF216;TBL1X;CDC20;PSMD13;PSMA2;BTBD3;PSMA1,RPS27A;PSMA7;PSMD11;PSMC5;PCNP;PSMA5;ERLEC1;PSMB3;PSMA4;PSMB6;UBE3A;PSMB2;PPP2R5C;PSMD14;CRBN;PSMD7;CDC26;PSMB1;RNF34;PSMC4;PSMB7;SEL1L;PSMD3;PSMC1;CDC34;TBL1XR1;RNF145;KEAP1;RMND5A;UBA52;CUL1;GID4;TP53;RNF216;TBL1X;CDC20;PSMD13;PSMA2;BTBD3;PSMA1
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161),0.16957431960920846,inf,,0.0,292,48,RPS27A;PSMA7;PSMD11;PSMC5;PCNP;PSMA5;ERLEC1;UBE2S;NEMF;PSMB3;PSMA4;DNAJC10;DERL2;PSMB6;UBE3A;PSMB2;HSP90B1;PPP2R5C;PSMD14;CRBN;STT3B;PSMD7;CDC26;PSMB1;RNF34;PSMC4;RNF7;PSMB7;SEL1L;PSMD3;PSMC1;CDC34;PTTG1;TBL1XR1;RNF145;RMND5A;UBA52;CUL1;GID4;TP53;RNF216;TBL1X;CDC20;PSMD13;PSMA2;BTBD3;CCNB1;PSMA1,RPS27A;PSMA7;PSMD11;PSMC5;PCNP;PSMA5;ERLEC1;UBE2S;NEMF;PSMB3;PSMA4;DNAJC10;DERL2;PSMB6;UBE3A;PSMB2;HSP90B1;PPP2R5C;PSMD14;CRBN;STT3B;PSMD7;CDC26;PSMB1;RNF34;PSMC4;RNF7;PSMB7;SEL1L;PSMD3;PSMC1;CDC34;PTTG1;TBL1XR1;RNF145;RMND5A;UBA52;CUL1;GID4;TP53;RNF216;TBL1X;CDC20;PSMD13;PSMA2;BTBD3;CCNB1;PSMA1
rRNA metabolic process (GO:0016072),0.15281788978916713,inf,,0.0,201,63,RPS27A;RPS2;RPL27;RPL22;RPL36;RPS26;RPL6;SNU13;RPSA;RPS5;RPL12;RPL35;RPS20;RPL30;MRTO4;IMP3;DDX27;LYAR;NOLC1;GTF3A;XRN2;RPL10;EXOSC5;RPLP0;MRPS12;RPL8;BOP1;BYSL;WDR46;NIFK;MPHOSPH10;RRP9;RIOK2;NOB1;RIOK1;WDR12;NOP58;EXOSC6;WDR43;DIS3;PDCD11;BMS1;EBNA1BP2;UTP14A;RPL27A;RPP40;DDX49;EXOSC2;DKC1;DCAF13;CD3EAP;UBA52;PNO1;RPL18A;WDR3;IMP4;DDX56;PELP1;RPS13;RPLP2;RPS28;RPP25;SBDS,RPS27A;RPS2;RPL27;RPL22;RPL36;RPS26;RPL6;SNU13;RPSA;RPS5;RPL12;RPL35;RPS20;RPL30;MRTO4;IMP3;DDX27;LYAR;NOLC1;GTF3A;XRN2;RPL10;EXOSC5;RPLP0;MRPS12;RPL8;BOP1;BYSL;WDR46;NIFK;MPHOSPH10;RRP9;RIOK2;NOB1;RIOK1;WDR12;NOP58;EXOSC6;WDR43;DIS3;PDCD11;BMS1;EBNA1BP2;UTP14A;RPL27A;RPP40;DDX49;EXOSC2;DKC1;DCAF13;CD3EAP;UBA52;PNO1;RPL18A;WDR3;IMP4;DDX56;PELP1;RPS13;RPLP2;RPS28
rRNA processing (GO:0006364),0.15489785889818142,inf,,0.0,203,65,RPS27A;RPS2;RPL27;RPL22;RPL36;RPS26;RPL6;SNU13;RPSA;RPS5;RPL12;RPL35;RPS20;RPL30;MRTO4;IMP3;DDX27;LYAR;NOLC1;XRN2;NHP2;RPL10;EXOSC5;RPLP0;MRPS12;NSA2;RPL8;BOP1;BYSL;WDR46;MPHOSPH10;RRP9;RRP15;RIOK2;NOB1;RIOK1;SRFBP1;WDR12;NOP58;EXOSC6;WDR43;RSL1D1;DIS3;PDCD11;BMS1;EBNA1BP2;UTP14A;RPL27A;RPP40;DDX49;EXOSC2;DKC1;DCAF13;UBA52;PNO1;RPL18A;WDR3;IMP4;DDX56;PELP1;RPS13;RPLP2;RPS28;RPP25;SBDS,RPS27A;RPS2;RPL27;RPL22;RPL36;RPS26;RPL6;SNU13;RPSA;RPS5;RPL12;RPL35;RPS20;RPL30;MRTO4;IMP3;DDX27;LYAR;NOLC1;XRN2;NHP2;RPL10;EXOSC5;RPLP0;MRPS12;NSA2;RPL8;BOP1;BYSL;WDR46;MPHOSPH10;RRP9;RRP15;RIOK2;NOB1;RIOK1;SRFBP1;WDR12;NOP58;EXOSC6;WDR43;RSL1D1;DIS3;PDCD11;BMS1;EBNA1BP2;UTP14A;RPL27A;RPP40;DDX49;EXOSC2;DKC1;DCAF13;UBA52;PNO1;RPL18A;WDR3;IMP4;DDX56;PELP1;RPS13;RPLP2;RPS28
ribosome biogenesis (GO:0042254),0.1372527008183138,inf,,0.0,227,73,RPS27A;RPS2;RPL27;RPL22;RPL36;RPS26;RPL6;ABCE1;SNU13;RPSA;RPS5;RPL12;RPL35;RPS20;RPL30;MRTO4;IMP3;DDX27;LYAR;NOLC1;GTF3A;XRN2;RAN;RPL10;EXOSC5;RPLP0;MRPS12;NPM1;RPL8;BOP1;BYSL;ZNF622;WDR46;MPHOSPH10;RRP9;RIOK2;NOB1;RIOK1;WDR12;NOP58;PAK1IP1;GNL3;EXOSC6;GNL2;WDR43;DIS3;MRPL36;PDCD11;BMS1;NOP16;EBNA1BP2;NOC2L;UTP14A;RPL27A;RPP40;DDX49;EXOSC2;DKC1;DCAF13;RPF2;UBA52;PNO1;RPL18A;WDR3;IMP4;DDX56;PELP1;RPS13;RPLP2;RPS28;MALSU1;RPP25;SBDS,RPS27A;RPS2;RPL27;RPL22;RPL36;RPS26;RPL6;ABCE1;SNU13;RPSA;RPS5;RPL12;RPL35;RPS20;RPL30;MRTO4;IMP3;DDX27;LYAR;NOLC1;GTF3A;XRN2;RAN;RPL10;EXOSC5;RPLP0;MRPS12;NPM1;RPL8;BOP1;BYSL;ZNF622;WDR46;MPHOSPH10;RRP9;RIOK2;NOB1;RIOK1;WDR12;NOP58;PAK1IP1;GNL3;EXOSC6;GNL2;WDR43;DIS3;MRPL36;PDCD11;BMS1;NOP16;EBNA1BP2;NOC2L;UTP14A;RPL27A;RPP40;DDX49;EXOSC2;DKC1;DCAF13;RPF2;UBA52;PNO1;RPL18A;WDR3;IMP4;DDX56
