Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
cellular macromolecule biosynthetic process (GO:0034645),-0.3153210717035751,-1093.4327657553606,0.0,0.0,368,53,UPF1;RPL28;CDC45;RPS5;RPSA;RPL18;RPA3;TAF1B;MCM8;TARS;RPL13;RPL13A;NR3C1;RPS11;CDK1;DUT;MRPL36;PTMS;RPS25;MRPL52;AKR1B1;RPS2;POLR2I;RPL37;TYMS;MRPL11;POLD2;RFC4;RNASEH2A;RPL7A;TUFM;MRPS16;RPL27;RPL29;EEF2;RPS7;RPS23;RPL15;RPL32;RPL23A;RPL12;RPL41;RPL11;RPL24;RPL36;RPL26;RPS24;EEF1B2;RPS21;RPL19;SET;RPS29;RPLP1,CDC45;RPS5;RPSA;RPL18;RPA3;TAF1B;MCM8;TARS;RPL13;RPL13A;NR3C1;RPS11;CDK1;DUT;MRPL36;PTMS;RPS25;MRPL52;AKR1B1;RPS2;POLR2I;RPL37;TYMS;MRPL11;POLD2;RFC4;RNASEH2A;RPL7A;TUFM;MRPS16;RPL27;RPL29;EEF2;RPS7;RPS23;RPL15;RPL32;RPL23A;RPL12;RPL41;RPL11;RPL24;RPL36;RPL26;RPS24;EEF1B2;RPS21;RPL19;SET;RPS29;RPLP1
gene expression (GO:0010467),-0.1960908659965508,-1110.252981742075,0.0,0.0,412,49,DHX40;DDX39A;UPF1;RPL28;RBM3;RPS5;NUP155;RPSA;RPL18;TAF1B;TARS;MAGOHB;RPL13;NUP50;RPL13A;NR3C1;RPS11;MRPL36;RPS25;MRPL52;AKR1B1;CPSF2;RPS2;POLR2I;RPL37;MRPL11;RPL7A;MRPS16;LSM7;RPL27;RPL29;XRN2;RPS7;RPS23;RPL15;RPL32;RPL23A;RPL12;RPL41;RPL11;RPL24;RPL36;RPL26;RPS24;RPS21;SNRPG;RPL19;RPS29;RPLP1,RPS5;NUP155;RPSA;RPL18;TAF1B;TARS;MAGOHB;RPL13;NUP50;RPL13A;NR3C1;RPS11;MRPL36;RPS25;MRPL52;AKR1B1;CPSF2;RPS2;POLR2I;RPL37;MRPL11;RPL7A;MRPS16;LSM7;RPL27;RPL29;XRN2;RPS7;RPS23;RPL15;RPL32;RPL23A;RPL12;RPL41;RPL11;RPL24;RPL36;RPL26;RPS24;RPS21;SNRPG;RPL19;RPS29;RPLP1
translation (GO:0006412),-0.22232419914479865,-735.4508728009081,0.0,0.014557967178401271,233,47,APEH;MARS;LARS;RPL28;RPS5;RPSA;KARS;RPL18;TARS;RPL13;RPL13A;PTCD3;RPS11;IARS2;MRPL36;RPS25;MRPL52;TRMT112;RPS2;GARS;CARS;RPL22L1;RPL37;MRPL11;RPL7A;TUFM;MRPS16;RPL27;RPL29;EEF2;RPS7;RPS23;RPL15;RPL32;RPL23A;RPL12;RPL41;RPL11;RPL24;RPL36;RPL26;RPS24;EEF1B2;RPS21;RPL19;RPS29;RPLP1,RPS25;MRPL52;TRMT112;RPS2;GARS;CARS;RPL22L1;RPL37;MRPL11;RPL7A;TUFM;MRPS16;RPL27;RPL29;EEF2;RPS7;RPS23;RPL15;RPL32;RPL23A;RPL12;RPL41;RPL11;RPL24;RPL36;RPL26;RPS24;EEF1B2;RPS21;RPL19;RPS29;RPLP1
viral process (GO:0016032),-0.26785978735261146,-674.7724697789833,0.0,0.014557967178401273,221,43,CHMP2A;NEDD4;RPL28;AP2A1;AP1S2;TP53;RPS5;NUP155;RPSA;RPL18;RPL13;NUP50;RPL13A;RPS11;VPS28;AP2B1;RPS25;RPS2;XPO1;RPL37;RPL7A;RPL27;RPL29;AP2M1;MVB12A;PPIA;RAC1;RPS7;RPS23;RPL15;RPL32;RPL23A;RPL12;RPL41;RPL11;RPL24;RPL36;RPL26;RPS24;RPS21;RPL19;RPS29;RPLP1,NEDD4;RPL28;AP2A1;AP1S2;TP53;RPS5;NUP155;RPSA;RPL18;RPL13;NUP50;RPL13A;RPS11;VPS28;AP2B1;RPS25;RPS2;XPO1;RPL37;RPL7A;RPL27;RPL29;AP2M1;MVB12A;PPIA;RAC1;RPS7;RPS23;RPL15;RPL32;RPL23A;RPL12;RPL41;RPL11;RPL24;RPL36;RPL26;RPS24;RPS21;RPL19;RPS29;RPLP1
ubiquitin-dependent protein catabolic process (GO:0006511),-0.26465816827482425,-487.5818008299641,0.0,0.021836950767601906,342,31,ITCH;NEDD4;UHRF1;TP53;BIRC2;RNF216;RNF213;ARIH2;PSMC4;UBR4;PSMC5;CDK1;PSMC3;VPS28;ANAPC11;UBE4A;ANAPC15;PSMC1;PSMD13;DDB1;ADRM1;UBXN1;PSMC6;UBE2S;PSMD7;ANAPC16;MVB12A;PSMB7;PSMB6;PSMA7;BUB3,UHRF1;TP53;BIRC2;RNF216;RNF213;ARIH2;PSMC4;UBR4;PSMC5;CDK1;PSMC3;VPS28;ANAPC11;UBE4A;ANAPC15;PSMC1;PSMD13;DDB1;ADRM1;UBXN1;PSMC6;UBE2S;PSMD7;ANAPC16;MVB12A;PSMB7;PSMB6;PSMA7;BUB3
ribosome biogenesis (GO:0042254),-0.14823029170979016,-507.2209438389455,0.5,0.026204340921122286,227,43,GNL3L;GTF3A;MPHOSPH6;PIH1D1;DDX49;RPL28;WDR18;RPS5;RPSA;EIF2A;RPL18;RPL13;RPL13A;RPS11;MRPL36;UTP18;WDR36;RPS25;RPS2;XPO1;BMS1;DDX56;RPL37;RPL7A;RPL27;RPL29;XRN2;RPS7;RPS23;RPL15;RPL32;RPL23A;RPL12;RPL41;RPL11;RPL24;RPL36;RPL26;RPS24;RPS21;RPL19;RPS29;RPLP1,MRPL36;UTP18;WDR36;RPS25;RPS2;XPO1;BMS1;DDX56;RPL37;RPL7A;RPL27;RPL29;XRN2;RPS7;RPS23;RPL15;RPL32;RPL23A;RPL12;RPL41;RPL11;RPL24;RPL36;RPL26;RPS24;RPS21;RPL19;RPS29;RPLP1
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",-0.26873661670235627,-124.08949633667451,0.0,0.05309376265063993,113,31,UPF1;RPL28;RPS5;RPSA;RPL18;MAGOHB;RPL13;RPL13A;RPS11;RPS25;RPS2;RPL37;RPL7A;RPL27;RPL29;RPS7;RPS23;RPL15;RPL32;RPL23A;RPL12;RPL41;RPL11;RPL24;RPL36;RPL26;RPS24;RPS21;RPL19;RPS29;RPLP1,UPF1;RPL28;RPS5;RPSA;RPL18;MAGOHB;RPL13;RPL13A;RPS11;RPS25;RPS2;RPL37;RPL7A;RPL27;RPL29;RPS7;RPS23;RPL15;RPL32;RPL23A;RPL12;RPL41;RPL11;RPL24;RPL36;RPL26;RPS24;RPS21;RPL19;RPS29;RPLP1
ncRNA processing (GO:0034470),-0.2097297297297291,-147.15512706126017,0.0,0.054072449519776154,228,40,MPHOSPH6;ADAT1;PIH1D1;DDX49;RPL28;WDR18;RPS5;RPSA;KARS;RPL18;RPL13;RPL13A;RPS11;UTP18;WDR36;RPS25;RPS2;BMS1;DDX56;RPL37;RPL7A;RPL27;RPL29;XRN2;RPS7;RPS23;RPL15;RPL32;RPL23A;RPL12;RPL41;RPL11;RPL24;RPL36;RPL26;RPS24;RPS21;RPL19;RPS29;RPLP1,MPHOSPH6;ADAT1;PIH1D1;DDX49;RPL28;WDR18;RPS5;RPSA;KARS;RPL18;RPL13;RPL13A;RPS11;UTP18;WDR36;RPS25;RPS2;BMS1;DDX56;RPL37;RPL7A;RPL27;RPL29;XRN2;RPS7;RPS23;RPL15;RPL32;RPL23A;RPL12;RPL41;RPL11;RPL24;RPL36;RPL26;RPS24;RPS21;RPL19;RPS29;RPLP1
viral gene expression (GO:0019080),-0.3311567739721731,-116.81297664755577,0.0,0.05580554085053821,111,31,RPL28;RPS5;NUP155;RPSA;RPL18;RPL13;NUP50;RPL13A;RPS11;RPS25;RPS2;RPL37;RPL7A;RPL27;RPL29;RPS7;RPS23;RPL15;RPL32;RPL23A;RPL12;RPL41;RPL11;RPL24;RPL36;RPL26;RPS24;RPS21;RPL19;RPS29;RPLP1,RPS5;NUP155;RPSA;RPL18;RPL13;NUP50;RPL13A;RPS11;RPS25;RPS2;RPL37;RPL7A;RPL27;RPL29;RPS7;RPS23;RPL15;RPL32;RPL23A;RPL12;RPL41;RPL11;RPL24;RPL36;RPL26;RPS24;RPS21;RPL19;RPS29;RPLP1
viral transcription (GO:0019083),-0.3311567739721731,-132.655255373309,0.0,0.05629080642315158,114,31,RPL28;RPS5;NUP155;RPSA;RPL18;RPL13;NUP50;RPL13A;RPS11;RPS25;RPS2;RPL37;RPL7A;RPL27;RPL29;RPS7;RPS23;RPL15;RPL32;RPL23A;RPL12;RPL41;RPL11;RPL24;RPL36;RPL26;RPS24;RPS21;RPL19;RPS29;RPLP1,RPS5;NUP155;RPSA;RPL18;RPL13;NUP50;RPL13A;RPS11;RPS25;RPS2;RPL37;RPL7A;RPL27;RPL29;RPS7;RPS23;RPL15;RPL32;RPL23A;RPL12;RPL41;RPL11;RPL24;RPL36;RPL26;RPS24;RPS21;RPL19;RPS29;RPLP1
