Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
gene expression (GO:0010467),0.27101263152396493,540.8088298403163,0.0,0.004781077000503272,412,46,RBM8A;RPS14;RPS15A;RPL35;RPS21;RPL11;RPL10A;RPS18;RPL35A;RSL1D1;PTMA;RPL10;RPS8;RPS4X;EIF5A;RPL22;RPS3A;RPL8;SRRM1;MRPL42;RPS10;POLR2F;RPL6;MRPS36;DKC1;RPLP0;RPL30;RPL36A;RPL39;RPL9;RNPS1;RPL5;MRPS18B;SRSF9;TOPORS;MRPL13;ABCF1;SNRNP40;POLR2K;RPL31;NUP153;RBMX2;MRPS5;RPS6;POLR2A;UPF3B,RBM8A;RPS14;RPS15A;RPL35;RPS21;RPL11;RPL10A;RPS18;RPL35A;RSL1D1;PTMA;RPL10;RPS8;RPS4X;EIF5A;RPL22;RPS3A;RPL8;SRRM1;MRPL42;RPS10;POLR2F;RPL6;MRPS36;DKC1;RPLP0;RPL30;RPL36A;RPL39;RPL9;RNPS1;RPL5;MRPS18B;SRSF9;TOPORS;MRPL13;ABCF1;SNRNP40;POLR2K;RPL31;NUP153;RBMX2;MRPS5;RPS6;POLR2A
cellular protein metabolic process (GO:0044267),0.18208336999931052,394.98806992614493,0.0,0.006374769334004362,485,45,UBB;RPS14;RPS15A;RPL35;RPS21;NEDD8;RPL11;RPL10A;RPS18;RPL35A;RSL1D1;RPL10;RPS8;RPS4X;RPL22;RPS3A;RPL8;CST3;MRPL42;CCDC59;RPS10;RPL6;MRPS36;UBE2N;RPLP0;RPL30;RPL36A;RPL39;RPL9;UBA3;RPL5;MRPS18B;CKAP4;EVA1A;MRPL13;ABCF1;RPL31;MRPS5;RPS6;ST3GAL6;CYR61;STOML2;IGFBP4;SIAH2;UBE2G2,UBB;RPS14;RPS15A;RPL35;RPS21;NEDD8;RPL11;RPL10A;RPS18;RPL35A;RSL1D1;RPL10;RPS8;RPS4X;RPL22;RPS3A;RPL8;CST3;MRPL42;CCDC59;RPS10;RPL6;MRPS36;UBE2N;RPLP0;RPL30;RPL36A;RPL39;RPL9;UBA3;RPL5;MRPS18B
cellular macromolecule biosynthetic process (GO:0034645),0.340869565217392,997.880324241925,0.0,0.009562154001006544,368,43,RPS14;RPS15A;RPL35;RPS21;RPL11;RPL10A;RPS18;RPL35A;RSL1D1;NAP1L1;PTMA;RPL10;RPS8;RPS4X;RPL22;RPS3A;RPL8;MRPL42;RPS10;POLR2F;RPL6;MRPS36;RPLP0;RPL30;RPL36A;RPL39;RPL9;RNPS1;RPL5;MRPS18B;CLSPN;TOPORS;MRPL13;ORC6;RPA2;ABCF1;REV1;POLR2K;RPL31;ST3GAL4;MRPS5;RPS6;POLR2A,RPS14;RPS15A;RPL35;RPS21;RPL11;RPL10A;RPS18;RPL35A;RSL1D1;NAP1L1;PTMA;RPL10;RPS8;RPS4X;RPL22;RPS3A;RPL8;MRPL42;RPS10;POLR2F;RPL6;MRPS36;RPLP0;RPL30;RPL36A;RPL39;RPL9;RNPS1;RPL5;MRPS18B;CLSPN;TOPORS;MRPL13;ORC6;RPA2;ABCF1;REV1;POLR2K;RPL31;ST3GAL4;MRPS5;RPS6;POLR2A
translation (GO:0006412),0.2905223181588636,293.46614740056094,0.0,0.021514846502264724,233,40,RPS14;RPS15A;RPL35;RPS21;RPL11;RPL10A;RPS18;RPL35A;RSL1D1;RPL10;RPS8;EEF1E1;MRPS34;RPS4X;RPL22;RPS3A;RPL8;MRPL42;RPS10;ZC3H15;RPL6;MRPS36;RPLP0;RPL30;RPL36A;RPL39;RPL9;MRTO4;FARSA;RPL5;MRPS18B;MRPL2;MRPL13;NARS;ABCF1;RPL7L1;RPL31;MRPS5;RPS6;MTERF3,RPS14;RPS15A;RPL35;RPS21;RPL11;RPL10A;RPS18;RPL35A;RSL1D1;RPL10;RPS8;EEF1E1;MRPS34;RPS4X;RPL22;RPS3A;RPL8;MRPL42;RPS10;ZC3H15;RPL6;MRPS36;RPLP0;RPL30;RPL36A;RPL39;RPL9;MRTO4;FARSA;RPL5;MRPS18B
ribosome biogenesis (GO:0042254),0.2570556888574237,212.12770497126624,0.14285714285714285,0.0439859084046301,227,37,RPS14;RPS15A;RPL35;RPS21;RPL11;RPL10A;RPS18;RPL35A;RPL10;RPS8;RPS4X;RPL22;RPS3A;RPL8;RPS10;KRR1;RPL6;DKC1;RPLP0;RPL30;RPL36A;RPL39;RPL9;MRTO4;RIOK1;RPL5;RRP1B;PAK1IP1;NOC2L;UTP20;RRP9;EXOSC3;LYAR;RPL31;RPS6;RRP36;MTERF3,RPS14;RPS15A;RPL35;RPS21;RPL11;RPL10A;RPS18;RPL35A;RPL10;RPS8;RPS4X;RPL22;RPS3A;RPL8;RPS10;KRR1;RPL6;DKC1;RPLP0;RPL30;RPL36A;RPL39;RPL9;MRTO4;RIOK1;RPL5;RRP1B;PAK1IP1;NOC2L;UTP20;RRP9;EXOSC3;LYAR
ncRNA processing (GO:0034470),0.30616893242902327,159.7779778527519,0.0,0.045420231504781076,228,34,RPS14;RPS15A;RPL35;RPS21;RPL11;RPL10A;RPS18;RPL35A;RPL10;RPS8;RPS4X;RPL22;RPS3A;RPL8;RPS10;KRR1;RPL6;DKC1;RPLP0;RPL30;RPL36A;RPL39;RPL9;MRTO4;RIOK1;RPL5;RRP1B;UTP20;RRP9;EXOSC3;LYAR;RPL31;RPS6;RRP36,RPS14;RPS15A;RPL35;RPS21;RPL11;RPL10A;RPS18;RPL35A;RPL10;RPS8;RPS4X;RPL22;RPS3A;RPL8;RPS10;KRR1;RPL6;DKC1;RPLP0;RPL30;RPL36A;RPL39;RPL9;MRTO4;RIOK1;RPL5;RRP1B;UTP20;RRP9;EXOSC3;LYAR
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",0.39302678229676996,120.40838253936651,0.0,0.046217077671531624,113,30,RBM8A;RPS14;RPS15A;RPL35;RPS21;RPL11;RPL10A;RPS18;RPL35A;RPL10;RPS8;RPS4X;EIF3E;RPL22;RPS3A;RPL8;PPP2CA;RPS10;RPL6;RPLP0;RPL30;RPL36A;RPL39;RPL9;RNPS1;RPL5;PABPC1;RPL31;RPS6;UPF3B,RBM8A;RPS14;RPS15A;RPL35;RPS21;RPL11;RPL10A;RPS18;RPL35A;RPL10;RPS8;RPS4X;EIF3E;RPL22;RPS3A;RPL8;PPP2CA;RPS10;RPL6;RPLP0;RPL30;RPL36A;RPL39;RPL9;RNPS1;RPL5
viral gene expression (GO:0019080),0.4077427417990912,123.4613498268345,0.0,0.04694148327766848,111,26,RPS14;RPS15A;RPL35;RPS21;RPL11;RPL10A;RPS18;RPL35A;RPL10;RPS8;RPS4X;RPL22;RPS3A;RPL8;RPS10;RPL6;RPLP0;RPL30;RPL36A;RPL39;RPL9;RPL5;EIF2AK4;RPL31;NUP153;RPS6,RPS14;RPS15A;RPL35;RPS21;RPL11;RPL10A;RPS18;RPL35A;RPL10;RPS8;RPS4X;RPL22;RPS3A;RPL8;RPS10;RPL6;RPLP0;RPL30;RPL36A;RPL39;RPL9;RPL5;EIF2AK4
rRNA metabolic process (GO:0016072),0.30616893242902327,134.64988168328642,0.0,0.04972320080523403,201,34,RPS14;RPS15A;RPL35;RPS21;RPL11;RPL10A;RPS18;RPL35A;RPL10;RPS8;RPS4X;RPL22;RPS3A;RPL8;RPS10;KRR1;RPL6;DKC1;RPLP0;RPL30;RPL36A;RPL39;RPL9;MRTO4;RIOK1;RPL5;RRP1B;UTP20;RRP9;EXOSC3;LYAR;RPL31;RPS6;RRP36,RPS14;RPS15A;RPL35;RPS21;RPL11;RPL10A;RPS18;RPL35A;RPL10;RPS8;RPS4X;RPL22;RPS3A;RPL8;RPS10;KRR1;RPL6;DKC1;RPLP0;RPL30;RPL36A;RPL39;RPL9;MRTO4;RIOK1;RPL5;RRP1B;UTP20;RRP9;EXOSC3;LYAR
peptide biosynthetic process (GO:0043043),0.3848011635990096,159.932046051393,0.0,0.05190883600546409,175,31,RPS14;RPS15A;RPL35;RPS21;RPL11;RPL10A;RPS18;RPL35A;RSL1D1;RPL10;RPS8;RPS4X;RPL22;RPS3A;RPL8;MRPL42;RPS10;RPL6;MRPS36;RPLP0;RPL30;RPL36A;RPL39;RPL9;RPL5;MRPS18B;MRPL13;ABCF1;RPL31;MRPS5;RPS6,RPS14;RPS15A;RPL35;RPS21;RPL11;RPL10A;RPS18;RPL35A;RSL1D1;RPL10;RPS8;RPS4X;RPL22;RPS3A;RPL8;MRPL42;RPS10;RPL6;MRPS36;RPLP0;RPL30;RPL36A;RPL39;RPL9;RPL5;MRPS18B
