Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
gene expression (GO:0010467),-0.42384541387591285,-202.1728782892197,0.0,0.09106678230702515,412,27,UPF1;MRPL23;SARS;RPL39L;DDX39A;MRPL24;MPHOSPH10;RBM3;DHPS;COA1;MRPL4;RPL27A;HNRNPU;XRN2;NR3C1;RPS19;RPS13;RPLP2;POLR2I;HNRNPA2B1;MRPL52;POLR2L;RPL18A;RPS28;RPS27;RPL28;RPLP1,MRPL23;SARS;RPL39L;DDX39A;MRPL24;MPHOSPH10;RBM3;DHPS;COA1;MRPL4;RPL27A;HNRNPU;XRN2;NR3C1;RPS19;RPS13;RPLP2;POLR2I;HNRNPA2B1;MRPL52;POLR2L;RPL18A;RPS28;RPS27;RPL28;RPLP1
cellular macromolecule biosynthetic process (GO:0034645),-0.32531120057471,-106.1697320536356,0.0,0.17758022549869903,368,26,BARD1;UPF1;MRPL23;SARS;RPL39L;MRPL24;PTMS;DHPS;COA1;RNASEH2A;MRPL4;RPL27A;NR3C1;EEF1B2;RPS19;RPS13;RPLP2;POLR2I;MRPL52;EIF4G2;POLR2L;RPL18A;RPS28;RPS27;RPL28;RPLP1,MRPL23;SARS;RPL39L;MRPL24;PTMS;DHPS;COA1;RNASEH2A;MRPL4;RPL27A;NR3C1;EEF1B2;RPS19;RPS13;RPLP2;POLR2I;MRPL52;EIF4G2;POLR2L;RPL18A;RPS28;RPS27;RPL28;RPLP1
cellular protein metabolic process (GO:0044267),0.5118818965434414,1.7443333174415263,0.0,0.19131560323313593,485,36,MMP1;FN1;IMMP2L;LOX;TNC;IGFBP6;DNAJC3;MRPL23;PDIA6;HSP90B1;LGALS1;SARS;ZDHHC2;RPL39L;PRKCSH;MRPL24;RPN1;APLP2;SPCS2;DHPS;IGFBP7;COA1;MRPL4;RPN2;RPL27A;HM13;RPS19;RPS13;RPLP2;PRKDC;MRPL52;RPL18A;RPS28;RPS27;RPL28;RPLP1,MMP1;FN1;IMMP2L;LOX;TNC;IGFBP6
ribosome biogenesis (GO:0042254),-0.38550714225115756,-36.40286858063099,0.0,0.3200346921075456,227,19,HEATR1;BMS1;WDR18;IMP3;MPHOSPH10;EIF2A;GTF3A;RPL26L1;XPO1;RPL27A;XRN2;RPS19;RPS13;RPLP2;RPL18A;RPS28;RPS27;RPL28;RPLP1,BMS1;WDR18;IMP3;MPHOSPH10;EIF2A;GTF3A;RPL26L1;XPO1;RPL27A;XRN2;RPS19;RPS13;RPLP2;RPL18A;RPS28;RPS27;RPL28;RPLP1
RNA metabolic process (GO:0016070),-0.3661207493480067,-34.06094093694867,0.019230769230769232,0.32670208152645275,192,15,RNASEH2C;DDX50;DDX39A;MPHOSPH10;RBM3;LRPPRC;DDX5;RNASEH2A;HNRNPA3;HNRNPU;XRN2;PAPOLA;POLR2I;HNRNPA2B1;POLR2L,DDX39A;MPHOSPH10;RBM3;LRPPRC;DDX5;RNASEH2A;HNRNPA3;HNRNPU;XRN2;PAPOLA;POLR2I;HNRNPA2B1;POLR2L
cellular response to cytokine stimulus (GO:0071345),0.5618943890068258,1.7569705277228949,0.01511879049676026,0.3461280590010057,457,15,MMP1;FN1;IL24;NDUFA13;IL18;FER;UPF1;HSP90AA1;TGFB1;HSP90B1;ANXA1;EPRS;HNRNPU;ITGB1;MT2A,MMP1;FN1;IL24;NDUFA13;IL18;FER
mRNA processing (GO:0006397),-0.3564243812717456,-31.314187643662457,0.0,0.3470656259034403,284,16,CD2BP2;PRCC;GTF2H2;NAA38;RSRC1;DDX39A;PRPF31;DDX5;HNRNPA3;HNRNPU;CTNNBL1;PAPOLA;POLR2I;HNRNPA2B1;POLR2L;LSM5,PRCC;GTF2H2;NAA38;RSRC1;DDX39A;PRPF31;DDX5;HNRNPA3;HNRNPU;CTNNBL1;PAPOLA;POLR2I;HNRNPA2B1;POLR2L;LSM5
viral process (GO:0016032),-0.473616599397104,-37.44106314304249,0.0,0.3490893321769298,221,17,NEDD4;CHMP2A;EIF3F;CHMP2B;MVB12A;XPO1;RPL27A;RPS19;RPS13;PPIA;RPLP2;RAC1;RPL18A;RPS28;RPS27;RPL28;RPLP1,CHMP2A;EIF3F;CHMP2B;MVB12A;XPO1;RPL27A;RPS19;RPS13;PPIA;RPLP2;RAC1;RPL18A;RPS28;RPS27;RPL28;RPLP1
ncRNA processing (GO:0034470),-0.3474771561932038,-29.515792586440167,0.0,0.35333911535125756,228,17,HEATR1;SARS;BMS1;WDR18;IMP3;MPHOSPH10;RPL27A;XRN2;RPS19;RPS13;RPLP2;HNRNPA2B1;RPL18A;RPS28;RPS27;RPL28;RPLP1,SARS;BMS1;WDR18;IMP3;MPHOSPH10;RPL27A;XRN2;RPS19;RPS13;RPLP2;HNRNPA2B1;RPL18A;RPS28;RPS27;RPL28;RPLP1
rRNA processing (GO:0006364),-0.3306374497892515,-26.391324488470328,0.09090909090909091,0.36957935819601045,203,15,HEATR1;BMS1;WDR18;IMP3;MPHOSPH10;RPL27A;XRN2;RPS19;RPS13;RPLP2;RPL18A;RPS28;RPS27;RPL28;RPLP1,BMS1;WDR18;IMP3;MPHOSPH10;RPL27A;XRN2;RPS19;RPS13;RPLP2;RPL18A;RPS28;RPS27;RPL28;RPLP1
