Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
translation (GO:0006412),0.27688787185354913,3165.513919747672,0.0,0.0,233,54,RPL30;RPL3;RPL18A;RPS13;RPS28;MRPL34;RPS8;MRPL32;RPL7L1;RPL37A;MRPS12;RPL5;RPLP2;MRPS6;RPL39L;MRPL35;EIF4H;RPL26L1;RPL27A;DHPS;EEF1E1;RPL34;PELO;MRPL13;ZC3H15;EPRS;MRPS15;MRPS5;IARS;MRPS18C;MRPL9;MRPS18B;RPL10A;MRPS9;MRPL37;MRPL23;RPS6;RPL31;ABCF1;RPS19;RPS4X;GATC;PABPC4;RPS18;RPL10;RPL39;MRPS14;RPL36A;NARS;RPL17;RPS10;MRPL55;MRPL2;PPA2,RPL30;RPL3;RPL18A;RPS13;RPS28;MRPL34;RPS8;MRPL32;RPL7L1;RPL37A;MRPS12;RPL5;RPLP2;MRPS6;RPL39L;MRPL35;EIF4H;RPL26L1;RPL27A;DHPS;EEF1E1;RPL34;PELO;MRPL13;ZC3H15;EPRS;MRPS15;MRPS5;IARS;MRPS18C;MRPL9;MRPS18B;RPL10A;MRPS9;MRPL37;MRPL23;RPS6;RPL31;ABCF1;RPS19;RPS4X;GATC;PABPC4;RPS18;RPL10;RPL39;MRPS14;RPL36A;NARS;RPL17;RPS10;MRPL55;MRPL2;PPA2
cellular macromolecule biosynthetic process (GO:0034645),0.13119886154717328,inf,,0.0,368,65,RPL30;RPL3;RPL18A;RPS13;NAP1L1;RPS28;MRPL34;POLR2L;RPS8;MRPL32;RPL37A;MRPS12;RPL5;RPLP2;MRPS6;RPL39L;ILF2;POLR2F;MRPL35;RPL27A;DHPS;RPL34;PELO;MRPL13;MRPS15;PWP1;BARD1;PTMA;CLSPN;MRPS5;MRPS18C;MRPL9;MRPS18B;RPL10A;RBMS1;MRPS9;MRPL37;MRPL23;NASP;RPS6;POLR2B;RPL31;ABCF1;MLF1;POLE3;RPS19;RPS4X;PABPC4;RPS18;RPL10;MED20;ORC4;RPL39;TOPORS;MRPS14;RPL36A;RPL17;RPS10;RMI1;REV1;MRPL55;POLR2A;GCNT1;SMARCA1;INHBA,RPL30;RPL3;RPL18A;RPS13;NAP1L1;RPS28;MRPL34;POLR2L;RPS8;MRPL32;RPL37A;MRPS12;RPL5;RPLP2;MRPS6;RPL39L;ILF2;POLR2F;MRPL35;RPL27A;DHPS;RPL34;PELO;MRPL13;MRPS15;PWP1;BARD1;PTMA;CLSPN;MRPS5;MRPS18C;MRPL9;MRPS18B;RPL10A;RBMS1;MRPS9;MRPL37;MRPL23;NASP;RPS6;POLR2B;RPL31;ABCF1;MLF1;POLE3;RPS19;RPS4X;PABPC4;RPS18;RPL10;MED20;ORC4;RPL39;TOPORS;MRPS14;RPL36A;RPL17;RPS10;RMI1;REV1;MRPL55
cellular protein metabolic process (GO:0044267),0.06521739130434712,inf,,0.0,485,77,RPL30;RPL3;RPL18A;RPS13;B2M;RPS28;MRPL34;RPS8;MRPL32;RPL37A;MRPS12;RPL5;UBA52;RPLP2;MRPS6;UBE2D3;RPL39L;MRPL35;RPL27A;PRSS23;DHPS;UBE2L3;RPL34;PELO;MRPL13;MRPS15;UBE2N;UBL5;STOML2;H3F3A;CST3;MRPS5;UBE2G1;MRPS18C;MRPL9;MRPS18B;FBXW2;SPCS2;TXN;CCDC59;RPL10A;MRPS9;MRPL37;MRPL23;CKAP4;RCN1;RPS6;RPL31;LTA4H;ABCF1;RPS19;RPS4X;PABPC4;RPS18;RPL10;GOLM1;RPL39;MRPS14;IGFBP3;RPL36A;GAS6;RPL17;RPS10;PNPLA2;MRPL55;MFGE8;ST3GAL6;IGFBP7;UBE2L6;RNF5;UBL4A;CYR61;STK38;FN1;CHRDL1;SDC2;LOX,RPL30;RPL3;RPL18A;RPS13;B2M;RPS28;MRPL34;RPS8;MRPL32;RPL37A;MRPS12;RPL5;UBA52;RPLP2;MRPS6;UBE2D3;RPL39L;MRPL35;RPL27A;PRSS23;DHPS;UBE2L3;RPL34;PELO;MRPL13;MRPS15;UBE2N;UBL5;STOML2;H3F3A;CST3;MRPS5;UBE2G1;MRPS18C;MRPL9;MRPS18B;FBXW2;SPCS2;TXN;CCDC59;RPL10A;MRPS9;MRPL37;MRPL23;CKAP4;RCN1;RPS6;RPL31;LTA4H;ABCF1;RPS19;RPS4X;PABPC4;RPS18;RPL10;GOLM1;RPL39;MRPS14;IGFBP3;RPL36A;GAS6;RPL17;RPS10;PNPLA2;MRPL55;MFGE8;ST3GAL6;IGFBP7;UBE2L6;RNF5;UBL4A;CYR61;STK38;FN1;CHRDL1;SDC2;LOX
gene expression (GO:0010467),0.17378345420207875,inf,,0.0,412,82,RPL30;RPL3;RPL18A;RPS13;SRSF9;RPS28;MRPL34;POLR2L;RPS8;MRPL32;SRSF3;RPL37A;HNRNPD;MRPS12;RPL5;RPLP2;MRPS6;HNRNPK;RPL39L;ILF2;POLR2F;MRPL35;SRSF11;HNRNPU;RPL27A;HNRNPL;DHX15;DHPS;RPL34;PELO;MRPL13;NUP37;MRPS15;PWP1;TPR;PTMA;MRPS5;MRPS18C;MRPL9;MRPS18B;EIF4E;MAGOH;RPL10A;RBMS1;MRPS9;DHX16;DKC1;MRPL44;MRPL37;TSPAN5;CHTOP;MRPL23;RPS6;POLR2B;RPL31;DUSP11;ABCF1;MLF1;PRPF4;THOC2;RPS19;FIP1L1;RPS4X;SNRNP40;PABPC4;RPS18;RPL10;MED20;RPL39;TOPORS;MRPS14;RPL36A;NDC1;RPL17;RPS10;MRPL55;WDR33;POLR2A;RBMX2;SMARCA1;UPF3B;ATXN1,RPL30;RPL3;RPL18A;RPS13;SRSF9;RPS28;MRPL34;POLR2L;RPS8;MRPL32;SRSF3;RPL37A;HNRNPD;MRPS12;RPL5;RPLP2;MRPS6;HNRNPK;RPL39L;ILF2;POLR2F;MRPL35;SRSF11;HNRNPU;RPL27A;HNRNPL;DHX15;DHPS;RPL34;PELO;MRPL13;NUP37;MRPS15;PWP1;TPR;PTMA;MRPS5;MRPS18C;MRPL9;MRPS18B;EIF4E;MAGOH;RPL10A;RBMS1;MRPS9;DHX16;DKC1;MRPL44;MRPL37;TSPAN5;CHTOP;MRPL23;RPS6;POLR2B;RPL31;DUSP11;ABCF1;MLF1;PRPF4;THOC2;RPS19;FIP1L1;RPS4X;SNRNP40;PABPC4;RPS18;RPL10;MED20;RPL39;TOPORS;MRPS14
antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886),-0.7299742094322368,-2.2184136173283475,0.0,0.002026237710764905,98,16,DCTN3;AP2S1;CAPZA1;ARF1;DYNC1I2;CLTA;SEC31A;KLC1;CTSL;KIFAP3;KIF4A;HLA-DMA;CD74;HLA-DRA;HLA-DMB;HLA-DRB1,HLA-DMA;CD74;HLA-DRA;HLA-DMB;HLA-DRB1
antigen processing and presentation of exogenous peptide antigen (GO:0002478),-0.7299742094322368,-2.3050201472225744,0.0,0.002279517424610518,98,16,DCTN3;AP2S1;CAPZA1;ARF1;DYNC1I2;CLTA;SEC31A;KLC1;CTSL;KIFAP3;KIF4A;HLA-DMA;CD74;HLA-DRA;HLA-DMB;HLA-DRB1,HLA-DMA;CD74;HLA-DRA;HLA-DMB;HLA-DRB1
antigen processing and presentation of peptide antigen via MHC class II (GO:0002495),-0.7299742094322368,-2.2614123741590206,0.0,0.002279517424610518,99,16,DCTN3;AP2S1;CAPZA1;ARF1;DYNC1I2;CLTA;SEC31A;KLC1;CTSL;KIFAP3;KIF4A;HLA-DMA;CD74;HLA-DRA;HLA-DMB;HLA-DRB1,HLA-DMA;CD74;HLA-DRA;HLA-DMB;HLA-DRB1
nuclear-transcribed mRNA catabolic process (GO:0000956),0.28257135481073364,642.0495010900319,0.0,0.010808606097685327,175,35,RPL30;RPL3;RPL18A;RPS13;RPS28;RPS8;RPL37A;MRPS12;RPL5;UBA52;RPLP2;PABPC1;RPL27A;RPL34;PELO;EIF3E;THRAP3;EXOSC9;EIF4E;MAGOH;RPL10A;CSDE1;RPS6;RPL31;RPS19;RPS4X;EXOSC4;RPS18;RPL10;RPL39;ZCCHC11;RPL36A;RPL17;RPS10;UPF3B,RPL30;RPL3;RPL18A;RPS13;RPS28;RPS8;RPL37A;MRPS12;RPL5;UBA52;RPLP2;PABPC1;RPL27A;RPL34;PELO;EIF3E;THRAP3;EXOSC9;EIF4E;MAGOH;RPL10A;CSDE1;RPS6;RPL31;RPS19;RPS4X;EXOSC4;RPS18;RPL10;RPL39;ZCCHC11;RPL36A;RPL17;RPS10
ncRNA processing (GO:0034470),0.1801460626550589,689.5250998498834,0.0,0.012970327317222391,228,48,RPL30;RPL3;RPL18A;RPS13;RPS28;RPS8;RPL37A;MRPS12;RPL5;UBA52;RPLP2;RPL27A;RPL34;UTP4;PRKRA;INTS10;EXOSC9;RPL10A;DKC1;MRPL44;NOL8;RPS6;RPL31;UTP14A;LAS1L;RPS19;TEX10;RPS4X;EXOSC4;RPS18;RPL10;RPL39;ZCCHC11;RPL36A;DIEXF;EBNA1BP2;RPL17;RPS10;INTS12;SSB;RIOK3;ISG20L2;RPP21;SMAD2;WDR46;BYSL;RRP36;INTS7,RPL30;RPL3;RPL18A;RPS13;RPS28;RPS8;RPL37A;MRPS12;RPL5;UBA52;RPLP2;RPL27A;RPL34;UTP4;PRKRA;INTS10;EXOSC9;RPL10A;DKC1;MRPL44;NOL8;RPS6;RPL31;UTP14A;LAS1L;RPS19;TEX10;RPS4X;EXOSC4;RPS18;RPL10;RPL39;ZCCHC11;RPL36A;DIEXF;EBNA1BP2;RPL17;RPS10;INTS12;SSB;RIOK3;ISG20L2;RPP21;SMAD2;WDR46;BYSL
peptide biosynthetic process (GO:0043043),0.31748512678482477,502.82766612188993,0.0,0.017370974085565705,175,43,RPL30;RPL3;RPL18A;RPS13;RPS28;MRPL34;RPS8;MRPL32;RPL37A;MRPS12;RPL5;RPLP2;MRPS6;RPL39L;MRPL35;RPL27A;DHPS;RPL34;PELO;MRPL13;MRPS15;MRPS5;MRPS18C;MRPL9;MRPS18B;RPL10A;MRPS9;MRPL37;MRPL23;RPS6;RPL31;ABCF1;RPS19;RPS4X;PABPC4;RPS18;RPL10;RPL39;MRPS14;RPL36A;RPL17;RPS10;MRPL55,RPL30;RPL3;RPL18A;RPS13;RPS28;MRPL34;RPS8;MRPL32;RPL37A;MRPS12;RPL5;RPLP2;MRPS6;RPL39L;MRPL35;RPL27A;DHPS;RPL34;PELO;MRPL13;MRPS15;MRPS5;MRPS18C;MRPL9;MRPS18B;RPL10A;MRPS9;MRPL37;MRPL23;RPS6;RPL31;ABCF1;RPS19;RPS4X;PABPC4;RPS18;RPL10;RPL39;MRPS14;RPL36A;RPL17;RPS10
