Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",-0.22479171768918163,-1355.4511093480585,0.0,0.0,237,38,PRPF31;MAGOHB;BUD13;ZCRB1;DHX40;DDX39A;SNRPA;RBM5;SF3B3;WBP4;PRPF6;NAA38;CRNKL1;POLR2C;CPSF3;RBM8A;PRPF19;CTNNBL1;PABPN1;PAPOLA;TXNL4A;CWC25;BUD31;PRPF8;CPSF2;POLR2E;PCBP2;PCBP1;POLR2G;RNPS1;POLR2I;SRSF6;SF1;LSM7;LSM5;LSM3;SNRPG;ALYREF,BUD13;ZCRB1;DHX40;DDX39A;SNRPA;RBM5;SF3B3;WBP4;PRPF6;NAA38;CRNKL1;POLR2C;CPSF3;RBM8A;PRPF19;CTNNBL1;PABPN1;PAPOLA;TXNL4A;CWC25;BUD31;PRPF8;CPSF2;POLR2E;PCBP2;PCBP1;POLR2G;RNPS1;POLR2I;SRSF6;SF1;LSM7;LSM5;LSM3;SNRPG;ALYREF
SRP-dependent cotranslational protein targeting to membrane (GO:0006614),-0.2675674734495936,-1606.770089993052,0.0,0.0,90,45,RPS5;RPL28;RPSA;RPL13;RPL18;RPS11;RPL37;RPL13A;RPS2;RPL11;RPL7A;RPS25;RPS3A;RPL29;RPL12;RPL26;RPL27;RPL23A;RPL15;RPL32;RPL36;RPS21;RPS23;RPL23;RPS24;RPS7;RPL41;RPS15;RPS15A;RPS14;RPL19;RPL24;RPS26;RPL38;RPL7;SRP14;RPL21;RPL14;RPS27A;RPL6;RPL35A;RPL8;RPS29;RPL22;RPLP1,RPL11;RPL7A;RPS25;RPS3A;RPL29;RPL12;RPL26;RPL27;RPL23A;RPL15;RPL32;RPL36;RPS21;RPS23;RPL23;RPS24;RPS7;RPL41;RPS15;RPS15A;RPS14;RPL19;RPL24;RPS26;RPL38;RPL7;SRP14;RPL21;RPL14;RPS27A;RPL6;RPL35A;RPL8;RPS29;RPL22;RPLP1
mRNA processing (GO:0006397),-0.2414019694941437,-2136.1796923161064,0.0,0.0,284,44,PRPF31;MAGOHB;BUD13;ZCRB1;DHX40;DDX39A;SNRPA;RBM5;GEMIN2;SF3B3;WBP4;AGGF1;PRPF6;NAA38;GTF2H2;CRNKL1;POLR2C;CPSF3;RBM8A;PRPF19;CTNNBL1;PABPN1;PAPOLA;TXNL4A;CWC25;BUD31;PRPF8;CPSF2;POLR2E;PCBP2;AURKAIP1;PCBP1;POLR2G;RNPS1;SON;POLR2I;THOC7;SRSF6;SF1;LSM7;LSM5;LSM3;SNRPG;ALYREF,BUD13;ZCRB1;DHX40;DDX39A;SNRPA;RBM5;GEMIN2;SF3B3;WBP4;AGGF1;PRPF6;NAA38;GTF2H2;CRNKL1;POLR2C;CPSF3;RBM8A;PRPF19;CTNNBL1;PABPN1;PAPOLA;TXNL4A;CWC25;BUD31;PRPF8;CPSF2;POLR2E;PCBP2;AURKAIP1;PCBP1;POLR2G;RNPS1;SON;POLR2I;THOC7;SRSF6;SF1;LSM7;LSM5;LSM3;SNRPG;ALYREF
protein targeting to ER (GO:0045047),-0.27393962751790063,-1662.2732536620213,0.0,0.0,98,49,RPS5;RPL28;RPSA;RPL13;RPL18;RPS11;RPL37;SPCS1;RPL13A;RPS2;RPL11;RPL7A;RPS25;RPS3A;SPCS3;RPL29;RPL12;RPL26;RPL27;RPL23A;RPL15;RPL32;RPL36;RPS21;RPS23;RPL23;SRPRA;RPS24;RPS7;RPL41;SEC62;RPS15;RPS15A;RPS14;RPL19;RPL24;RPS26;RPL38;RPL7;SRP14;RPL21;RPL14;RPS27A;RPL6;RPL35A;RPL8;RPS29;RPL22;RPLP1,RPL11;RPL7A;RPS25;RPS3A;SPCS3;RPL29;RPL12;RPL26;RPL27;RPL23A;RPL15;RPL32;RPL36;RPS21;RPS23;RPL23;SRPRA;RPS24;RPS7;RPL41;SEC62;RPS15;RPS15A;RPS14;RPL19;RPL24;RPS26;RPL38;RPL7;SRP14;RPL21;RPL14;RPS27A;RPL6;RPL35A;RPL8;RPS29;RPL22;RPLP1
ubiquitin-dependent protein catabolic process (GO:0006511),-0.2257132105110825,-2691.3431117719765,0.0,0.0,342,44,TBL1X;CBL;UBE4A;UHRF1;TP53;ITCH;PSMD7;PSMC5;ARIH2;UBA1;UBR4;UBE2C;UBE2S;ANAPC15;RNF216;DDB1;FBXW5;ANAPC16;CACUL1;ADRM1;UBE2G2;ATE1;TBL1XR1;CDK1;ANAPC11;RNF126;FBXO45;PSMC3;PSMC4;PCBP2;PSMC1;VPS28;PSMD6;NEDD8;PSMA7;PSMC6;RNF115;BIRC2;RANBP1;BUB3;UBXN1;UBE2D2;PSMA3;RPS27A,CBL;UBE4A;UHRF1;TP53;ITCH;PSMD7;PSMC5;ARIH2;UBA1;UBR4;UBE2C;UBE2S;ANAPC15;RNF216;DDB1;FBXW5;ANAPC16;CACUL1;ADRM1;UBE2G2;ATE1;TBL1XR1;CDK1;ANAPC11;RNF126;FBXO45;PSMC3;PSMC4;PCBP2;PSMC1;VPS28;PSMD6;NEDD8;PSMA7;PSMC6;RNF115;BIRC2;RANBP1;BUB3;UBXN1;UBE2D2;PSMA3;RPS27A
cellular macromolecule biosynthetic process (GO:0034645),-0.18646339484567015,inf,,0.0,368,84,ST3GAL2;RPS5;RPL28;CDC45;BRCA1;RPSA;RPL13;MCM2;RPL18;AKR1B1;TARS;MRPL36;RPS11;DRG1;TYMS;GRWD1;RPL37;RPL13A;MCM10;RPS2;RPA3;UPF1;DUT;GOLPH3;TAF1B;CDK1;MCM8;RFC2;HBS1L;RPL11;POLR2C;NUP62;RPL7A;MCM4;MRPS16;RPS25;NR3C1;RPS3A;RFC4;RPL29;POLD2;MRPL27;RPL12;EEF2;RPL26;FEN1;RPL27;RPL23A;TUFM;MRPL52;MRPL11;RPL15;RPL32;POLR2E;RPL36;RPS21;RPS23;RPL23;RPS24;MRPL43;EIF4G1;RPS7;RPL41;POLR2G;RNPS1;POLR2I;RPS15;SET;RPS15A;RPS14;RPL19;RPL24;RPS26;RPL38;RPL7;RPL21;RPL14;RPS27A;RPL6;RPL35A;RPL8;RPS29;RPL22;RPLP1,GRWD1;RPL37;RPL13A;MCM10;RPS2;RPA3;UPF1;DUT;GOLPH3;TAF1B;CDK1;MCM8;RFC2;HBS1L;RPL11;POLR2C;NUP62;RPL7A;MCM4;MRPS16;RPS25;NR3C1;RPS3A;RFC4;RPL29;POLD2;MRPL27;RPL12;EEF2;RPL26;FEN1;RPL27;RPL23A;TUFM;MRPL52;MRPL11;RPL15;RPL32;POLR2E;RPL36;RPS21;RPS23;RPL23;RPS24;MRPL43;EIF4G1;RPS7;RPL41;POLR2G;RNPS1;POLR2I;RPS15;SET;RPS15A;RPS14;RPL19;RPL24;RPS26;RPL38;RPL7;RPL21;RPL14;RPS27A;RPL6;RPL35A;RPL8;RPS29;RPL22;RPLP1
cellular protein metabolic process (GO:0044267),-0.11378351025099316,inf,,0.0,485,87,MMP1;LAMB1;NUCB1;RPS5;RPL28;RPSA;UBE2M;RPL13;PLOD2;PDIA6;PSENEN;RPL18;MCRS1;MBTPS1;TARS;UBE2S;MRPL36;RPS11;PIGH;RPL37;DNAJC3;SPCS1;SHISA5;RPN1;ICMT;RPL13A;RPS2;UBE2G2;PRKCSH;HBS1L;SPPL2A;RPL11;RPL7A;APLP2;MRPS16;RPS25;RPS3A;SPCS3;PRKDC;RPL29;MRPL27;RPL12;RPL26;SEC11C;RPL27;RPL23A;MRPL52;CALU;MRPL11;RPL15;RPL32;P4HB;RPL36;RPS21;LGALS1;RPS23;RPL23;RPS24;MRPL43;TGOLN2;EIF4G1;RPN2;RPS7;NEDD8;RPL41;ITM2B;KTN1;RPS15;HM13;RPS15A;UBE2D2;RPS14;TMEM208;RPL19;RPL24;RPS26;RPL38;RPL7;RPL21;RPL14;RPS27A;RPL6;RPL35A;RPL8;RPS29;RPL22;RPLP1,PRKCSH;HBS1L;SPPL2A;RPL11;RPL7A;APLP2;MRPS16;RPS25;RPS3A;SPCS3;PRKDC;RPL29;MRPL27;RPL12;RPL26;SEC11C;RPL27;RPL23A;MRPL52;CALU;MRPL11;RPL15;RPL32;P4HB;RPL36;RPS21;LGALS1;RPS23;RPL23;RPS24;MRPL43;TGOLN2;EIF4G1;RPN2;RPS7;NEDD8;RPL41;ITM2B;KTN1;RPS15;HM13;RPS15A;UBE2D2;RPS14;TMEM208;RPL19;RPL24;RPS26;RPL38;RPL7;RPL21;RPL14;RPS27A;RPL6;RPL35A;RPL8;RPS29;RPL22;RPLP1
gene expression (GO:0010467),-0.12665030661476745,inf,,0.0,412,87,CELF2;NUP155;DROSHA;RPS5;MAGOHB;RPL28;RPSA;RPL13;RPL18;BUD13;DHX40;NUP50;DDX39A;AKR1B1;TARS;RBM5;RBM6;MRPL36;RPS11;DRG1;RBM3;RPL37;RPL13A;SEH1L;RPS2;UPF1;GOLPH3;NUP85;TAF1B;HBS1L;RPL11;POLR2C;NUP62;RPL7A;MRPS16;RPS25;CPSF3;NR3C1;RPS3A;RBM8A;PABPN1;RPL29;MRPL27;RPL12;RPL26;RPL27;RPL23A;MRPL52;MRPL11;RPL15;RPL32;CPSF2;POLR2E;RPL36;RPS21;RPS23;RPL23;RPS24;MRPL43;EIF4G1;RPS7;RPL41;POLR2G;RNPS1;POLR2I;THOC7;RPS15;SRSF6;LSM7;RPS15A;RPS14;RPL19;RPL24;RPS26;RPL38;RPL7;SNRPG;RPL21;RPL14;RPS27A;RPL6;RPL35A;ALYREF;RPL8;RPS29;RPL22;RPLP1,RPL18;BUD13;DHX40;NUP50;DDX39A;AKR1B1;TARS;RBM5;RBM6;MRPL36;RPS11;DRG1;RBM3;RPL37;RPL13A;SEH1L;RPS2;UPF1;GOLPH3;NUP85;TAF1B;HBS1L;RPL11;POLR2C;NUP62;RPL7A;MRPS16;RPS25;CPSF3;NR3C1;RPS3A;RBM8A;PABPN1;RPL29;MRPL27;RPL12;RPL26;RPL27;RPL23A;MRPL52;MRPL11;RPL15;RPL32;CPSF2;POLR2E;RPL36;RPS21;RPS23;RPL23;RPS24;MRPL43;EIF4G1;RPS7;RPL41;POLR2G;RNPS1;POLR2I;THOC7;RPS15;SRSF6;LSM7;RPS15A;RPS14;RPL19;RPL24;RPS26;RPL38;RPL7;SNRPG;RPL21;RPL14;RPS27A;RPL6;RPL35A;ALYREF;RPL8;RPS29;RPL22;RPLP1
nuclear-transcribed mRNA catabolic process (GO:0000956),-0.16054715622750118,inf,,0.0,175,62,CNOT3;RPS5;MAGOHB;RPL28;SAMD4A;RPSA;RPL13;PPP2R1A;EXOSC10;RPL18;RPS11;RPL37;PAIP1;RPL13A;RPS2;UPF1;PDE12;PNRC2;EXOSC6;RPL11;RPL7A;RPS25;RPS3A;RBM8A;CNOT7;RPL29;RPL12;RPL26;RPL27;RPL23A;EXOSC5;RPL15;RPL32;RPL36;RPS21;RPS23;RPL23;RPS24;EIF4G1;RPS7;RPL41;POLR2G;RNPS1;RPS15;LSM5;RPS15A;RPS14;EIF4A1;RPL19;RPL24;RPS26;RPL38;RPL7;RPL21;RPL14;RPS27A;RPL6;RPL35A;RPL8;RPS29;RPL22;RPLP1,CNOT3;RPS5;MAGOHB;RPL28;SAMD4A;RPSA;RPL13;PPP2R1A;EXOSC10;RPL18;RPS11;RPL37;PAIP1;RPL13A;RPS2;UPF1;PDE12;PNRC2;EXOSC6;RPL11;RPL7A;RPS25;RPS3A;RBM8A;CNOT7;RPL29;RPL12;RPL26;RPL27;RPL23A;EXOSC5;RPL15;RPL32;RPL36;RPS21;RPS23;RPL23;RPS24;EIF4G1;RPS7;RPL41;POLR2G;RNPS1;RPS15;LSM5;RPS15A;RPS14;EIF4A1;RPL19;RPL24;RPS26;RPL38;RPL7;RPL21;RPL14;RPS27A;RPL6;RPL35A;RPL8;RPS29;RPL22;RPLP1
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",-0.20305512328949402,inf,,0.0,113,51,RPS5;MAGOHB;RPL28;RPSA;RPL13;PPP2R1A;RPL18;RPS11;RPL37;RPL13A;RPS2;UPF1;PNRC2;RPL11;RPL7A;RPS25;RPS3A;RBM8A;RPL29;RPL12;RPL26;RPL27;RPL23A;RPL15;RPL32;RPL36;RPS21;RPS23;RPL23;RPS24;EIF4G1;RPS7;RPL41;RNPS1;RPS15;RPS15A;RPS14;RPL19;RPL24;RPS26;RPL38;RPL7;RPL21;RPL14;RPS27A;RPL6;RPL35A;RPL8;RPS29;RPL22;RPLP1,RPL11;RPL7A;RPS25;RPS3A;RBM8A;RPL29;RPL12;RPL26;RPL27;RPL23A;RPL15;RPL32;RPL36;RPS21;RPS23;RPL23;RPS24;EIF4G1;RPS7;RPL41;RNPS1;RPS15;RPS15A;RPS14;RPL19;RPL24;RPS26;RPL38;RPL7;RPL21;RPL14;RPS27A;RPL6;RPL35A;RPL8;RPS29;RPL22;RPLP1
peptide biosynthetic process (GO:0043043),-0.2348121862197733,inf,,0.0,175,54,GGT5;RPS5;RPL28;RPSA;RPL13;RPL18;TARS;MRPL36;RPS11;RPL37;RPL13A;RPS2;HBS1L;RPL11;RPL7A;MRPS16;RPS25;RPS3A;RPL29;MRPL27;RPL12;RPL26;RPL27;RPL23A;MRPL52;MRPL11;RPL15;RPL32;RPL36;RPS21;RPS23;RPL23;RPS24;MRPL43;EIF4G1;RPS7;RPL41;RPS15;RPS15A;RPS14;RPL19;RPL24;RPS26;RPL38;RPL7;RPL21;RPL14;RPS27A;RPL6;RPL35A;RPL8;RPS29;RPL22;RPLP1,HBS1L;RPL11;RPL7A;MRPS16;RPS25;RPS3A;RPL29;MRPL27;RPL12;RPL26;RPL27;RPL23A;MRPL52;MRPL11;RPL15;RPL32;RPL36;RPS21;RPS23;RPL23;RPS24;MRPL43;EIF4G1;RPS7;RPL41;RPS15;RPS15A;RPS14;RPL19;RPL24;RPS26;RPL38;RPL7;RPL21;RPL14;RPS27A;RPL6;RPL35A;RPL8;RPS29;RPL22;RPLP1
rRNA processing (GO:0006364),-0.194968872145699,inf,,0.0,203,57,MPHOSPH6;RPS5;PIH1D1;RPL28;RPSA;RPL13;EXOSC10;RPL18;RPS11;RPL37;WDR18;RPL13A;RPS2;DDX49;EXOSC6;RPL11;EMG1;RPL7A;RPS25;UTP18;RPS3A;RPL29;RPL12;DDX56;RPL26;NOP56;RPL27;RPL23A;EXOSC5;RPL15;RPL32;RPL36;RPS21;RPS23;RPL23;RPS24;RPS7;RPL41;RPS15;RPS15A;RPS14;TSR1;RPL19;RPL24;RPS26;NSA2;RPL38;RPL7;RPL21;RPL14;RPS27A;RPL6;RPL35A;RPL8;RPS29;RPL22;RPLP1,RPL11;EMG1;RPL7A;RPS25;UTP18;RPS3A;RPL29;RPL12;DDX56;RPL26;NOP56;RPL27;RPL23A;EXOSC5;RPL15;RPL32;RPL36;RPS21;RPS23;RPL23;RPS24;RPS7;RPL41;RPS15;RPS15A;RPS14;TSR1;RPL19;RPL24;RPS26;NSA2;RPL38;RPL7;RPL21;RPL14;RPS27A;RPL6;RPL35A;RPL8;RPS29;RPL22;RPLP1
ribosome biogenesis (GO:0042254),-0.16767055475322376,inf,,0.0,227,62,MPHOSPH6;RPS5;PIH1D1;RPL28;GTF3A;RPSA;RPL13;EXOSC10;RPL18;MRPL36;RPS11;RPL37;WDR18;RPL13A;RPS2;DDX49;EXOSC6;EIF2A;RPL11;EMG1;RPL7A;RPS25;UTP18;RPS3A;RPL29;RPL12;GNL3;DDX56;RPL26;NOP56;NOC2L;RPL27;RPL23A;EXOSC5;RPL15;RPL32;RPL36;RPS21;RPS23;RPL23;RPS24;RPS7;RPL41;RPS15;RPS15A;RPS14;TSR1;RPL19;RPL24;RPS26;RPL38;RPL7;RPL21;RPL14;RPS27A;RPL6;RPL35A;RPL8;RAN;RPS29;RPL22;RPLP1,RPL11;EMG1;RPL7A;RPS25;UTP18;RPS3A;RPL29;RPL12;GNL3;DDX56;RPL26;NOP56;NOC2L;RPL27;RPL23A;EXOSC5;RPL15;RPL32;RPL36;RPS21;RPS23;RPL23;RPS24;RPS7;RPL41;RPS15;RPS15A;RPS14;TSR1;RPL19;RPL24;RPS26;RPL38;RPL7;RPL21;RPL14;RPS27A;RPL6;RPL35A;RPL8;RAN;RPS29;RPL22;RPLP1
translation (GO:0006412),-0.1999803253972566,inf,,0.0,233,66,APEH;KARS;RPS5;RPL28;RPSA;RPL13;GFM2;RPL18;TARS;MRPL36;RPS11;PTCD3;AIMP2;RPL37;RPL13A;RPS2;LARS;HBS1L;RPL11;RPL7A;MRPS16;RPS25;RPS3A;RPL29;MRPL27;RPL12;EEF2;RPL26;TRMT112;RPL27;RPL23A;TUFM;MRPL52;MRPL11;RPL15;RPL32;RPL36;RPS21;RPS23;RPL23;RPS24;MRPL43;EIF4G1;RPS7;RPL41;RPS15;AIMP1;MRPS34;RPS15A;RPS14;PPA1;RPL19;RPL24;RPS26;RPL38;MRPL57;RPL7;RPL21;RPL14;RPS27A;RPL6;RPL35A;RPL8;RPS29;RPL22;RPLP1,HBS1L;RPL11;RPL7A;MRPS16;RPS25;RPS3A;RPL29;MRPL27;RPL12;EEF2;RPL26;TRMT112;RPL27;RPL23A;TUFM;MRPL52;MRPL11;RPL15;RPL32;RPL36;RPS21;RPS23;RPL23;RPS24;MRPL43;EIF4G1;RPS7;RPL41;RPS15;AIMP1;MRPS34;RPS15A;RPS14;PPA1;RPL19;RPL24;RPS26;RPL38;MRPL57;RPL7;RPL21;RPL14;RPS27A;RPL6;RPL35A;RPL8;RPS29;RPL22;RPLP1
viral gene expression (GO:0019080),-0.180524165750544,inf,,0.0,111,49,NUP155;RPS5;RPL28;RPSA;RPL13;RPL18;NUP50;RPS11;RPL37;RPL13A;SEH1L;RPS2;NUP85;RPL11;NUP62;RPL7A;RPS25;RPS3A;RPL29;RPL12;RPL26;RPL27;RPL23A;RPL15;RPL32;RPL36;RPS21;RPS23;RPL23;RPS24;RPS7;RPL41;RPS15;RPS15A;RPS14;RPL19;RPL24;RPS26;RPL38;RPL7;RPL21;RPL14;RPS27A;RPL6;RPL35A;RPL8;RPS29;RPL22;RPLP1,RPL11;NUP62;RPL7A;RPS25;RPS3A;RPL29;RPL12;RPL26;RPL27;RPL23A;RPL15;RPL32;RPL36;RPS21;RPS23;RPL23;RPS24;RPS7;RPL41;RPS15;RPS15A;RPS14;RPL19;RPL24;RPS26;RPL38;RPL7;RPL21;RPL14;RPS27A;RPL6;RPL35A;RPL8;RPS29;RPL22;RPLP1
viral process (GO:0016032),-0.1402321738197284,inf,,0.0,221,67,NUP155;DAG1;RCC1;RPS5;RPL28;RPSA;RPL13;AP1S2;TP53;RPL18;NUP50;CHMP2A;RPS11;AP2A1;RPL37;AP2B1;RPL13A;SEH1L;RPS2;NUP85;RPL11;PPID;NUP62;RPL7A;RPS25;RPS3A;RPL29;RPL12;EIF3L;RPL26;RPL27;RPL23A;RPL15;RPL32;RPL36;PCBP2;RPS21;EIF3D;RPS23;RPL23;RPS24;VPS28;AP1S1;RPS7;RPL41;RANBP1;RPS15;AP2M1;RPS15A;RPS14;RAC1;RPL19;RPL24;RPS26;RPL38;RPL7;RPL21;RPL14;RPS27A;RPL6;RPL35A;PPIA;RPL8;RAN;RPS29;RPL22;RPLP1,RPL11;PPID;NUP62;RPL7A;RPS25;RPS3A;RPL29;RPL12;EIF3L;RPL26;RPL27;RPL23A;RPL15;RPL32;RPL36;PCBP2;RPS21;EIF3D;RPS23;RPL23;RPS24;VPS28;AP1S1;RPS7;RPL41;RANBP1;RPS15;AP2M1;RPS15A;RPS14;RAC1;RPL19;RPL24;RPS26;RPL38;RPL7;RPL21;RPL14;RPS27A;RPL6;RPL35A;PPIA;RPL8;RAN;RPS29;RPL22;RPLP1
regulation of establishment of planar polarity (GO:0090175),0.8185204528928989,2.3763266105556466,0.0,0.00147617303315206,90,19,TIAM1;PRICKLE1;PSMD7;PSMC5;AP2A1;FZD6;AP2B1;PSMC3;PSMC4;PSMC1;PSMD6;RHOA;PSMA7;PSMC6;AP2M1;RAC1;PFN1;PSMA3;RPS27A,TIAM1;PRICKLE1
