Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
ribosome biogenesis (GO:0042254),-0.4558823529411755,-48.5633537401025,0.0,0.15317028985507247,227,17,PIH1D1;GTF3A;C1D;EXOSC7;RPL28;WDR43;RPS7;RPL18A;RPL13A;RPS11;RPL18;RPS5;NPM1;RPS16;UBA52;RPS27A;RPL13,PIH1D1;GTF3A;C1D;EXOSC7;RPL28;WDR43;RPS7;RPL18A;RPL13A;RPS11;RPL18;RPS5;NPM1;RPS16;UBA52;RPS27A;RPL13
rRNA processing (GO:0006364),-0.4928191865085058,-48.77726791974987,0.0,0.16521739130434782,203,15,PIH1D1;C1D;EXOSC7;RPL28;WDR43;RPS7;RPL18A;RPL13A;RPS11;RPL18;RPS5;RPS16;UBA52;RPS27A;RPL13,EXOSC7;RPL28;WDR43;RPS7;RPL18A;RPL13A;RPS11;RPL18;RPS5;RPS16;UBA52;RPS27A;RPL13
negative regulation of gene expression (GO:0010629),-0.3466386554621843,-44.62312178936816,0.09090909090909091,0.16760033444816053,619,17,EID2;TRIM28;PNPT1;RBBP7;GATAD2A;DAP;DNMT1;ILF3;TYMS;BRD7;BASP1;HMGA1;YWHAQ;RPL13A;CBX3;PARK7;ENO1,EID2;TRIM28;PNPT1;RBBP7;GATAD2A;DAP;DNMT1;ILF3;TYMS;BRD7;BASP1;HMGA1;YWHAQ;RPL13A;CBX3;PARK7;ENO1
nuclear-transcribed mRNA catabolic process (GO:0000956),-0.6066945606694527,-49.48439542348735,0.0,0.17554347826086955,175,15,DDX5;ETF1;EXOSC7;MAGOH;RPL28;RPS7;RPL18A;RPL13A;RPS11;RPL18;RPS5;RPS16;UBA52;RPS27A;RPL13,DDX5;ETF1;EXOSC7;MAGOH;RPL28;RPS7;RPL18A;RPL13A;RPS11;RPL18;RPS5;RPS16;UBA52;RPS27A;RPL13
cellular protein metabolic process (GO:0044267),-0.10526893949330367,-99.80790564360495,1.0,0.18070652173913046,485,29,MMP1;SPPL2A;SEC11C;LTA4H;UBE2M;FUCA2;PDIA6;COA1;IGFBP7;PSENEN;DHPS;AGO2;MRPL3;PRKDC;SPCS3;MRPL34;RPL28;RPS7;ITM2B;RPL18A;RPL13A;RPS11;RPL18;RPS5;MRPL52;RPS16;UBA52;RPS27A;RPL13,SEC11C;LTA4H;UBE2M;FUCA2;PDIA6;COA1;IGFBP7;PSENEN;DHPS;AGO2;MRPL3;PRKDC;SPCS3;MRPL34;RPL28;RPS7;ITM2B;RPL18A;RPL13A;RPS11;RPL18;RPS5;MRPL52;RPS16;UBA52;RPS27A;RPL13
peptide biosynthetic process (GO:0043043),-0.501311656627427,-51.25343411793682,0.0,0.1858695652173913,175,16,COA1;DHPS;AGO2;MRPL3;MRPL34;RPL28;RPS7;RPL18A;RPL13A;RPS11;RPL18;RPS5;MRPL52;RPS16;RPS27A;RPL13,DHPS;AGO2;MRPL3;MRPL34;RPL28;RPS7;RPL18A;RPL13A;RPS11;RPL18;RPS5;MRPL52;RPS16;RPS27A;RPL13
translation (GO:0006412),-0.4296259418840501,-142.09105736716396,0.0,0.18586956521739134,233,22,YARS;COA1;NARS;DHPS;FARSA;AGO2;MRPL3;ETF1;EEF1E1;MRPL34;RPL28;RPS7;RPL18A;RPL13A;RPS11;RPL18;TUFM;RPS5;MRPL52;RPS16;RPS27A;RPL13,NARS;DHPS;FARSA;AGO2;MRPL3;ETF1;EEF1E1;MRPL34;RPL28;RPS7;RPL18A;RPL13A;RPS11;RPL18;TUFM;RPS5;MRPL52;RPS16;RPS27A;RPL13
regulation of mRNA stability (GO:0043488),-0.2714571359487203,-39.470225035419276,0.0967741935483871,0.1927536231884058,129,18,PUM2;PSMC4;PSMD8;TBRG4;CARHSP1;PSMA2;PCID2;PSMD13;PSMD12;PSMC5;PSMB3;EXOSC7;PSMC6;PSMD2;PSMB6;NPM1;UBA52;RPS27A,PSMD8;TBRG4;CARHSP1;PSMA2;PCID2;PSMD13;PSMD12;PSMC5;PSMB3;EXOSC7;PSMC6;PSMD2;PSMB6;NPM1;UBA52;RPS27A
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161),-0.31368421052631595,-39.75389895613982,0.02702702702702703,0.20135869565217393,292,18,GTSE1;PSMC4;AURKB;UBXN2A;PSMD8;AUP1;STUB1;PSMA2;PSMD13;PSMD12;PSMC5;PSMB3;FAF2;PSMC6;PSMD2;PSMB6;UBA52;RPS27A,GTSE1;PSMC4;AURKB;UBXN2A;PSMD8;AUP1;STUB1;PSMA2;PSMD13;PSMD12;PSMC5;PSMB3;FAF2;PSMC6;PSMD2;PSMB6;UBA52;RPS27A
mitochondrial ATP synthesis coupled electron transport (GO:0042775),-0.5215747974447096,-52.00078591996177,0.0,0.2078125,86,16,SDHAF2;NDUFB7;SDHA;MT-ND4L;MT-ND5;NDUFA3;MT-CO3;NDUFV2;MT-CO2;NDUFA2;MT-CO1;MT-ND3;CYCS;UQCR10;MT-ND1;COX6B1,NDUFB7;SDHA;MT-ND4L;MT-ND5;NDUFA3;MT-CO3;NDUFV2;MT-CO2;NDUFA2;MT-CO1;MT-ND3;CYCS;UQCR10;MT-ND1;COX6B1
non-canonical Wnt signaling pathway (GO:0035567),-0.3670681530033078,-36.10961406232032,0.0,0.22265625,128,16,PSMC4;PSMD8;PSMA2;PSMD13;PSMD12;PSMC5;AGO2;AP2S1;PSMB3;PSMC6;AP2B1;PSMD2;PSMB6;PFN1;UBA52;RPS27A,PSMD8;PSMA2;PSMD13;PSMD12;PSMC5;AGO2;AP2S1;PSMB3;PSMC6;AP2B1;PSMD2;PSMB6;PFN1;UBA52;RPS27A
ncRNA processing (GO:0034470),-0.45492662473794404,-52.43229646969943,0.024390243902439025,0.2345496894409938,228,16,PIH1D1;C1D;AGO2;EXOSC7;RPL28;WDR43;RPS7;RPL18A;RPL13A;RPS11;RPL18;RPS5;RPS16;UBA52;RPS27A;RPL13,PIH1D1;C1D;AGO2;EXOSC7;RPL28;WDR43;RPS7;RPL18A;RPL13A;RPS11;RPL18;RPS5;RPS16;UBA52;RPS27A;RPL13
protein ubiquitination (GO:0016567),-0.35232067510548415,-56.93717639096383,0.0,0.23577898550724638,507,19,PSMC4;SAE1;COMMD1;ISG15;PSMD8;STUB1;PSMA2;PSMD13;PSMD12;UCHL3;RNF10;PSMC5;PSMB3;PRKDC;PSMC6;PSMD2;PSMB6;UBA52;RPS27A,PSMC4;SAE1;COMMD1;ISG15;PSMD8;STUB1;PSMA2;PSMD13;PSMD12;UCHL3;RNF10;PSMC5;PSMB3;PRKDC;PSMC6;PSMD2;PSMB6;UBA52;RPS27A
viral process (GO:0016032),-0.16348195329087048,-58.07470957232,0.8571428571428571,0.2767391304347826,221,22,VPS4A;AP1M1;VPS4B;CHMP2A;EIF3B;MVB12A;PPID;AP1S1;AP2S1;RPL28;RPS7;PPIA;AP2B1;RPL18A;RPL13A;RPS11;RPL18;RPS5;RPS16;UBA52;RPS27A;RPL13,VPS4A;AP1M1;VPS4B;CHMP2A;EIF3B;MVB12A;PPID;AP1S1;AP2S1;RPL28;RPS7;PPIA;AP2B1;RPL18A;RPL13A;RPS11;RPL18;RPS5;RPS16;UBA52;RPS27A;RPL13
cytokine-mediated signaling pathway (GO:0019221),-0.19294571446706943,-70.25967199191486,0.25,0.29257246376811596,634,24,MMP1;IRF3;PSMC4;IFITM2;ISG15;PSMD8;PSMA2;PSMD13;PSMD12;PSMC5;NFKBIA;PSMB3;PSMC6;MSN;PPIA;GSTO1;HSP90AA1;SOD1;ANXA2;PSMD2;PSMB6;ITGB1;UBA52;RPS27A,IRF3;PSMC4;IFITM2;ISG15;PSMD8;PSMA2;PSMD13;PSMD12;PSMC5;NFKBIA;PSMB3;PSMC6;MSN;PPIA;GSTO1;HSP90AA1;SOD1;ANXA2;PSMD2;PSMB6;ITGB1;UBA52;RPS27A
"Wnt signaling pathway, planar cell polarity pathway (GO:0060071)",-0.3560919334909173,-31.907653059525767,0.0,0.3085677749360614,89,15,PSMC4;PSMD8;PSMA2;PSMD13;PSMD12;PSMC5;AP2S1;PSMB3;PSMC6;AP2B1;PSMD2;PSMB6;PFN1;UBA52;RPS27A,PSMD8;PSMA2;PSMD13;PSMD12;PSMC5;AP2S1;PSMB3;PSMC6;AP2B1;PSMD2;PSMB6;PFN1;UBA52;RPS27A
respiratory electron transport chain (GO:0022904),-0.5215747974447096,-61.15730514350352,0.0,0.30978260869565216,95,16,SDHAF2;NDUFB7;SDHA;MT-ND4L;MT-ND5;NDUFA3;MT-CO3;NDUFV2;MT-CO2;NDUFA2;MT-CO1;MT-ND3;CYCS;UQCR10;MT-ND1;COX6B1,NDUFB7;SDHA;MT-ND4L;MT-ND5;NDUFA3;MT-CO3;NDUFV2;MT-CO2;NDUFA2;MT-CO1;MT-ND3;CYCS;UQCR10;MT-ND1;COX6B1
regulation of establishment of planar polarity (GO:0090175),-0.3560919334909173,-30.64979384164023,0.0196078431372549,0.32182971014492756,90,15,PSMC4;PSMD8;PSMA2;PSMD13;PSMD12;PSMC5;AP2S1;PSMB3;PSMC6;AP2B1;PSMD2;PSMB6;PFN1;UBA52;RPS27A,PSMD8;PSMA2;PSMD13;PSMD12;PSMC5;AP2S1;PSMB3;PSMC6;AP2B1;PSMD2;PSMB6;PFN1;UBA52;RPS27A
transcription from RNA polymerase II promoter (GO:0006366),0.7320871188592373,1.9531636563973096,0.021806853582554516,0.4534722222222222,486,19,MED25;MED15;CPSF3;TTF2;IRF3;THOC6;TRIM28;GTF2H5;GTF2F2;PCID2;POLR2C;DDX5;BAX;PAPOLA;MAGOH;POLR2I;DDX39A;SNRPB;SNRPG,MED25;MED15;CPSF3;TTF2
regulation of G2/M transition of mitotic cell cycle (GO:0010389),-0.20125786163522033,-24.084608558000667,0.6153846153846154,0.5271739130434783,150,16,HAUS1;VPS4B;PSMC4;PSMD8;PSMA2;DYNC1H1;PSMD13;PSMD12;PSMC5;PSMB3;PSMC6;HSP90AA1;PSMD2;PSMB6;UBA52;RPS27A,HAUS1;VPS4B;PSMC4;PSMD8;PSMA2;DYNC1H1;PSMD13;PSMD12;PSMC5;PSMB3;PSMC6;HSP90AA1;PSMD2;PSMB6;UBA52;RPS27A
positive regulation of transcription from RNA polymerase II promoter (GO:0045944),0.7372007744874823,1.969611430473206,0.015495867768595042,0.7513888888888889,849,22,MED25;RPS6KA3;ZFPM1;IRF3;EAPP;DDX17;EGFR;GTF2F2;NAMPT;RNF10;AGO2;NFKBIA;PRKDC;CAMTA1;HMGA1;AATF;CHCHD2;PARK7;NPM1;UBA52;RPS27A;SUB1,MED25;RPS6KA3;ZFPM1
"negative regulation of transcription, DNA-templated (GO:0045892)",0.6624332707692197,1.7564916871544154,0.0671414038657172,0.9359375000000001,814,23,MED25;ZFPM1;CHCHD3;CUX1;EID2;AURKB;TRIM28;GATAD2A;PPID;DAP;DDX5;SIN3B;ILF3;MAF1;BRD7;BASP1;HMGA1;YWHAQ;CBX3;C1QBP;ENO1;UBA52;RPS27A,MED25
RNA metabolic process (GO:0016070),0.14675207783814162,0.38283777755771603,0.9979529170931423,0.9938568376068376,192,20,RNASET2;DDX41;RNASEH1;LRPPRC;PNPT1;DDX17;TBRG4;LSM8;GTF2F2;POLR2C;DDX5;AGO2;PAPOLA;HNRNPA3;EXOSC7;POLR2I;DDX39A;RNASEH2C;DDX1;SNRPG,RNASET2;DDX41;RNASEH1;LRPPRC;PNPT1;DDX17;TBRG4;LSM8;GTF2F2;POLR2C;DDX5
"positive regulation of transcription, DNA-templated (GO:0045893)",0.6717939132437093,1.7738251689546134,0.04048582995951417,1.0,1121,27,MED25;RPS6KA3;NAT14;SUPT3H;IRF3;TRIM28;DDX17;EGFR;NAMPT;PCID2;DDX5;RNF10;ILF3;PSMC5;AGO2;NFKBIA;PRKDC;BRD7;CAMTA1;HMGA1;WDR43;AATF;CHCHD2;PARK7;NPM1;UBA52;RPS27A,MED25;RPS6KA3
regulation of transcription from RNA polymerase II promoter (GO:0006357),0.5446687927797415,1.4384269381174324,0.16096579476861167,1.0,1479,39,MED25;RPS6KA3;ZFPM1;CHCHD3;SUPT3H;CHD3;RFXANK;ANXA4;CUX1;ZFYVE16;IRF3;AURKB;GATAD2A;DDX17;PKN1;EGFR;NAMPT;PPID;HTATIP2;DDX5;SIN3B;RNF10;PSMC5;AGO2;NFKBIA;PRKDC;BRD7;RUVBL1;CAMTA1;HMGA1;AATF;CHCHD2;C1QBP;PARK7;NPM1;ENO1;UBA52;RPS27A;SUB1,MED25;RPS6KA3
regulation of gene expression (GO:0010468),0.4346995196050644,1.1308952269817327,0.29916317991631797,1.0,1038,16,ZNF480;ZFPL1;FAM98A;SUPT3H;CHD3;PUM2;GPBP1L1;PRMT1;DNMT1;ATRAID;SRPK1;HMGA1;MSN;RPS7;DDX39A;PARK7,ZNF480;ZFPL1;FAM98A;SUPT3H;CHD3;PUM2
organelle assembly (GO:0070925),0.37276348971928114,0.9897750041355313,0.45407098121085593,1.0,377,17,VPS4A;DBNL;FAM161A;HAUS1;TMEM107;RAB38;VPS4B;CHMP2A;UBXN2A;MVB12A;ARL3;DYNC1H1;GABARAPL2;SEPT7;MKKS;EMC6;NPM1,VPS4A;DBNL;FAM161A;HAUS1;TMEM107;RAB38;VPS4B;CHMP2A;UBXN2A;MVB12A
Golgi vesicle transport (GO:0048193),0.3375508615985171,0.8775399013898115,0.5862785862785863,1.0,272,18,MYO1B;KIF11;VAMP2;TMED4;LMAN1;VAMP8;CUX1;GOSR1;DYNC1LI1;CTSC;ARL3;DYNC1H1;TMED9;GABARAPL2;COPE;VAPA;TMED2;KDELR1,MYO1B;KIF11;VAMP2;TMED4;LMAN1;VAMP8;CUX1;GOSR1
rRNA metabolic process (GO:0016072),0.32233015759428085,0.8383493550173071,0.6376811594202898,1.0,201,17,GTF3C1;PIH1D1;GTF3A;C1D;EXOSC7;RPL28;WDR43;RPS7;RPL18A;RPL13A;RPS11;RPL18;RPS5;RPS16;UBA52;RPS27A;RPL13,GTF3C1
gene expression (GO:0010467),0.3050717170834285,0.806523044587833,0.6379310344827587,1.0,412,27,GTF3C1;CPSF3;THOC6;COA1;DDX17;STUB1;POLR2C;DHPS;AGO2;MRPL3;MRPL34;MAGOH;POLR2I;RPL28;RPS7;DDX39A;RPL18A;RPL13A;RPS11;RPL18;SNRPG;RPS5;MRPL52;RPS16;PTMA;RPS27A;RPL13,GTF3C1;CPSF3
cellular response to DNA damage stimulus (GO:0006974),0.3327317007624883,0.8669975019830002,0.6430084745762712,1.0,330,15,ERCC1;MSH6;WDHD1;SMC6;IRF3;ZDHHC16;RFC3;TRIM28;RFC4;PRKDC;BAX;DDX39A;AATF;PARK7;NPM1,ERCC1;MSH6;WDHD1;SMC6;IRF3;ZDHHC16;RFC3;TRIM28
cellular protein modification process (GO:0006464),0.2993911673796588,0.799301147015639,0.6526526526526526,1.0,1002,45,MAP4K3;RPS6KA3;PTPRN2;ATE1;GPS1;OXSR1;SDHAF2;MAN2A1;TIMM50;RAB38;GLRX;PSMC4;AURKB;UBLCP1;DDA1;COMMD1;UBE2M;FUCA2;PPM1G;ISG15;RBBP7;PDIA6;CSNK2A1;DDOST;PSMD8;PKN1;PSMA2;IGFBP7;SUMF2;PSMD13;PSMD12;UCHL3;ILF3;PSMC5;PSMB3;PRKDC;SRPK1;PSMC6;PSMD2;PARK7;PSMB6;METAP2;COPS3;UBA52;DAD1,MAP4K3;RPS6KA3;PTPRN2;ATE1;GPS1;OXSR1;SDHAF2;MAN2A1;TIMM50;RAB38;GLRX;PSMC4;AURKB;UBLCP1;DDA1;COMMD1;UBE2M;FUCA2;PPM1G;ISG15;RBBP7;PDIA6;CSNK2A1;DDOST;PSMD8
MAPK cascade (GO:0000165),0.31250006972411803,0.8085399099755037,0.6805845511482255,1.0,279,15,MAP4K3;PSMC4;PSMD8;EGFR;PSMA2;PSMD13;PSMD12;PSMC5;PEBP1;PSMB3;PSMC6;PSMD2;PSMB6;UBA52;RPS27A,MAP4K3
regulation of apoptotic process (GO:0042981),0.27468986779612614,0.7189662855388392,0.7751004016064257,1.0,816,32,MAP4K3;RPS6KA3;OXSR1;ANXA4;TMEM219;PPT1;TP53I3;THOC6;EGFR;PPID;PCID2;HTATIP2;PSENEN;CTNNBL1;NFKBIA;PRKDC;BAX;MTCH1;EEF1E1;ACTN4;BAD;NME1;NAA38;PRDX3;AATF;SOD1;C1QBP;PARK7;NPM1;ITGB1;UBA52;RPS27A,MAP4K3;RPS6KA3
