,comparison,correlation,p_val
1,MDA 0 vs HCC_MK 0,-0.116420745,7.74E-08
2,MDA 0 vs HCC_MK 1,-0.124420545,1.85E-09
3,MDA 0 vs HCC_MK 2,-0.144156455,5.14E-11
4,MDA 0 vs HCC_MK 3,-0.26195306,1.61E-32
5,MDA 0 vs HCC_MK 4,-0.121262052,1.17E-07
6,MDA 0 vs HCC_MK 5,-0.166608555,1.70E-14
7,MDA 0 vs HCC_MK 6,-0.161911496,7.70E-11
8,MDA 0 vs HCC_MK 7,0.05392856,0.070462012
9,MDA 0 vs HCC_MK 8,-0.246480713,9.31E-11
10,MDA 1 vs HCC_MK 0,-0.005645511,0.781201706
11,MDA 1 vs HCC_MK 1,-0.081149511,2.70E-05
12,MDA 1 vs HCC_MK 2,-0.032580164,0.113194299
13,MDA 1 vs HCC_MK 3,-0.105998608,3.12E-07
14,MDA 1 vs HCC_MK 4,-0.02704986,0.209402866
15,MDA 1 vs HCC_MK 5,-0.096496348,2.50E-06
16,MDA 1 vs HCC_MK 6,-0.094125124,4.51E-05
17,MDA 1 vs HCC_MK 7,-0.04172635,0.138163263
18,MDA 1 vs HCC_MK 8,-0.043448404,0.233093349
19,MDA 2 vs HCC_MK 0,-0.027531755,0.145406899
20,MDA 2 vs HCC_MK 1,-0.051242259,0.004389816
21,MDA 2 vs HCC_MK 2,0.026387804,0.173979069
22,MDA 2 vs HCC_MK 3,-0.147449819,2.48E-14
23,MDA 2 vs HCC_MK 4,-0.054440631,0.006296259
24,MDA 2 vs HCC_MK 5,-0.071494607,0.000180055
25,MDA 2 vs HCC_MK 6,-0.051840725,0.018420268
26,MDA 2 vs HCC_MK 7,-0.036292138,0.168683193
27,MDA 2 vs HCC_MK 8,0.003812837,0.915711939
28,MDA 3 vs HCC_MK 0,0.016689988,0.314159195
29,MDA 3 vs HCC_MK 1,-0.01480104,0.349406243
30,MDA 3 vs HCC_MK 2,0.016631673,0.328555297
31,MDA 3 vs HCC_MK 3,-0.046748462,0.005616609
32,MDA 3 vs HCC_MK 4,-0.033307209,0.059654638
33,MDA 3 vs HCC_MK 5,-0.037017684,0.028121151
