signature,KM_pval,KM_HZ_0.95_lower,KM_HZ,KM_HZ_0.95_upper,n_low,n_high,Cox_HZ_activation_Z,Cox_HZ_ChemotherapyYES,Cox_HZ_SubtypeBasal,Cox_HZ_SubtypeHer2,Cox_HZ_SubtypeLumA,Cox_HZ_SubtypeLumB,Cox_HZ_Subtypeclaudin-low,Cox_HZ_SubtypeNC,Cox_HZ_Cellularitymoderate,Cox_HZ_Cellularityhigh,Cox_pval_activation_Z,Cox_pval_ChemotherapyYES,Cox_pval_SubtypeBasal,Cox_pval_SubtypeHer2,Cox_pval_SubtypeLumA,Cox_pval_SubtypeLumB,Cox_pval_Subtypeclaudin-low,Cox_pval_SubtypeNC,Cox_pval_Cellularitymoderate,Cox_pval_Cellularityhigh,C,pValue,FDR,Tissue.lung.stat,Tissue.lung.pValue,Tissue.lung.FDR,Tissue.tumor.stat,Tissue.tumor.pValue,Tissue.tumor.FDR,Subtype.LM-H.stat,Subtype.LM-H.pValue,Subtype.LM-H.FDR,Subtype.LM-L.stat,Subtype.LM-L.pValue,Subtype.LM-L.FDR,Subtype.p-H.stat,Subtype.p-H.pValue,Subtype.p-H.FDR,Subtype.p-L.stat,Subtype.p-L.pValue,Subtype.p-L.FDR,VISION_Clusters.Cluster 1.stat,VISION_Clusters.Cluster 1.pValue,VISION_Clusters.Cluster 1.FDR,VISION_Clusters.Cluster 10.stat,VISION_Clusters.Cluster 10.pValue,VISION_Clusters.Cluster 10.FDR,VISION_Clusters.Cluster 11.stat,VISION_Clusters.Cluster 11.pValue,VISION_Clusters.Cluster 11.FDR,VISION_Clusters.Cluster 12.stat,VISION_Clusters.Cluster 12.pValue,VISION_Clusters.Cluster 12.FDR,VISION_Clusters.Cluster 13.stat,VISION_Clusters.Cluster 13.pValue,VISION_Clusters.Cluster 13.FDR,VISION_Clusters.Cluster 2.stat,VISION_Clusters.Cluster 2.pValue,VISION_Clusters.Cluster 2.FDR,VISION_Clusters.Cluster 3.stat,VISION_Clusters.Cluster 3.pValue,VISION_Clusters.Cluster 3.FDR,VISION_Clusters.Cluster 4.stat,VISION_Clusters.Cluster 4.pValue,VISION_Clusters.Cluster 4.FDR,VISION_Clusters.Cluster 5.stat,VISION_Clusters.Cluster 5.pValue,VISION_Clusters.Cluster 5.FDR,VISION_Clusters.Cluster 6.stat,VISION_Clusters.Cluster 6.pValue,VISION_Clusters.Cluster 6.FDR,VISION_Clusters.Cluster 7.stat,VISION_Clusters.Cluster 7.pValue,VISION_Clusters.Cluster 7.FDR,VISION_Clusters.Cluster 8.stat,VISION_Clusters.Cluster 8.pValue,VISION_Clusters.Cluster 8.FDR,VISION_Clusters.Cluster 9.stat,VISION_Clusters.Cluster 9.pValue,VISION_Clusters.Cluster 9.FDR
HCC_MK_0_vs_8_DOWN_FC_1,0.00222550846910109,1.30709390914063,2.18453746034921,3.65100310107523,116,1864,1.01212430422462,2.14284306498278,1.48748568411356,1.74455472768592,0.591664256236195,1.4865606301389,0.899679415862423,1.66167872752147,1.11404450219189,0.994847639895903,0.806707624805573,2.95621247553997e-13,0.0678305475960025,0.00893147289647082,0.011104691328423,0.05686560881161,0.639247388569122,0.486796678399579,0.509427861799314,0.974697578826012,0.702364314444719,0.000333222259246918,0.000608307869008203,0.696411026622447,3.48041412184047e-88,2.50465516268162e-87,0.303588973377553,3.48041412184047e-88,2.50465516268162e-87,0.841471978808926,1.10145941020827e-99,8.22015078359135e-99,0.603137012735051,1.71281827719541e-17,7.26595542852371e-17,0.636487961264256,1.01845651538726e-58,5.86339965287239e-58,0.320420754955639,1.62871681377482e-155,1.09395479325209e-154,0.273215074355924,3.62007662559704e-157,7.29445440057804e-157,0.462949858348434,7.46925858724989e-06,9.96725566444273e-06,0.751422789254176,1.52907581568868e-66,5.70571809002352e-66,0.895802738442275,8.62049999545118e-215,3.15823772560621e-213,0.409524381513316,2.76851859540661e-25,5.78089634170397e-25,0.450093233413566,3.72961924159643e-12,4.74144023458473e-12,0.903532873223431,2.94359528104107e-178,3.29519138405431e-177,0.540089376196257,0.0020436273643355,0.00242944491984427,0.239770633158676,1.23099872033957e-280,1.03352600895177e-279,0.479647056502525,0.0882289270257649,0.105508182763749,0.741205478760973,2.09558473499412e-71,1.91936510955143e-70,0.813571272666578,7.41633906492359e-180,1.14953255506316e-178,0.630054760798004,1.58621222090922e-32,4.84275397747286e-32
HCC_MK_0_vs_8_FC_1,1.5683906338532e-13,1.59614755203961,1.89762737596349,2.25605060973506,1290,690,1.10268684872971,2.10383834241936,1.23860772014362,1.59744022512865,0.584137906910337,1.35621393056397,0.844966987380117,1.62192990519962,1.09274507381649,0.95336388213757,0.079048138407922,7.81187600493485e-13,0.372407648795064,0.0292233377844404,0.00868818806138827,0.141612238627478,0.461410346942006,0.507578980591681,0.588953631803642,0.771320828411357,0.629060315463315,0.000333222259246918,0.000608307869008203,0.627653960838027,2.72013248105775e-38,8.18069693930056e-38,0.372346039161973,2.72013248105775e-38,8.18069693930056e-38,0.767032684972716,1.08795068969721e-61,4.097608672411e-61,0.541526275395814,0.000610035233793596,0.00107826403166149,0.553298374187328,2.80528386458322e-10,5.30764975317859e-10,0.405956117525885,5.28616346307894e-44,1.31501473803754e-43,0.12786399105659,0,0,0.478769442431413,0.0102565744823474,0.0122652804640534,0.406122429649836,1.2416439232422e-10,1.65689569889604e-10,0.569744637368917,3.54912782106306e-08,4.51198268734515e-08,0.50225052163515,0.796077107284997,0.802047685589634,0.713933792846703,7.13914938508731e-195,1.9053491405233e-194,0.793637927677716,2.53579997025823e-95,9.64082441522704e-95,0.394368915329881,4.45411120196205e-16,7.57386841515066e-16,0.393643808514928,1.80040094000781e-48,3.25363936691995e-48,0.474360372700216,0.0317421399247544,0.0406097853640508,0.722981679807429,2.72408081962463e-61,1.56829224329818e-60,0.624718428707361,5.64354285015474e-30,1.16038151459814e-29,0.547724308197281,1.31383367994552e-05,1.79483041701032e-05
HCC_MK_0_vs_8_UP_FC_1,7.57889794212075e-18,1.77290238563143,2.1098424560713,2.51081798158649,1368,612,1.12558353024019,2.06563483833102,1.19024660730814,1.59606402668729,0.594209833792365,1.36887966571027,0.83010136208155,1.64052408805985,1.08740075569674,0.947177619788528,0.0397694076405703,4.18310740983824e-12,0.470677207886566,0.0280737697545013,0.0109398023506372,0.123198311412411,0.416917753775495,0.497540728498418,0.60982842224824,0.74104309036375,0.635140453581171,0.000333222259246918,0.000608307869008203,0.581342065721383,1.65618963635472e-16,3.13354189413592e-16,0.418657934278617,1.65618963635472e-16,3.13354189413592e-16,0.697216618155124,1.89695516650871e-34,4.63316928547279e-34,0.511156179545792,0.357206272702671,0.404365527806675,0.510667492771057,0.206676548535798,0.228193559068292,0.454988616035128,2.75651572716965e-11,4.25622926455697e-11,0.14992913527934,0,0,0.494726715136308,0.523729366958803,0.543976636299994,0.29814409641648,1.57290017728972e-43,3.81854681595035e-43,0.415916176660316,3.02879964084833e-11,4.08229516809992e-11,0.535637270647739,4.27132256181666e-05,5.53486492737014e-05,0.754152489289281,3.6870900421841e-274,1.72778754302348e-273,0.697377611958089,4.51396369580515e-44,9.94058671808457e-44,0.36939838574793,9.53271023034168e-24,1.82070247527379e-23,0.480938129274771,0.00873809717505524,0.00946627193964317,0.479757677218615,0.0899712996745888,0.106812264466084,0.672590700087925,1.98552066605165e-37,6.45294216466787e-37,0.535937579502133,0.00104778730015756,0.00125299193460979,0.507076214508647,0.518190859694195,0.54438255669647
HCC_MK_0_vs_p-H_DOWN_FC_1,0.00906918486651827,0,3338439.81911767,Inf,21,1959,1.00539619587686,2.13897244346418,1.50028245937422,1.75618534315307,0.593941402759774,1.50020282846475,0.901568000791525,1.66668326811152,1.11437640634504,0.996905128187149,0.912408210313523,3.6587294696448e-13,0.0584490542500381,0.00816151721261517,0.0117620336621513,0.0499917423755306,0.645637203935211,0.484448390739969,0.50853977234794,0.98482188618166,0.730185595856905,0.000333222259246918,0.000608307869008203,0.719069271562197,3.11220441213366e-109,3.91943243153083e-108,0.280930728437803,3.11220441213366e-109,3.91943243153083e-108,0.848456100904009,1.00632158876122e-103,8.62867234618662e-103,0.633363832189227,3.56070263137814e-28,2.35239862368097e-27,0.671883726159801,4.96825235024223e-92,5.26896236091479e-91,0.287123380495474,1.07740200291241e-217,1.27703825639324e-216,0.198071028375255,5.82486749454558e-277,1.77834969719839e-276,0.521145144636622,0.01056613631946,0.0125980856116638,0.81085274744241,1.01707360417766e-100,1.28087707026124e-99,0.911364796635162,7.63195139659347e-232,6.15135282565433e-230,0.496719479507544,0.706393535230981,0.71706950805563,0.506205083711074,0.387725244044135,0.400649418845606,0.89554392698636,2.37918721822385e-171,2.39703112236053e-170,0.533828029772015,0.00926354698377131,0.0107585286295673,0.163808124095186,0,0,0.342522462346681,9.91744827556595e-40,7.13702081259478e-39,0.581174056243424,1.81914796586347e-09,2.62765817291391e-09,0.860104302043196,1.57238741545356e-236,6.33672128427786e-235,0.69548798535285,2.87181958234945e-71,2.03042682752075e-70
HCC_MK_0_vs_p-H_FC_1,9.96442135685533e-11,1.47678224075096,1.75527176914689,2.08627846309781,1261,719,1.05578735120256,2.13604568780676,1.36279429586592,1.66082020078732,0.587322231164375,1.42183443866484,0.860782592737312,1.63179143565096,1.09820679982211,0.971922750131238,0.292339541746212,2.23042256910675e-13,0.182669591143583,0.0183069238385223,0.00943269455019333,0.0876574109588389,0.514227203242125,0.502374536651148,0.568592581283776,0.862249564842963,0.650573368780639,0.000333222259246918,0.000608307869008203,0.689203361107093,5.73017060874583e-82,3.60821680519464e-81,0.310796638892907,5.73017060874583e-82,3.60821680519464e-81,0.852862181017356,2.58590999135275e-106,2.48124220598847e-105,0.585823504674193,1.41152476218217e-12,4.90383171689152e-12,0.616362638659837,3.63457043565623e-43,1.5749805221177e-42,0.336688982851774,5.80744568684557e-129,3.00051360487021e-128,0.195737453551604,3.1700519940125e-281,1.01391345522781e-280,0.446437164891187,9.38957659345132e-11,1.40669121455795e-10,0.761964447896309,4.4293075895011e-72,1.98334550952105e-71,0.857538947886647,1.18745006990749e-175,1.77237917841747e-174,0.442470173746419,3.94164906419453e-11,6.18087382439843e-11,0.559679028462112,9.78432899356827e-17,1.29706729750264e-16,0.909257228453705,2.7205111108813e-183,4.06061473216727e-182,0.522372704920704,0.0852534739372318,0.0936162125250801,0.219910245258809,0,0,0.397338197826479,8.02449102893708e-18,2.7405676988658e-17,0.678376479236635,7.31205490787277e-40,2.45563177322727e-39,0.812834919452897,5.06081369789207e-179,7.55373303796483e-178,0.669426327872274,5.47752738611482e-54,2.75930442075534e-53
HCC_MK_0_vs_p-H_UP_FC_1,2.03932318445562e-18,1.80798600418981,2.15654142287765,2.57229364486769,1094,886,1.10473950744291,2.06851094881522,1.25398039449589,1.67286034851716,0.612202527117816,1.46749039360143,0.812700983593539,1.69822758523345,1.08895656106167,0.96382361309249,0.100362305379687,4.8180175336692e-12,0.34543577024798,0.01411311478201,0.0167855854006814,0.0535651701786522,0.376729217077532,0.467989044342432,0.603980131010452,0.821694681402762,0.309003489390273,0.166277907364212,0.182905698100633,0.523006487601512,0.0197065916014562,0.0234963207555824,0.476993512398488,0.0197065916014562,0.0234963207555824,0.667809383005046,2.11800755148194e-25,4.31089415781424e-25,0.439796695584692,6.74699712069665e-07,1.51057768868931e-06,0.433960087473363,5.39042534269298e-15,1.22041652421644e-14,0.531482038633201,3.20103822369668e-06,4.40279318822444e-06,0.376085173948583,3.05832815632954e-48,4.44948103610399e-48,0.342156293086868,3.3370901042971e-81,1.25686664675863e-80,0.50807915294603,0.579770539293337,0.597564008529961,0.468474354113718,0.0127213878296686,0.0141231936511197,0.383704753755518,1.11655679219264e-40,2.88443837983098e-40,0.639948956338882,1.59065945671925e-84,2.90061430342922e-84,0.692718303871201,4.25659906260568e-42,8.93442407411505e-42,0.493709329361058,0.628460106624328,0.644451457937924,0.5170894692971,0.0187324870516259,0.0200776390473543,0.569984583558802,4.57039755001982e-09,1.03475854643707e-08,0.692671382446632,3.24013426129268e-46,1.25555202625091e-45,0.517909646108218,0.102408244934775,0.113692900024006,0.507758293569104,0.478685383796175,0.506326009632175
HCC_MK_0_vs_p-L_DOWN_FC_1,0.00181975116767172,1.32619640830381,2.21645789656737,3.70434241602201,120,1860,1.00309637499519,2.13716745512673,1.50081363922261,1.76037674256017,0.594771908648757,1.50354424399569,0.900623698661869,1.66930380869669,1.11471498298927,0.997480464448864,0.949790532369876,3.40411440520814e-13,0.0638454335913731,0.00785606483164918,0.0120167465645518,0.0521253507960078,0.645473709552807,0.48320138349629,0.507486253431044,0.987675383957345,0.746918630250423,0.000333222259246918,0.000608307869008203,0.734662670417313,4.78127106581859e-125,9.63426119762446e-124,0.265337329582687,4.78127106581859e-125,9.63426119762446e-124,0.876715486219128,6.72487215399641e-121,2.08471036773889e-119,0.640902028703764,2.95283964002298e-31,2.47915494776929e-30,0.675921180835366,2.59024418885516e-96,3.0702012003195e-95,0.27721896966083,3.2027490512352e-238,4.60967095588494e-237,0.198069175143775,5.77979698270058e-277,1.77805968246438e-276,0.544415468518673,7.85509289209039e-08,1.09158704672842e-07,0.767697911306015,3.46221787090167e-75,1.76616936958655e-74,0.917452088341239,1.08048639296297e-238,2.17718008182038e-236,0.471625432221621,0.00112081442927537,0.00137291250759263,0.472020332150159,9.82827145706002e-05,0.00011348978215459,0.929926612867979,4.65895489250686e-202,2.34694852710033e-200,0.587577895056071,1.61899908235076e-11,2.44365779096389e-11,0.166540508006882,0,0,0.435658623060967,7.0688422506701e-08,1.47603286374096e-07,0.66685807256007,4.27694156994044e-35,1.33612980828372e-34,0.802159818843319,3.76401939392763e-167,4.59666610834193e-166,0.651734250045061,1.1844882808724e-43,4.50329035086392e-43
HCC_MK_0_vs_p-L_FC_1,1.36841024926472e-13,1.91460253289925,2.44581327874091,3.12440963159435,539,1441,1.09940270515178,2.11762484603623,1.24943869504071,1.60408008670489,0.586190895497661,1.3619506087958,0.82918141538831,1.60954360396559,1.09078476670013,0.954941317192999,0.0839953502209133,4.26900686425046e-13,0.350389361964005,0.0275610889555963,0.00911656893504732,0.135503577840577,0.417354038582135,0.514398192037721,0.596771517889756,0.778969712224976,0.665326948110977,0.000333222259246918,0.000608307869008203,0.678339460421647,4.91336685621409e-73,2.60537742507142e-72,0.321660539578354,4.91336685621409e-73,2.60537742507142e-72,0.838804100637067,3.65957249389155e-98,2.49967409328524e-97,0.577387471778397,1.69504779964224e-10,4.87931616611303e-10,0.590967972367415,4.85884726678409e-27,1.49474461718625e-26,0.358047062756365,6.4693002344595e-98,2.60712799448718e-97,0.128153665392499,0,0,0.477079240207675,0.00558114774403899,0.00675436198452767,0.547881260056977,0.00103195167794117,0.00117479244692173,0.704473179523183,9.7235613758262e-59,2.66571104384895e-58,0.507053658914045,0.417951267351511,0.436358447519841,0.68235480089829,3.79228844751845e-142,8.21662496962331e-142,0.886153791138712,2.08625340124324e-163,1.50135735839469e-162,0.46884874469804,0.0165631467632232,0.0189092015455494,0.247171070358912,5.05802926588104e-265,3.77478850768529e-264,0.434273398042929,3.68241451349902e-08,7.89368643053248e-08,0.711285980944694,3.24070735475075e-55,1.67436546662122e-54,0.713923923324161,9.19296794489854e-85,3.74218796140819e-84,0.61199792720063,1.50516358652989e-24,3.67624803255483e-24
HCC_MK_0_vs_p-L_UP_FC_1,2.45419300831609e-20,1.89424060424988,2.26352583224097,2.70480380461018,1064,916,1.15834615950718,2.04417079609335,1.14104060618237,1.58868865121785,0.612021182034691,1.39546623717699,0.804262703501128,1.66772425124642,1.08257262478955,0.944812103458584,0.0124171935966072,9.03619730281724e-12,0.582350401827791,0.0285634548308187,0.0165299761560863,0.0965549222441743,0.344939817821848,0.483319247914381,0.628923665706317,0.728794287127899,0.599637482859755,0.000333222259246918,0.000608307869008203,0.599320568317396,7.73516207889612e-24,1.7915346653995e-23,0.400679431682604,7.73516207889612e-24,1.7915346653995e-23,0.743505870153338,1.32818120534398e-51,4.35168313620832e-51,0.512095097203672,0.318187522815258,0.365326415084185,0.503774163888584,0.655047425277437,0.682129489371595,0.450962938869916,4.02889996880038e-13,6.49458674970621e-13,0.174462641276825,0,0,0.443581478526932,8.99336771037619e-12,1.37807117387133e-11,0.360223360916681,9.70711864794318e-22,1.54014520280358e-21,0.427846977131102,1.18223023840046e-08,1.52216864560826e-08,0.542681632054446,9.52489947150212e-07,1.28809882114609e-06,0.764057416924191,8.97414154317869e-296,5.56396775677079e-295,0.764416578260403,1.18121065726443e-77,3.69013871998114e-77,0.396123188436067,1.34299972967655e-15,2.24576303344253e-15,0.409091125217682,6.97835378873223e-36,1.1204289150833e-35,0.456827764249639,0.000298931246571507,0.000479957340112819,0.664519761592459,3.63504636110115e-34,1.10144637858929e-33,0.592750308973523,2.70875379990603e-17,4.85167902827614e-17,0.549883316099532,5.24027112521366e-06,7.4099272402144e-06
HCC_MK_1_vs_8_DOWN_FC_1,0.000258168216414976,1.39214937244483,2.0807389307305,3.10992094925435,180,1800,1.02457790001954,2.15242414073097,1.46535716439481,1.72220099766986,0.589270750985044,1.46839621389614,0.896317247532195,1.64104525761842,1.11148555738626,0.990841589082809,0.617395074633672,2.43893822959229e-13,0.0802137823987678,0.010709221409732,0.010183668085459,0.0619348182741957,0.627547985441635,0.497865028755273,0.518726193059489,0.954953490695491,0.74122776831939,0.000333222259246918,0.000608307869008203,0.706322541131082,4.12535789100307e-97,3.69448717794275e-96,0.293677458868918,4.12535789100307e-97,3.69448717794275e-96,0.840582857201526,3.55095208206004e-99,2.60187943467308e-98,0.618589959939223,1.27916786282165e-22,6.87339531622835e-22,0.646562300075576,1.99794347726145e-67,1.29866326021994e-66,0.309318362516037,4.45621666942755e-175,3.52128493682216e-174,0.280637195154113,3.52570462411163e-147,6.9310193342292e-147,0.480637097967483,0.0192202068239467,0.0223865414741344,0.7412814627488,1.99047973173627e-61,6.57510927778456e-61,0.9029490612378,1.53490839263856e-222,7.73210102791677e-221,0.343267794904186,2.02524275123997e-72,7.77307455952102e-72,0.484400547725895,0.0298967939682081,0.0329191474567974,0.904434219779958,4.79612031221303e-179,5.52238995949101e-178,0.539960215979943,0.00211292790993962,0.00250444102266372,0.219312082352527,0,0,0.478011842757937,0.0655065718713101,0.0804852087321279,0.728287833143549,3.73071523188389e-64,2.38647339436382e-63,0.83862975057194,2.09751301428882e-209,5.63531829838929e-208,0.642975961219204,5.92055404045896e-39,2.05688213646979e-38
