signature,log2FC
SULT1E1,-25.1976089477539
LINC01419,-6.98257493972778
BCAS1,-6.17688655853272
SEPP1,-5.4118709564209
IVL,-5.17567825317383
SEMA5A,-4.80889987945557
RP1-124C6.1,-4.80727815628052
ALDH1A1,-4.68060684204102
SLC7A8,-4.63124799728394
CRYAB,-4.45470380783081
HPGD,-4.36944437026978
DIO2,-4.21008443832397
RP11-138I17.1,-4.11291551589966
AC006262.5,-4.08267402648926
C1orf21,-3.97597312927246
GBP2,-3.95631408691406
TNFSF10,-3.94441199302673
DAPK2,-3.9029483795166
BEX4,-3.89454412460327
LINC01268,-3.70389437675476
NUPR1,-3.69539546966553
SLC16A7,-3.64928221702576
SPATA17,-3.611741065979
MAP2K6,-3.55446934700012
SMPDL3A,-3.49326658248901
SLC2A12,-3.40863943099976
KRT13,-3.31683707237244
KMO,-3.30416703224182
MMP13,-3.27435421943665
LCN2,-3.26456046104431
C1QTNF2,-3.24413466453552
FOLR1,-3.24273061752319
ACKR3,-3.18743252754211
SCEL,-3.17000389099121
KLHL24,-3.12231802940369
KIF12,-3.11514115333557
PCSK9,-3.10161757469177
GNG7,-3.08774161338806
RP11-367G18.1,-3.03780126571655
EDIL3,-3.02201437950134
RPL3L,-2.9704761505127
TRIM22,-2.94719743728638
CALCOCO1,-2.94580245018005
SLC40A1,-2.90046191215515
PLA2G10,-2.88988971710205
BTG2,-2.8615825176239
C1R,-2.81193399429321
FAM134B,-2.80564856529236
ALOX5,-2.78452467918396
ZG16B,-2.7730917930603
CTSH,-2.75449633598328
CCNG2,-2.75143122673035
MAP2,-2.71532201766968
SLFN5,-2.70963406562805
LY96,-2.68328404426575
CAPNS2,-2.66705656051636
GPNMB,-2.64117932319641
ALDH3A1,-2.62927913665772
TXNIP,-2.62910842895508
LRP1,-2.62327098846436
RBP1,-2.62315082550049
TPPP3,-2.61708760261536
DHRS3,-2.61166143417358
SALL4,-2.56118035316467
PBXIP1,-2.53808236122131
AGR2,-2.49019241333008
KRT4,-2.46071195602417
IGFBP3,-2.43316173553467
UNC5B-AS1,-2.42420983314514
PGM2L1,-2.39717102050781
SNHG18,-2.3921971321106
LUM,-2.3875732421875
UPK3B,-2.37399363517761
PNRC1,-2.35028266906738
WFDC2,-2.34900403022766
RARRES3,-2.34587001800537
RBPMS,-2.34037089347839
ANG,-2.3187267780304
COL12A1,-2.31721806526184
PLEKHG4B,-2.31162524223328
SOX4,-2.28286099433899
SAMD12,-2.27248644828796
PLEKHH2,-2.25837993621826
PBX1,-2.24710941314697
CASC9,-2.24292731285095
MAGED1,-2.24116563796997
GBP1,-2.19730973243713
WNT6,-2.19565796852112
ELF3,-2.19176816940308
ST6GALNAC2,-2.1915557384491
HCAR2,-2.16746759414673
KRT15,-2.16588187217712
DAB2,-2.16282320022583
EPHA4,-2.15690660476685
CLEC2B,-2.13907694816589
FOSB,-2.13334655761719
FYB,-2.12875890731812
SAMD11,-2.11477398872376
PRSS22,-2.11322236061096
AKR1C2,-2.1068549156189
DRD4,-2.08861517906189
FBXO32,-2.08028697967529
RASSF6,-2.06575584411621
EDN1,-2.04759073257446
RTP4,-2.04058003425598
TCEA3,-2.02153134346008
ATF3,-2.01542258262634
ADGRE1,-2.00986266136169
MT1F,-2.00032901763916
