signature,log2FC
HSPD1,1.98139452934265
LDHA,1.68839406967163
HSPE1,1.84356236457825
PSMA1,1.48399329185486
HSP90AB1,1.44253420829773
HSP90AA1,1.82718455791473
CCT7,1.96303582191467
RPS13,0.670369684696198
GAL,3.24628901481628
C1QBP,1.86837267875671
NME1,2.25426268577576
POMP,1.13336706161499
ENO1,1.10928452014923
PSMA7,1.39294052124023
HSPA8,1.98956394195557
DDX21,2.30133247375488
RAN,1.18469929695129
NAA10,2.12052011489868
BCAP31,1.57143378257751
CYCS,1.79744637012482
SLIRP,1.51019906997681
CTAG2,2.01873064041138
WDR43,2.32232141494751
CCT4,1.47806775569916
NPM1,0.812504470348358
PFN1,0.766997277736664
HSPH1,2.11010479927063
EBNA1BP2,1.90829837322235
ACTB,0.798184275627136
KRT18,1.26604616641998
PRELID1,1.50038993358612
PA2G4,1.34384226799011
PSMB6,1.13674175739288
SNRPG,1.15342879295349
CCT5,1.26068449020386
CACYBP,1.43037366867065
SSB,1.60440719127655
ATP5G3,1.28717911243439
NCL,1.32425248622894
SNRPF,1.1899698972702
HMGA1,1.07302689552307
COTL1,1.7068567276001
SRM,2.08301472663879
EIF5A,1.51180827617645
RPL32,0.43271616101265
POLR2L,0.850486934185028
DKC1,2.1473433971405
PSMB1,1.02225875854492
FKBP4,2.16551446914673
PSMD14,1.89029145240784
CCT6A,1.56370770931244
CCT2,1.46386015415192
PPA1,1.076171875
PARK7,0.851435661315918
PDCD5,1.43045616149902
EIF3J,1.3737176656723
SET,1.18393194675446
EIF4A1,1.60053288936615
DRAP1,1.37810266017914
AHSA1,1.70049321651459
TXN,0.706947505474091
NDUFB9,0.864356637001038
ZC3H15,1.21091079711914
PSMB2,1.19474649429321
LSM3,1.31737458705902
TPI1,0.932947993278503
NPM3,1.76285839080811
PRMT1,1.29447340965271
USMG5,0.921475410461426
BOP1,2.46726584434509
PSMB3,1.07210886478424
SRSF7,1.45575928688049
VBP1,1.69951903820038
PSMA4,1.12596035003662
PPP1R14B,1.17509210109711
PNO1,2.85274863243103
RANBP1,1.2263275384903
NHP2,1.27038300037384
BOLA3,1.68415355682373
PSMA5,1.33740437030792
ATP5B,0.940048933029175
HNRNPA2B1,0.952563226222992
PFDN2,1.33649981021881
GLRX3,1.32751059532166
PSMD2,1.29678452014923
PSME2,1.36692762374878
TCP1,1.29064095020294
PGAM1,0.961943686008453
NIFK,1.89714479446411
CHORDC1,1.65846109390259
PSMC5,1.07308661937714
PHB,1.31542634963989
CCDC85B,1.4116632938385
PSMB7,1.01599514484406
SNRPD1,1.19366669654846
PPM1G,1.25314581394196
SSR4,1.03766858577728
SERBP1,0.90550833940506
CD44,0.762267649173737
EIF3I,1.06916570663452
NOL7,1.12556934356689
DCAF13,1.68393731117249
C20orf27,1.87803411483765
SNRPE,0.765555381774902
TIMM13,1.18207192420959
HMGB1,1.29397523403168
RSL1D1,1.34401667118073
FAM58A,2.36335396766663
CCT3,1.11046648025513
SOD1,0.745466589927673
OAZ1,0.593901216983795
ATP5G1,1.27136623859406
UQCRFS1,0.868262052536011
AIMP2,1.75336885452271
CCT8,1.26927697658539
